Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.6,22.81,22.28,22.33,16.18,379300
2010-01-05,22.35,22.42,21.9,22.21,16.1,545700
2010-01-06,22.26,22.44,22.11,22.22,16.1,349400
2010-01-07,22.1,22.15,21.96,22.08,16.0,633500
2010-01-08,22.1,22.18,22.0,22.14,16.05,391300
2010-01-11,22.14,22.3,22.05,22.17,16.07,582600
2010-01-12,22.1,22.35,22.1,22.3,16.16,447000
2010-01-13,22.31,22.36,22.2,22.29,16.15,244200
2010-01-14,22.22,22.28,22.13,22.23,16.11,299400
2010-01-15,22.24,22.28,21.98,22.0,15.94,243300
2010-01-19,22.02,22.26,22.02,22.25,16.13,400800
2010-01-20,22.08,22.14,21.9,22.14,16.05,278800
2010-01-21,22.09,22.37,22.02,22.31,16.17,501600
2010-01-22,22.36,22.73,22.31,22.7,16.45,778500
2010-01-25,22.82,23.34,22.68,22.82,16.54,558700
2010-01-26,22.84,22.99,22.66,22.66,16.42,317000
2010-01-27,22.59,22.83,22.32,22.48,16.29,561700
2010-01-28,22.55,22.74,22.27,22.6,16.38,385900
2010-01-29,22.66,22.98,22.55,22.55,16.34,470000
2010-02-01,22.61,22.84,22.53,22.78,16.51,404700
2010-02-02,22.83,23.0,22.55,22.7,16.45,903500
2010-02-03,22.8,24.12,22.8,23.74,17.21,1457900
2010-02-04,23.5,23.78,23.32,23.56,17.07,925300
2010-02-05,23.49,23.52,22.82,23.1,16.74,843400
2010-02-08,23.25,23.25,22.71,22.77,16.5,571100
2010-02-09,22.92,23.0,22.72,22.86,16.57,530800
2010-02-10,22.85,22.95,22.71,22.88,16.58,339600
2010-02-11,22.9,23.0,22.76,22.94,16.63,304500
2010-02-12,22.85,22.98,22.68,22.98,16.65,523700
2010-02-16,23.04,23.04,22.76,23.04,16.7,399100
2010-02-17,23.06,23.33,22.95,23.27,16.86,588600
2010-02-18,23.28,23.36,23.15,23.34,16.92,443600
2010-02-19,23.34,23.54,23.28,23.54,17.06,361100
2010-02-22,23.6,23.62,23.41,23.61,17.11,317200
2010-02-23,23.6,23.81,23.49,23.72,17.19,455900
2010-02-24,23.79,23.88,23.73,23.87,17.3,378800
2010-02-25,23.63,23.8,23.59,23.77,17.23,362500
2010-02-26,23.79,23.83,23.59,23.73,17.2,480800
2010-03-01,23.77,24.03,23.7,24.02,17.41,567700
2010-03-02,24.01,24.16,23.88,24.13,17.49,484400
2010-03-03,24.09,24.32,24.06,24.29,17.6,389100
2010-03-04,24.39,24.5,24.02,24.17,17.52,482800
2010-03-05,24.32,24.45,24.05,24.43,17.71,334800
2010-03-08,24.42,24.56,24.36,24.39,17.68,541200
2010-03-09,24.37,24.48,24.19,24.43,17.71,728800
2010-03-10,24.42,24.64,24.2,24.64,17.86,768400
2010-03-11,24.58,24.81,24.46,24.73,17.92,434900
2010-03-12,24.86,25.21,24.7,25.21,18.27,729200
2010-03-15,25.25,25.44,25.05,25.32,18.35,625900
2010-03-16,25.3,25.61,25.29,25.49,18.47,496500
2010-03-17,25.56,25.68,25.4,25.64,18.58,325300
2010-03-18,25.7,25.84,25.61,25.73,18.65,327900
2010-03-19,25.58,25.6,24.96,25.58,18.54,915900
2010-03-22,25.5,25.5,24.92,24.97,18.1,2011100
2010-03-23,24.93,25.21,24.76,25.21,18.27,746600
2010-03-24,25.17,25.17,24.74,25.06,18.16,510500
2010-03-25,25.18,25.28,25.06,25.17,18.24,569800
2010-03-26,25.25,25.31,25.02,25.09,18.18,410500
2010-03-29,25.01,25.12,24.77,24.95,18.32,450800
2010-03-30,25.01,25.04,24.76,24.91,18.29,425100
2010-03-31,24.83,24.94,24.53,24.55,18.02,451000
2010-04-01,24.59,24.73,24.33,24.5,17.99,463400
2010-04-05,24.5,24.65,24.46,24.6,18.06,510200
2010-04-06,24.46,24.82,24.46,24.73,18.15,467900
2010-04-07,24.57,24.77,24.46,24.68,18.12,455200
2010-04-08,24.68,24.73,24.5,24.58,18.04,537900
2010-04-09,24.51,24.62,24.29,24.61,18.07,398900
2010-04-12,24.55,24.81,24.3,24.81,18.21,307200
2010-04-13,24.71,25.02,24.71,25.02,18.37,410200
2010-04-14,25.01,25.24,24.99,25.24,18.53,286500
2010-04-15,25.18,25.42,25.1,25.34,18.6,454200
2010-04-16,25.35,25.53,25.17,25.37,18.62,598800
2010-04-19,25.25,25.44,25.07,25.4,18.65,505100
2010-04-20,25.49,25.84,25.31,25.84,18.97,437800
2010-04-21,25.79,25.89,25.51,25.76,18.91,551300
2010-04-22,25.68,26.35,25.51,26.31,19.31,631800
2010-04-23,26.5,27.0,26.21,26.51,19.46,782600
2010-04-26,26.55,26.65,26.38,26.44,19.41,520000
2010-04-27,26.4,26.79,26.02,26.06,19.13,752400
2010-04-28,26.21,26.29,25.71,25.81,18.95,706800
2010-04-29,25.85,26.56,25.8,26.56,19.5,785200
2010-04-30,26.5,26.56,26.22,26.27,19.28,560900
2010-05-03,26.38,26.61,26.3,26.59,19.52,496700
2010-05-04,26.35,26.53,26.26,26.41,19.39,675100
2010-05-05,26.16,26.5,25.74,25.87,18.99,855000
2010-05-06,25.76,25.85,22.63,24.58,18.04,1912500
2010-05-07,24.62,24.73,24.03,24.29,17.83,1491500
2010-05-10,25.24,25.24,24.6,25.19,18.49,584300
2010-05-11,24.91,25.58,24.91,25.29,18.57,446600
2010-05-12,25.42,25.54,25.14,25.46,18.69,508400
2010-05-13,25.38,25.45,25.19,25.19,18.49,631500
2010-05-14,25.01,25.2,24.94,25.13,18.45,880400
2010-05-17,25.14,25.26,24.63,25.11,18.43,593900
2010-05-18,25.36,25.36,24.84,25.0,18.35,820600
2010-05-19,24.85,25.13,24.69,24.9,18.28,560200
2010-05-20,24.51,24.83,24.43,24.43,17.93,1326600
2010-05-21,24.17,24.67,23.93,24.65,18.1,965300
2010-05-24,24.52,24.67,24.4,24.45,17.95,469700
2010-05-25,23.85,24.19,23.66,24.15,17.73,549600
2010-05-26,24.19,24.37,23.92,23.95,17.58,620700
2010-05-27,24.34,24.85,24.21,24.84,18.24,620700
2010-05-28,24.77,24.92,24.56,24.69,18.13,348900
2010-06-01,24.62,24.87,24.37,24.37,17.89,410900
2010-06-02,24.41,24.7,24.28,24.7,18.13,458900
2010-06-03,25.66,25.66,24.87,25.54,18.75,778200
2010-06-04,25.2,25.34,24.49,24.52,18.0,566200
2010-06-07,24.63,24.74,24.29,24.29,17.83,448000
2010-06-08,24.28,24.46,23.96,24.42,17.93,543800
2010-06-09,24.55,24.65,24.24,24.27,17.82,632200
2010-06-10,24.64,24.82,24.53,24.79,18.2,389900
2010-06-11,24.55,25.1,24.53,25.08,18.41,349000
2010-06-14,25.29,25.55,25.12,25.36,18.62,859300
2010-06-15,25.42,25.77,25.28,25.74,18.9,519500
2010-06-16,25.65,25.75,25.44,25.72,18.88,499100
2010-06-17,25.79,25.8,25.36,25.67,18.84,482900
2010-06-18,25.68,25.68,25.35,25.66,18.84,427300
2010-06-21,25.93,25.99,25.73,25.81,18.95,499200
2010-06-22,25.86,26.05,25.59,25.59,18.79,373900
2010-06-23,25.6,25.8,25.38,25.67,18.84,454300
2010-06-24,25.54,25.8,25.5,25.68,18.85,613400
2010-06-25,25.67,26.05,25.44,25.9,19.01,1962600
2010-06-28,25.75,25.75,25.34,25.39,18.87,614700
2010-06-29,25.12,25.19,24.72,24.79,18.43,668800
2010-06-30,24.75,24.89,24.38,24.38,18.12,549700
2010-07-01,24.36,24.42,23.96,24.39,18.13,688400
2010-07-02,24.43,24.54,24.2,24.35,18.1,451900
2010-07-06,24.63,24.71,24.13,24.29,18.05,380400
2010-07-07,24.29,24.94,24.29,24.92,18.52,438800
2010-07-08,25.11,25.27,24.9,25.21,18.74,632600
2010-07-09,25.18,25.37,25.07,25.34,18.83,246100
2010-07-12,25.22,25.28,24.98,25.12,18.67,277100
2010-07-13,25.27,26.0,25.25,25.92,19.27,582800
2010-07-14,25.77,25.91,25.7,25.81,19.18,403000
2010-07-15,25.83,25.83,25.49,25.77,19.15,308800
2010-07-16,25.7,25.75,25.27,25.28,18.79,557800
2010-07-19,25.4,25.41,25.02,25.19,18.72,271900
2010-07-20,25.0,25.78,24.87,25.78,19.16,419700
2010-07-21,25.84,25.84,25.27,25.31,18.81,466900
2010-07-22,25.54,25.81,25.52,25.8,19.18,654100
2010-07-23,25.72,25.83,25.62,25.83,19.2,619400
2010-07-26,25.9,26.27,25.81,26.15,19.44,491400
2010-07-27,26.25,26.44,25.77,25.99,19.32,810100
2010-07-28,25.74,26.05,25.15,25.35,18.84,797600
2010-07-29,25.5,25.5,24.81,25.25,18.77,731600
2010-07-30,24.89,25.47,24.85,25.42,18.89,461300
2010-08-02,25.76,25.78,25.24,25.56,19.0,639500
2010-08-03,25.39,25.58,25.32,25.38,18.86,406300
2010-08-04,25.46,25.6,25.28,25.33,18.83,374200
2010-08-05,25.28,25.42,25.12,25.13,18.68,378500
2010-08-06,24.98,25.49,24.89,25.45,18.92,520900
2010-08-09,25.61,25.85,25.42,25.85,19.21,279300
2010-08-10,25.68,25.71,25.45,25.47,18.93,249000
2010-08-11,25.12,25.19,24.85,24.85,18.47,376900
2010-08-12,24.5,24.8,24.5,24.75,18.4,276800
2010-08-13,24.7,24.91,24.6,24.68,18.34,340600
2010-08-16,24.65,24.8,24.52,24.7,18.36,385500
2010-08-17,24.77,25.06,24.62,25.02,18.6,302500
2010-08-18,25.01,25.24,24.73,25.12,18.67,255900
2010-08-19,25.06,25.09,24.71,24.71,18.37,258900
2010-08-20,24.64,24.82,24.51,24.77,18.41,239000
2010-08-23,24.78,24.89,24.64,24.67,18.34,443700
2010-08-24,24.46,24.61,24.34,24.42,18.15,523400
2010-08-25,24.3,24.88,24.3,24.81,18.44,522900
2010-08-26,24.9,25.18,24.83,24.89,18.5,331500
2010-08-27,25.02,25.33,24.72,25.33,18.83,377200
2010-08-30,25.2,25.4,24.78,24.81,18.44,338400
2010-08-31,24.72,24.99,24.63,24.85,18.47,471300
2010-09-01,25.16,25.61,24.97,25.57,19.01,635800
2010-09-02,25.56,25.74,25.41,25.71,19.11,526800
2010-09-03,25.99,26.0,25.6,25.79,19.17,356000
2010-09-07,25.74,25.82,25.51,25.52,18.97,340300
2010-09-08,25.63,25.7,25.31,25.33,18.83,649900
2010-09-09,25.7,25.75,25.46,25.65,19.07,263400
2010-09-10,25.73,25.77,25.42,25.62,19.04,285900
2010-09-13,25.8,26.0,25.72,25.96,19.3,331700
2010-09-14,25.89,26.1,25.89,25.95,19.29,322300
2010-09-15,25.9,26.04,25.83,25.97,19.3,413000
