Date,Open,High,Low,Close,Adj Close,Volume
2013-11-18,49.75,50.0,47.49,48.48,46.55,587100
2013-11-19,48.99,49.0,45.3,45.8,43.98,1682000
2013-11-20,45.98,46.0,43.99,44.65,42.87,1106900
2013-11-21,44.5,45.15,43.04,43.79,42.05,730200
2013-11-22,43.9,44.1,43.25,43.99,42.24,947600
2013-11-25,44.28,45.62,43.7,44.18,42.42,727300
2013-11-26,45.0,45.0,43.04,43.2,41.48,873700
2013-11-27,43.55,43.55,42.5,43.24,41.52,1153300
2013-11-29,42.75,43.85,42.75,43.24,41.52,949900
2013-12-02,43.08,43.67,41.52,43.14,41.42,5130700
2013-12-03,42.8,44.85,42.7,42.9,41.19,3239300
2013-12-04,42.43,42.61,41.65,41.83,40.16,2777700
2013-12-05,42.28,42.28,40.63,41.05,39.42,3380500
2013-12-06,40.75,41.06,40.64,40.7,39.08,4662300
2013-12-09,40.7,41.27,40.24,41.18,39.54,3074000
2013-12-10,41.07,42.84,41.04,42.56,40.87,3289400
2013-12-11,42.32,43.02,42.0,42.46,40.77,3367300
2013-12-12,42.01,43.1,42.0,42.97,41.26,1770500
2013-12-13,42.92,43.8,42.92,43.25,41.53,683800
2013-12-16,43.01,43.99,42.11,43.69,41.95,1953900
2013-12-17,43.43,44.0,43.16,43.75,42.01,1396700
2013-12-18,43.65,44.5,43.1,44.27,42.51,1225200
2013-12-19,43.96,44.5,43.82,44.45,42.68,593000
2013-12-20,44.3,44.45,43.91,44.26,42.5,2878600
2013-12-23,44.17,44.85,43.55,44.65,42.87,773600
2013-12-24,44.76,45.02,44.25,44.58,42.8,304700
2013-12-26,44.86,45.01,44.44,44.7,42.92,513200
2013-12-27,44.77,44.97,44.09,44.64,42.86,393300
2013-12-30,44.45,44.88,44.0,44.12,42.36,381500
2013-12-31,44.23,44.5,43.76,44.19,42.43,874200
2014-01-02,44.08,44.18,43.27,43.65,41.91,992900
2014-01-03,43.57,44.32,43.17,43.96,42.21,378400
2014-01-06,43.97,43.98,43.37,43.68,41.94,597800
2014-01-07,42.16,43.98,42.16,43.87,42.12,1371300
2014-01-08,44.02,44.36,43.4,43.88,42.13,1407100
2014-01-09,43.89,44.25,43.84,44.13,42.37,1093500
2014-01-10,44.17,46.08,44.02,45.73,43.91,2008600
2014-01-13,45.7,47.44,45.2,47.04,45.17,2278500
2014-01-14,47.16,47.89,46.91,47.8,45.9,2338200
2014-01-15,47.97,49.19,47.26,47.5,45.61,1733000
2014-01-16,47.28,47.68,47.04,47.4,45.51,1178700
2014-01-17,47.52,48.24,47.0,48.0,46.09,1572100
2014-01-21,49.38,49.38,47.94,48.17,46.25,1570400
2014-01-22,48.11,49.16,48.08,48.51,46.58,682200
2014-01-23,48.68,48.68,47.58,47.72,45.82,867600
2014-01-24,47.62,47.71,45.83,46.84,44.97,1417500
2014-01-27,45.2,48.0,45.2,46.6,44.74,717800
2014-01-28,46.77,47.88,46.77,47.73,45.83,721700
2014-01-29,47.35,48.48,47.13,47.78,45.88,800900
2014-01-30,47.91,49.63,47.83,49.42,47.45,1247100
2014-01-31,49.25,49.96,49.03,49.35,47.38,2011100
2014-02-03,49.35,49.94,47.2,47.44,45.55,1184800
2014-02-04,47.44,48.48,47.32,48.05,46.14,891300
2014-02-05,47.84,48.65,47.15,47.6,45.7,823100
2014-02-06,47.5,49.27,47.5,49.24,47.28,1168400
2014-02-07,49.33,50.27,49.33,49.94,47.95,1837500
2014-02-10,49.99,50.12,49.45,49.84,47.86,763400
2014-02-11,49.73,50.41,49.33,49.89,47.9,1446100
2014-02-12,49.92,51.0,49.73,50.0,48.01,1405300
2014-02-13,49.98,50.44,49.59,50.12,48.12,695000
2014-02-14,50.15,50.25,49.59,49.63,47.65,891700
2014-02-18,49.72,50.86,49.72,50.11,48.11,2748500
2014-02-19,49.84,50.34,49.03,49.16,47.2,1076100
2014-02-20,50.23,52.78,49.1,51.52,49.47,2623600
2014-02-21,51.75,52.79,51.75,52.37,50.28,2198700
2014-02-24,52.36,53.11,52.36,52.86,50.76,667900
2014-02-25,53.0,54.58,52.93,54.56,52.39,1117600
2014-02-26,54.83,55.78,54.18,54.66,52.48,1880100
2014-02-27,54.69,55.53,54.21,55.35,53.15,1139900
2014-02-28,55.09,55.32,53.82,54.35,52.19,1198500
2014-03-03,54.67,54.93,53.08,53.49,51.36,659600
2014-03-04,53.71,55.0,53.48,54.0,51.85,1189900
2014-03-05,53.9,54.31,53.38,53.95,51.8,395000
2014-03-06,53.99,54.1,53.04,53.19,51.07,617400
2014-03-07,53.44,53.78,52.59,53.39,51.26,776100
2014-03-10,53.2,53.67,52.24,53.29,51.17,1155300
2014-03-11,53.49,54.8,53.45,54.5,52.33,874700
2014-03-12,54.42,54.74,52.77,54.28,52.12,1255500
2014-03-13,54.46,54.71,53.13,53.6,51.54,946400
2014-03-14,53.62,53.95,53.25,53.3,51.25,1071800
2014-03-17,53.44,53.83,52.93,52.96,50.93,1011700
2014-03-18,52.95,53.49,52.71,53.28,51.23,880800
2014-03-19,53.18,54.0,52.92,53.28,51.23,645000
2014-03-20,53.41,54.22,52.82,54.17,52.09,628100
2014-03-21,54.38,54.81,53.74,53.81,51.74,1356800
2014-03-24,54.0,54.23,53.04,53.47,51.42,895600
2014-03-25,53.7,53.9,53.17,53.21,51.17,708000
2014-03-26,53.32,53.5,52.01,52.04,50.04,691100
2014-03-27,51.87,51.97,51.19,51.45,49.47,492900
2014-03-28,51.62,52.44,51.54,52.16,50.16,346100
2014-03-31,52.38,52.58,51.91,52.17,50.17,334600
2014-04-01,52.44,54.06,52.29,53.92,51.85,593600
2014-04-02,53.92,54.81,53.59,54.67,52.57,500500
2014-04-03,54.77,55.0,54.58,54.95,52.84,427900
2014-04-04,54.82,55.35,53.0,53.73,51.67,492000
2014-04-07,53.71,54.0,51.53,51.62,49.64,1054200
2014-04-08,51.34,51.78,50.81,51.41,49.44,1213700
2014-04-09,51.46,51.59,51.23,51.5,49.52,1212800
2014-04-10,51.52,51.79,50.12,50.68,48.73,1488500
2014-04-11,50.53,50.9,49.86,50.01,48.09,1184600
2014-04-14,50.28,50.61,49.18,49.77,47.86,605900
2014-04-15,49.88,50.43,48.93,49.96,48.04,419300
2014-04-16,50.16,50.72,49.84,50.23,48.3,254000
2014-04-17,50.07,50.54,49.43,50.15,48.22,427200
2014-04-21,49.98,50.65,49.6,50.63,48.69,225700
2014-04-22,50.71,51.15,50.36,51.0,49.04,422500
2014-04-23,50.89,50.96,49.98,50.4,48.46,507800
2014-04-24,50.62,50.78,49.72,50.24,48.31,659800
2014-04-25,49.95,50.39,49.37,49.54,47.64,290300
2014-04-28,49.84,50.08,48.45,48.82,46.95,605400
2014-04-29,48.96,49.43,48.46,48.9,47.02,442000
2014-04-30,49.0,49.46,48.44,49.35,47.45,481100
