Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,17.09,17.42,17.09,17.16,15.99,876700
2010-01-05,17.18,17.22,17.06,17.08,15.92,714100
2010-01-06,17.11,17.17,17.04,17.1,15.94,725500
2010-01-07,16.98,17.19,16.97,17.14,15.98,799600
2010-01-08,17.14,17.49,16.99,17.48,16.29,991500
2010-01-11,17.49,17.6,17.32,17.58,16.38,446800
2010-01-12,17.44,17.48,17.2,17.22,16.05,675100
2010-01-13,17.21,17.28,17.08,17.27,16.09,569200
2010-01-14,17.17,17.47,17.16,17.27,16.1,428400
2010-01-15,17.28,17.37,17.02,17.08,15.92,320800
2010-01-19,17.12,17.45,17.11,17.19,16.02,718600
2010-01-20,17.07,17.14,16.93,17.03,15.87,631000
2010-01-21,17.0,17.24,16.88,16.98,15.82,827500
2010-01-22,17.02,17.05,16.58,16.61,15.48,677700
2010-01-25,16.7,16.71,16.42,16.5,15.38,1804200
2010-01-26,16.53,16.53,16.04,16.29,15.19,2155600
2010-01-27,16.25,16.33,15.92,16.09,15.0,1091200
2010-01-28,16.09,16.25,15.96,16.2,15.1,1163200
2010-01-29,16.3,16.64,16.2,16.2,15.1,1729300
2010-02-01,16.28,16.44,16.26,16.34,15.23,869500
2010-02-02,16.31,16.65,16.26,16.57,15.45,981000
2010-02-03,16.49,16.71,16.41,16.53,15.41,715200
2010-02-04,16.38,16.4,16.07,16.07,14.98,1068900
2010-02-05,16.06,16.16,15.84,16.13,15.03,1216500
2010-02-08,16.09,16.3,16.0,16.12,15.03,1080100
2010-02-09,16.26,16.4,16.19,16.34,15.23,972900
2010-02-10,16.26,16.51,16.25,16.31,15.2,891000
2010-02-11,16.32,16.59,16.28,16.56,15.43,737500
2010-02-12,16.44,16.74,16.29,16.73,15.6,970200
2010-02-16,16.83,16.92,16.79,16.9,15.75,794800
2010-02-17,16.92,17.04,16.76,16.87,15.72,674500
2010-02-18,16.92,17.07,16.85,17.05,15.89,411400
2010-02-19,17.0,17.28,17.0,17.25,16.08,743800
2010-02-22,17.28,17.33,17.21,17.28,16.1,627000
2010-02-23,17.2,17.3,16.92,16.96,15.8,578200
2010-02-24,17.04,17.05,16.91,16.98,15.82,770100
2010-02-25,16.69,17.28,16.65,17.24,16.07,1327200
2010-02-26,17.3,17.39,17.18,17.35,16.17,1030200
2010-03-01,17.36,17.71,17.35,17.58,16.38,618700
2010-03-02,17.56,17.78,17.53,17.68,16.48,652600
2010-03-03,17.76,17.96,17.67,17.84,16.63,699700
2010-03-04,17.84,17.87,17.64,17.72,16.52,783900
2010-03-05,17.75,17.79,17.66,17.76,16.55,989200
2010-03-08,17.7,17.78,17.58,17.66,16.46,596800
2010-03-09,17.65,17.76,17.63,17.68,16.48,617400
2010-03-10,17.62,17.82,17.58,17.76,16.55,1279500
2010-03-11,17.63,17.8,17.55,17.8,16.59,1041900
2010-03-12,17.83,17.86,17.65,17.84,16.63,820300
2010-03-15,17.83,17.9,17.6,17.75,16.6,594000
2010-03-16,17.76,17.8,17.59,17.68,16.54,1462600
2010-03-17,17.68,17.84,17.64,17.65,16.51,1151700
2010-03-18,17.64,17.69,17.46,17.61,16.47,1152000
2010-03-19,17.56,17.63,17.42,17.56,16.43,1333300
2010-03-22,17.44,17.8,17.44,17.69,16.54,1642500
2010-03-23,17.75,17.9,17.64,17.86,16.7,1379800
2010-03-24,17.82,17.92,17.78,17.79,16.63,1820400
2010-03-25,17.84,17.92,17.63,17.63,16.49,1717800
2010-03-26,17.63,17.84,17.62,17.74,16.59,1452300
2010-03-29,17.76,18.07,17.76,18.07,16.9,865500
2010-03-30,18.07,18.48,18.06,18.44,17.25,1746400
2010-03-31,18.44,18.6,18.31,18.43,17.23,1576300
2010-04-01,18.53,18.8,18.51,18.61,17.4,1021500
2010-04-05,18.6,18.77,18.57,18.67,17.46,602100
2010-04-06,18.6,18.81,18.57,18.77,17.56,586500
2010-04-07,18.8,18.86,18.59,18.71,17.5,753400
2010-04-08,18.69,18.83,18.54,18.83,17.61,671100
2010-04-09,18.84,18.89,18.74,18.86,17.64,632400
2010-04-12,18.93,18.93,18.79,18.88,17.66,433800
2010-04-13,18.84,18.93,18.77,18.87,17.64,609400
2010-04-14,18.94,18.96,18.82,18.92,17.69,844800
2010-04-15,18.91,18.91,18.72,18.73,17.52,1119100
2010-04-16,18.68,18.83,18.54,18.57,17.37,1143400
2010-04-19,18.58,18.64,18.39,18.48,17.28,916800
2010-04-20,18.58,18.71,18.5,18.52,17.32,1121100
2010-04-21,19.03,19.1,18.56,19.08,17.84,3826800
2010-04-22,18.98,19.21,18.92,19.17,17.93,1308700
2010-04-23,19.12,19.43,19.04,19.35,18.09,925200
2010-04-26,19.36,19.43,19.2,19.22,17.98,1014000
2010-04-27,19.53,19.56,19.12,19.17,17.93,1768200
2010-04-28,19.72,19.72,19.3,19.37,18.11,1141200
2010-04-29,19.43,19.64,19.43,19.59,18.32,864000
2010-04-30,19.55,19.6,19.22,19.22,17.98,1000500
2010-05-03,19.37,19.59,19.36,19.57,18.31,782100
2010-05-04,19.4,19.42,18.96,19.11,17.87,1195600
2010-05-05,18.98,19.06,18.62,18.66,17.45,1184400
2010-05-06,18.57,18.75,16.89,18.09,16.92,2087200
2010-05-07,18.06,18.45,17.8,17.88,16.72,2695200
2010-05-10,18.28,18.93,18.14,18.92,17.7,1596100
2010-05-11,18.73,19.07,18.71,18.96,17.73,1398300
2010-05-12,19.01,19.33,18.91,19.32,18.07,920700
2010-05-13,19.27,19.42,19.2,19.27,18.02,710100
2010-05-14,19.16,19.19,18.82,19.15,17.91,1911700
2010-05-17,19.22,19.31,18.89,19.16,17.92,2117700
2010-05-18,19.35,19.36,18.85,18.9,17.67,949200
2010-05-19,18.78,18.85,18.24,18.44,17.25,1306800
2010-05-20,18.0,18.37,17.93,18.11,16.93,2263900
2010-05-21,17.82,18.2,17.82,18.04,16.87,2118600
2010-05-24,18.03,18.24,17.99,18.0,16.84,1035000
2010-05-25,17.66,18.0,17.31,17.97,16.8,1707300
2010-05-26,18.01,18.24,17.75,17.81,16.66,1507200
2010-05-27,18.12,18.41,17.99,18.41,17.22,1038600
2010-05-28,18.35,18.36,17.97,18.04,16.88,1020700
2010-06-01,17.99,18.33,17.87,17.87,16.71,848400
2010-06-02,17.93,18.47,17.93,18.46,17.26,1145400
2010-06-03,18.38,18.68,18.36,18.63,17.42,1135000
2010-06-04,18.31,18.38,17.81,17.85,16.7,2042200
2010-06-07,17.91,17.91,17.54,17.56,16.43,1293900
2010-06-08,17.56,17.74,17.38,17.66,16.52,1315800
2010-06-09,17.72,18.15,17.67,17.74,16.59,979800
2010-06-10,18.06,18.24,18.01,18.19,17.01,806800
2010-06-11,18.0,18.46,17.96,18.4,17.21,862300
2010-06-14,18.49,18.68,18.47,18.53,17.39,1291900
2010-06-15,18.7,18.81,18.62,18.8,17.64,1993000
2010-06-16,18.65,19.0,18.65,18.84,17.68,1440400
2010-06-17,18.99,19.02,18.67,18.83,17.67,689800
2010-06-18,18.84,18.97,18.78,18.88,17.71,1394700
2010-06-21,19.05,19.2,18.76,18.84,17.68,442300
2010-06-22,18.84,19.04,18.58,18.58,17.43,888900
2010-06-23,18.56,18.68,18.33,18.55,17.4,577500
2010-06-24,18.42,18.5,18.23,18.25,17.13,742200
2010-06-25,18.34,18.48,18.16,18.35,17.22,1225500
2010-06-28,18.3,18.53,18.19,18.42,17.28,753400
2010-06-29,18.22,18.24,17.87,18.0,16.88,1467900
2010-06-30,17.98,18.12,17.79,17.84,16.74,1562100
2010-07-01,17.84,17.93,17.64,17.82,16.72,2210400
2010-07-02,17.94,18.11,17.88,18.01,16.9,1241100
2010-07-06,18.23,18.39,17.81,17.94,16.83,1041400
2010-07-07,18.02,18.4,17.99,18.4,17.27,2051700
2010-07-08,18.55,18.71,18.45,18.6,17.45,1616400
2010-07-09,18.63,18.88,18.61,18.88,17.71,813300
2010-07-12,18.84,18.89,18.64,18.81,17.65,818500
2010-07-13,19.02,19.25,18.85,19.23,18.04,1118800
2010-07-14,19.16,19.33,19.11,19.27,18.08,783900
2010-07-15,19.23,19.26,18.89,19.15,17.96,783000
2010-07-16,19.08,19.08,18.56,18.59,17.44,753700
2010-07-19,18.67,18.84,18.48,18.79,17.63,366900
2010-07-20,18.57,19.05,18.46,19.0,17.82,622000
2010-07-21,19.69,20.04,19.48,19.55,18.34,2263200
2010-07-22,19.77,20.07,19.72,19.8,18.58,1525900
2010-07-23,19.81,20.16,19.54,20.11,18.87,2614600
2010-07-26,20.12,20.54,20.09,20.49,19.22,1440100
2010-07-27,20.66,20.66,19.82,19.9,18.67,1796500
2010-07-28,19.89,20.08,19.75,19.8,18.58,951700
2010-07-29,19.92,19.94,19.45,19.62,18.41,1156000
2010-07-30,19.45,20.0,19.3,19.68,18.46,757000
2010-08-02,20.0,20.0,19.83,19.93,18.7,1322200
2010-08-03,19.85,20.01,19.72,19.9,18.67,687700
2010-08-04,20.05,20.21,19.92,20.09,18.85,767200
2010-08-05,19.9,20.24,19.74,20.17,18.93,990000
2010-08-06,19.95,20.24,19.76,20.21,18.97,1040800
2010-08-09,20.26,20.48,20.21,20.45,19.19,855600
2010-08-10,20.16,20.24,19.94,20.17,18.92,666100
2010-08-11,19.74,19.79,19.32,19.56,18.35,1072800
2010-08-12,19.18,19.44,19.09,19.3,18.11,904900
2010-08-13,19.3,19.39,19.19,19.23,18.04,903300
2010-08-16,19.08,19.34,18.95,19.28,18.09,617500
2010-08-17,19.45,19.8,19.43,19.67,18.45,773200
2010-08-18,19.6,19.68,19.38,19.61,18.4,512700
2010-08-19,19.52,19.55,19.18,19.25,18.06,561600
2010-08-20,19.14,19.23,18.93,19.16,17.98,689500
2010-08-23,19.21,19.37,19.01,19.02,17.85,385300
2010-08-24,18.76,19.02,18.5,18.84,17.67,732600
2010-08-25,18.69,18.94,18.55,18.87,17.7,622000
2010-08-26,18.97,19.2,18.92,19.07,17.89,1188000
2010-08-27,19.2,19.48,18.84,19.44,18.24,950400
2010-08-30,19.33,19.4,18.99,19.0,17.83,499500
2010-08-31,18.92,19.2,18.81,19.11,17.93,1601100
2010-09-01,19.43,19.76,19.34,19.64,18.43,1227700
2010-09-02,19.72,19.87,19.64,19.85,18.63,995800
2010-09-03,20.03,20.35,20.03,20.24,18.99,971700
2010-09-07,20.23,20.23,19.88,19.91,18.68,602200
2010-09-08,19.91,20.1,19.9,20.01,18.78,743400
2010-09-09,20.3,20.3,19.89,19.94,18.71,560200
2010-09-10,20.0,20.16,19.96,20.03,18.79,991300
2010-09-13,20.16,20.36,20.1,20.3,19.05,1495000
2010-09-14,20.21,20.44,20.16,20.3,19.11,1545900
2010-09-15,20.27,20.47,20.17,20.44,19.24,782700
2010-09-16,20.36,20.56,20.34,20.39,19.18,726700
2010-09-17,20.38,20.55,20.32,20.45,19.24,905400
2010-09-20,20.49,20.71,20.44,20.7,19.48,788800
2010-09-21,20.7,20.79,20.54,20.64,19.42,659800
2010-09-22,20.56,20.75,20.25,20.44,19.24,696100
2010-09-23,20.26,20.55,20.15,20.16,18.97,747000
2010-09-24,20.41,20.72,20.41,20.69,19.47,763300
2010-09-27,20.69,20.89,20.47,20.72,19.5,910000
2010-09-28,20.77,21.28,20.56,21.19,19.94,1834600
2010-09-29,21.05,21.22,20.96,21.09,19.85,849300
2010-09-30,21.2,21.6,21.2,21.23,19.98,2422900
2010-10-01,21.3,21.41,21.03,21.34,20.08,1017100
2010-10-04,21.28,21.4,21.08,21.25,20.0,1058100
2010-10-05,21.44,21.95,21.42,21.88,20.59,1306000
2010-10-06,21.84,22.04,21.43,21.56,20.28,1468300
2010-10-07,21.62,21.66,21.3,21.46,20.19,703300
2010-10-08,21.46,21.52,21.3,21.44,20.18,942400
2010-10-11,21.48,21.68,21.4,21.61,20.34,627400
2010-10-12,21.56,21.76,21.3,21.68,20.4,1546600
2010-10-13,21.85,22.22,21.79,22.12,20.82,1054900
2010-10-14,22.13,22.17,21.83,21.87,20.58,825000
2010-10-15,22.07,22.12,21.68,21.76,20.48,1074700
