Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,58.69,59.81,58.38,59.75,52.25,4641800
2010-01-05,60.59,61.25,60.17,60.4,52.82,8385500
2010-01-06,60.12,61.53,60.12,61.38,53.67,6449100
2010-01-07,61.68,63.78,61.23,63.66,55.67,6028900
2010-01-08,63.59,64.07,63.01,63.94,55.91,5270900
2010-01-11,64.28,64.88,63.87,64.31,56.24,4369600
2010-01-12,63.8,64.31,62.63,63.46,55.49,5813100
2010-01-13,63.76,65.01,63.47,64.97,56.81,5555800
2010-01-14,64.95,66.48,64.68,66.22,57.91,5137400
2010-01-15,66.34,67.23,65.62,66.65,58.28,7040100
2010-01-19,67.82,69.49,67.39,68.06,59.51,12115500
2010-01-20,69.37,70.0,67.2,67.68,59.18,14642100
2010-01-21,67.88,68.36,65.32,65.5,57.28,8138200
2010-01-22,65.87,66.78,62.25,65.1,56.93,6916000
2010-01-25,65.45,66.46,65.17,65.55,57.32,5771700
2010-01-26,65.0,65.1,63.88,63.88,55.86,7404900
2010-01-27,62.71,65.33,62.11,64.62,56.51,9362400
2010-01-28,65.0,66.47,64.34,64.42,56.33,8125600
2010-01-29,64.47,64.75,63.71,63.72,55.72,4598900
2010-02-01,64.1,64.88,62.6,64.2,56.14,3976300
2010-02-02,64.46,65.18,63.98,65.05,56.88,4178500
2010-02-03,64.53,65.13,63.38,64.07,56.03,3813900
2010-02-04,63.37,64.15,62.78,62.83,54.94,4609000
2010-02-05,62.59,63.07,60.31,61.69,53.94,8633700
2010-02-08,61.63,62.66,61.1,61.65,53.91,5380200
2010-02-09,62.15,62.29,60.44,61.45,53.73,7747100
2010-02-10,61.45,61.59,58.56,60.01,52.48,10418700
2010-02-11,60.0,60.58,59.35,60.52,52.92,5832300
2010-02-12,59.83,59.85,59.06,59.33,51.88,5727000
2010-02-16,59.28,59.57,56.99,58.46,51.12,9030900
2010-02-17,58.55,61.09,58.55,59.7,52.2,9182300
2010-02-18,59.11,59.88,58.25,59.11,51.69,6166400
2010-02-19,59.12,59.27,58.39,58.47,51.13,5993500
2010-02-22,58.35,59.78,57.91,59.44,51.98,8005200
2010-02-23,59.32,59.76,58.54,59.01,51.6,5930200
2010-02-24,59.34,60.37,58.5,60.14,52.59,6493800
2010-02-25,59.8,61.61,59.22,61.45,53.73,15277300
2010-02-26,61.49,62.99,61.49,61.87,54.1,7666100
2010-03-01,62.49,63.46,61.2,62.06,54.27,6988200
2010-03-02,61.27,62.89,61.19,61.9,54.13,5509600
2010-03-03,61.34,62.7,61.12,62.36,54.53,4413200
2010-03-04,62.23,62.23,60.07,61.23,53.54,8895200
2010-03-05,61.28,62.31,61.17,62.25,54.43,4360700
2010-03-08,62.13,62.75,61.62,61.96,54.18,4424000
2010-03-09,61.58,62.07,61.29,61.43,53.72,3654300
2010-03-10,61.25,62.92,61.25,62.48,54.64,6002200
2010-03-11,62.41,63.73,62.07,63.55,55.57,6307100
2010-03-12,63.95,63.95,62.19,62.58,54.72,5541500
2010-03-15,62.46,62.56,60.61,61.52,53.8,6408200
2010-03-16,61.43,62.02,60.67,61.97,54.19,4710100
2010-03-17,62.15,62.38,61.03,61.94,54.16,6469400
2010-03-18,61.69,64.3,60.82,63.82,55.81,10554100
2010-03-19,65.07,65.84,64.25,65.07,56.9,12464700
2010-03-22,65.21,66.33,64.12,64.39,56.31,8654700
2010-03-23,64.37,64.53,62.94,63.61,55.62,5986200
2010-03-24,63.31,64.17,63.09,63.4,55.44,5141200
2010-03-25,63.9,64.26,63.01,63.59,55.61,3414400
2010-03-26,63.81,63.91,63.03,63.05,55.13,3656500
2010-03-29,63.3,64.38,63.03,64.19,56.13,4434200
2010-03-30,64.25,65.15,63.84,64.69,56.57,3618400
2010-03-31,65.13,65.21,64.31,64.38,56.3,5289300
2010-04-01,64.47,64.84,64.18,64.71,56.59,3527900
2010-04-05,65.11,65.57,64.7,65.34,57.14,2962700
2010-04-06,64.98,65.81,64.61,64.61,56.5,3795700
2010-04-07,64.31,64.58,62.79,63.26,55.32,7326800
2010-04-08,63.05,63.21,61.54,62.09,54.29,7520400
2010-04-09,61.94,62.05,60.31,61.26,53.57,7036700
2010-04-12,61.18,61.64,61.0,61.34,53.64,4583700
2010-04-13,61.07,61.4,59.9,60.18,52.62,6152100
