Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,63.6,64.9,63.47,64.74,59.76,3324500
2010-01-05,65.16,66.8,64.74,66.56,61.44,4087500
2010-01-06,66.84,67.62,66.37,67.14,61.97,3212000
2010-01-07,66.86,67.34,66.17,67.03,61.87,2761600
2010-01-08,66.71,67.22,66.27,67.06,61.9,2662400
2010-01-11,67.58,68.2,65.73,66.31,61.2,3325000
2010-01-12,65.65,65.65,63.7,64.14,59.2,5458300
2010-01-13,64.37,66.88,63.43,66.47,61.35,5104800
2010-01-14,66.7,66.85,65.98,66.77,61.63,2788100
2010-01-15,66.77,67.01,65.15,65.89,60.82,3802000
2010-01-19,65.17,66.92,65.17,66.92,61.77,2843500
2010-01-20,66.07,66.35,65.36,65.77,60.71,3065500
2010-01-21,67.11,67.3,64.02,64.15,59.21,5660900
2010-01-22,64.0,65.0,62.98,63.13,58.27,4472600
2010-01-25,63.88,65.72,63.55,64.93,59.93,4048600
2010-01-26,64.24,65.38,63.59,63.89,58.97,3250500
2010-01-27,65.94,66.21,63.92,64.98,59.98,5903000
2010-01-28,66.54,67.0,65.17,65.38,60.35,6638700
2010-01-29,66.07,66.68,63.35,63.78,58.87,4574900
2010-02-01,64.42,65.37,63.92,65.1,60.09,4089100
2010-02-02,64.86,66.49,63.86,66.34,61.23,4203200
2010-02-03,66.24,67.05,65.86,66.41,61.3,3831800
2010-02-04,65.05,65.47,62.78,62.79,57.96,4745600
2010-02-05,62.66,63.44,60.75,62.95,58.1,6920500
2010-02-08,63.02,63.81,61.93,62.33,57.53,2855400
2010-02-09,63.03,64.34,62.61,63.54,58.65,4433400
2010-02-10,63.42,64.49,62.71,64.04,59.11,3767600
2010-02-11,63.81,65.65,63.39,65.53,60.48,4042500
2010-02-12,64.31,65.53,63.9,65.32,60.29,3490300
2010-02-16,66.84,68.11,66.55,67.92,62.69,4537900
2010-02-17,67.99,69.0,67.92,68.81,63.51,4635300
2010-02-18,69.75,70.5,69.19,70.39,64.97,5574600
2010-02-19,70.19,70.59,69.75,70.18,64.78,4189000
2010-02-22,70.41,70.53,68.7,69.19,63.86,3750100
2010-02-23,68.73,69.54,67.89,69.18,63.85,5575700
2010-02-24,69.19,70.38,69.06,69.64,64.28,3516800
2010-02-25,68.38,69.78,67.9,69.7,64.33,3379100
2010-02-26,69.99,70.36,68.75,70.13,64.73,3768200
2010-03-01,70.5,71.08,69.8,70.41,64.99,5007400
2010-03-02,70.8,72.76,70.41,70.88,65.42,5797500
2010-03-03,71.28,71.68,70.1,70.17,64.77,4319100
2010-03-04,70.4,71.45,69.71,70.12,64.72,4211100
2010-03-05,70.87,72.33,70.78,72.11,66.56,3795500
2010-03-08,72.23,72.23,70.91,71.14,65.74,3111500
2010-03-09,70.43,71.78,70.3,71.23,65.83,2276300
2010-03-10,71.4,71.94,70.7,71.29,65.88,2916800
2010-03-11,71.05,72.41,71.0,72.32,66.83,3324800
2010-03-12,72.8,72.8,71.5,72.05,66.59,2826100
2010-03-15,71.68,71.83,70.18,71.3,65.89,2759800
2010-03-16,71.8,71.95,71.03,71.89,66.44,3529500
2010-03-17,72.19,73.89,72.1,73.14,67.59,4607800
2010-03-18,72.6,72.68,70.45,70.94,65.56,4673400
2010-03-19,69.99,71.59,69.22,69.99,64.68,5688400
2010-03-22,69.15,70.75,68.5,70.52,65.17,4776100
2010-03-23,70.99,71.07,69.87,70.77,65.4,3028600
2010-03-24,70.09,70.66,69.73,70.36,65.02,2748700
2010-03-25,70.9,70.9,68.48,68.75,63.54,4168700
2010-03-26,68.84,69.61,68.05,69.4,64.14,4226700
2010-03-29,69.8,71.64,69.5,71.53,66.1,3984400
2010-03-30,71.74,72.45,70.9,72.35,66.86,4489200
2010-03-31,72.55,73.68,72.35,72.83,67.31,4765500
2010-04-01,73.72,74.43,73.71,74.31,68.67,4212400
2010-04-05,74.82,74.95,74.13,74.74,69.07,4112600
2010-04-06,74.46,75.0,73.73,73.95,68.34,4408600
2010-04-07,73.25,73.56,72.12,72.49,66.99,3723900
2010-04-08,72.0,73.35,70.91,73.08,67.54,4727000
2010-04-09,73.62,74.15,72.77,73.3,67.74,2882300
2010-04-12,73.03,73.78,72.72,72.91,67.38,1864800
2010-04-13,72.61,72.8,71.37,72.54,67.04,2720400
2010-04-14,72.86,74.13,71.72,74.07,68.45,4073700
2010-04-15,74.11,75.07,73.85,74.74,69.07,3735000
2010-04-16,74.05,74.87,72.94,73.5,67.93,4425700
2010-04-19,72.71,73.4,72.16,73.32,67.76,2391000
2010-04-20,73.55,74.14,72.73,73.94,68.33,3749400
2010-04-21,73.91,74.04,71.54,72.58,67.08,4396100
2010-04-22,71.81,73.51,71.6,73.37,67.81,3561900
2010-04-23,72.96,74.16,71.6,74.11,68.49,4971200
2010-04-26,73.77,74.19,73.04,73.18,67.63,3203000
2010-04-27,72.62,72.74,69.78,70.1,64.78,5335300
2010-04-28,70.86,70.88,69.22,70.2,64.88,4201200
2010-04-29,70.59,71.22,66.41,67.33,62.22,14134700
2010-04-30,66.0,66.22,61.71,62.16,57.45,21079100
2010-05-03,61.1,66.17,59.83,64.03,59.17,24521000
2010-05-04,63.19,64.95,62.1,64.4,59.52,12035300
2010-05-05,64.2,64.25,61.43,61.83,57.14,11184700
2010-05-06,61.49,63.06,57.18,60.95,56.33,10040900
2010-05-07,60.63,61.21,57.63,58.88,54.41,8297100
2010-05-10,61.09,61.25,56.72,57.63,53.26,13282300
2010-05-11,56.33,57.82,55.6,55.84,51.6,14183200
2010-05-12,55.47,57.48,55.36,56.96,52.64,12272200
2010-05-13,56.72,59.2,55.95,57.85,53.46,8726800
2010-05-14,58.59,58.59,56.5,57.32,52.97,9458800
2010-05-17,58.0,58.7,55.64,57.18,52.84,8166200
2010-05-18,58.17,59.43,57.77,58.04,53.64,10549300
2010-05-19,58.04,58.11,55.72,56.68,52.38,6336100
2010-05-20,55.15,55.91,53.35,53.35,49.3,10516900
2010-05-21,52.27,54.85,51.25,54.83,50.67,11160500
2010-05-24,54.28,54.28,53.08,53.19,49.16,7187200
2010-05-25,51.07,52.9,50.62,52.8,48.8,8982800
2010-05-26,53.79,54.61,53.14,53.34,49.29,7338600
2010-05-27,55.73,57.57,54.81,55.57,51.36,12780000
