Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,75.96,77.02,75.59,76.93,58.85,1131400
2010-01-05,76.69,76.93,75.76,76.29,58.36,790100
2010-01-06,75.86,76.48,75.39,75.66,57.88,1248600
2010-01-07,75.68,75.92,74.81,75.23,57.55,1514400
2010-01-08,75.06,76.06,74.88,75.71,57.92,1244800
2010-01-11,76.48,77.29,76.11,77.1,58.98,1197600
2010-01-12,76.24,76.96,75.63,76.11,58.23,949100
2010-01-13,76.21,76.88,75.63,76.87,58.81,874600
2010-01-14,76.74,77.52,75.68,75.92,58.08,663400
2010-01-15,76.07,76.74,75.81,76.57,58.58,1542200
2010-01-19,76.73,76.82,75.85,76.39,58.44,1415100
2010-01-20,75.86,75.86,75.04,75.37,57.66,1315100
2010-01-21,75.25,76.14,73.83,73.88,56.52,1546800
2010-01-22,73.88,74.82,72.13,72.22,55.25,1953400
2010-01-25,73.16,74.88,73.16,74.25,56.8,1942000
2010-01-26,73.52,75.0,73.08,73.62,56.32,1482200
2010-01-27,73.62,74.24,71.91,72.95,55.81,1842200
2010-01-28,73.28,73.52,71.17,71.27,54.52,1456500
2010-01-29,71.37,71.78,70.22,70.27,53.76,2528100
2010-02-01,70.91,71.3,69.69,71.05,54.36,2507200
2010-02-02,71.09,71.82,70.31,70.88,54.22,1597300
2010-02-03,70.51,71.2,70.03,70.48,53.92,1322600
2010-02-04,69.86,70.27,68.14,68.17,52.15,1612400
2010-02-05,62.58,63.99,60.18,63.5,48.58,10094300
2010-02-08,63.56,64.93,62.92,63.23,48.37,3684300
2010-02-09,62.8,63.69,62.41,62.86,48.09,4046300
2010-02-10,63.92,63.92,62.06,63.11,48.28,4041300
2010-02-11,63.2,63.91,62.44,63.27,48.41,3649100
2010-02-12,62.6,64.02,61.98,63.4,48.5,3714400
2010-02-16,64.12,65.28,63.77,65.13,49.83,2036700
2010-02-17,65.2,66.6,64.6,64.92,49.67,3034300
2010-02-18,65.03,65.18,64.44,64.71,49.5,2204400
2010-02-19,64.66,64.75,63.91,64.42,49.28,2036200
2010-02-22,64.45,64.77,64.29,64.68,49.48,3554300
2010-02-23,64.58,65.3,64.44,64.82,49.59,3593800
2010-02-24,65.07,65.07,64.48,64.63,49.45,4476400
2010-02-25,64.05,64.13,63.2,63.81,48.82,2542800
2010-02-26,63.89,64.07,63.33,63.44,48.53,2203400
2010-03-01,63.64,64.02,62.94,63.98,48.94,2357900
2010-03-02,64.45,65.69,64.22,65.37,50.01,2641900
2010-03-03,65.86,66.31,65.24,65.98,50.47,2241300
2010-03-04,66.11,66.64,65.69,66.5,50.88,2690600
2010-03-05,66.9,68.03,66.6,67.99,52.02,2875000
2010-03-08,68.04,68.78,68.04,68.64,52.51,2971500
2010-03-09,68.31,69.03,68.06,68.67,52.53,2672500
2010-03-10,68.76,69.23,68.07,68.83,52.65,2353200
2010-03-11,68.43,69.07,67.84,69.07,52.84,2279500
2010-03-12,69.29,69.47,68.82,68.97,52.77,2073400
2010-03-15,68.95,69.15,68.19,68.57,52.45,2309300
2010-03-16,68.83,69.35,68.7,69.27,52.99,1980500
2010-03-17,69.39,69.66,68.6,68.96,52.76,1815400
2010-03-18,69.24,69.28,68.54,69.16,52.91,1578400
2010-03-19,68.86,69.6,68.57,68.86,52.68,2503800
2010-03-22,68.44,69.63,68.44,69.39,53.08,1159900
2010-03-23,69.34,69.88,68.78,69.88,53.46,1114000
2010-03-24,69.53,69.6,68.83,69.2,52.94,1757000
2010-03-25,69.69,69.79,68.14,68.18,52.16,1313300
2010-03-26,68.36,69.29,68.2,68.75,52.6,1183000
2010-03-29,68.98,69.46,67.93,68.73,52.58,1982500
2010-03-30,68.21,68.69,67.33,68.54,52.81,1608000
2010-03-31,68.54,68.99,68.3,68.41,52.71,1508300
2010-04-01,68.86,68.95,68.0,68.33,52.65,1246600
2010-04-05,68.45,68.76,67.86,68.61,52.87,1428800
2010-04-06,68.34,69.09,68.25,69.04,53.19,936400
2010-04-07,68.55,69.24,68.32,68.51,52.79,1635000
2010-04-08,68.22,68.62,67.71,68.55,52.82,2203100
2010-04-09,68.73,69.78,68.36,69.71,53.71,1383500
2010-04-12,69.71,69.91,69.34,69.69,53.7,1067700
2010-04-13,69.5,69.69,68.99,69.33,53.42,1208100
2010-04-14,69.7,70.4,69.38,70.31,54.18,1820900
2010-04-15,69.96,71.3,69.79,71.0,54.71,1457700
2010-04-16,70.81,71.46,70.11,70.33,54.19,2066600
2010-04-19,69.88,70.38,69.12,70.17,54.06,1104900
2010-04-20,70.75,71.05,70.38,70.73,54.5,843600
2010-04-21,70.94,71.23,70.43,70.93,54.65,1201800
2010-04-22,70.55,71.6,69.7,71.53,55.11,1416400
2010-04-23,71.46,73.31,71.46,73.28,56.47,1800900
2010-04-26,74.15,74.23,73.08,73.08,56.31,1372500
2010-04-27,72.91,73.23,71.44,71.62,55.18,1671100
2010-04-28,72.23,72.44,70.68,72.21,55.64,2162600
2010-04-29,72.59,72.98,71.94,72.18,55.62,1241800
2010-04-30,72.36,72.65,71.03,71.03,54.73,1509200
2010-05-03,71.51,71.56,70.72,71.24,54.89,1525500
2010-05-04,70.31,70.73,68.8,69.17,53.29,1540200
2010-05-05,68.54,69.08,67.99,68.58,52.85,1427000
2010-05-06,68.09,68.89,63.45,66.86,51.52,2179500
2010-05-07,66.73,67.76,65.25,65.66,50.59,2316400
2010-05-10,67.36,68.06,66.43,67.15,51.74,2835300
2010-05-11,66.58,67.34,66.21,66.3,51.08,1934200
2010-05-12,66.43,67.16,66.16,67.13,51.73,2665500
2010-05-13,66.85,67.01,66.11,66.11,50.94,1928200
2010-05-14,65.46,65.49,63.64,64.36,49.59,1980600
2010-05-17,64.4,65.82,63.97,65.29,50.31,2503500
2010-05-18,65.87,67.07,64.59,64.8,49.93,1559200
2010-05-19,64.55,64.58,63.48,64.19,49.46,1527800
2010-05-20,62.57,63.16,61.05,61.06,47.05,3725400
2010-05-21,59.91,62.03,59.73,61.92,47.71,2812300
2010-05-24,61.52,62.13,61.0,61.03,47.02,1668300
2010-05-25,59.79,62.37,59.64,62.3,48.01,2694500
2010-05-26,62.83,64.33,62.41,63.44,48.88,4056400
2010-05-27,64.6,65.38,63.35,65.38,50.38,2357300
2010-05-28,65.37,65.37,63.57,63.89,49.22,1830100
