Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,83.07,83.35,81.01,81.2,60.67,1483400
2010-01-05,81.22,81.42,79.76,80.59,60.22,1341000
2010-01-06,80.34,81.33,79.48,79.83,59.65,1359000
2010-01-07,79.44,80.86,78.84,79.99,59.77,1755800
2010-01-08,79.54,79.96,77.94,79.39,59.32,1199900
2010-01-11,80.27,81.75,79.81,80.48,60.13,1304400
2010-01-12,79.89,80.61,78.16,78.59,58.72,1088900
2010-01-13,79.08,80.58,78.64,80.42,60.09,1135200
2010-01-14,80.05,80.79,79.56,79.94,59.73,898800
2010-01-15,79.59,80.17,79.06,79.43,59.35,1079200
2010-01-19,79.08,81.07,79.08,80.89,60.44,1034300
2010-01-20,79.78,79.78,77.92,79.08,59.09,1318300
2010-01-21,79.23,79.55,77.01,77.3,57.76,1579300
2010-01-22,77.85,77.85,75.27,75.44,56.37,1831000
2010-01-25,76.55,76.75,74.47,76.58,57.22,1972300
2010-01-26,76.03,77.6,75.45,76.93,57.48,1689800
2010-01-27,76.78,77.65,75.47,77.35,57.79,1333100
2010-01-28,77.93,77.93,76.43,76.97,57.51,1123100
2010-01-29,77.26,78.73,76.27,76.61,57.24,1461800
2010-02-01,77.12,78.39,76.91,78.05,58.32,1064900
2010-02-02,78.18,79.9,77.24,79.58,59.46,1294800
2010-02-03,79.0,79.17,77.33,77.83,58.15,1269100
2010-02-04,74.27,76.34,72.9,74.13,55.39,3741800
2010-02-05,74.07,75.78,73.73,75.59,56.48,2272200
2010-02-08,75.72,75.9,73.69,73.77,55.12,1381600
2010-02-09,74.54,74.56,72.56,73.52,54.93,1335400
2010-02-10,73.27,74.19,71.75,73.21,54.7,931400
2010-02-11,73.09,74.26,72.4,74.2,55.44,767000
2010-02-12,73.55,75.83,73.15,75.49,56.4,1258500
2010-02-16,76.15,77.83,75.88,77.69,58.05,1082700
2010-02-17,77.94,78.43,77.38,78.04,58.31,977800
2010-02-18,77.58,79.67,77.28,79.4,59.33,1071700
2010-02-19,78.67,79.49,77.95,78.82,58.89,1263700
2010-02-22,79.01,80.38,78.74,80.0,59.77,969100
2010-02-23,79.51,80.44,79.16,79.94,59.73,1145200
2010-02-24,80.27,80.78,79.65,80.77,60.35,920600
2010-02-25,79.71,81.28,79.16,81.19,60.66,594100
2010-02-26,81.7,82.34,80.91,81.42,60.84,1117000
2010-03-01,81.4,81.84,80.85,81.26,60.72,910400
2010-03-02,81.72,81.87,80.85,81.28,60.73,685900
2010-03-03,81.12,81.38,80.19,80.43,60.1,715400
2010-03-04,80.53,81.0,80.14,80.85,60.41,643000
2010-03-05,81.29,83.46,80.9,83.2,62.17,1003700
2010-03-08,83.11,84.61,82.95,84.38,63.05,787900
2010-03-09,83.82,85.66,83.64,84.55,63.17,1249600
2010-03-10,84.8,85.27,84.11,84.98,63.5,784200
2010-03-11,84.76,85.63,84.13,85.52,63.9,827400
2010-03-12,85.77,86.54,85.25,86.24,64.44,1523700
2010-03-15,86.21,86.74,85.01,86.1,64.33,857300
2010-03-16,86.62,88.21,86.14,88.04,65.78,946600
2010-03-17,88.21,89.8,88.04,89.51,66.88,977100
2010-03-18,88.71,89.49,88.17,88.56,66.17,1180300
2010-03-19,87.97,88.92,87.5,87.97,65.73,1318400
2010-03-22,87.47,88.32,87.13,88.05,65.79,946400
2010-03-23,88.05,88.05,86.63,87.6,65.45,729600
2010-03-24,87.42,89.32,87.2,88.13,65.85,912900
2010-03-25,88.31,89.8,88.29,88.37,66.03,919200
2010-03-26,88.74,88.92,87.23,87.78,65.59,1355200
2010-03-29,87.02,87.2,86.13,86.86,65.57,958800
2010-03-30,86.95,87.37,86.6,86.99,65.67,702300
2010-03-31,86.63,87.27,86.21,86.35,65.18,1009100
2010-04-01,86.57,86.89,85.08,85.74,64.72,1097100
2010-04-05,86.12,89.07,85.93,88.98,67.17,1099600
2010-04-06,88.64,92.59,88.29,92.42,69.76,2057700
2010-04-07,92.27,92.68,90.48,91.0,68.69,1325300
2010-04-08,90.53,91.34,90.3,91.19,68.84,920100
2010-04-09,91.3,93.54,91.22,92.88,70.11,1007200
2010-04-12,93.03,93.03,91.32,91.38,68.98,639300
2010-04-13,91.47,93.82,91.3,93.54,70.61,850800
2010-04-14,93.9,93.9,92.73,93.8,70.81,782500
2010-04-15,93.58,93.75,92.0,92.28,69.66,894000
2010-04-16,92.18,92.64,90.28,90.98,68.68,1507000
2010-04-19,89.73,92.41,89.73,91.87,69.35,1280900
2010-04-20,92.55,94.09,91.46,94.07,71.01,1395300
2010-04-21,93.97,97.07,93.63,95.85,72.35,1873900
2010-04-22,95.19,99.19,94.77,99.05,74.77,1357700
2010-04-23,99.05,101.59,98.56,101.27,76.44,1723400
2010-04-26,100.92,101.78,100.13,100.48,75.85,1226400
2010-04-27,99.9,101.54,98.61,98.66,74.47,1603700
2010-04-28,99.46,100.25,98.6,99.17,74.86,1057200
2010-04-29,100.61,107.58,100.34,106.65,80.51,2588400
2010-04-30,106.12,107.08,103.6,104.04,78.54,1872200
2010-05-03,104.36,110.16,104.2,108.49,81.89,1623800
2010-05-04,107.64,109.38,106.6,107.77,81.35,1879200
2010-05-05,106.28,107.78,104.51,104.87,79.16,1651600
