Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,18.3,18.9,18.01,18.86,16.12,538700
2010-01-05,18.95,19.24,18.1,19.0,16.24,301100
2010-01-06,18.95,19.3,18.59,19.15,16.37,533100
2010-01-07,19.04,19.17,18.65,19.03,16.26,271800
2010-01-08,18.9,19.3,18.85,19.17,16.38,289900
2010-01-11,19.2,19.55,19.03,19.29,16.49,512700
2010-01-12,19.14,19.14,18.74,19.0,16.24,916700
2010-01-13,18.96,18.96,18.25,18.42,15.74,943900
2010-01-14,18.48,18.87,18.15,18.43,15.75,1065400
2010-01-15,18.56,18.56,18.15,18.24,15.59,158700
2010-01-19,17.9,18.15,17.3,17.81,15.22,381300
2010-01-20,17.71,18.01,17.44,17.96,15.35,193800
2010-01-21,17.87,18.49,17.79,17.99,15.37,338600
2010-01-22,17.88,18.06,17.38,17.56,15.01,923500
2010-01-25,17.67,17.8,17.46,17.65,15.08,261400
2010-01-26,17.03,18.0,16.84,17.76,15.18,765400
2010-01-27,17.64,17.95,17.25,17.41,14.88,696300
2010-01-28,17.55,17.74,17.25,17.72,15.14,14457600
2010-01-29,17.72,17.86,17.25,17.38,14.85,3357000
2010-02-01,17.38,17.69,17.29,17.5,14.96,509500
2010-02-02,17.51,17.8,17.35,17.7,15.13,1772900
2010-02-03,17.54,17.69,17.48,17.62,15.06,1285700
2010-02-04,17.38,17.58,17.06,17.22,14.72,1376700
2010-02-05,17.25,17.32,16.6,17.2,14.7,538700
2010-02-08,17.08,17.29,16.87,17.01,14.54,498300
2010-02-09,17.04,17.38,16.82,16.99,14.52,189600
2010-02-10,16.86,16.94,16.51,16.8,14.36,578000
2010-02-11,16.76,17.25,16.5,17.13,14.64,370000
2010-02-12,16.98,17.39,16.79,17.36,14.84,163200
2010-02-16,17.4,17.51,17.27,17.48,14.94,422700
2010-02-17,17.6,17.6,17.17,17.41,14.88,507700
2010-02-18,17.47,17.5,17.3,17.45,14.91,461900
2010-02-19,17.5,17.62,17.36,17.53,14.98,374600
2010-02-22,17.5,17.59,17.23,17.35,14.83,846500
2010-02-23,17.35,17.49,17.13,17.38,14.85,1820200
2010-02-24,17.5,17.87,17.41,17.74,15.16,852300
2010-02-25,18.0,18.39,17.69,18.09,15.46,2319700
2010-02-26,18.05,18.19,17.96,18.15,15.51,280700
2010-03-01,18.7,18.8,18.12,18.3,15.64,872200
2010-03-02,18.19,18.74,18.19,18.72,16.0,981000
2010-03-03,18.75,19.94,18.75,18.91,16.16,1063400
2010-03-04,19.01,19.24,18.5,19.06,16.29,396600
2010-03-05,19.05,19.66,19.05,19.36,16.54,376700
2010-03-08,19.48,19.52,19.09,19.31,16.5,222000
2010-03-09,19.44,20.0,19.15,19.35,16.54,922700
