Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,36.74,36.97,36.42,36.85,29.21,1301200
2010-01-05,38.46,38.47,36.33,37.09,29.4,2708800
2010-01-06,36.89,37.28,36.77,37.01,29.33,1234100
2010-01-07,36.8,37.39,36.71,37.36,29.61,995400
2010-01-08,37.11,38.12,37.02,38.07,30.17,1432700
2010-01-11,38.39,39.08,37.79,38.71,30.68,1132500
2010-01-12,38.52,38.66,37.96,38.31,30.36,877800
2010-01-13,38.38,39.84,38.15,39.75,31.51,1493500
2010-01-14,39.79,40.0,39.38,39.79,31.54,695000
2010-01-15,39.59,40.23,39.17,39.48,31.29,1279600
2010-01-19,39.55,40.07,39.46,40.07,31.76,1009100
2010-01-20,39.71,39.71,39.35,39.61,31.39,951300
2010-01-21,39.57,39.83,38.65,38.66,30.64,1480500
2010-01-22,38.47,39.13,38.35,38.62,30.61,1599700
2010-01-25,38.91,39.12,38.55,38.58,30.58,901800
2010-01-26,38.39,38.9,38.28,38.38,30.42,669400
2010-01-27,38.27,38.51,37.87,38.44,30.47,959300
2010-01-28,38.69,39.05,37.97,38.1,30.2,1709700
2010-01-29,35.68,36.42,32.48,32.51,25.77,5724300
2010-02-01,32.82,34.19,32.57,33.34,26.42,3506100
2010-02-02,33.37,33.84,33.18,33.54,26.58,1957200
2010-02-03,33.29,33.56,32.7,33.14,26.27,1399800
2010-02-04,32.83,33.11,32.65,32.71,25.93,1800500
2010-02-05,32.62,32.94,32.11,32.77,25.97,2272900
2010-02-08,32.82,33.25,32.4,32.51,25.77,1499200
2010-02-09,33.03,33.06,31.91,32.54,25.79,1982000
2010-02-10,32.48,32.48,31.87,32.17,25.5,1648500
2010-02-11,32.02,32.58,31.8,32.34,25.63,1456700
2010-02-12,31.9,32.29,31.55,32.09,25.43,1372800
2010-02-16,32.29,32.61,32.1,32.6,25.84,1698700
2010-02-17,32.57,32.85,31.73,32.1,25.44,2447600
2010-02-18,32.1,32.43,31.8,32.05,25.4,2322300
2010-02-19,31.72,31.96,31.34,31.8,25.2,2941300
2010-02-22,32.0,32.44,31.69,32.04,25.39,2049100
2010-02-23,31.94,32.22,31.48,31.52,24.98,1391700
2010-02-24,31.58,31.92,31.42,31.73,25.15,1273800
2010-02-25,31.27,31.66,30.82,31.51,24.97,1190200
2010-02-26,31.51,32.0,31.33,31.6,25.05,1020100
2010-03-01,31.64,32.16,31.23,31.84,25.4,1059600
2010-03-02,32.04,32.04,31.54,31.67,25.26,1414700
2010-03-03,31.83,31.93,31.38,31.43,25.07,1488600
2010-03-04,30.53,30.86,30.22,30.79,24.56,2413400
2010-03-05,30.89,31.26,30.8,31.15,24.85,1541000
2010-03-08,31.11,31.46,30.73,31.38,25.03,1472700
2010-03-09,31.31,32.3,31.14,32.07,25.58,1943000
2010-03-10,32.04,32.5,31.89,32.36,25.81,1565200
2010-03-11,32.25,33.06,32.03,33.04,26.35,2322200
2010-03-12,33.23,33.66,32.79,33.31,26.57,2518900
2010-03-15,33.32,33.79,33.12,33.61,26.81,1525500
2010-03-16,33.57,34.15,33.44,34.05,27.16,1393100
2010-03-17,34.15,34.72,34.14,34.63,27.62,1653000
2010-03-18,34.63,34.84,34.5,34.79,27.75,1246200
2010-03-19,35.03,35.24,34.62,35.03,27.94,2458300
2010-03-22,34.91,35.46,34.91,35.39,28.23,2005600
2010-03-23,35.4,35.75,34.99,35.74,28.51,1544100
2010-03-24,35.64,35.64,35.01,35.06,27.97,1380400
2010-03-25,35.27,35.46,34.97,34.98,27.9,1166500
2010-03-26,35.04,35.52,34.91,35.45,28.28,1479200
2010-03-29,35.61,36.08,35.58,36.08,28.78,1609000
2010-03-30,36.12,36.25,35.61,36.17,28.85,1071400
2010-03-31,35.99,36.62,35.91,36.41,29.04,1849700
2010-04-01,36.63,36.91,36.01,36.4,29.03,1111500
2010-04-05,36.58,36.61,36.33,36.55,29.15,662200
2010-04-06,36.41,37.13,36.41,37.13,29.62,814200
2010-04-07,36.97,37.53,36.97,37.31,29.76,1605000
2010-04-08,37.08,37.37,36.92,37.22,29.69,781400
2010-04-09,37.25,37.45,36.84,37.39,29.82,1036900
2010-04-12,37.5,37.62,37.12,37.38,29.82,1635700
2010-04-13,37.3,37.52,37.13,37.46,29.88,1163000
2010-04-14,37.5,37.9,37.49,37.88,30.21,1431700
2010-04-15,37.88,38.24,37.77,38.08,30.37,959300
2010-04-16,37.92,38.02,37.16,37.36,29.8,1194800
2010-04-19,37.31,37.5,36.65,36.98,29.5,1510400
2010-04-20,37.27,37.73,37.03,37.66,30.04,1551600
2010-04-21,37.69,38.1,37.69,38.1,30.39,1168800
2010-04-22,37.75,38.63,37.73,38.57,30.76,1292300
2010-04-23,38.58,39.38,38.44,39.32,31.36,1375500
2010-04-26,39.2,39.75,39.18,39.3,31.35,1279100
2010-04-27,41.74,43.33,40.58,41.39,33.01,5653700
2010-04-28,41.65,43.0,40.02,40.27,32.12,2435900
2010-04-29,40.58,40.89,40.25,40.4,32.22,2506100
2010-04-30,40.49,40.79,39.03,39.03,31.13,2087500
2010-05-03,39.36,39.46,38.89,39.16,31.24,1989600
2010-05-04,38.74,38.87,37.82,38.15,30.43,1967200
2010-05-05,38.02,38.51,37.85,38.26,30.52,2280600
2010-05-06,38.02,38.61,34.46,36.49,29.11,1824200
2010-05-07,36.52,37.05,35.53,35.65,28.44,2822900
2010-05-10,36.84,37.91,36.8,37.69,30.06,2188100
2010-05-11,37.39,38.25,37.01,37.65,30.03,1216700
2010-05-12,37.76,38.02,37.29,37.66,30.04,2131900
2010-05-13,37.42,37.74,36.92,36.93,29.46,1071900
2010-05-14,36.56,36.74,35.58,35.85,28.6,1024600
2010-05-17,36.05,36.61,35.68,36.34,28.99,2099600
2010-05-18,36.64,37.18,35.52,35.62,28.41,1480200
2010-05-19,35.49,35.82,34.94,35.43,28.26,1584800
2010-05-20,34.55,34.56,33.58,33.71,26.89,1965100
2010-05-21,33.17,34.43,32.94,34.11,27.21,1875000
2010-05-24,33.68,34.56,33.67,33.95,27.08,1098000
2010-05-25,33.04,33.64,32.56,33.64,26.83,1509800
2010-05-26,33.86,34.06,33.16,33.38,26.63,1272400
2010-05-27,34.03,34.65,33.65,34.64,27.63,1043500
2010-05-28,34.55,34.6,33.75,34.18,27.42,1341200
2010-06-01,33.83,34.18,33.04,33.05,26.51,1257500
2010-06-02,33.12,33.81,33.0,33.77,27.09,986000
2010-06-03,33.71,34.48,33.71,34.1,27.36,993800
2010-06-04,33.43,33.45,32.02,32.1,25.75,2027700
2010-06-07,32.11,32.17,31.29,31.32,25.13,1840100
2010-06-08,31.25,31.79,30.89,31.38,25.18,1770400
2010-06-09,31.55,32.05,31.33,31.67,25.41,2157600
2010-06-10,32.38,33.24,32.31,33.22,26.65,1212300
2010-06-11,32.88,34.06,32.69,34.05,27.32,2528200
2010-06-14,34.37,34.92,34.3,34.4,27.6,2736100
2010-06-15,34.78,35.6,34.46,35.57,28.54,2310300
2010-06-16,35.23,36.03,34.99,35.73,28.66,2325300
2010-06-17,35.81,35.82,34.89,35.21,28.25,917500
2010-06-18,35.28,35.39,34.98,35.19,28.23,830400
2010-06-21,35.61,35.61,34.31,34.55,27.72,1256600
2010-06-22,34.64,35.1,33.96,34.04,27.31,1251100
2010-06-23,33.79,34.12,33.15,33.95,27.24,1124500
2010-06-24,33.82,34.04,33.28,33.71,27.04,1301100
2010-06-25,33.87,34.54,33.5,34.37,27.57,1887300
2010-06-28,34.51,34.51,33.82,34.19,27.43,1028200
2010-06-29,33.6,33.61,32.16,32.39,25.99,1953200
2010-06-30,32.29,32.79,32.0,32.13,25.78,1623500
2010-07-01,32.07,32.37,31.27,32.11,25.76,2005000
2010-07-02,32.19,32.33,31.64,31.87,25.57,802000
2010-07-06,32.28,32.6,31.34,31.67,25.41,1413800
2010-07-07,31.93,33.46,31.93,33.46,26.84,1727600
2010-07-08,33.68,34.08,33.47,33.99,27.27,910200
2010-07-09,34.08,34.65,33.92,34.62,27.77,787900
2010-07-12,34.45,34.93,34.3,34.76,27.89,940200
2010-07-13,35.12,35.48,34.93,34.97,28.06,1218900
2010-07-14,34.77,35.15,34.59,34.88,27.98,683000
2010-07-15,34.81,34.81,34.06,34.67,27.81,500000
2010-07-16,34.51,34.51,33.49,33.56,26.92,814200
2010-07-19,33.67,33.98,33.35,33.87,27.17,522900
2010-07-20,33.26,34.49,33.16,34.45,27.64,677600
2010-07-21,34.79,34.79,33.73,34.03,27.3,574500
2010-07-22,34.53,35.6,34.43,35.15,28.2,841400
2010-07-23,35.08,37.22,34.89,37.14,29.8,2011800
2010-07-26,37.3,38.27,37.25,38.04,30.52,1427400
2010-07-27,38.32,38.32,37.43,37.91,30.41,1197800
2010-07-28,38.26,38.81,35.74,36.17,29.02,2712000
2010-07-29,36.51,36.82,35.73,36.2,29.04,2539200
2010-07-30,35.69,36.4,35.56,35.85,28.76,1748300
2010-08-02,36.61,37.07,36.47,36.93,29.63,1132300
2010-08-03,36.95,37.16,36.48,36.56,29.33,711400
2010-08-04,36.59,36.74,36.25,36.56,29.33,920900
2010-08-05,36.22,36.54,36.08,36.43,29.23,823500
2010-08-06,35.98,36.31,35.25,36.18,29.03,1001200
2010-08-09,36.36,36.56,36.2,36.46,29.25,565800
2010-08-10,36.16,36.54,35.75,36.06,28.93,1080500
2010-08-11,35.31,35.45,34.35,34.69,27.83,1386100
2010-08-12,34.06,34.81,33.97,34.44,27.63,859500
2010-08-13,34.26,34.53,34.1,34.14,27.39,550900
2010-08-16,33.84,34.36,33.76,34.17,27.41,663000
2010-08-17,34.4,35.08,34.19,34.86,27.97,701800
2010-08-18,34.86,35.16,34.61,34.89,27.99,518300
2010-08-19,34.65,34.75,33.64,34.05,27.32,688700
2010-08-20,33.73,34.08,33.36,33.81,27.12,597700
2010-08-23,33.91,34.31,33.31,33.37,26.77,882100
2010-08-24,32.87,33.01,32.34,32.73,26.26,867300
2010-08-25,32.42,32.52,31.66,32.33,25.94,1962300
2010-08-26,32.54,32.81,31.95,32.16,25.8,802800
2010-08-27,32.46,33.0,31.97,32.99,26.47,875800
2010-08-30,32.53,32.78,32.38,32.39,26.14,712100
2010-08-31,32.26,32.79,32.02,32.52,26.25,1047400
2010-09-01,33.07,33.87,32.88,33.78,27.27,741300
2010-09-02,33.76,34.34,33.56,34.27,27.66,741400
2010-09-03,34.81,35.0,34.55,34.89,28.16,548600
2010-09-07,34.69,34.69,34.24,34.31,27.69,546200
2010-09-08,34.25,34.59,34.15,34.44,27.8,578100
2010-09-09,34.87,34.96,34.35,34.49,27.84,533500
2010-09-10,34.65,35.1,34.55,34.61,27.94,644000
2010-09-13,35.06,35.61,34.92,35.39,28.57,654200
2010-09-14,35.35,35.51,34.68,35.32,28.51,601700
2010-09-15,35.21,35.57,34.98,35.47,28.63,657900
2010-09-16,35.1,35.85,34.95,35.64,28.77,632100
2010-09-17,35.86,36.41,35.55,36.15,29.18,885800
2010-09-20,36.25,37.0,36.04,36.89,29.78,967100
2010-09-21,36.89,36.89,36.33,36.56,29.51,591000
2010-09-22,36.48,36.82,35.76,36.02,29.07,715600
2010-09-23,35.59,36.23,35.39,35.53,28.68,676200
2010-09-24,36.09,36.65,35.98,36.46,29.43,943000
2010-09-27,36.46,36.77,36.3,36.36,29.35,663100
2010-09-28,36.38,36.8,35.54,36.73,29.65,716400
2010-09-29,36.62,37.45,36.52,37.18,30.01,785300
2010-09-30,37.39,37.9,36.99,37.12,29.96,829300
2010-10-01,37.32,37.54,36.88,37.24,30.06,481400
2010-10-04,37.19,37.46,36.44,36.68,29.61,878000
2010-10-05,37.07,38.05,36.86,37.73,30.45,773600
2010-10-06,37.79,37.91,37.58,37.74,30.46,562400
2010-10-07,37.87,37.91,37.36,37.59,30.34,421200
2010-10-08,37.63,38.19,37.51,38.04,30.7,414100
2010-10-11,38.08,38.47,37.86,38.29,30.91,419700
2010-10-12,38.26,38.28,37.73,38.18,30.82,611800
2010-10-13,38.39,38.58,38.09,38.42,31.01,654200
2010-10-14,38.39,38.69,37.85,38.15,30.79,458200
2010-10-15,38.36,38.74,37.84,38.24,30.87,1870200
2010-10-18,38.23,38.54,38.17,38.28,30.9,736700
2010-10-19,37.67,38.33,37.52,37.99,30.66,1065600
2010-10-20,38.14,39.26,37.97,39.02,31.5,759600
2010-10-21,39.17,39.35,38.53,38.98,31.46,561600
2010-10-22,38.97,39.12,38.7,38.9,31.4,761400
2010-10-25,39.21,39.77,39.21,39.51,31.89,910600
2010-10-26,39.22,39.85,39.08,39.16,31.61,1448200
2010-10-27,37.61,38.65,37.1,37.99,30.66,2343200
2010-10-28,37.75,37.75,36.75,36.78,29.69,1880300
2010-10-29,36.66,36.92,36.31,36.35,29.34,1120600
2010-11-01,36.53,36.53,35.56,35.8,28.9,1663400
2010-11-02,36.11,36.36,36.02,36.31,29.31,2841300
2010-11-03,36.32,36.71,35.95,36.38,29.36,1555900
2010-11-04,36.87,37.86,36.67,37.79,30.5,1224700
2010-11-05,37.78,38.0,37.62,37.99,30.66,884000
2010-11-08,37.8,37.99,37.37,37.43,30.21,782900
2010-11-09,37.52,37.69,36.87,37.01,29.87,1118800
2010-11-10,36.92,37.22,36.83,37.06,29.91,1067300
