Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,49.35,49.91,49.35,49.55,47.97,7689800.0
2017-11-02,49.45,49.74,48.9,49.59,48.01,6312400.0
2017-11-03,49.49,49.55,48.97,49.54,47.96,5291900.0
2017-11-06,49.36,49.55,49.17,49.48,47.9,2897900.0
2017-11-09,,,,,,
2018-02-08,,,,,,
2018-03-05,,,,,,
2018-05-10,,,,,,
2018-05-24,55.15,55.25,54.23,54.96,53.21,3517000.0
2018-05-25,54.62,54.98,54.43,54.81,53.06,2556000.0
2018-05-29,54.38,54.63,52.1,52.47,50.8,6418000.0
2018-05-30,52.98,53.32,52.32,53.09,51.4,4456700.0
2018-05-31,53.05,53.18,52.36,52.5,50.83,4863100.0
2018-06-01,53.32,53.62,53.02,53.2,51.5,3253700.0
2018-06-04,53.57,53.65,53.29,53.62,51.91,2322400.0
2018-06-05,53.32,53.48,52.94,53.32,51.62,2907600.0
2018-06-06,53.51,54.53,53.43,54.39,52.66,2882300.0
2018-06-07,54.59,54.86,54.02,54.42,52.69,2852200.0
2018-06-08,54.37,54.61,54.09,54.6,52.86,2466200.0
2018-06-11,54.68,54.96,54.17,54.2,52.47,2546100.0
2018-06-12,54.34,54.59,53.71,54.0,52.28,3205900.0
2018-06-13,54.18,54.7,53.75,53.79,52.08,3904500.0
2018-06-14,53.93,54.04,52.33,52.44,50.77,5731700.0
2018-06-15,52.24,52.49,51.72,52.32,50.65,8705500.0
2018-06-18,51.88,52.47,51.64,52.28,50.61,4350900.0
2018-06-19,51.92,52.27,51.73,52.23,50.56,4199500.0
2018-06-20,52.5,52.69,51.96,51.98,50.32,2515400.0
2018-06-21,51.79,52.47,51.41,52.06,50.4,3108700.0
2018-06-22,52.32,52.42,51.54,51.61,49.96,4474100.0
2018-06-25,51.51,51.87,50.97,51.71,50.06,5259800.0
2018-06-26,51.6,51.71,51.05,51.43,49.79,5900900.0
2018-06-27,51.26,51.86,50.69,50.69,49.07,5100800.0
2018-06-28,50.8,51.23,50.31,50.65,49.04,3282900.0
2018-06-29,51.15,51.49,50.44,50.44,48.83,4890600.0
2018-07-02,50.23,51.17,50.15,51.16,49.53,3088500.0
2018-07-03,51.28,51.49,50.39,50.48,48.87,1676000.0
2018-07-05,50.88,51.17,50.52,50.8,49.18,3673800.0
2018-07-06,50.68,51.46,50.37,51.21,49.58,2999500.0
2018-07-09,51.4,52.66,51.33,52.58,50.9,2939500.0
2018-07-10,52.73,52.91,52.1,52.32,50.65,3052900.0
2018-07-11,52.14,52.42,51.75,51.87,50.22,2747800.0
2018-07-12,52.25,52.31,51.19,51.55,49.91,3141200.0
2018-07-13,51.48,51.48,50.74,50.93,49.31,3676400.0
2018-07-16,51.11,51.75,51.11,51.64,49.99,2449600.0
2018-07-17,51.69,52.24,51.48,52.0,50.34,3945900.0
2018-07-18,51.84,53.05,51.1,52.98,51.29,5804000.0
2018-07-19,50.43,51.69,49.75,50.52,48.91,8124100.0
2018-07-20,50.5,50.77,49.71,49.94,48.35,6925300.0
2018-07-23,49.82,50.9,49.79,50.75,49.13,4984000.0
2018-07-24,50.87,51.51,50.68,50.85,49.23,5452400.0
2018-07-25,50.76,51.03,50.29,50.68,49.06,4543600.0
2018-07-26,50.82,51.52,50.82,51.06,49.43,3368500.0
2018-07-27,51.19,51.55,50.94,51.32,49.68,3049800.0
2018-07-30,51.38,51.87,51.33,51.44,49.8,3698400.0
2018-07-31,51.67,51.67,50.71,50.81,49.19,5439300.0
2018-08-01,50.99,51.52,50.96,51.11,49.48,3796000.0
2018-08-02,50.89,51.49,50.64,51.32,49.68,2542900.0
2018-08-03,51.23,51.63,51.23,51.6,49.95,2587400.0
