Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,78.99,79.68,78.26,78.6,66.35,1793200
2010-01-05,78.4,78.72,77.77,77.87,65.73,1122200
2010-01-06,77.99,78.08,77.28,77.66,65.55,1208000
2010-01-07,77.45,77.89,77.02,77.64,65.54,2266900
2010-01-08,77.67,78.31,77.38,77.91,65.76,1185000
2010-01-11,78.35,78.6,77.77,78.41,66.19,1535600
2010-01-12,78.28,78.28,77.14,77.25,65.21,1412800
2010-01-13,77.32,77.99,77.32,77.5,65.42,1393000
2010-01-14,76.5,77.25,76.11,77.04,65.03,2099900
2010-01-15,76.76,76.94,75.68,76.29,64.4,1382400
2010-01-19,76.42,77.67,76.36,77.29,65.24,1692300
2010-01-20,77.4,77.6,76.01,76.79,64.82,1382100
2010-01-21,77.2,77.31,76.08,76.15,64.28,1203200
2010-01-22,75.1,76.4,74.76,75.08,63.37,1535200
2010-01-25,75.26,76.39,75.12,75.78,63.97,864000
2010-01-26,75.47,75.8,75.03,75.57,63.79,745500
2010-01-27,75.3,76.34,74.75,76.0,64.15,1180000
2010-01-28,78.63,78.63,75.6,76.48,64.56,1577100
2010-01-29,76.74,76.82,75.11,75.37,63.62,1090300
2010-02-01,75.43,76.12,74.81,75.71,63.91,806200
2010-02-02,75.93,77.06,75.38,77.02,65.01,1388600
2010-02-03,76.94,76.94,76.12,76.64,64.69,1458700
2010-02-04,76.11,76.38,74.68,74.71,63.06,1470200
2010-02-05,74.56,74.93,73.85,74.89,63.21,1913100
2010-02-08,74.69,75.14,74.07,74.68,63.04,1284700
2010-02-09,75.47,75.66,74.33,75.26,63.53,1185900
2010-02-10,75.11,75.25,74.28,74.64,63.0,1249400
2010-02-11,74.71,75.29,74.27,75.22,63.49,1832500
2010-02-12,74.75,75.93,74.14,75.84,64.02,1726600
2010-02-16,75.93,76.96,75.33,76.91,64.92,1384300
2010-02-17,77.22,77.74,76.93,77.36,65.3,1282700
2010-02-18,77.64,78.0,76.96,77.96,65.81,1156000
2010-02-19,77.42,77.9,76.68,77.54,65.45,1618700
2010-02-22,77.77,77.9,77.1,77.5,65.42,949700
2010-02-23,77.41,78.06,76.75,77.87,65.73,1560300
2010-02-24,77.9,78.86,77.58,78.82,66.53,1888200
2010-02-25,78.42,78.62,77.73,78.52,66.28,1494400
2010-02-26,78.73,78.9,77.75,77.87,65.73,1357100
2010-03-01,78.11,79.02,77.88,79.02,66.7,1680500
2010-03-02,79.02,79.63,78.73,79.14,66.8,1354300
2010-03-03,78.71,79.21,78.62,78.68,66.41,1055700
2010-03-04,78.76,79.02,78.21,78.5,66.26,1667600
2010-03-05,78.66,78.68,78.24,78.6,66.35,1601400
2010-03-08,78.66,78.66,77.77,77.95,66.11,1061700
2010-03-09,77.89,78.64,77.75,78.47,66.55,1079700
2010-03-10,78.47,79.1,78.29,78.92,66.93,1266900
2010-03-11,79.02,79.02,77.55,78.46,66.54,1088300
2010-03-12,78.69,78.69,77.79,78.37,66.46,908300
2010-03-15,78.34,79.01,78.06,79.0,67.0,701600
2010-03-16,79.17,79.57,78.77,79.03,67.02,849500
2010-03-17,79.55,79.56,78.85,79.24,67.2,842300
2010-03-18,79.0,79.58,78.92,79.39,67.33,691400
2010-03-19,79.1,79.67,78.71,79.1,67.08,1370800
2010-03-22,79.08,80.56,79.0,80.14,67.97,1433200
2010-03-23,80.17,80.45,79.31,79.71,67.6,872400
2010-03-24,79.43,79.67,78.79,79.01,67.01,1488900
2010-03-25,79.44,79.66,78.74,78.87,66.89,934600
2010-03-26,78.89,78.99,78.24,78.51,66.58,999600
2010-03-29,78.46,79.16,78.4,79.0,67.0,864300
2010-03-30,79.17,79.17,78.9,79.05,67.04,1099400
2010-03-31,78.98,79.4,78.4,78.73,66.77,910700
2010-04-01,78.93,79.24,78.42,78.96,66.96,908200
2010-04-05,79.21,79.22,78.42,78.51,66.58,1168700
2010-04-06,78.42,78.84,78.11,78.43,66.52,1051600
2010-04-07,78.01,79.19,78.01,78.5,66.57,1166100
2010-04-08,78.56,78.93,78.21,78.63,66.69,771100
2010-04-09,78.76,78.97,78.37,78.91,66.92,769000
2010-04-12,79.02,79.27,78.72,79.0,67.0,639700
2010-04-13,78.93,79.0,78.21,78.72,66.76,905600
2010-04-14,78.54,78.78,78.13,78.49,66.57,1271500
2010-04-15,78.24,78.75,77.97,78.05,66.19,1542300
2010-04-16,77.98,78.4,77.46,77.74,65.93,2440200
2010-04-19,77.82,78.67,77.82,78.46,66.54,1721800
2010-04-20,78.7,79.85,78.6,79.66,67.56,1485100
2010-04-21,79.77,79.92,78.36,78.56,66.63,1764300
2010-04-22,77.56,77.83,76.03,77.27,65.53,2543600
2010-04-23,77.55,78.36,77.14,77.55,65.77,1622600
2010-04-26,77.58,78.08,76.38,76.4,64.79,1510700
2010-04-27,76.7,76.7,75.61,76.04,64.49,1530800
2010-04-28,76.09,77.04,76.0,76.7,65.05,1682000
2010-04-29,75.28,78.37,75.28,76.6,64.96,2795100
2010-04-30,76.74,77.15,76.05,76.37,64.77,2131800
2010-05-03,76.38,76.53,75.15,76.22,64.64,1831700
2010-05-04,75.53,75.9,74.97,75.44,63.98,1382400
2010-05-05,75.41,76.18,74.76,75.61,64.12,1512600
2010-05-06,75.38,75.89,72.48,74.88,63.5,2771800
2010-05-07,74.99,75.05,73.12,73.66,62.47,2663100
2010-05-10,75.6,76.7,74.7,75.57,64.09,1611200
2010-05-11,75.34,75.34,74.24,74.75,63.39,1505000
2010-05-12,75.01,75.3,74.26,75.1,63.69,1331900
2010-05-13,75.23,75.69,74.4,74.47,63.16,1482600
2010-05-14,74.3,74.3,72.82,73.26,62.13,1993400
2010-05-17,73.11,74.05,73.11,73.78,62.57,1439000
2010-05-18,74.61,75.11,74.14,74.3,63.01,2088000
2010-05-19,74.18,74.56,73.27,73.73,62.53,2228700
2010-05-20,72.75,72.81,71.65,71.65,60.77,2293000
2010-05-21,71.22,71.81,69.95,71.49,60.63,2276500
2010-05-24,71.41,72.14,71.25,71.33,60.49,1034800
2010-05-25,70.51,71.54,69.58,71.44,60.59,1947000
2010-05-26,71.58,72.29,70.62,70.66,59.93,1451000
2010-05-27,71.56,72.25,71.09,72.21,61.24,1489100
2010-05-28,72.23,72.23,71.17,71.3,60.47,1512800
2010-06-01,71.09,71.87,70.68,70.71,59.97,1265600
2010-06-02,70.64,72.47,70.25,72.4,61.4,1245300
2010-06-03,72.19,72.88,71.74,72.39,61.39,991800
2010-06-04,71.59,71.59,69.95,70.08,59.43,1698700
2010-06-07,70.36,70.55,69.27,69.29,59.08,1543000
2010-06-08,69.07,69.38,68.11,68.92,58.76,2638400
2010-06-09,69.07,69.68,68.5,68.64,58.52,1673100
2010-06-10,69.41,69.8,69.21,69.76,59.48,1421200
2010-06-11,69.55,69.82,69.17,69.69,59.42,1468000
2010-06-14,71.04,71.04,70.1,70.19,59.84,1658000
2010-06-15,70.46,71.11,70.2,71.11,60.63,1376800
2010-06-16,70.9,72.05,70.48,72.05,61.43,1334700
2010-06-17,72.09,72.22,71.47,71.92,61.32,1318000
2010-06-18,71.97,72.03,71.27,71.32,60.81,1937700
2010-06-21,71.73,72.15,71.25,71.48,60.94,1682400
2010-06-22,71.48,72.56,71.15,71.16,60.67,1507500
2010-06-23,71.21,71.26,69.9,70.05,59.72,2171800
2010-06-24,70.01,70.3,69.33,69.42,59.19,1551100
2010-06-25,69.33,69.92,68.74,69.05,58.87,2632500
2010-06-28,69.32,69.61,68.5,69.16,58.96,1150900
2010-06-29,68.06,68.32,67.0,67.45,57.51,2213000
2010-06-30,67.24,68.14,67.05,67.62,57.65,2027200
2010-07-01,67.73,67.73,66.63,67.29,57.37,2283300
2010-07-02,67.34,68.36,67.29,67.97,57.95,1487300
2010-07-06,68.63,68.83,67.59,68.18,58.13,1490100
2010-07-07,68.14,70.3,67.9,70.28,59.92,2112500
2010-07-08,70.52,71.02,69.44,69.96,59.65,1791200
2010-07-09,69.91,70.09,69.05,69.46,59.22,1012400
2010-07-12,69.41,69.46,68.83,69.08,58.9,1245200
2010-07-13,69.55,70.08,69.4,69.52,59.27,1252800
2010-07-14,69.28,69.59,68.52,69.59,59.33,1375200
