Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,41.22,41.5,41.0,41.24,26.95,5888000
2010-01-05,41.43,43.82,41.24,43.66,28.53,10663400
2010-01-06,43.37,46.03,43.37,45.84,29.95,10315800
2010-01-07,45.7,46.22,45.21,46.17,30.17,5608800
2010-01-08,45.85,47.18,45.65,47.1,30.78,4875600
2010-01-11,47.47,47.98,46.26,46.6,30.45,6026300
2010-01-12,46.1,46.62,45.43,45.71,29.87,5533200
2010-01-13,45.93,46.75,44.95,46.55,30.42,3961800
2010-01-14,46.25,47.75,46.25,47.53,31.06,4990600
2010-01-15,47.67,47.95,46.55,47.28,30.9,6627700
2010-01-19,46.97,48.11,46.78,48.05,31.4,3592500
2010-01-20,47.41,47.63,46.05,47.14,30.8,4840100
2010-01-21,46.94,48.08,46.59,46.63,30.47,8282300
2010-01-22,46.39,46.39,44.21,44.27,28.93,7313700
2010-01-25,44.17,45.64,43.86,44.59,29.14,6932500
2010-01-26,46.37,48.74,45.55,46.89,30.64,14179300
2010-01-27,46.91,47.96,46.25,47.6,31.1,9707700
2010-01-28,47.87,48.09,45.46,46.47,30.37,5357500
2010-01-29,47.02,48.39,45.01,45.28,29.59,7382800
2010-02-01,46.15,47.45,45.84,47.33,30.93,5406900
2010-02-02,47.64,49.0,46.93,47.26,30.88,5542600
2010-02-03,47.14,47.95,46.86,47.32,30.92,4127600
2010-02-04,46.71,46.71,45.05,45.22,29.55,7603500
2010-02-05,45.16,45.6,43.15,44.73,29.23,8597500
2010-02-08,45.01,45.64,44.5,44.55,29.11,4549800
2010-02-09,45.37,46.09,45.0,45.55,29.77,6075700
2010-02-10,45.37,45.79,44.7,45.26,29.58,5894800
2010-02-11,45.09,46.77,44.89,46.68,30.5,5286600
2010-02-12,45.78,46.81,45.6,46.5,30.39,4814300
2010-02-16,47.21,48.09,47.08,47.94,31.33,4892300
2010-02-17,48.17,48.27,47.6,48.05,31.4,3699400
2010-02-18,48.12,48.85,47.87,48.65,31.79,4124500
2010-02-19,48.59,49.17,48.35,48.86,31.93,6560300
2010-02-22,49.57,50.0,47.97,48.13,31.45,9763800
2010-02-23,47.75,48.09,46.67,47.06,30.75,7170500
2010-02-24,47.5,48.31,47.27,47.91,31.31,6116800
2010-02-25,46.77,48.02,46.47,47.89,31.29,4355100
2010-02-26,47.7,48.11,47.27,47.92,31.31,3625100
2010-03-01,48.45,48.71,48.15,48.31,31.57,5599600
2010-03-02,48.46,49.54,48.46,49.23,32.17,5456000
2010-03-03,49.54,50.68,49.4,50.0,32.67,5188400
2010-03-04,50.12,50.66,49.45,49.92,32.62,6225300
2010-03-05,50.37,51.0,50.15,50.89,33.25,5569100
2010-03-08,51.08,51.59,50.21,50.34,32.9,3684000
2010-03-09,49.92,50.52,49.49,49.94,32.63,4915900
