Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,236.05,239.6,233.52,238.58,185.52,238700
2010-01-05,239.05,239.67,236.76,239.61,186.32,198800
2010-01-06,238.51,238.65,234.06,234.67,182.48,278500
2010-01-07,234.66,237.7,234.0,237.25,184.48,218300
2010-01-08,237.46,239.41,236.75,238.92,185.78,224400
2010-01-11,239.95,243.8,239.95,242.81,188.81,207900
2010-01-12,241.24,243.19,238.47,238.47,185.43,208100
2010-01-13,234.22,239.95,234.22,239.42,186.17,203400
2010-01-14,239.17,240.29,237.0,237.9,184.99,163900
2010-01-15,237.85,238.7,236.16,238.09,185.14,197000
2010-01-19,237.69,240.86,234.23,240.01,186.63,187600
2010-01-20,239.0,239.39,235.33,238.26,185.27,203000
2010-01-21,240.02,240.02,229.88,230.24,179.03,354700
2010-01-22,229.49,235.68,222.61,225.0,174.96,282600
2010-01-25,225.44,228.29,223.86,226.46,176.09,195600
2010-01-26,224.55,228.89,223.5,224.71,174.73,203100
2010-01-27,228.36,231.13,218.55,226.77,176.33,560200
2010-01-28,227.0,228.45,215.74,219.64,170.79,632900
2010-01-29,224.81,224.81,212.66,213.82,166.26,483100
2010-02-01,215.25,219.23,215.02,216.57,168.4,426400
2010-02-02,212.85,216.38,209.29,216.0,167.96,716700
2010-02-03,215.81,221.89,215.05,220.64,171.57,601700
2010-02-04,216.79,217.62,210.5,211.25,164.27,540500
2010-02-05,210.44,212.5,200.56,208.79,162.35,884900
2010-02-08,209.4,209.96,204.61,204.66,159.14,356400
2010-02-09,206.87,209.37,205.15,208.88,162.42,564800
2010-02-10,208.13,212.91,208.13,211.13,164.17,619400
2010-02-11,210.77,211.25,206.11,207.3,161.19,437100
2010-02-12,205.38,207.16,202.82,207.16,161.08,396400
2010-02-16,208.3,210.41,207.0,210.41,163.61,277100
2010-02-17,210.4,213.68,209.95,213.09,165.7,372500
2010-02-18,214.4,215.24,211.26,213.73,166.19,350900
2010-02-19,214.25,216.19,213.6,215.51,167.58,294800
2010-02-22,217.52,219.3,216.04,217.23,168.91,374900
2010-02-23,217.56,219.21,214.77,214.87,167.08,276000
2010-02-24,217.25,218.98,216.5,218.36,169.79,280500
2010-02-25,216.5,219.12,214.59,218.3,169.75,359100
2010-02-26,217.5,219.85,217.5,218.8,170.14,302500
2010-03-01,217.91,219.81,216.36,218.0,169.51,389700
2010-03-02,219.89,220.32,216.41,216.41,168.28,568200
2010-03-03,218.16,219.22,214.59,216.08,168.02,500900
2010-03-04,217.91,217.91,212.28,215.84,168.61,300600
2010-03-05,217.0,219.88,215.46,219.83,171.73,557200
2010-03-08,219.83,219.83,216.44,218.12,170.4,293900
2010-03-09,216.99,218.88,215.86,216.97,169.5,323100
2010-03-10,217.8,218.88,215.39,215.7,168.51,502000
2010-03-11,214.29,215.46,209.65,210.41,164.37,730900
2010-03-12,211.98,213.74,208.35,210.0,164.05,601600
2010-03-15,209.02,213.21,208.65,212.17,165.75,384800
2010-03-16,213.51,213.51,210.59,212.35,165.89,290400
2010-03-17,220.0,226.65,219.49,222.8,174.05,895300
2010-03-18,223.01,227.0,222.27,225.66,176.29,406000
2010-03-19,224.35,225.99,221.16,224.35,175.26,514700
2010-03-22,223.0,225.8,222.01,225.7,176.32,296900
2010-03-23,225.68,227.77,224.8,227.0,177.33,301200
2010-03-24,226.01,226.92,223.75,225.0,175.77,327500
2010-03-25,225.01,227.7,224.35,225.41,176.09,486500
2010-03-26,225.93,225.94,218.08,219.27,171.29,538100
2010-03-29,219.0,220.43,215.43,220.05,171.9,314600
2010-03-30,220.01,220.12,217.72,219.13,171.18,222800
2010-03-31,218.77,221.78,216.71,217.76,170.11,324800
2010-04-01,211.44,211.98,206.95,211.05,164.87,1632300
2010-04-05,210.69,210.69,205.57,206.0,160.93,645300
2010-04-06,203.62,205.09,198.06,198.55,155.11,1399900
2010-04-07,198.75,201.41,197.86,199.02,155.47,1117600
2010-04-08,197.56,204.59,197.4,204.56,159.8,1329100
