Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,16.73,17.01,16.72,16.89,15.61,1286000
2010-01-05,16.89,17.77,16.86,17.69,16.35,2654000
2010-01-06,17.69,18.39,17.65,18.34,16.95,4171000
2010-01-07,18.25,18.64,18.03,18.59,17.18,2592200
2010-01-08,18.49,18.59,18.2,18.25,16.87,2500600
2010-01-11,18.41,18.52,18.11,18.23,16.84,2885200
2010-01-12,18.12,18.3,17.7,17.75,16.41,3873200
2010-01-13,17.81,18.0,17.7,17.88,16.52,3943800
2010-01-14,17.88,19.04,17.85,18.94,17.5,4483800
2010-01-15,18.99,19.18,18.44,18.67,17.26,3369600
2010-01-19,18.69,18.96,18.53,18.84,17.41,2778000
2010-01-20,18.57,18.65,18.41,18.58,17.17,1999400
2010-01-21,18.66,18.92,18.28,18.42,17.02,3701400
2010-01-22,18.47,18.74,18.17,18.24,16.85,2183800
2010-01-25,18.38,18.95,18.17,18.51,17.11,2195800
2010-01-26,18.47,18.68,18.09,18.11,16.74,1936200
2010-01-27,17.98,18.11,17.18,17.63,16.29,3824800
2010-01-28,17.67,17.76,17.0,17.2,15.89,3062000
2010-01-29,17.23,18.0,17.23,17.55,16.21,4052400
2010-02-01,17.65,17.98,17.58,17.95,16.59,2172200
2010-02-02,17.92,18.23,17.67,18.11,16.73,2000400
2010-02-03,18.0,18.72,18.0,18.52,17.12,2900200
2010-02-04,18.31,18.31,17.66,17.66,16.32,1750800
2010-02-05,17.61,17.66,16.93,17.35,16.04,3925800
2010-02-08,17.44,17.94,17.29,17.68,16.34,2833400
2010-02-09,17.92,18.34,17.75,17.99,16.62,5739000
2010-02-10,17.88,18.3,17.68,18.11,16.74,3087600
2010-02-11,18.42,18.49,17.73,17.83,16.48,4811400
2010-02-12,17.62,18.33,17.62,18.32,16.93,3554600
2010-02-16,18.56,18.61,18.31,18.51,17.1,2195000
2010-02-17,18.62,18.85,18.52,18.59,17.18,2330200
2010-02-18,18.53,18.69,18.45,18.54,17.13,2791400
2010-02-19,18.57,18.77,18.48,18.67,17.26,2360600
2010-02-22,18.79,19.25,18.74,19.13,17.68,2798800
2010-02-23,19.11,19.45,18.62,18.74,17.31,3614000
2010-02-24,18.74,19.25,18.74,19.07,17.62,2378800
2010-02-25,18.73,19.07,18.5,19.01,17.57,2490000
2010-02-26,19.08,19.13,18.68,18.73,17.31,2433200
2010-03-01,18.84,19.0,18.73,18.99,17.54,2416400
2010-03-02,19.17,19.6,19.11,19.33,17.86,5275800
2010-03-03,19.43,19.47,19.25,19.29,17.83,4319600
2010-03-04,19.02,19.3,18.99,19.09,17.64,2692400
2010-03-05,19.25,19.27,18.8,18.83,17.4,4825600
2010-03-08,18.75,18.92,18.75,18.88,17.44,5467800
2010-03-09,18.83,18.88,18.49,18.62,17.21,3114800
2010-03-10,18.55,18.75,18.28,18.35,16.96,2663000
2010-03-11,18.26,18.47,17.84,18.44,17.04,5567200
2010-03-12,18.57,18.77,18.48,18.54,17.13,1406800
2010-03-15,18.5,18.66,18.23,18.43,17.04,1476800
2010-03-16,18.45,18.65,18.4,18.6,17.19,2191200
2010-03-17,18.62,18.72,18.41,18.44,17.04,2572600
2010-03-18,18.48,18.5,18.29,18.33,16.94,3279200
2010-03-19,18.27,18.56,18.1,18.27,16.88,4999400
