Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,18.09,18.12,17.9,17.98,12.63,4009700.0
2010-01-05,17.99,18.33,17.86,18.06,12.69,5517100.0
2010-01-06,18.09,18.17,17.94,18.0,12.64,4248700.0
2010-01-07,18.04,18.11,17.91,18.05,12.68,3484900.0
2010-01-08,18.03,18.03,17.88,17.91,12.58,2861600.0
2010-01-11,17.97,18.23,17.95,18.22,12.79,4880100.0
2010-01-12,18.19,18.41,18.15,18.41,12.93,5073000.0
2010-01-13,18.41,18.57,18.4,18.53,13.01,3586000.0
2010-01-14,18.56,18.56,18.28,18.39,12.92,3831800.0
2010-01-15,18.37,18.41,17.99,18.1,12.71,5408600.0
2010-01-19,18.12,18.31,18.09,18.31,12.86,4806600.0
2010-01-20,18.26,18.37,18.09,18.31,12.86,6486500.0
2010-01-21,18.33,18.64,18.13,18.19,12.77,5501700.0
2010-01-22,18.14,18.3,18.01,18.01,12.65,4482000.0
2010-01-25,18.09,18.21,17.98,18.02,12.65,3280200.0
2010-01-26,17.98,18.09,17.86,17.96,12.61,4218500.0
2010-01-27,17.74,17.88,17.64,17.86,12.68,5348000.0
2010-01-28,17.92,18.0,17.8,17.81,12.65,4100500.0
2010-01-29,17.91,18.01,17.65,17.7,12.57,4723000.0
2010-02-01,17.78,17.85,17.67,17.85,12.68,3985800.0
2010-02-02,17.85,17.98,17.75,17.97,12.76,5166800.0
2010-02-03,17.95,18.01,17.76,17.86,12.68,3750900.0
2010-02-04,17.78,17.84,17.35,17.35,12.32,10445700.0
2010-02-05,17.32,17.81,17.27,17.77,12.62,11179100.0
2010-02-08,17.8,17.88,17.63,17.64,12.53,4982700.0
2010-02-09,17.79,17.99,17.72,17.86,12.68,4082400.0
2010-02-10,17.86,18.04,17.7,17.97,12.76,4824500.0
2010-02-11,17.91,18.16,17.78,18.12,12.87,4958600.0
2010-02-12,17.97,18.24,17.8,18.21,12.93,6098700.0
2010-02-16,18.39,18.64,18.22,18.61,13.22,6669200.0
2010-02-17,18.67,18.78,18.49,18.7,13.28,5185700.0
2010-02-18,18.62,18.93,18.62,18.88,13.41,4587700.0
2010-02-19,18.96,19.22,18.75,19.18,13.62,7098800.0
2010-02-22,19.15,19.26,18.99,19.14,13.6,6056400.0
2010-02-23,19.14,19.14,18.86,18.96,13.47,4789400.0
2010-02-24,19.02,19.17,18.92,19.09,13.56,4032700.0
2010-02-25,18.96,19.11,18.81,19.07,13.55,4646800.0
2010-02-26,19.07,19.15,18.96,19.04,13.52,4605900.0
2010-03-01,19.11,19.33,19.11,19.21,13.65,6098400.0
2010-03-02,19.33,19.42,19.3,19.38,13.76,5344800.0
2010-03-03,19.37,19.46,19.31,19.37,13.76,4243400.0
2010-03-04,19.46,19.51,19.18,19.38,13.76,6398400.0
2010-03-05,19.44,19.68,19.34,19.68,13.98,5938200.0
2010-03-08,19.7,19.72,19.49,19.64,13.95,4500100.0
2010-03-09,19.62,19.74,19.59,19.64,13.95,2846100.0
2010-03-10,19.65,19.69,19.52,19.63,13.94,3402900.0
2010-03-11,19.74,19.75,19.5,19.74,14.02,2860700.0
2010-03-12,19.78,19.84,19.57,19.74,14.02,3301900.0
2010-03-15,19.72,19.84,19.69,19.84,14.09,4068600.0
2010-03-16,19.7,19.96,19.7,19.92,14.15,4393500.0
2010-03-17,19.97,20.09,19.91,20.05,14.24,4248400.0
2010-03-18,20.09,20.2,19.99,20.12,14.29,5732600.0
2010-03-19,20.11,20.26,19.97,20.11,14.28,6060300.0
2010-03-22,19.88,20.43,19.88,20.33,14.44,6468500.0
2010-03-23,20.33,20.48,20.25,20.45,14.53,5239700.0
2010-03-24,20.4,20.4,20.23,20.31,14.43,7351200.0
2010-03-25,20.08,20.16,19.33,19.41,13.78,12670600.0
2010-03-26,19.34,19.41,18.86,19.18,13.62,12029300.0
2010-03-29,19.21,19.53,19.16,19.48,13.83,6515800.0
2010-03-30,19.53,19.58,19.38,19.42,13.8,6084900.0
2010-03-31,19.34,19.63,19.29,19.51,13.86,6518200.0
2010-04-01,19.6,19.68,19.52,19.63,13.94,4589800.0
2010-04-05,19.72,19.75,19.54,19.63,13.94,4983400.0
2010-04-06,19.52,19.53,19.29,19.47,13.83,7998200.0
2010-04-07,19.48,19.63,19.33,19.6,13.92,7243400.0
2010-04-08,19.54,19.64,19.46,19.56,13.9,4765900.0
2010-04-09,19.58,19.73,19.56,19.63,13.94,3502600.0
2010-04-12,19.56,19.66,19.41,19.46,13.82,5829900.0
2010-04-13,19.46,19.56,19.4,19.5,13.85,5139600.0
2010-04-14,19.52,19.67,19.52,19.65,13.96,3704100.0
2010-04-15,19.63,19.64,19.43,19.48,13.83,4851200.0
2010-04-16,19.46,19.55,19.27,19.36,13.75,5808900.0
2010-04-19,19.29,19.4,19.19,19.34,13.73,3535500.0
2010-04-20,19.39,19.47,19.36,19.4,13.78,2727900.0
2010-04-21,19.45,19.58,19.38,19.49,13.85,3878000.0
2010-04-22,19.36,19.49,19.32,19.45,13.81,3972800.0
2010-04-23,19.45,19.45,19.26,19.39,13.77,3588700.0
2010-04-26,19.34,19.46,19.27,19.32,13.72,5146500.0
2010-04-27,19.28,19.29,18.95,19.02,13.51,6851600.0
2010-04-28,19.03,19.14,18.75,19.07,13.69,4617700.0
2010-04-29,19.16,19.26,19.08,19.2,13.78,4527800.0
2010-04-30,19.16,19.26,19.04,19.04,13.67,7231900.0
2010-05-03,19.13,19.32,18.96,19.25,13.82,5415100.0
2010-05-04,19.11,19.21,18.94,19.04,13.67,5659700.0
2010-05-05,18.93,19.21,18.93,19.07,13.69,5630300.0
2010-05-06,19.04,19.04,17.4,18.53,13.3,10077200.0
2010-05-07,18.53,18.58,18.19,18.35,13.17,7972600.0
2010-05-10,18.82,19.04,18.54,18.96,13.61,6894700.0
2010-05-11,18.86,19.16,18.78,18.96,13.61,4444600.0
2010-05-12,18.96,19.3,18.91,19.25,13.82,4425900.0
2010-05-13,19.21,19.39,19.1,19.25,13.81,4417700.0
2010-05-14,19.14,19.22,18.81,18.96,13.61,5121100.0
2010-05-17,18.99,19.11,18.89,19.05,13.67,5382600.0
2010-05-18,19.11,19.25,18.99,19.05,13.67,9876300.0
2010-05-19,18.99,19.33,18.86,19.32,13.87,9314300.0
2010-05-20,19.03,19.21,18.87,18.99,13.63,12413200.0
2010-05-21,18.68,19.27,18.6,19.27,13.83,9915500.0
2010-05-24,19.23,19.26,18.83,19.02,13.65,6579500.0
2010-05-25,18.68,18.79,18.44,18.75,13.46,8490500.0
2010-05-26,18.82,18.89,18.52,18.57,13.33,5536000.0
2010-05-27,18.78,18.9,18.67,18.9,13.57,3972100.0
2010-05-28,18.92,18.97,18.78,18.82,13.51,3256700.0
2010-06-01,18.67,18.99,18.54,18.69,13.42,3950200.0
2010-06-02,18.79,19.12,18.76,19.11,13.72,3765600.0
2010-06-03,19.21,19.33,19.15,19.26,13.82,4291000.0
2010-06-04,19.03,19.05,18.82,18.84,13.52,5549000.0
2010-06-07,18.82,19.05,18.68,18.68,13.41,5440500.0
2010-06-08,18.65,19.06,18.65,19.02,13.65,6550500.0
2010-06-09,19.13,19.42,18.99,19.05,13.67,7628600.0
2010-06-10,19.22,19.49,19.22,19.42,13.94,4849300.0
2010-06-11,19.31,19.38,19.08,19.36,13.9,3995400.0
2010-06-14,19.45,19.59,19.37,19.39,13.91,4042400.0
2010-06-15,19.41,19.54,19.37,19.53,14.01,3343600.0
2010-06-16,19.43,19.6,19.4,19.54,14.03,3734000.0
2010-06-17,19.59,19.78,19.56,19.63,14.09,7588400.0
2010-06-18,19.56,19.58,19.42,19.43,13.95,7207100.0
2010-06-21,19.56,19.65,19.35,19.41,13.93,4472800.0
2010-06-22,19.45,19.6,19.18,19.21,13.79,4540600.0
