Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,50.4,50.73,49.14,49.27,34.65,2670300
2010-01-05,48.62,49.06,47.69,48.16,33.87,9280400
2010-01-06,48.2,48.41,47.48,47.5,33.41,5479100
2010-01-07,47.7,47.96,47.32,47.77,33.6,7213100
2010-01-08,47.76,47.88,47.32,47.5,33.41,2484200
2010-01-11,47.62,48.1,47.09,48.01,33.77,3899100
2010-01-12,48.21,48.37,47.64,48.11,33.84,3012300
2010-01-13,48.3,48.51,48.09,48.27,33.95,2293900
2010-01-14,48.09,48.81,48.05,48.73,34.27,2444700
2010-01-15,48.45,48.56,47.92,48.21,33.91,2105000
2010-01-19,48.09,48.96,48.0,48.82,34.33,2328700
2010-01-20,48.39,48.81,48.15,48.74,34.28,1519300
2010-01-21,48.87,48.87,47.74,48.41,34.05,2192800
2010-01-22,48.33,48.62,47.81,47.89,33.68,3630300
2010-01-25,48.19,48.61,47.99,48.44,34.07,1607700
2010-01-26,48.45,49.44,48.44,48.55,34.14,2622800
2010-01-27,48.4,48.97,48.22,48.96,34.43,1325400
2010-01-28,49.02,49.14,48.47,48.83,34.34,1801400
2010-01-29,48.82,49.65,48.56,49.27,34.65,2832700
2010-02-01,49.38,49.4,48.86,49.02,34.48,2365100
2010-02-02,49.15,49.65,48.56,49.56,34.86,2709900
2010-02-03,50.57,50.7,49.22,49.66,34.93,3324700
2010-02-04,49.48,49.89,47.93,48.13,33.85,5433300
2010-02-05,48.34,48.88,47.35,48.33,33.99,3492200
2010-02-08,48.42,48.81,48.15,48.31,33.98,2172300
2010-02-09,48.77,49.0,48.39,48.7,34.25,1739700
2010-02-10,48.69,48.94,48.34,48.79,34.31,1299700
2010-02-11,48.87,49.0,47.66,48.78,34.31,2167100
2010-02-12,48.51,48.84,48.02,48.81,34.33,2110700
2010-02-16,49.2,49.5,48.23,49.49,34.81,2424700
2010-02-17,49.85,49.94,49.29,49.75,34.99,2926000
2010-02-18,49.34,50.63,49.04,50.32,35.39,2134500
2010-02-19,50.07,50.63,49.63,50.39,35.44,1455400
2010-02-22,50.32,50.83,50.25,50.7,35.66,1303700
2010-02-23,50.52,50.71,50.28,50.29,35.37,1522600
2010-02-24,50.07,50.39,49.85,50.33,35.4,1892800
2010-02-25,49.98,50.42,49.85,50.37,35.42,1911400
2010-02-26,50.52,50.57,49.85,49.99,35.16,1979300
2010-03-01,50.02,50.51,49.99,50.43,35.47,1886600
2010-03-02,50.5,50.54,50.26,50.35,35.41,1422400
2010-03-03,50.38,50.81,50.01,50.55,35.55,1273500
2010-03-04,50.72,50.99,50.17,50.85,35.76,1196700
2010-03-05,50.92,51.54,50.6,51.49,36.21,1462700
2010-03-08,51.71,52.01,51.38,51.82,36.44,1156700
2010-03-09,51.54,51.55,50.22,50.43,35.47,3166000
2010-03-10,50.5,50.63,49.68,49.94,35.12,3305900
2010-03-11,49.71,50.34,49.5,50.24,35.33,3273700
2010-03-12,50.39,50.55,50.05,50.2,35.31,2362300
2010-03-15,49.97,50.89,49.9,50.81,35.73,2724900
2010-03-16,50.94,51.27,50.58,51.26,36.05,1296900
2010-03-17,51.44,52.03,51.29,51.5,36.48,2072100
2010-03-18,51.37,51.61,50.95,51.52,36.5,1485400
2010-03-19,52.7,52.73,51.69,52.7,37.33,4248300
2010-03-22,52.41,52.55,51.98,52.43,37.14,3447700
2010-03-23,52.52,52.81,52.11,52.79,37.4,2598500
2010-03-24,52.82,53.29,52.49,52.88,37.46,2009000
2010-03-25,53.24,53.24,52.65,52.67,37.31,1706000
2010-03-26,52.81,53.32,52.51,52.76,37.38,1961500
2010-03-29,52.77,52.86,52.39,52.69,37.55,1249600
2010-03-30,52.76,52.88,52.58,52.61,37.49,1080400
2010-03-31,52.59,52.6,52.21,52.3,37.27,1563200
2010-04-01,52.47,52.82,52.44,52.82,37.64,1386500
2010-04-05,52.45,53.05,52.08,52.56,37.45,1694300
2010-04-06,52.65,52.92,52.39,52.73,37.58,1585900
2010-04-07,52.57,53.66,52.32,53.56,38.17,2215700
2010-04-08,53.33,53.45,53.0,53.3,37.98,1413900
2010-04-09,53.55,53.71,53.22,53.44,38.08,1669600
2010-04-12,53.32,53.47,52.87,53.05,37.8,1244400
2010-04-13,52.93,53.51,52.89,53.4,38.05,1495200
2010-04-14,53.64,53.91,53.46,53.89,38.4,1598000
2010-04-15,53.6,53.65,53.22,53.35,38.02,1584300
2010-04-16,53.36,53.69,52.5,52.62,37.5,1736000
