Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,38.25,38.5,37.58,38.04,37.04,4439000.0
2017-11-02,38.74,39.04,36.71,38.55,37.53,5965800.0
2017-11-03,38.75,38.85,37.81,38.6,37.58,3506300.0
2017-11-06,38.67,39.32,38.6,39.21,38.18,3893900.0
2017-11-14,,,,,,
2018-02-15,,,,,,
2018-05-14,,,,,,
2018-05-24,41.02,41.76,40.98,41.41,40.32,2513000.0
2018-05-25,41.28,41.76,40.39,41.66,40.56,1920300.0
2018-05-29,41.26,41.9,40.92,41.17,40.08,3015600.0
2018-05-30,41.32,41.9,41.09,41.54,40.44,1700100.0
2018-05-31,41.51,41.67,40.83,41.14,40.06,1958000.0
2018-06-01,41.45,41.58,40.3,40.47,39.4,2212000.0
2018-06-04,40.7,40.95,40.26,40.57,39.5,1822500.0
2018-06-05,40.83,42.38,40.7,41.34,40.25,4019100.0
2018-06-06,41.42,42.6,41.07,42.56,41.44,2597500.0
2018-06-07,42.74,43.25,42.46,42.89,41.76,2031500.0
2018-06-08,42.78,43.42,41.84,43.18,42.04,3296300.0
2018-06-11,43.02,43.28,42.73,43.07,41.93,2822000.0
2018-06-12,43.06,43.91,42.93,43.55,42.4,2614000.0
2018-06-13,43.53,44.43,43.06,44.31,43.14,3118900.0
2018-06-14,44.6,45.08,43.81,44.92,43.74,3474300.0
2018-06-15,44.67,44.86,44.03,44.58,43.4,5347200.0
2018-06-18,44.25,46.04,44.14,45.95,44.74,3374500.0
2018-06-19,45.01,45.31,43.24,45.2,44.01,4574200.0
2018-06-20,45.34,45.43,44.26,44.58,43.4,1817400.0
2018-06-21,45.09,45.8,44.69,44.91,43.73,2833600.0
2018-06-22,45.43,46.2,45.12,45.3,44.11,4035600.0
2018-06-25,44.58,44.75,43.83,43.99,42.83,2567600.0
2018-06-26,44.17,44.49,43.85,44.1,42.94,1605900.0
2018-06-27,44.39,45.14,43.7,43.82,42.66,2074200.0
2018-06-28,45.58,45.98,44.0,44.29,43.12,3690200.0
2018-06-29,44.77,45.38,44.38,44.4,43.23,2382600.0
2018-07-02,44.13,44.22,43.11,43.4,42.26,3049100.0
2018-07-03,43.78,44.36,43.38,44.26,43.09,1363000.0
2018-07-05,44.35,44.65,42.76,43.05,41.91,3234600.0
2018-07-06,42.79,43.1,42.26,42.88,41.75,2979100.0
2018-07-09,43.07,43.77,43.07,43.6,42.45,2168800.0
2018-07-10,43.62,44.25,43.25,43.64,42.49,2721100.0
2018-07-11,43.23,43.57,42.36,42.56,41.44,3550300.0
2018-07-12,43.17,43.25,42.2,43.12,41.98,2833800.0
2018-07-13,42.92,43.19,42.11,42.31,41.19,2997700.0
2018-07-16,42.2,42.62,41.49,42.24,41.13,2755800.0
2018-07-17,42.77,43.15,42.37,42.73,41.6,2178700.0
2018-07-18,43.36,43.61,42.65,42.88,41.75,2011600.0
2018-07-19,42.81,43.04,42.28,42.8,41.67,2225500.0
2018-07-20,42.46,43.33,42.46,43.04,41.91,2204100.0
2018-07-23,43.13,43.49,43.04,43.27,42.13,1705100.0
2018-07-24,43.83,44.98,43.35,43.53,42.38,3060400.0
2018-07-25,43.72,44.41,43.11,44.3,43.13,2713700.0
2018-07-26,44.18,45.49,44.09,45.27,44.08,2165800.0
2018-07-27,45.32,45.52,44.42,44.5,43.33,1881100.0
2018-07-30,44.61,45.17,43.86,43.95,42.79,1901100.0
2018-07-31,44.3,44.74,44.1,44.42,43.25,2248500.0
2018-08-01,44.18,44.65,43.7,44.13,42.97,2426600.0
2018-08-02,47.05,49.76,46.13,49.5,48.19,7277600.0
2018-08-03,49.87,49.95,48.63,49.07,47.78,2990500.0
2018-08-06,49.0,49.73,48.64,49.1,47.81,2722700.0
2018-08-07,49.21,49.9,48.55,48.71,47.43,2113500.0
2018-08-08,49.3,49.39,48.53,48.57,47.29,2239300.0
2018-08-09,48.57,49.8,48.32,49.75,48.44,2565700.0
2018-08-10,49.39,50.54,49.05,49.27,47.97,2631000.0
2018-08-13,48.91,49.55,48.28,48.46,47.18,2147800.0
2018-08-14,48.42,48.75,47.96,48.0,47.03,2196400.0
2018-08-15,47.59,47.59,46.6,47.09,46.13,3622000.0
2018-08-16,47.58,48.11,47.19,47.29,46.33,2506800.0
2018-08-17,47.45,48.2,47.26,47.52,46.56,4033000.0
2018-08-20,47.86,49.34,47.78,48.81,47.82,2487600.0
2018-08-21,48.55,49.31,48.17,48.22,47.24,2689000.0
2018-08-22,48.4,48.84,48.26,48.66,47.67,2029800.0
2018-08-23,48.63,49.57,48.54,49.46,48.46,2448500.0
2018-08-24,49.57,50.04,49.3,49.95,48.94,1367400.0
2018-08-27,50.25,51.05,50.06,50.63,49.6,1935100.0
2018-08-28,50.88,50.89,50.32,50.71,49.68,1927200.0
2018-08-29,50.75,51.8,50.68,51.64,50.59,2154800.0
2018-08-30,51.5,51.88,51.37,51.53,50.48,2294700.0
2018-08-31,51.2,52.04,51.2,51.95,50.9,2340300.0
2018-09-04,51.87,52.07,51.11,51.85,50.8,3020800.0
2018-09-05,51.62,51.64,50.06,51.24,50.2,2609300.0
2018-09-06,51.17,51.73,50.64,50.95,49.92,1620200.0
2018-09-07,50.5,51.24,50.21,50.93,49.9,1578100.0
2018-09-10,51.23,51.9,51.12,51.47,50.43,1788100.0
2018-09-11,51.56,52.71,51.15,52.33,51.27,2356500.0
2018-09-12,52.33,52.9,51.73,52.58,51.51,2149700.0
2018-09-13,52.84,53.17,51.22,51.3,50.26,2505100.0
2018-09-14,50.96,51.7,50.89,51.55,50.5,1859400.0
2018-09-17,51.74,52.71,51.7,51.95,50.9,1911600.0
2018-09-18,52.33,52.87,51.95,52.5,51.43,2207700.0
2018-09-19,52.78,54.03,52.65,53.13,52.05,2167800.0
2018-09-20,53.36,53.81,53.13,53.31,52.23,1907500.0
2018-09-21,53.75,53.97,52.72,52.81,51.74,3890500.0
2018-09-24,52.83,53.52,52.68,52.81,51.74,1401000.0
2018-09-25,53.04,55.14,53.04,54.26,53.16,2711700.0
2018-09-26,54.22,55.42,53.85,54.88,53.77,2867200.0
2018-09-27,54.96,55.47,53.48,53.77,52.68,2807000.0
2018-09-28,54.02,55.0,53.58,54.44,53.33,2762500.0
2018-10-01,54.74,55.59,54.04,54.8,53.69,2513200.0
2018-10-02,55.22,56.41,54.96,55.81,54.68,2918100.0
2018-10-03,55.77,55.82,54.75,55.32,54.2,2974200.0
2018-10-04,55.53,56.51,55.08,56.06,54.92,2466600.0
2018-10-05,56.1,56.18,54.34,55.02,53.9,2227600.0
2018-10-08,55.05,55.69,54.5,55.33,54.21,2187100.0
2018-10-09,55.01,55.92,54.66,54.81,53.7,1828500.0
2018-10-10,55.49,55.79,50.31,50.34,49.32,6335700.0
2018-10-11,50.61,52.52,50.25,51.13,50.09,4174600.0
2018-10-12,52.43,53.63,52.07,52.43,51.37,2872600.0
2018-10-15,51.98,52.4,50.58,50.79,49.76,3843000.0
2018-10-16,51.05,52.35,50.6,52.3,51.24,1821200.0
2018-10-17,52.42,52.73,50.85,51.5,50.45,2331800.0
2018-10-18,51.25,51.94,50.66,50.82,49.79,2700200.0
