Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,26.42,26.7,26.42,26.5,18.49,1261400
2010-01-05,26.43,26.54,26.29,26.51,18.5,1412800
2010-01-06,26.5,26.58,26.39,26.57,18.54,1139100
2010-01-07,26.57,26.7,26.43,26.67,18.61,982900
2010-01-08,26.54,26.71,26.49,26.58,18.55,757800
2010-01-11,26.74,26.9,26.6,26.78,18.68,636400
2010-01-12,26.73,27.0,26.67,26.73,18.65,825700
2010-01-13,26.9,27.1,26.72,26.97,18.82,738500
2010-01-14,27.02,27.13,26.7,27.03,18.86,729400
2010-01-15,27.05,27.05,26.7,26.86,18.74,969000
2010-01-19,26.95,27.37,26.84,27.35,19.08,844700
2010-01-20,27.17,27.28,26.81,27.04,18.87,828700
2010-01-21,27.1,27.28,26.57,26.84,18.73,1335300
2010-01-22,26.81,27.05,26.24,26.29,18.34,1283400
2010-01-25,26.57,26.74,26.35,26.47,18.47,1006400
2010-01-26,26.43,26.77,26.19,26.23,18.3,863500
2010-01-27,26.16,26.51,26.06,26.45,18.45,1097500
2010-01-28,26.51,26.59,26.15,26.23,18.3,840600
2010-01-29,26.29,26.6,26.23,26.39,18.41,1451100
2010-02-01,26.54,26.68,26.2,26.31,18.36,1434400
2010-02-02,26.29,26.64,26.21,26.64,18.59,804300
2010-02-03,26.5,26.71,26.37,26.63,18.58,1253100
2010-02-04,26.36,26.67,26.26,26.26,18.32,2393600
2010-02-05,26.27,26.54,25.91,26.31,18.36,1794900
2010-02-08,26.26,26.41,25.62,25.66,17.9,1433800
2010-02-09,25.8,25.98,25.5,25.78,17.99,1169800
2010-02-10,25.79,26.0,25.6,25.85,18.04,809000
2010-02-11,25.8,26.09,25.65,25.87,18.05,897400
2010-02-12,25.76,26.01,25.64,25.98,18.13,1361600
2010-02-16,26.04,26.33,25.91,26.33,18.37,834900
2010-02-17,26.48,26.55,26.3,26.51,18.5,675000
2010-02-18,26.49,26.69,26.41,26.66,18.6,1124600
2010-02-19,26.5,26.74,26.41,26.71,18.64,1182500
2010-02-22,26.71,26.86,26.5,26.84,18.73,845000
2010-02-23,26.85,26.91,26.54,26.6,18.56,978300
2010-02-24,26.75,26.99,26.57,26.92,18.78,847400
2010-02-25,26.74,26.96,26.64,26.96,18.81,839400
2010-02-26,27.0,27.03,26.71,26.89,18.76,812000
2010-03-01,27.02,27.39,26.82,27.38,19.1,1164400
2010-03-02,27.54,27.78,27.42,27.73,19.35,1383500
2010-03-03,27.83,27.93,27.54,27.68,19.31,959900
2010-03-04,27.64,27.84,27.58,27.82,19.41,942400
2010-03-05,28.0,28.17,27.82,28.06,19.58,1366000
2010-03-08,28.19,28.38,28.09,28.33,19.77,894500
2010-03-09,28.19,28.56,28.17,28.42,19.83,848100
2010-03-10,28.41,28.56,28.15,28.38,19.8,1277300
2010-03-11,28.34,28.54,28.27,28.49,19.88,873400
2010-03-12,28.64,28.83,28.37,28.5,19.88,1326000
2010-03-15,28.68,28.73,28.4,28.69,20.02,982700
