Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,67.7,68.7,67.5,68.48,37.89,2660500
2010-01-05,68.09,68.86,67.59,68.43,37.86,2835000
2010-01-06,68.1,68.4,67.62,67.96,37.6,2522500
2010-01-07,67.89,68.42,67.62,68.05,37.65,2940500
2010-01-08,67.88,70.01,67.54,69.86,38.66,4470500
2010-01-11,70.02,70.61,69.24,69.85,38.65,2242500
2010-01-12,69.76,70.26,68.27,68.43,37.86,2433000
2010-01-13,68.69,68.9,66.9,68.65,37.98,3101000
2010-01-14,68.4,68.85,68.0,68.35,37.82,1585500
2010-01-15,68.35,68.6,67.4,67.45,37.32,2306500
2010-01-19,67.41,68.22,66.93,67.64,37.42,2519000
2010-01-20,66.74,67.2,65.64,66.0,36.52,3049500
2010-01-21,66.13,66.13,61.17,62.2,34.42,9080000
2010-01-22,61.63,63.6,61.63,62.43,34.54,5768500
2010-01-25,63.29,63.61,61.31,61.4,33.97,3680000
2010-01-26,60.26,60.32,57.21,57.24,31.67,6832500
2010-01-27,57.52,59.1,56.72,58.87,32.57,6649000
2010-01-28,59.7,60.0,57.85,58.1,32.15,5256500
2010-01-29,58.72,59.28,57.17,57.36,31.74,3903000
2010-02-01,57.62,58.53,56.71,58.24,32.23,3722000
2010-02-02,58.2,59.14,57.62,58.64,32.45,3470000
2010-02-03,58.46,59.2,58.02,58.42,32.32,3455000
2010-02-04,57.3,57.3,53.15,53.86,29.8,11223000
2010-02-05,54.2,56.53,54.2,56.16,31.07,8544500
2010-02-08,57.0,58.77,56.04,56.06,31.02,7100000
2010-02-09,56.94,57.56,56.04,56.64,31.34,3779500
2010-02-10,56.3,56.32,55.18,55.27,30.58,5282000
2010-02-11,56.09,57.29,55.64,57.01,31.55,5299500
2010-02-12,56.6,58.32,56.24,58.21,32.21,4503000
2010-02-16,59.0,59.7,58.5,59.43,32.88,3283500
2010-02-17,59.65,59.67,58.41,58.62,32.43,2089500
2010-02-18,58.53,58.87,58.1,58.34,32.28,2511000
2010-02-19,58.07,59.7,57.9,58.36,32.29,5206000
2010-02-22,57.88,58.61,57.17,57.41,31.76,4063500
2010-02-23,57.49,57.86,55.21,55.31,30.61,4706500
2010-02-24,55.85,58.26,55.64,58.11,32.15,6629500
2010-02-25,57.41,59.14,57.36,59.09,32.69,5392000
2010-02-26,59.13,60.34,58.77,60.34,33.38,5462000
2010-03-01,60.4,60.6,59.5,60.21,33.31,3462000
2010-03-02,60.35,62.54,60.02,61.89,34.24,4407500
2010-03-03,61.98,62.23,60.47,61.17,33.85,3644000
2010-03-04,61.35,61.84,60.44,61.5,34.03,3022500
2010-03-05,62.0,62.38,61.67,62.03,34.32,2115500
2010-03-08,62.04,62.8,61.12,62.63,35.31,5004500
2010-03-09,62.14,62.2,61.24,61.63,34.74,5859500
2010-03-10,61.51,61.82,61.03,61.58,34.72,3362500
2010-03-11,61.39,62.66,61.18,62.66,35.32,2841000
2010-03-12,63.19,63.59,62.66,62.88,35.45,2536500
2010-03-15,62.58,62.91,61.92,62.83,35.42,2474000
2010-03-16,62.93,63.2,62.4,62.87,35.44,2152000
2010-03-17,63.4,63.51,62.9,63.2,35.63,1783000
2010-03-18,63.32,63.32,62.01,62.18,35.05,2612000
2010-03-19,63.0,63.0,61.92,62.33,35.14,3966500
2010-03-22,62.02,62.66,61.81,62.32,35.13,1765000
2010-03-23,62.4,62.58,61.67,62.12,35.02,4332000
2010-03-24,61.93,64.38,61.83,63.78,35.96,3881500
2010-03-25,64.09,65.0,63.82,63.97,36.06,2848500
2010-03-26,64.2,64.97,62.88,63.14,35.6,3558500
2010-03-29,63.16,63.6,62.8,63.13,35.59,2739500
2010-03-30,63.24,63.48,62.7,63.23,35.65,2149500
2010-03-31,62.79,63.51,62.67,63.22,35.64,2568000
2010-04-01,63.7,64.47,63.48,63.94,36.05,2365000
2010-04-05,64.27,64.78,63.09,63.42,35.76,3424000
2010-04-06,62.89,63.66,62.12,63.38,35.73,2873000
2010-04-07,62.64,63.67,62.63,62.86,35.44,2603500
2010-04-08,62.88,62.89,62.13,62.35,35.15,3399500
2010-04-09,62.37,62.87,62.13,62.42,35.19,2043000
2010-04-12,62.66,62.69,62.06,62.1,35.01,1943500
2010-04-13,62.32,62.32,61.55,62.04,34.98,2660000
2010-04-14,62.18,63.95,61.87,63.89,36.02,4632500
2010-04-15,63.83,64.87,63.56,64.22,36.21,2619500
2010-04-16,63.84,64.21,62.02,62.44,35.2,4238000
2010-04-19,62.6,64.7,62.52,64.21,36.2,3461000
2010-04-20,64.69,65.14,63.8,64.07,36.12,3080500
2010-04-21,64.07,64.74,64.0,64.5,36.36,2774000
2010-04-22,64.3,68.84,64.1,67.59,38.11,8065000
2010-04-23,67.6,68.35,66.51,66.97,37.76,3618000
2010-04-26,66.97,69.5,66.25,68.35,38.53,5133500
2010-04-27,67.91,69.2,66.4,66.65,37.58,3971000
2010-04-28,67.04,67.6,62.8,66.06,37.24,3996000
2010-04-29,66.6,67.63,64.1,66.3,37.38,4449000
2010-04-30,66.8,67.7,65.66,65.85,37.13,3354000
2010-05-03,66.12,67.03,65.64,65.79,37.09,2338000
2010-05-04,64.91,65.46,63.94,64.43,36.32,2971000
2010-05-05,63.68,66.28,63.47,64.93,36.61,3173000
2010-05-06,64.66,65.88,61.48,64.28,36.24,5217500
2010-05-07,64.6,65.0,62.27,63.04,35.54,6207000
2010-05-10,64.9,66.6,64.89,66.6,37.55,4831000
2010-05-11,65.8,66.77,65.49,65.84,37.12,2922500
2010-05-12,66.2,66.4,65.6,65.85,37.12,2702000
2010-05-13,65.83,66.06,64.77,64.77,36.51,2003000
2010-05-14,64.52,64.59,62.51,63.08,35.56,3891000
2010-05-17,63.52,63.65,62.02,63.21,35.63,2622500
2010-05-18,64.0,64.56,61.35,61.65,34.75,3596500
2010-05-19,61.6,62.44,60.32,62.14,35.03,3393500
2010-05-20,61.2,62.48,60.48,60.6,34.16,6452000
2010-05-21,60.01,63.74,60.01,63.7,35.91,6643000
2010-05-24,64.45,66.2,63.01,64.6,36.42,5651000
2010-05-25,62.81,63.6,61.32,62.46,35.21,5791500
2010-05-26,63.16,63.78,61.8,61.93,34.91,4728000
2010-05-27,63.19,63.92,62.65,63.79,35.96,3463500
2010-05-28,63.88,64.42,63.15,63.33,35.7,2852000
2010-06-01,63.09,64.2,62.23,62.33,35.14,2406500
2010-06-02,63.12,64.58,62.82,64.58,36.41,3651000
2010-06-03,64.84,65.04,63.65,64.7,36.47,2584500
2010-06-04,63.51,64.21,61.85,62.13,35.02,3159000
2010-06-07,62.48,62.78,59.89,59.91,33.78,3949500
2010-06-08,60.25,60.48,58.18,59.62,34.27,4295500
2010-06-09,59.89,60.56,58.23,58.29,33.51,3323000
2010-06-10,59.53,60.9,58.8,60.72,34.9,3480500
2010-06-11,60.0,61.16,59.81,60.49,34.77,2883000
2010-06-14,60.66,62.49,60.11,61.44,35.32,4898000
2010-06-15,62.12,62.61,61.55,61.95,35.61,5041000
2010-06-16,61.43,62.76,61.43,62.13,35.71,2502500
2010-06-17,61.96,62.5,61.18,61.9,35.58,3982500
2010-06-18,62.21,62.3,61.1,61.43,35.31,3663000
2010-06-21,62.02,62.68,61.13,61.46,35.33,3063500
2010-06-22,61.61,62.81,60.7,60.81,34.95,3765000
2010-06-23,60.81,61.58,59.88,60.11,34.55,2455000
2010-06-24,59.77,60.18,57.93,58.04,33.36,3161000
2010-06-25,58.97,60.2,58.65,59.46,34.17,5665500
2010-06-28,59.84,60.71,59.36,59.36,34.12,3740500
2010-06-29,58.67,58.9,57.4,57.58,33.1,3775500
2010-06-30,57.43,58.09,56.16,56.31,32.37,3432000
2010-07-01,56.26,56.79,54.55,55.7,32.02,7860500
