Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,46.35,47.11,46.26,46.94,38.19,1148600
2010-01-05,47.25,48.18,46.96,48.05,39.09,1592300
2010-01-06,47.85,48.62,47.78,48.49,39.45,1745900
2010-01-07,48.26,51.05,48.25,50.95,41.45,3558600
2010-01-08,50.35,54.42,50.1,53.67,43.67,4848000
2010-01-11,53.61,55.41,53.5,55.0,44.75,3159800
2010-01-12,53.66,53.95,52.84,53.35,43.41,3841800
2010-01-13,52.18,53.25,51.36,52.78,42.94,2413300
2010-01-14,51.79,53.21,51.27,52.89,43.03,1802900
2010-01-15,51.98,52.48,51.38,51.73,42.09,2039900
2010-01-19,50.84,52.94,50.59,52.94,43.07,1689400
2010-01-20,52.41,52.41,50.62,51.47,41.88,2002000
2010-01-21,51.31,51.64,48.98,49.47,40.25,2264300
2010-01-22,49.24,49.24,47.74,47.77,38.87,2049400
2010-01-25,48.7,49.19,47.28,47.63,38.75,1626500
2010-01-26,47.43,48.4,46.82,47.29,38.48,2935300
2010-01-27,47.06,47.21,44.84,46.41,37.76,3368300
2010-01-28,46.85,46.94,45.13,45.55,37.06,1538100
2010-01-29,46.08,46.77,44.98,45.16,36.74,2110900
2010-02-01,45.73,46.98,45.55,46.94,38.19,2299600
2010-02-02,50.15,52.26,49.12,51.09,41.57,8399900
2010-02-03,51.11,53.05,51.02,51.84,42.18,3425700
2010-02-04,51.01,51.21,49.82,50.1,40.76,2765300
2010-02-05,49.93,50.57,48.89,50.48,41.07,3215000
2010-02-08,50.26,51.52,49.93,50.11,40.77,2097900
2010-02-09,51.17,52.89,51.0,52.24,42.5,2641200
2010-02-10,52.01,52.48,51.46,51.98,42.29,2198500
2010-02-11,51.89,55.84,51.89,54.86,44.64,4053400
2010-02-12,53.75,56.44,53.08,54.95,44.71,4198100
2010-02-16,56.14,57.45,55.95,57.11,46.47,3499800
2010-02-17,57.5,57.5,55.96,56.46,46.08,2400800
2010-02-18,56.12,57.6,55.84,57.49,46.92,1744900
2010-02-19,57.11,58.63,56.89,57.93,47.28,1946700
2010-02-22,58.47,58.47,56.96,57.18,46.67,1993600
2010-02-23,57.03,57.64,55.27,55.64,45.41,2451500
2010-02-24,56.18,56.79,55.52,55.95,45.66,2428600
2010-02-25,54.48,56.21,53.86,56.03,45.73,2192600
2010-02-26,55.99,57.01,55.17,56.78,46.34,1675000
2010-03-01,57.2,59.03,57.2,58.96,48.12,2341300
2010-03-02,59.49,59.52,58.73,59.24,48.35,3112900
2010-03-03,59.58,60.47,58.88,59.18,48.3,2724700
2010-03-04,59.35,60.36,59.1,59.73,48.75,2610800
2010-03-05,60.03,60.99,59.75,60.7,49.54,2550300
2010-03-08,60.71,60.93,59.72,60.02,48.98,2069200
2010-03-09,59.75,61.47,59.5,61.13,49.89,2504200
2010-03-10,61.37,61.37,59.54,60.23,49.16,4113000
2010-03-11,59.88,59.93,58.56,59.44,48.51,2389100
2010-03-12,60.24,60.5,59.65,60.37,49.27,2220000
2010-03-15,59.89,60.24,58.94,60.22,49.15,2589700
2010-03-16,60.41,61.02,58.99,60.7,49.54,3562000
2010-03-17,61.65,61.65,59.96,60.17,49.11,3462400
2010-03-18,59.89,60.45,58.86,59.33,48.42,3887000
2010-03-19,58.16,60.18,58.06,58.16,47.47,3043300
2010-03-22,57.9,60.27,57.65,59.95,48.93,1820600
2010-03-23,60.09,62.69,60.09,62.35,50.89,3014900
2010-03-24,62.32,63.2,61.76,61.81,50.44,3131500
2010-03-25,62.54,63.44,61.52,61.56,50.24,2615600
2010-03-26,61.83,63.4,61.63,62.36,50.89,1880200
2010-03-29,62.9,63.18,62.43,63.08,51.48,2177000
2010-03-30,63.22,63.23,61.58,62.15,50.72,2284200
2010-03-31,61.93,62.49,61.61,61.95,50.56,2397000
2010-04-01,62.47,63.63,61.96,62.34,50.88,2262900
2010-04-05,62.82,65.98,62.82,65.63,53.56,3273700
2010-04-06,65.37,65.46,64.9,65.12,53.15,2415400
2010-04-07,64.74,65.35,64.21,64.71,52.81,2630300
2010-04-08,64.36,65.59,63.75,65.03,53.07,3117600
2010-04-09,66.73,66.73,65.61,66.07,53.92,3111300
2010-04-12,66.45,66.45,64.92,65.13,53.15,2838400
2010-04-13,65.16,66.12,65.03,66.06,53.91,1656600
2010-04-14,66.16,67.79,66.1,67.72,55.27,2047600
2010-04-15,67.54,67.98,66.44,67.01,54.69,2128500
2010-04-16,66.7,67.17,65.0,65.91,53.79,2088200
2010-04-19,65.77,66.63,64.56,65.93,53.81,1873700
2010-04-20,66.91,69.35,66.81,67.04,54.71,3173300
2010-04-21,67.44,67.92,65.95,66.74,54.47,2356100
2010-04-22,65.98,68.32,64.78,68.06,55.55,1881100
2010-04-23,68.26,69.84,67.57,69.76,56.93,2334100
2010-04-26,70.24,71.5,70.01,70.31,57.38,2942100
2010-04-27,74.45,76.35,71.99,72.4,59.09,9373000
2010-04-28,73.2,74.95,73.07,73.81,60.24,4623600
2010-04-29,74.71,76.95,74.22,75.79,61.85,4009900
2010-04-30,75.75,76.56,72.05,72.23,58.95,3565500
2010-05-03,72.67,74.25,72.6,73.25,59.78,2891000
2010-05-04,71.96,72.01,69.33,70.65,57.66,5014200
2010-05-05,68.82,71.8,67.3,70.41,57.46,4479100
2010-05-06,69.95,72.0,58.91,67.24,54.88,8957800
2010-05-07,64.85,68.49,64.57,65.31,53.3,6749900
2010-05-10,69.72,72.38,69.6,72.13,58.87,4854300
2010-05-11,70.77,72.95,70.6,71.76,58.57,2946800
2010-05-12,72.74,75.45,72.52,75.09,61.28,2981300
2010-05-13,75.18,76.23,73.65,74.04,60.43,2855100
2010-05-14,73.29,73.31,70.68,71.55,58.39,4568600
2010-05-17,71.75,72.44,68.71,71.27,58.17,4033200
2010-05-18,73.04,73.45,69.51,69.95,57.09,2625300
2010-05-19,68.04,69.77,66.51,68.47,56.02,3783300
2010-05-20,66.03,66.08,62.0,63.7,52.12,7800300
2010-05-21,62.0,66.2,60.36,65.87,53.89,4074500
2010-05-24,66.0,66.81,64.07,64.23,52.55,2162600
2010-05-25,61.45,65.11,60.5,64.94,53.13,4194500
2010-05-26,66.42,68.62,65.54,65.98,53.98,3562400
2010-05-27,68.1,69.62,67.73,69.59,56.94,2377400
2010-05-28,69.78,70.2,67.02,67.98,55.62,3170300
2010-06-01,67.08,69.1,66.05,66.09,54.07,1911800
2010-06-02,67.17,69.89,66.16,69.78,57.09,2779600
2010-06-03,71.22,72.0,69.14,70.54,57.71,3427800
2010-06-04,69.0,70.0,65.5,66.35,54.29,4142600
2010-06-07,66.52,66.52,62.86,62.94,51.5,3060900
2010-06-08,63.5,65.5,62.8,65.19,53.34,2923400
2010-06-09,65.95,67.51,65.4,65.89,53.91,3417100
2010-06-10,67.57,70.84,67.57,70.48,57.66,3982600
2010-06-11,69.04,72.43,68.92,72.22,59.09,2585100
2010-06-14,73.69,74.34,72.08,72.41,59.24,2619200
2010-06-15,73.0,75.46,72.98,75.37,61.67,2652100
2010-06-16,74.62,75.04,74.04,74.51,60.96,3103900
2010-06-17,75.15,75.2,72.96,73.81,60.39,2259000
2010-06-18,74.06,74.95,73.35,74.3,60.79,2796500
2010-06-21,76.0,77.1,74.33,74.97,61.34,3687300
2010-06-22,75.01,75.57,72.01,72.21,59.08,3050500
2010-06-23,72.3,73.85,70.61,73.15,59.85,2393800
2010-06-24,72.09,72.85,70.75,71.36,58.38,2625000
2010-06-25,71.85,72.69,70.54,72.59,59.39,5343100
2010-06-28,72.57,72.76,70.4,70.46,57.65,3046100
2010-06-29,68.98,69.02,65.5,66.24,54.2,4498100
2010-06-30,66.19,67.36,65.02,65.13,53.29,3268500
2010-07-01,64.87,66.64,63.24,64.82,53.03,5136200
2010-07-02,65.01,65.67,63.71,64.24,52.56,3766900
2010-07-06,65.86,66.3,63.04,63.57,52.01,3913900
2010-07-07,63.69,67.59,63.58,67.41,55.15,4362500
2010-07-08,68.28,69.2,67.19,68.94,56.4,3937700
2010-07-09,69.0,71.64,68.37,71.53,58.52,3400900
2010-07-12,71.26,71.7,69.87,70.66,57.81,3155700
2010-07-13,72.35,74.24,71.96,73.73,60.32,4266500
2010-07-14,73.48,75.38,72.9,74.64,61.07,4053000
2010-07-15,74.94,74.94,72.05,72.7,59.48,4563000
2010-07-16,71.78,72.54,69.36,69.5,56.86,3625200
2010-07-19,70.43,71.01,68.52,70.66,57.81,1924400
2010-07-20,68.99,72.74,68.82,72.54,59.35,2450500
2010-07-21,73.5,75.24,72.77,73.15,59.85,3241200
2010-07-22,75.21,76.36,74.6,75.9,62.1,2723800
2010-07-23,75.5,77.98,74.6,76.97,62.97,3089100
2010-07-26,76.9,78.43,76.7,77.85,63.69,2917300
2010-07-27,82.18,82.34,78.62,79.43,64.99,6302100
2010-07-28,79.25,80.39,79.01,79.76,65.26,3043500
2010-07-29,80.93,81.09,78.27,79.14,64.75,2400000
2010-07-30,77.7,80.14,77.01,79.61,65.13,2580900
2010-08-02,81.48,82.13,80.78,81.41,66.61,2388000
2010-08-03,81.2,81.87,79.47,80.04,65.49,3143900
2010-08-04,80.52,81.64,79.47,81.49,66.67,2886500
2010-08-05,81.05,81.98,80.15,81.64,66.8,1940900
2010-08-06,80.94,82.21,79.65,81.13,66.38,2542100
2010-08-09,82.04,82.46,80.76,81.12,66.37,1879800
2010-08-10,80.0,81.88,79.56,81.48,66.66,3047300
2010-08-11,79.26,80.13,77.17,77.81,63.66,4582600
2010-08-12,75.51,78.52,75.0,77.97,63.79,4736600
2010-08-13,77.7,78.42,77.02,77.75,63.61,2055400
2010-08-16,77.06,78.42,76.0,77.77,63.63,1508900
2010-08-17,78.86,81.24,78.69,80.57,65.92,2447000
2010-08-18,80.6,82.17,79.37,81.83,66.95,2484100
2010-08-19,81.24,82.69,80.39,81.24,66.68,3441900
2010-08-20,82.07,82.15,78.65,79.51,65.26,2834100
2010-08-23,80.19,80.19,76.04,76.5,62.79,3334200
2010-08-24,75.0,76.24,73.76,74.77,61.37,3401100
2010-08-25,73.8,74.3,71.51,73.48,60.31,4159100
2010-08-26,74.23,75.62,72.48,72.57,59.57,3194400
2010-08-27,73.71,76.5,71.97,76.19,62.54,3183400
2010-08-30,75.32,76.0,73.66,73.82,60.59,1961500
2010-08-31,73.24,75.23,72.51,74.41,61.08,2664900
2010-09-01,77.07,81.21,77.0,79.88,65.57,5080100
2010-09-02,79.74,81.84,79.09,81.8,67.14,3320500
2010-09-03,82.91,84.69,82.16,83.16,68.26,3054500
2010-09-07,82.43,82.75,80.75,80.88,66.39,2242200
2010-09-08,81.0,82.42,80.34,81.96,67.27,1915200
2010-09-09,83.33,83.49,80.85,81.44,66.85,1508400
2010-09-10,81.88,82.82,81.24,81.92,67.24,1734600
2010-09-13,84.28,84.93,83.34,84.81,69.61,2502600
2010-09-14,84.18,85.58,83.65,85.02,69.78,1744000
2010-09-15,84.15,84.49,82.3,83.32,68.39,3102000
2010-09-16,83.03,84.5,82.77,84.08,69.01,2203300
2010-09-17,84.74,85.57,83.02,85.14,69.88,2746500
2010-09-20,85.86,88.43,85.32,87.95,72.19,2676500
2010-09-21,88.6,90.47,87.85,89.13,73.16,3432300
2010-09-22,89.11,90.0,87.67,88.39,72.55,2249000
2010-09-23,87.16,89.62,86.75,88.31,72.49,3239800
2010-09-24,90.0,92.5,90.0,90.86,74.58,3285600
2010-09-27,90.86,90.86,89.34,89.6,73.54,1831200
2010-09-28,90.06,91.17,88.24,90.96,74.66,1971400
2010-09-29,90.77,91.9,90.35,91.3,74.94,1917100
2010-09-30,92.4,92.86,89.68,90.58,74.35,2607700
2010-10-01,91.37,91.7,89.66,91.31,74.95,2543500
2010-10-04,91.25,91.68,88.85,89.69,73.62,3094400
2010-10-05,91.35,92.97,90.63,92.24,75.71,2479800
2010-10-06,92.19,93.6,91.93,93.22,76.52,1873300
2010-10-07,93.7,93.8,90.83,92.28,75.74,2555200
2010-10-08,92.59,93.66,91.52,92.91,76.26,1812800
2010-10-11,93.19,94.19,92.5,93.06,76.38,1070000
2010-10-12,92.88,92.88,90.68,92.26,75.73,1774500
2010-10-13,93.0,93.75,92.55,92.82,76.19,1697500
2010-10-14,93.01,94.77,93.0,93.76,76.96,1900600
2010-10-15,94.37,94.87,92.41,93.64,76.86,1855300
2010-10-18,93.64,93.64,90.8,91.35,74.98,2866500
2010-10-19,89.74,91.58,88.8,90.17,74.01,2494900
2010-10-20,90.58,93.14,90.36,92.05,75.56,1583100
2010-10-21,92.58,93.81,91.83,93.75,76.95,2588700
2010-10-22,94.09,94.09,92.5,93.63,76.85,1328200
2010-10-25,94.77,96.13,94.26,94.49,77.56,2034800
2010-10-26,87.41,91.56,87.0,89.0,73.05,10456900
2010-10-27,89.27,90.25,88.22,89.26,73.27,4038400
2010-10-28,90.23,90.23,88.24,89.01,73.06,3118400
2010-10-29,89.26,89.86,87.94,88.1,72.31,2839600
2010-11-01,87.9,89.5,87.51,88.2,72.4,2821900
2010-11-02,88.8,91.76,88.49,91.37,75.0,3400100
2010-11-03,91.4,91.68,89.87,91.47,75.08,1885200
2010-11-04,93.22,95.72,92.78,95.64,78.5,2937700
2010-11-05,95.64,96.63,95.26,96.39,79.12,1713800
2010-11-08,95.85,96.1,94.91,95.4,78.3,1828000
2010-11-09,95.2,95.51,92.85,93.3,76.58,2052700
2010-11-10,93.78,94.97,92.48,94.53,77.59,1619100
2010-11-11,93.95,95.02,93.32,95.01,77.98,1556800
2010-11-12,93.81,94.83,92.69,94.06,77.2,2082300
2010-11-15,94.63,94.71,93.29,93.98,77.14,2281400
2010-11-16,92.95,92.99,90.37,91.32,74.96,2696000
2010-11-17,91.39,92.71,90.42,92.02,75.53,1823500
2010-11-18,93.62,95.34,93.4,93.81,77.22,1671500
2010-11-19,93.34,94.44,92.56,94.31,77.63,1883100
2010-11-22,94.24,95.75,93.39,95.59,78.69,1516700
2010-11-23,93.63,95.19,93.56,94.91,78.13,1884400
2010-11-24,95.89,98.73,95.72,98.65,81.2,2012300
2010-11-26,97.57,98.64,97.4,98.2,80.83,618900
