Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,161.97,163.29,161.29,162.69,162.25,2129400
2017-11-02,163.73,165.55,162.61,164.95,164.51,3255700
2017-11-03,164.16,167.07,163.78,166.44,165.99,3112500
2017-11-06,165.8,166.59,164.98,165.05,164.61,1910500
2018-05-24,198.29,199.09,196.82,198.89,198.35,1176300
2018-05-25,198.89,200.22,197.82,198.36,197.83,1331000
2018-05-29,198.1,198.84,196.0,196.74,196.21,2298100
2018-05-30,198.16,200.53,197.75,199.64,199.1,2390900
2018-05-31,200.22,200.7,197.7,198.24,197.71,4822800
2018-06-01,195.45,198.99,195.0,197.13,196.6,4056400
2018-06-04,197.32,199.04,197.25,198.62,198.09,1870600
2018-06-05,199.22,199.35,196.99,197.84,197.31,1868500
2018-06-06,198.01,198.4,196.7,197.66,197.13,2066900
2018-06-07,200.5,202.88,199.41,202.57,202.02,2735000
2018-06-08,201.51,204.01,201.0,203.76,203.21,2052500
2018-06-11,203.76,204.89,203.42,204.5,203.95,1684800
2018-06-12,204.25,205.08,203.23,204.88,204.33,1384800
2018-06-13,204.92,205.83,203.21,204.11,203.56,1665800
2018-06-14,204.87,205.73,204.29,205.12,204.57,1685000
2018-06-15,205.4,207.67,204.57,207.32,206.76,3879600
2018-06-18,206.0,208.11,205.15,206.21,205.65,1975000
2018-06-19,204.9,207.81,204.62,207.53,206.97,1940600
2018-06-20,207.76,208.59,206.96,207.98,207.42,1527700
2018-06-21,208.17,211.11,208.0,209.96,209.39,1825800
2018-06-22,210.37,211.77,210.02,211.1,210.53,1738600
2018-06-25,210.01,212.08,209.97,211.75,211.18,2398600
2018-06-26,212.38,212.46,209.97,210.09,209.52,2276700
2018-06-27,210.5,212.42,209.61,210.03,209.46,2211700
2018-06-28,210.0,211.19,208.05,208.71,208.15,1826700
2018-06-29,209.66,210.53,208.32,208.98,208.42,2164600
2018-07-02,208.42,208.82,206.05,207.99,207.43,1876100
2018-07-03,208.53,209.91,206.9,207.12,206.56,842100
2018-07-05,208.2,209.29,207.55,209.14,208.58,1436700
2018-07-06,207.14,210.39,206.66,209.62,209.06,1523200
2018-07-09,210.52,211.79,210.0,210.94,210.37,1738300
2018-07-10,210.99,212.7,210.83,211.7,211.13,1687800
2018-07-11,211.21,211.78,209.97,210.95,210.38,1472800
2018-07-12,212.54,214.17,212.22,214.02,213.44,2222000
2018-07-13,214.0,216.64,213.71,216.54,215.96,1951200
2018-07-16,216.64,217.13,213.9,214.85,214.27,2078200
2018-07-17,214.06,216.16,214.0,215.0,214.42,2064800
2018-07-18,215.34,215.88,213.6,214.97,214.39,1869500
2018-07-19,214.46,218.2,214.03,217.54,216.95,2790800
2018-07-20,216.98,218.94,216.24,218.69,218.1,1793900
2018-07-23,219.88,220.46,218.2,218.84,218.25,1394300
2018-07-24,219.41,220.68,217.59,218.58,217.99,1453900
2018-07-25,217.61,220.82,217.37,220.7,220.11,1560200
2018-07-26,222.0,224.62,220.82,221.72,221.12,1820000
2018-07-27,222.31,222.5,218.76,219.65,219.06,1596800
2018-07-30,219.04,220.12,218.61,219.11,218.52,1292700
2018-07-31,219.69,220.07,218.33,218.71,218.12,1888500
