Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,15.48,15.56,15.17,15.31,14.64,5365100.0
2017-11-02,15.21,15.21,14.43,14.46,13.82,10957000.0
2017-11-03,14.45,14.64,14.24,14.36,13.73,8917600.0
2017-11-06,14.38,14.86,14.38,14.52,13.88,7161200.0
2017-11-29,,,,,,
2018-02-27,,,,,,
2018-05-24,13.88,13.92,13.58,13.65,13.05,5195800.0
2018-05-25,13.65,13.74,13.6,13.67,13.07,4584100.0
2018-05-29,13.58,13.66,13.37,13.45,12.86,6228400.0
2018-05-30,13.42,13.63,13.29,13.59,13.11,4657800.0
2018-05-31,13.59,13.61,13.14,13.25,12.79,4860800.0
2018-06-01,13.26,13.43,13.0,13.11,12.65,11664600.0
2018-06-04,13.13,13.53,12.92,13.41,12.94,11977000.0
2018-06-05,13.44,13.51,13.11,13.2,12.74,6235400.0
2018-06-06,13.19,13.34,13.1,13.23,12.77,7320500.0
2018-06-07,13.23,13.54,13.14,13.41,12.94,5888500.0
2018-06-08,13.41,13.93,13.41,13.89,13.4,8029800.0
2018-06-11,13.89,14.11,13.86,14.1,13.61,4657400.0
2018-06-12,14.19,14.32,14.05,14.23,13.73,8269900.0
2018-06-13,14.29,14.37,13.93,14.0,13.51,8603900.0
2018-06-14,14.02,14.3,13.93,14.26,13.76,5634300.0
2018-06-15,14.19,14.51,14.19,14.5,13.99,8897000.0
2018-06-18,14.39,14.43,14.03,14.17,13.67,4653300.0
2018-06-19,14.05,14.49,13.97,14.46,13.95,8275700.0
2018-06-20,14.54,14.55,14.27,14.45,13.94,4057200.0
2018-06-21,14.39,14.55,14.28,14.47,13.96,6138900.0
2018-06-22,14.54,14.78,14.38,14.77,14.25,6983600.0
2018-06-25,14.65,14.87,14.46,14.5,13.99,4883400.0
2018-06-26,14.51,14.56,14.17,14.45,13.94,3849800.0
2018-06-27,14.52,14.79,14.11,14.16,13.66,4951200.0
2018-06-28,14.13,14.2,13.79,13.97,13.48,3696500.0
2018-06-29,13.98,14.21,13.81,14.1,13.61,3326500.0
2018-07-02,14.05,14.05,13.53,13.87,13.38,4601300.0
2018-07-03,13.91,14.02,13.76,13.94,13.45,2602600.0
2018-07-05,14.0,14.19,13.96,14.17,13.67,2947800.0
2018-07-06,14.1,14.22,14.02,14.16,13.66,2743100.0
2018-07-09,14.19,14.3,13.98,14.11,13.62,5587300.0
2018-07-10,14.14,14.45,14.09,14.44,13.93,4277100.0
2018-07-11,14.42,14.46,13.97,14.05,13.56,3900900.0
2018-07-12,14.07,14.26,14.03,14.04,13.55,2793800.0
2018-07-13,14.07,14.36,14.0,14.24,13.74,2617300.0
2018-07-16,14.19,14.28,14.02,14.23,13.73,2143400.0
2018-07-17,14.23,14.45,14.21,14.23,13.73,1911900.0
2018-07-18,14.15,14.17,13.51,13.83,13.35,5080900.0
2018-07-19,13.81,14.0,13.69,13.78,13.3,3328800.0
2018-07-20,13.8,14.07,13.65,13.95,13.46,4123400.0
2018-07-23,13.88,14.04,13.87,13.96,13.47,3177400.0
2018-07-24,13.9,13.94,13.42,13.61,13.13,8658600.0
2018-07-25,13.61,13.69,13.25,13.48,13.01,3669700.0
2018-07-26,13.59,13.78,13.43,13.53,13.06,4436900.0
2018-07-27,13.36,13.6,13.31,13.41,12.94,3722800.0
2018-07-30,13.4,13.51,13.29,13.5,13.03,5064900.0
2018-07-31,13.5,13.6,13.41,13.41,12.94,5899800.0
2018-08-01,13.31,13.45,13.26,13.36,12.89,5142000.0
2018-08-02,13.34,13.56,13.23,13.5,13.03,3697900.0
2018-08-03,13.6,14.12,13.55,13.94,13.45,4843100.0
2018-08-06,13.9,13.93,13.55,13.56,13.08,2700600.0
2018-08-07,13.6,13.69,13.35,13.46,12.99,7070000.0
2018-08-08,13.5,13.55,13.28,13.38,12.91,4130100.0
2018-08-09,13.3,13.3,12.02,12.41,11.97,13396800.0
2018-08-10,12.41,12.44,12.04,12.05,11.63,4422900.0
2018-08-13,12.03,12.12,11.32,11.73,11.32,12332900.0
2018-08-14,11.77,11.91,11.62,11.77,11.36,8956100.0
2018-08-15,11.89,11.98,11.2,11.43,11.03,10372200.0
2018-08-16,10.82,11.5,10.73,11.48,11.08,12392000.0
2018-08-17,11.51,12.23,11.51,12.22,11.79,9764300.0
2018-08-20,12.2,12.59,12.12,12.4,11.97,10068000.0
2018-08-21,11.73,12.19,10.97,11.52,11.12,32248500.0
2018-08-22,11.55,11.98,11.39,11.72,11.31,9626400.0
2018-08-23,11.65,11.74,11.4,11.64,11.23,15346900.0
2018-08-24,11.67,12.22,11.64,11.98,11.56,10342400.0
2018-08-27,12.02,12.33,11.98,12.14,11.71,7943600.0
2018-08-28,12.98,13.37,12.71,12.71,12.26,20591700.0
2018-08-29,12.89,13.06,12.69,13.0,12.54,16293100.0
2018-08-30,12.83,12.93,12.7,12.74,12.41,6512500.0
2018-08-31,12.66,12.66,12.01,12.36,12.04,8436800.0
2018-09-04,12.24,12.3,12.04,12.04,11.73,5266200.0
2018-09-05,12.05,12.32,11.94,12.19,11.88,7443800.0
2018-09-06,12.23,12.48,12.1,12.3,11.98,6343200.0
2018-09-07,12.32,12.44,12.13,12.39,12.07,6788500.0
2018-09-10,12.44,12.54,12.1,12.1,11.79,3648400.0
2018-09-11,12.04,12.11,11.83,12.0,11.69,4798400.0
2018-09-12,11.99,12.36,11.97,12.35,12.03,4141300.0
2018-09-13,12.4,12.43,12.27,12.28,11.96,3788600.0
2018-09-14,12.3,12.32,11.87,11.91,11.6,5215500.0
