Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,26.23,26.53,26.12,26.39,22.86,1051100
2010-01-05,26.31,26.37,26.14,26.35,22.82,1455600
2010-01-06,26.19,26.47,26.19,26.42,22.88,1570100
2010-01-07,26.0,26.65,26.0,26.65,23.08,1035100
2010-01-08,26.56,26.92,26.47,26.91,23.31,2510800
2010-01-11,26.87,26.93,26.68,26.8,23.21,709900
2010-01-12,26.74,26.84,26.36,26.44,22.9,1014000
2010-01-13,26.53,26.91,26.48,26.85,23.26,849600
2010-01-14,26.71,26.87,26.61,26.68,23.11,865500
2010-01-15,26.83,26.87,26.07,26.24,22.73,1367400
2010-01-19,26.11,26.66,26.11,26.66,23.09,683900
2010-01-20,26.46,26.47,26.0,26.25,22.74,1030800
2010-01-21,26.2,26.34,25.75,25.77,22.32,1878000
2010-01-22,25.82,25.99,25.16,25.25,21.87,2089700
2010-01-25,25.37,25.37,25.04,25.21,21.84,1322500
2010-01-26,25.11,25.23,24.96,25.02,21.67,1465300
2010-01-27,24.85,25.23,24.81,25.22,21.85,1735600
2010-01-28,25.29,25.38,24.85,24.96,21.62,1346700
2010-01-29,25.01,25.37,25.01,25.11,21.75,1883000
2010-02-01,25.2,25.33,25.07,25.22,21.85,1021800
2010-02-02,25.18,25.49,25.04,25.44,22.04,1047200
2010-02-03,25.23,25.37,25.12,25.31,21.92,631800
2010-02-04,25.19,25.29,24.79,24.81,21.49,939000
2010-02-05,24.88,25.04,24.51,24.83,21.51,1456900
2010-02-08,24.41,24.65,24.12,24.49,21.63,1472700
2010-02-09,24.8,24.93,24.42,24.68,21.8,1174000
2010-02-10,24.73,24.75,24.4,24.44,21.59,879700
2010-02-11,24.28,24.7,24.07,24.62,21.75,782100
2010-02-12,24.43,24.65,24.23,24.6,21.73,1056800
2010-02-16,23.25,24.28,23.1,23.75,20.98,2659600
2010-02-17,23.75,24.02,23.73,23.85,21.07,1631700
2010-02-18,23.96,24.16,23.83,24.12,21.3,1381600
2010-02-19,24.09,24.53,24.08,24.49,21.63,1605000
2010-02-22,24.61,24.69,24.44,24.53,21.67,865300
2010-02-23,24.55,24.68,24.11,24.2,21.37,1004800
2010-02-24,24.37,24.67,24.19,24.65,21.77,1220800
2010-02-25,24.37,24.92,24.26,24.83,21.93,1305700
2010-02-26,24.89,25.03,24.68,24.79,21.9,3196700
2010-03-01,24.85,25.09,24.72,25.09,22.16,1347900
2010-03-02,25.14,25.21,24.81,24.86,21.96,1193500
2010-03-03,24.87,25.18,24.86,25.07,22.14,1174600
2010-03-04,25.07,25.36,24.98,25.28,22.33,1184500
2010-03-05,25.32,25.61,25.28,25.53,22.55,1109800
2010-03-08,25.56,26.04,25.51,26.01,22.97,1200100
2010-03-09,25.9,26.21,25.74,26.15,23.1,1113300
2010-03-10,26.12,26.54,26.12,26.42,23.34,1338700
2010-03-11,26.39,26.68,26.21,26.66,23.55,897800
2010-03-12,26.65,26.67,26.49,26.67,23.56,586500
2010-03-15,26.67,26.8,26.54,26.78,23.65,535500
2010-03-16,26.88,27.16,26.81,27.11,23.95,720200
2010-03-17,27.14,27.56,27.12,27.51,24.3,1096300
2010-03-18,27.35,27.9,27.35,27.79,24.55,2000700
2010-03-19,27.93,28.23,27.19,28.13,24.85,3426400
2010-03-22,27.97,28.54,27.97,28.45,25.13,1488800
2010-03-23,28.37,28.62,28.18,28.58,25.24,1236600
2010-03-24,28.6,28.67,28.25,28.32,25.01,1030600
2010-03-25,28.55,28.58,28.18,28.22,24.93,1211600
2010-03-26,28.37,28.44,27.86,27.92,24.66,2033000
2010-03-29,27.96,28.41,27.93,28.35,25.04,1145800
2010-03-30,28.31,28.5,28.14,28.38,25.07,760800
2010-03-31,28.33,28.4,28.02,28.1,24.82,1167400
2010-04-01,28.24,28.39,27.88,28.02,24.75,1031600
2010-04-05,28.03,28.37,27.92,28.14,24.86,976200
2010-04-06,28.0,28.27,27.96,28.14,24.86,763200
2010-04-07,27.7,28.06,27.7,27.82,24.57,851100
2010-04-08,27.82,27.83,27.45,27.74,24.5,888000
2010-04-09,27.75,27.78,27.58,27.74,24.5,746000
2010-04-12,27.77,27.95,27.44,27.61,24.39,859600
2010-04-13,27.61,27.86,27.52,27.84,24.59,767200
2010-04-14,27.77,27.97,27.55,27.97,24.7,1248300
2010-04-15,28.01,28.21,27.94,28.15,24.86,1508800
2010-04-16,28.09,28.26,27.79,27.91,24.65,1249600
2010-04-19,27.83,28.03,27.68,27.99,24.72,737800
2010-04-20,28.22,28.3,28.03,28.23,24.93,639200
2010-04-21,28.17,28.35,28.1,28.33,25.02,620300
2010-04-22,28.17,28.7,27.96,28.68,25.33,726300
2010-04-23,28.73,28.79,28.37,28.73,25.38,743300
2010-04-26,28.75,28.75,28.37,28.39,25.08,770700
2010-04-27,28.39,28.45,27.46,27.49,24.28,1706000
2010-04-28,27.69,27.75,27.33,27.5,24.29,1262800
