Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,33.48,34.14,33.37,34.11,33.89,2110600
2010-01-05,34.07,34.18,33.81,34.14,33.91,2699500
2010-01-06,34.03,34.5,33.89,34.0,33.78,3825700
2010-01-07,33.98,34.27,33.68,33.97,33.75,3150100
2010-01-08,34.15,34.99,33.88,34.89,34.66,4004100
2010-01-11,34.92,34.97,33.82,33.84,33.61,3842200
2010-01-12,33.66,33.73,32.99,33.44,33.22,3498100
2010-01-13,33.96,34.19,33.54,33.84,33.61,4071600
2010-01-14,33.76,34.38,33.63,34.3,34.07,2271100
2010-01-15,34.33,34.65,33.8,34.42,34.19,3740600
2010-01-19,34.29,35.04,34.19,34.97,34.74,2524700
2010-01-20,34.42,34.46,33.32,34.17,33.94,2928600
2010-01-21,34.17,35.05,33.76,34.09,33.87,3285900
2010-01-22,33.95,34.07,32.97,32.97,32.75,4394700
2010-01-25,33.21,33.21,32.61,32.77,32.55,3296400
2010-01-26,33.87,34.23,33.19,33.51,33.29,7996100
2010-01-27,33.44,33.64,32.88,33.43,33.21,5347400
2010-01-28,32.23,35.02,32.23,34.01,33.79,8863800
2010-01-29,33.71,33.75,32.66,33.09,32.87,7874800
2010-02-01,33.23,33.72,33.16,33.69,33.47,5646000
2010-02-02,33.45,33.84,33.17,33.72,33.5,3293000
2010-02-03,33.33,33.98,33.23,33.81,33.59,4769000
2010-02-04,33.46,33.55,32.94,32.95,32.73,4382200
2010-02-05,32.92,33.28,32.39,33.28,33.06,5166400
2010-02-08,33.33,33.92,32.92,33.53,33.31,4136600
2010-02-09,33.79,34.57,33.59,34.39,34.17,5564500
2010-02-10,34.34,34.59,34.01,34.16,33.94,5705600
2010-02-11,34.09,34.37,33.81,34.3,34.07,4415000
2010-02-12,33.77,34.52,33.72,34.37,34.14,3573600
2010-02-16,34.53,34.73,34.28,34.73,34.51,2370900
2010-02-17,34.42,35.01,34.38,34.95,34.72,4459300
2010-02-18,34.93,36.06,34.89,35.96,35.72,6721600
2010-02-19,35.97,36.3,35.53,35.63,35.39,8353300
2010-02-22,35.59,35.74,35.03,35.13,34.89,4522600
2010-02-23,35.15,35.32,34.76,34.97,34.74,5163700
2010-02-24,35.15,35.4,34.68,34.84,34.61,6120100
2010-02-25,34.4,34.4,32.65,34.1,33.87,8371600
2010-02-26,34.1,34.34,33.92,34.25,34.02,6079400
2010-03-01,34.33,34.95,34.26,34.84,34.61,4077900
2010-03-02,34.84,35.01,34.4,34.5,34.27,4124600
2010-03-03,34.64,35.2,34.53,34.93,34.7,4578300
2010-03-04,34.93,35.09,34.7,35.03,34.8,3375800
2010-03-05,35.07,35.83,35.07,35.52,35.29,5115600
2010-03-08,35.67,36.32,35.61,35.83,35.59,5530400
2010-03-09,35.87,36.68,35.83,36.61,36.37,5737700
2010-03-10,36.69,37.59,36.64,37.12,36.88,5321300
2010-03-11,36.86,37.63,36.73,37.63,37.39,4550300
2010-03-12,37.28,38.44,37.17,38.29,38.03,7957200
2010-03-15,38.29,39.13,38.23,39.02,38.76,8538100
2010-03-16,39.07,39.12,38.58,38.98,38.72,5987500
2010-03-17,38.13,38.45,37.4,37.77,37.52,18308500
2010-03-18,37.69,38.6,37.69,38.27,38.02,8333200
2010-03-19,38.51,38.9,38.11,38.49,38.24,9478000
2010-03-22,38.29,38.81,38.29,38.37,38.12,3539400
2010-03-23,38.37,38.59,37.78,38.22,37.97,4479500
2010-03-24,38.19,38.73,38.06,38.64,38.39,3538800
2010-03-25,38.8,38.98,38.21,38.25,38.0,4671000
2010-03-26,38.29,38.57,38.07,38.29,38.04,3581700
