Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,28.61,28.69,28.24,28.49,18.5,5202600
2010-01-05,28.43,28.47,28.16,28.45,18.48,4502200
2010-01-06,28.34,28.54,28.12,28.51,18.51,4960700
2010-01-07,28.53,28.8,28.51,28.74,18.67,4388800
2010-01-08,28.59,29.18,28.37,29.14,18.93,5938600
2010-01-11,29.4,29.58,29.19,29.47,19.14,4699300
2010-01-12,29.26,29.51,28.98,29.06,18.88,5084200
2010-01-13,29.07,29.27,28.97,29.14,18.92,3321700
2010-01-14,29.12,29.32,29.01,29.26,19.0,2509000
2010-01-15,29.28,29.44,28.83,28.89,18.76,4630400
2010-01-19,28.92,29.18,28.81,29.12,18.91,3843300
2010-01-20,28.91,28.93,28.6,28.81,18.71,2708900
2010-01-21,28.76,28.91,28.31,28.32,18.39,4338900
2010-01-22,28.22,28.29,27.83,27.84,18.08,5012700
2010-01-25,28.15,28.4,27.99,28.25,18.35,4492700
2010-01-26,28.22,28.32,27.95,28.07,18.23,3618200
2010-01-27,27.98,28.17,27.64,28.12,18.26,3888400
2010-01-28,27.38,28.04,27.21,27.62,17.94,6988300
2010-01-29,27.65,27.67,27.02,27.05,17.57,5985000
2010-02-01,27.15,27.27,26.95,27.24,17.69,6601800
2010-02-02,27.3,27.73,27.14,27.7,17.99,5573300
2010-02-03,27.48,27.73,27.3,27.63,17.94,4256600
2010-02-04,27.44,27.52,26.8,26.83,17.42,5342400
2010-02-05,26.82,27.01,26.46,26.92,17.48,8505900
2010-02-08,26.64,26.85,26.52,26.59,17.27,5231600
2010-02-09,26.88,27.02,26.58,26.87,17.45,5655800
2010-02-10,26.92,27.09,26.6,26.91,17.47,4087800
2010-02-11,26.82,27.27,26.58,27.26,17.7,3791000
2010-02-12,26.97,27.31,26.77,27.27,17.71,4924300
2010-02-16,27.5,27.88,27.36,27.86,18.1,4153200
2010-02-17,28.32,28.54,28.13,28.52,18.52,9812300
2010-02-18,28.54,28.7,28.48,28.62,18.59,4172200
2010-02-19,28.59,28.92,28.56,28.79,18.7,5137200
2010-02-22,28.92,28.92,28.51,28.71,18.65,4228900
2010-02-23,28.65,28.73,28.2,28.29,18.38,4615900
2010-02-24,28.41,28.42,28.02,28.25,18.35,5894600
2010-02-25,28.02,28.32,27.63,28.26,18.35,5770600
2010-02-26,28.19,28.36,28.01,28.04,18.21,5316000
2010-03-01,28.04,28.6,27.95,28.56,18.55,6167900
2010-03-02,28.61,28.7,28.53,28.63,18.59,2772500
2010-03-03,28.75,28.84,28.48,28.54,18.54,2787300
2010-03-04,28.72,28.81,28.49,28.77,18.68,3659100
2010-03-05,28.91,29.18,28.84,29.17,18.94,2707300
2010-03-08,29.1,29.17,28.95,29.04,18.86,2079500
2010-03-09,29.01,29.42,29.01,29.4,19.09,5665100
2010-03-10,29.35,29.62,29.32,29.54,19.18,5721200
2010-03-11,29.37,29.67,29.17,29.67,19.27,6162100
2010-03-12,29.94,29.94,29.41,29.61,19.23,3519600
2010-03-15,29.49,29.61,29.3,29.58,19.21,3057900
2010-03-16,29.65,29.66,29.37,29.56,19.2,4913200
2010-03-17,29.65,29.72,29.26,29.34,19.06,7185300
2010-03-18,29.3,29.58,29.14,29.56,19.2,5289700
2010-03-19,29.18,29.71,29.09,29.18,18.95,5322900
2010-03-22,29.12,29.45,29.04,29.36,19.07,2982200
2010-03-23,29.34,29.5,29.18,29.4,19.09,3724800
2010-03-24,29.22,29.26,28.94,28.95,18.82,4300900
2010-03-25,29.06,29.33,28.9,28.99,18.85,5591200
2010-03-26,29.01,29.35,28.97,29.04,18.89,4982600
2010-03-29,29.16,29.38,29.05,29.33,19.07,4082800
2010-03-30,30.39,30.74,30.17,30.66,19.94,13081000
2010-03-31,30.52,30.58,30.21,30.29,19.7,5940700
2010-04-01,30.38,30.69,30.35,30.56,19.88,5202600
2010-04-05,30.67,30.71,30.47,30.67,19.94,3078000
2010-04-06,30.57,30.61,30.45,30.54,19.86,3261800
2010-04-07,30.47,30.57,30.25,30.48,19.82,5236100
2010-04-08,30.47,30.51,30.17,30.27,19.69,4026300
2010-04-09,30.25,30.46,30.2,30.45,19.8,3193800
2010-04-12,30.51,30.53,30.33,30.46,19.81,2849500
2010-04-13,30.04,30.21,29.93,30.03,19.53,7488200
2010-04-14,30.03,30.71,29.91,30.67,19.94,6103500
2010-04-15,30.6,30.93,30.51,30.74,19.99,5966300
2010-04-16,30.69,30.75,30.16,30.26,19.68,7041000
