Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.27,12.36,12.02,12.11,7.99,2854300
2010-01-05,12.18,12.39,12.02,12.29,8.11,4152200
2010-01-06,12.3,12.58,12.3,12.47,8.23,4241200
2010-01-07,12.48,12.9,12.37,12.83,8.47,2654800
2010-01-08,12.71,13.14,12.68,13.12,8.66,4668900
2010-01-11,13.12,13.37,13.11,13.22,8.72,2399100
2010-01-12,13.05,13.22,12.79,12.85,8.48,2769700
2010-01-13,12.89,13.21,12.82,13.18,8.7,2458800
2010-01-14,13.04,13.15,12.88,13.0,8.58,1724400
2010-01-15,12.88,13.02,12.52,12.67,8.36,2569300
2010-01-19,12.67,13.07,12.58,13.05,8.61,3534600
2010-01-20,12.85,13.04,12.73,12.96,8.55,2714300
2010-01-21,13.02,13.11,12.56,12.59,8.31,3457400
2010-01-22,12.55,12.79,12.15,12.18,8.04,3728500
2010-01-25,12.33,12.41,11.95,12.13,8.0,2971500
2010-01-26,12.0,12.13,11.94,11.98,7.9,3975400
2010-01-27,11.95,12.09,11.72,12.05,7.95,3796300
2010-01-28,11.88,12.15,11.29,11.44,7.55,8361400
2010-01-29,11.43,11.77,11.25,11.32,7.47,3739800
2010-02-01,11.41,11.7,11.37,11.53,7.61,3044700
2010-02-02,11.38,11.83,11.22,11.61,7.66,6641200
2010-02-03,11.53,11.55,11.21,11.44,7.55,3080500
2010-02-04,11.35,11.35,10.93,10.93,7.21,3456500
2010-02-05,10.94,11.25,10.73,11.24,7.42,4091300
2010-02-08,11.21,11.31,10.83,10.83,7.15,3596900
2010-02-09,11.06,11.09,10.55,10.64,7.02,4343400
2010-02-10,10.55,10.65,10.36,10.46,7.01,7099000
2010-02-11,10.46,10.56,10.26,10.55,7.07,3575400
2010-02-12,10.36,10.71,10.29,10.67,7.15,3472000
2010-02-16,10.82,10.96,10.7,10.96,7.35,2481400
2010-02-17,10.99,11.07,10.86,10.93,7.33,2575200
2010-02-18,10.96,11.15,10.72,11.09,7.44,2875000
2010-02-19,11.02,11.2,10.97,11.15,7.48,2301900
2010-02-22,11.22,11.26,10.99,11.12,7.46,2178200
2010-02-23,11.16,11.23,11.03,11.11,7.45,2454200
2010-02-24,11.14,11.23,11.04,11.23,7.53,2042900
2010-02-25,11.04,11.17,10.97,11.14,7.47,2097600
2010-02-26,11.17,11.25,11.07,11.1,7.44,2633600
2010-03-01,11.15,11.33,11.02,11.22,7.52,2861500
2010-03-02,11.18,11.21,10.95,11.01,7.38,3490200
2010-03-03,11.03,11.2,10.92,10.95,7.34,1849300
2010-03-04,11.02,11.3,10.98,11.21,7.52,3341900
2010-03-05,11.3,11.53,11.21,11.48,7.7,3247600
2010-03-08,11.44,11.84,11.4,11.81,7.92,1693700
2010-03-09,11.75,11.99,11.65,11.83,7.93,3618500
2010-03-10,11.8,12.04,11.75,11.97,8.03,2300900
2010-03-11,11.87,12.03,11.69,12.03,8.07,2063300
2010-03-12,12.11,12.11,11.9,12.01,8.05,2946200
2010-03-15,12.0,12.03,11.74,11.88,7.97,1541700
