Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,31.68,31.68,31.03,31.29,21.9,2492500
2010-01-05,31.34,31.35,30.58,31.15,21.8,3059800
2010-01-06,31.08,31.08,30.72,30.74,21.69,3461700
2010-01-07,30.8,31.31,30.57,31.03,21.89,2782400
2010-01-08,30.87,31.05,30.47,30.51,21.52,2537400
2010-01-11,30.77,30.77,30.25,30.43,21.47,1654400
2010-01-12,30.2,30.64,30.14,30.29,21.37,1600100
2010-01-13,30.32,30.55,30.17,30.49,21.51,1185400
2010-01-14,30.41,32.14,30.37,31.97,22.56,4078300
2010-01-15,32.06,32.06,31.35,31.55,22.26,2652600
2010-01-19,31.6,32.08,31.51,32.04,22.6,1836600
2010-01-20,32.68,33.84,32.4,32.65,23.04,4011400
2010-01-21,32.72,33.3,32.6,32.67,23.05,2898000
2010-01-22,32.53,32.93,32.25,32.32,22.81,2751500
2010-01-25,32.56,32.57,32.06,32.19,22.71,2147500
2010-01-26,32.15,33.03,32.12,32.61,23.01,3146300
2010-01-27,32.61,32.86,32.4,32.73,23.1,2624300
2010-01-28,32.85,33.6,32.8,33.48,23.62,4326900
2010-01-29,33.48,33.74,32.92,33.04,23.31,3956000
2010-02-01,33.21,33.9,33.1,33.83,23.87,3153400
2010-02-02,33.85,34.54,33.65,34.23,24.15,2631100
2010-02-03,34.3,34.42,33.86,33.99,23.98,1790000
2010-02-04,33.71,34.03,33.4,33.43,23.59,3721400
2010-02-05,33.5,33.97,33.07,33.6,23.71,2943600
2010-02-08,33.66,34.03,33.53,33.55,23.67,1930700
2010-02-09,33.87,34.5,33.71,34.33,24.22,2071900
2010-02-10,34.29,34.4,33.93,34.01,24.0,2282400
2010-02-11,33.89,34.65,33.65,34.65,24.44,2612700
2010-02-12,34.26,34.91,34.05,34.85,24.59,2315100
2010-02-16,35.86,36.53,35.79,36.12,25.49,5072700
2010-02-17,36.39,36.64,36.19,36.28,25.6,2214600
2010-02-18,36.2,36.43,36.05,36.22,25.55,1678800
2010-02-19,36.2,36.7,36.19,36.69,25.89,1837600
2010-02-22,36.81,36.83,36.41,36.69,25.89,1611500
2010-02-23,36.61,36.95,36.11,36.31,25.62,2306100
2010-02-24,36.5,36.65,36.32,36.64,25.85,1536600
2010-02-25,36.24,36.29,35.67,36.05,25.43,3413400
2010-02-26,36.11,36.4,36.05,36.25,25.57,1418900
2010-03-01,36.35,36.9,36.02,36.78,25.95,1804800
2010-03-02,36.7,37.0,36.16,36.21,25.55,3223600
2010-03-03,36.4,36.65,36.19,36.28,25.6,1844500
2010-03-04,36.33,36.45,35.98,36.16,25.51,2225100
2010-03-05,36.29,36.65,36.26,36.63,25.84,2285200
2010-03-08,36.7,37.78,36.65,37.53,26.48,2433400
2010-03-09,37.39,38.06,37.35,37.57,26.51,2323500
2010-03-10,37.49,37.79,37.18,37.77,26.65,1583500
2010-03-11,37.53,38.12,37.53,37.79,26.66,1773000
2010-03-12,37.87,37.97,37.28,37.56,26.5,2940300
2010-03-15,37.54,38.07,37.48,37.94,26.77,2566700
2010-03-16,37.96,38.33,37.71,38.08,26.87,2823600
2010-03-17,38.36,38.96,38.19,38.88,27.43,2100200
2010-03-18,38.98,39.31,38.72,38.88,27.43,1930000
2010-03-19,39.02,39.27,38.93,39.02,27.53,2095300
2010-03-22,38.86,39.5,38.71,39.45,27.83,2019500
2010-03-23,39.43,39.47,38.51,39.25,27.69,3382500
2010-03-24,39.04,40.29,38.36,40.15,28.32,6203700
2010-03-25,40.48,40.48,39.82,39.95,28.18,2953100
2010-03-26,39.64,39.99,39.32,39.59,27.93,3088800
2010-03-29,39.62,40.23,39.58,40.2,28.36,2258100
2010-03-30,40.08,40.48,39.82,40.05,28.25,1718400
2010-03-31,39.87,40.08,39.49,39.81,28.09,1841900
2010-04-01,40.05,40.23,39.37,39.78,28.06,1921300
2010-04-05,39.78,40.68,39.78,40.68,28.7,1575600
2010-04-06,40.62,40.63,40.19,40.46,28.54,1989100
2010-04-07,40.93,41.61,40.67,41.47,29.44,5556700
2010-04-08,41.44,41.7,41.11,41.46,29.43,2640400
2010-04-09,41.45,41.83,41.08,41.83,29.7,2109200
2010-04-12,41.75,42.06,41.71,41.91,29.76,1669600
2010-04-13,41.91,42.06,41.63,42.01,29.83,1704500
2010-04-14,42.02,42.34,41.98,42.34,30.06,2412900
2010-04-15,42.22,42.39,41.82,41.94,29.78,2241700
2010-04-16,41.75,42.18,41.66,41.89,29.74,3338600
2010-04-19,41.88,42.23,41.57,42.2,29.96,3037000
2010-04-20,42.07,42.22,41.64,42.12,29.9,2577400
2010-04-21,42.13,42.42,41.91,42.37,30.08,1651100
2010-04-22,42.23,43.68,42.23,43.5,30.88,2514300
2010-04-23,43.64,43.81,43.18,43.52,30.89,1469700
2010-04-26,43.5,43.53,42.84,42.92,30.47,1934200
2010-04-27,42.75,43.25,41.98,42.02,29.83,2015700
2010-04-28,41.71,42.01,40.82,40.92,29.05,2985600
