Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,51.63,51.87,50.73,50.91,35.89,4152100
2010-01-05,51.03,51.03,49.89,50.07,35.29,3872300
2010-01-06,49.98,50.58,49.92,50.25,35.42,3486500
2010-01-07,50.31,50.58,50.1,50.49,35.59,2376000
2010-01-08,50.22,50.52,50.04,50.52,35.61,1654100
2010-01-11,50.55,51.15,50.49,51.03,35.97,2195600
2010-01-12,50.94,51.33,50.67,51.09,36.01,2650900
2010-01-13,51.27,51.57,50.73,51.21,36.1,3035200
2010-01-14,51.33,51.42,50.85,51.21,36.1,1919700
2010-01-15,50.64,51.18,50.04,50.7,35.74,4349900
2010-01-19,50.97,51.3,50.52,51.27,36.14,1858200
2010-01-20,51.03,51.03,50.22,50.79,35.8,2628600
2010-01-21,50.82,50.97,49.92,50.04,35.27,3958200
2010-01-22,50.04,50.37,49.56,49.65,35.0,3927200
2010-01-25,50.1,50.16,49.44,49.98,35.23,2257600
2010-01-26,50.01,50.58,49.68,50.43,35.55,2827100
2010-01-27,50.34,50.4,49.74,50.22,35.4,2935800
2010-01-28,50.31,50.34,49.65,49.86,35.15,2354500
2010-01-29,50.22,50.25,49.56,49.59,34.96,3044200
2010-02-01,49.68,49.95,49.23,49.95,35.21,1872000
2010-02-02,49.77,50.34,49.29,50.28,35.44,2775300
2010-02-03,50.31,50.31,49.74,49.92,35.19,1572400
2010-02-04,49.83,50.01,49.11,49.11,34.62,2519800
2010-02-05,49.2,49.35,48.39,48.96,34.51,2997700
2010-02-08,49.05,49.65,48.75,48.96,34.51,3194600
2010-02-09,49.26,50.58,49.05,49.68,35.02,5056200
2010-02-10,49.08,49.41,48.45,48.66,34.47,3547300
2010-02-11,48.48,48.87,48.06,48.63,34.44,3105300
2010-02-12,48.48,48.81,48.12,48.45,34.32,3110900
2010-02-16,48.81,49.29,48.63,48.75,34.53,3638900
2010-02-17,48.99,49.05,48.3,48.54,34.38,2367300
2010-02-18,48.45,48.99,48.36,48.99,34.7,2296700
2010-02-19,48.9,49.89,48.63,49.83,35.29,2960900
2010-02-22,49.95,49.95,49.2,49.29,34.91,2671900
2010-02-23,49.29,49.47,48.99,49.05,34.74,2054200
2010-02-24,49.05,49.47,48.72,49.35,34.95,2645800
2010-02-25,49.02,49.17,48.6,49.14,34.81,2568000
2010-02-26,49.05,49.41,48.9,49.05,34.74,2503300
2010-03-01,49.23,49.56,49.02,49.47,35.04,1792600
2010-03-02,49.83,49.83,49.2,49.32,34.93,2048300
2010-03-03,49.32,49.68,49.08,49.2,34.85,2228000
2010-03-04,49.14,49.38,48.69,48.99,34.7,2274500
2010-03-05,49.02,49.38,48.9,49.38,34.98,2139400
2010-03-08,49.47,49.62,49.26,49.59,35.12,1036500
2010-03-09,49.47,49.56,49.29,49.41,35.0,1229600
2010-03-10,49.38,49.59,49.2,49.41,35.0,1694600
2010-03-11,49.41,49.5,49.17,49.44,35.02,1922700
2010-03-12,49.5,49.56,48.96,48.99,34.7,1662500
2010-03-15,49.05,49.41,48.9,49.38,34.98,1733300
2010-03-16,49.59,49.92,49.29,49.83,35.29,2024800
2010-03-17,50.13,50.13,49.74,49.86,35.32,2271800
2010-03-18,49.65,50.13,49.65,49.74,35.23,2631400
2010-03-19,49.74,50.28,49.38,49.74,35.23,3889200
2010-03-22,49.59,49.65,49.08,49.32,34.93,2342400
2010-03-23,49.29,49.41,49.08,49.38,34.98,1852900
2010-03-24,49.35,49.38,48.9,48.96,34.68,2082000
2010-03-25,49.02,49.23,48.81,48.9,34.64,1783300
2010-03-26,49.08,49.29,48.84,49.26,34.89,1550000
2010-03-29,49.35,49.77,49.26,49.77,35.25,1765700
2010-03-30,49.74,49.98,49.11,49.2,34.85,2962200
2010-03-31,49.17,49.29,48.93,48.96,34.68,1997800
2010-04-01,49.14,49.38,49.05,49.23,34.87,1924600
2010-04-05,49.29,49.47,49.05,49.26,34.89,2324900
2010-04-06,49.05,49.65,48.9,49.65,35.17,1696700
2010-04-07,49.59,49.65,49.05,49.11,34.78,2314800
2010-04-08,49.08,49.2,48.63,48.72,34.51,3480600
2010-04-09,48.81,48.99,48.39,48.99,34.7,3091700
2010-04-12,48.96,49.11,48.78,48.78,34.55,2550800
2010-04-13,48.81,48.87,48.57,48.66,34.47,2910300
2010-04-14,48.69,48.72,48.51,48.63,34.44,2400600
2010-04-15,48.66,48.66,48.21,48.39,34.27,2852600
2010-04-16,48.39,48.54,48.0,48.03,34.02,4242500
2010-04-19,47.82,48.39,47.82,48.21,34.15,3698300
2010-04-20,48.36,49.11,48.33,49.05,34.74,3403900
2010-04-21,48.96,49.11,48.75,48.9,34.64,2747200
2010-04-22,48.72,48.93,48.3,48.63,34.44,3238600
2010-04-23,48.66,48.75,48.09,48.75,34.53,3392100
2010-04-26,48.72,48.9,48.45,48.72,34.51,3092900
2010-04-27,48.63,48.84,48.03,48.03,34.02,3244800
2010-04-28,48.57,50.7,48.45,49.92,35.36,12364000
2010-04-29,49.77,50.16,49.5,49.59,35.12,4038600
