Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,18.96,19.63,18.7,19.62,12.8,25179400
2010-01-05,19.5,20.53,19.5,20.5,13.37,27931500
2010-01-06,20.83,21.29,20.7,20.86,13.61,32668300
2010-01-07,20.85,21.05,20.63,20.87,13.62,15354200
2010-01-08,20.69,21.08,20.44,20.95,13.67,11497600
2010-01-11,21.28,21.28,20.5,20.69,13.5,15249000
2010-01-12,20.44,20.91,20.3,20.75,13.54,15278600
2010-01-13,20.73,20.96,20.27,20.68,13.49,9341900
2010-01-14,20.54,20.74,20.4,20.53,13.4,7901900
2010-01-15,20.54,20.54,20.01,20.17,13.16,14338500
2010-01-19,19.99,20.66,19.99,20.63,13.46,9045400
2010-01-20,20.55,20.56,20.05,20.42,13.32,12695100
2010-01-21,20.36,20.44,19.25,19.28,12.58,21019500
2010-01-22,19.15,19.44,18.66,18.67,12.18,16839500
2010-01-25,18.96,19.28,18.9,19.11,12.47,12227600
2010-01-26,18.9,19.33,18.76,18.89,12.33,11278700
2010-01-27,18.91,19.03,18.5,18.99,12.39,14642900
2010-01-28,19.11,19.14,18.18,18.41,12.01,14078900
2010-01-29,18.63,19.11,18.22,18.22,11.89,18870500
2010-02-01,18.51,19.27,18.43,19.25,12.56,20385000
2010-02-02,18.77,19.09,17.98,18.54,12.1,41636400
2010-02-03,18.63,18.88,18.2,18.55,12.1,20144800
2010-02-04,18.26,18.38,17.77,17.9,11.68,21959400
2010-02-05,17.76,18.16,17.2,17.83,11.64,32525700
2010-02-08,17.83,18.1,17.39,17.61,11.49,22252800
2010-02-09,17.85,18.83,17.76,18.69,12.19,30236500
2010-02-10,18.53,18.71,18.21,18.5,12.07,16751200
2010-02-11,18.45,18.81,18.18,18.74,12.23,13960700
2010-02-12,18.42,18.92,18.19,18.69,12.19,14885900
2010-02-16,18.85,19.17,18.74,19.15,12.5,12827200
2010-02-17,19.15,19.46,19.05,19.33,12.61,12773900
2010-02-18,19.33,19.92,19.25,19.87,12.96,15289000
2010-02-19,19.71,19.91,19.5,19.66,12.83,15128000
2010-02-22,19.77,19.91,19.51,19.74,12.88,10572400
2010-02-23,19.62,19.77,19.23,19.42,12.67,12787900
2010-02-24,19.52,19.67,19.26,19.5,12.73,13459400
2010-02-25,18.98,19.12,18.75,19.05,12.43,16918800
2010-02-26,19.09,19.33,18.96,19.04,12.42,11605300
2010-03-01,19.12,19.37,19.05,19.29,12.59,13585500
2010-03-02,19.55,19.66,19.37,19.42,12.67,15612800
2010-03-03,19.51,20.16,19.41,19.91,12.99,17699500
2010-03-04,19.98,20.15,19.74,19.88,12.97,13646300
2010-03-05,19.99,20.4,19.98,20.17,13.16,14664600
2010-03-08,20.14,20.24,19.8,19.84,12.94,10518600
2010-03-09,19.76,19.91,19.56,19.65,12.82,12609000
2010-03-10,19.64,19.87,19.44,19.54,12.75,12517000
2010-03-11,19.46,19.77,19.24,19.77,12.9,11308200
2010-03-12,19.96,20.32,19.86,20.07,13.09,13621200
2010-03-15,20.0,20.19,19.89,20.17,13.16,13403200
2010-03-16,20.22,20.56,20.11,20.47,13.36,15955100
2010-03-17,20.52,20.59,20.38,20.46,13.35,14743300
2010-03-18,20.47,20.57,20.08,20.17,13.16,14943800
2010-03-19,19.47,20.31,19.47,19.47,12.7,24024900
2010-03-22,19.23,19.99,19.1,19.9,12.98,16229300
2010-03-23,19.92,20.16,19.67,20.15,13.15,16576900
2010-03-24,19.97,20.61,19.91,20.42,13.32,18615200
2010-03-25,20.45,20.69,20.05,20.09,13.11,20262800
2010-03-26,20.07,20.52,19.95,20.22,13.19,13480700
2010-03-29,20.2,20.32,19.68,19.85,13.05,15420900
2010-03-30,19.84,20.23,19.76,20.01,13.16,8581300
2010-03-31,19.93,20.13,19.79,19.89,13.07,10326500
2010-04-01,20.1,20.46,20.05,20.38,13.4,14790600
2010-04-05,20.36,20.91,20.34,20.84,13.7,12261100
2010-04-06,20.7,21.16,20.62,20.95,13.78,14616800
2010-04-07,20.83,21.0,20.56,20.71,13.61,12075200
2010-04-08,20.52,20.76,20.38,20.67,13.59,10667900
2010-04-09,20.66,20.78,20.55,20.7,13.61,8452900
2010-04-12,20.65,20.9,20.56,20.67,13.59,8338800
2010-04-13,20.55,20.65,20.34,20.58,13.53,10711800
2010-04-14,20.67,20.98,20.62,20.98,13.79,10962600
2010-04-15,20.97,21.2,20.78,21.06,13.85,12514900
2010-04-16,20.97,21.1,20.46,20.54,13.5,15838000
2010-04-19,20.44,20.71,20.17,20.69,13.6,10924100
2010-04-20,20.7,20.78,20.3,20.42,13.42,17203700
2010-04-21,20.47,20.49,20.11,20.38,13.4,12024200
2010-04-22,20.15,20.42,19.68,20.36,13.39,15551500
2010-04-23,20.45,20.98,20.4,20.95,13.78,16362200
2010-04-26,21.02,21.25,20.93,21.07,13.85,11640700
2010-04-27,21.07,21.14,20.17,20.22,13.29,19042200
2010-04-28,20.86,21.49,20.67,21.41,14.07,24608700
2010-04-29,21.42,21.55,21.18,21.4,14.07,18645300
2010-04-30,21.51,21.55,20.69,20.73,13.63,19320300
2010-05-03,20.92,21.26,20.59,21.13,13.89,13698400
2010-05-04,20.71,20.76,19.37,19.71,12.96,32266300
2010-05-05,19.5,19.84,18.88,19.11,12.56,25538500
2010-05-06,18.9,19.24,15.74,17.94,11.79,44891000
2010-05-07,17.98,18.7,17.11,17.15,11.27,51458100
2010-05-10,18.18,18.67,18.03,18.45,12.13,34535900
2010-05-11,18.17,19.07,18.14,18.76,12.33,22884600
2010-05-12,18.9,19.42,18.74,19.39,12.75,20277800
2010-05-13,19.55,20.07,19.35,19.54,12.84,22734600
2010-05-14,19.13,19.17,18.21,18.39,12.09,24884900
2010-05-17,18.43,18.56,17.63,18.09,11.89,19738900
2010-05-18,18.34,18.82,17.83,17.98,11.82,16020500
2010-05-19,17.79,18.1,17.57,17.85,11.73,18525300
2010-05-20,17.27,17.82,16.99,17.28,11.36,41163000
2010-05-21,16.85,17.89,16.85,17.8,11.7,29016400
2010-05-24,17.63,17.8,17.34,17.39,11.43,20177500
2010-05-25,16.59,18.04,16.37,18.02,11.84,31726000
2010-05-26,18.24,18.35,17.77,17.83,11.72,21434800
2010-05-27,18.27,18.9,18.18,18.88,12.41,20211300
2010-05-28,18.74,18.81,17.99,18.1,11.9,19882500
2010-06-01,17.79,18.02,17.22,17.22,11.32,25692400
2010-06-02,17.51,17.81,17.38,17.79,11.7,18935600
2010-06-03,17.82,17.91,17.28,17.54,11.53,13334100
2010-06-04,17.1,17.42,16.64,16.7,10.98,33162900
2010-06-07,16.83,16.99,16.42,16.44,10.8,18005000
2010-06-08,16.44,16.92,16.2,16.91,11.12,22212100
2010-06-09,17.14,17.59,17.02,17.11,11.25,20536200
2010-06-10,17.48,17.76,17.3,17.75,11.67,15376600
2010-06-11,17.45,17.99,17.4,17.97,11.81,11344000
2010-06-14,18.18,18.22,17.36,17.42,11.45,17803300
2010-06-15,17.6,18.02,17.57,18.02,11.84,14142600
