Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.98,10.09,9.94,10.06,10.02,22511600
2010-01-05,10.01,10.06,9.89,9.95,9.92,26683100
2010-01-06,9.95,10.02,9.87,9.89,9.85,26368600
2010-01-07,9.89,9.89,9.75,9.78,9.74,25220000
2010-01-08,9.76,9.95,9.72,9.89,9.86,30484000
2010-01-11,9.9,10.0,9.79,9.87,9.83,18331000
2010-01-12,9.84,9.87,9.66,9.76,9.72,25572100
2010-01-13,9.82,9.95,9.73,9.93,9.9,24620500
2010-01-14,9.89,9.89,9.62,9.63,9.59,42094100
2010-01-15,9.68,9.71,9.31,9.46,9.42,64256300
2010-01-19,9.38,9.84,9.38,9.79,9.75,49852900
2010-01-20,9.76,9.76,9.34,9.36,9.32,92230600
2010-01-21,10.06,10.34,9.95,10.16,10.12,155599700
2010-01-22,10.1,10.18,9.77,9.92,9.89,57422900
2010-01-25,9.98,10.05,9.83,9.97,9.93,43646100
2010-01-26,9.9,10.25,9.88,10.13,10.09,54598300
2010-01-27,10.02,10.21,9.95,10.09,10.05,49443100
2010-01-28,10.1,10.13,9.71,9.82,9.78,48289300
2010-01-29,9.87,10.1,9.63,9.69,9.65,53646900
2010-02-01,9.64,9.84,9.64,9.75,9.72,26327500
2010-02-02,9.7,9.82,9.65,9.71,9.68,28234900
2010-02-03,9.67,9.81,9.63,9.78,9.74,34180600
2010-02-04,9.66,9.8,9.43,9.45,9.41,46628000
2010-02-05,9.44,9.59,9.36,9.56,9.52,37072700
2010-02-08,9.57,9.66,9.45,9.47,9.43,20112600
2010-02-09,9.58,9.64,9.36,9.41,9.38,28657400
2010-02-10,9.39,9.42,9.15,9.24,9.21,37093100
2010-02-11,9.18,9.34,9.07,9.31,9.28,30785500
2010-02-12,9.15,9.28,9.05,9.16,9.13,42511600
2010-02-16,9.26,9.48,9.26,9.48,9.44,34442000
2010-02-17,9.47,9.57,9.41,9.55,9.51,28001600
2010-02-18,9.62,9.63,9.48,9.61,9.58,21359000
2010-02-19,9.64,9.89,9.45,9.86,9.82,46963500
2010-02-22,9.86,9.89,9.71,9.8,9.76,34242400
2010-02-23,9.74,9.76,9.55,9.63,9.6,24659700
2010-02-24,9.72,9.84,9.64,9.79,9.75,24076900
2010-02-25,9.68,9.69,9.5,9.68,9.64,38203900
2010-02-26,9.67,9.7,9.52,9.69,9.65,37546900
2010-03-01,9.73,10.07,9.66,10.05,10.01,44650500
2010-03-02,10.02,10.15,10.02,10.1,10.06,36125100
2010-03-03,9.92,10.08,9.83,9.89,9.86,35194200
2010-03-04,9.68,10.02,9.66,10.01,9.97,28079500
2010-03-05,10.02,10.5,10.02,10.37,10.33,55289700
2010-03-08,10.28,10.5,10.27,10.45,10.42,26778200
2010-03-09,10.38,10.83,10.37,10.74,10.7,51349800
2010-03-10,10.72,10.86,10.66,10.76,10.72,32503900
2010-03-11,10.7,10.93,10.59,10.71,10.67,53725100
2010-03-12,10.77,10.94,10.73,10.93,10.89,36094000
2010-03-15,10.93,11.21,10.85,11.06,11.02,45463800
2010-03-16,11.17,11.3,11.04,11.28,11.23,43619500
2010-03-17,11.28,11.51,11.27,11.36,11.31,36523100
2010-03-18,11.43,11.57,11.33,11.56,11.51,28619100
2010-03-19,11.64,11.69,11.38,11.44,11.4,51354600
2010-03-22,11.25,11.45,11.2,11.39,11.35,32926100
2010-03-23,11.37,11.46,11.25,11.38,11.34,25999100
2010-03-24,11.36,11.44,11.3,11.34,11.3,26729200
2010-03-25,11.66,11.94,11.59,11.6,11.56,76668500
2010-03-26,11.63,11.68,11.48,11.55,11.51,27346800
2010-03-29,11.57,11.58,11.44,11.48,11.44,26923400
2010-03-30,11.57,11.57,11.34,11.42,11.38,26093200
2010-03-31,11.36,11.44,11.3,11.35,11.31,19122200
2010-04-01,11.41,11.49,11.17,11.18,11.14,34278500
2010-04-05,11.15,11.65,11.15,11.52,11.48,30390200
2010-04-06,11.45,11.56,11.32,11.48,11.43,36571600
2010-04-07,11.4,11.44,11.22,11.3,11.26,42066300
2010-04-08,11.1,11.25,11.01,11.14,11.09,47572200
2010-04-09,11.13,11.2,11.06,11.17,11.13,22662000
2010-04-12,11.21,11.28,11.16,11.21,11.17,19034300
2010-04-13,11.17,11.21,11.05,11.21,11.17,27536100
2010-04-14,11.3,11.41,11.24,11.38,11.34,35021200
2010-04-15,11.44,11.45,11.33,11.36,11.31,33489700
2010-04-16,11.35,11.38,11.04,11.08,11.04,48457500
2010-04-19,11.03,11.1,10.84,11.08,11.04,27368400
2010-04-20,11.14,11.19,11.04,11.11,11.07,30383300
2010-04-21,11.09,11.19,10.9,11.06,11.02,63975700
2010-04-22,10.29,10.44,10.06,10.43,10.39,134770200
2010-04-23,10.42,10.45,10.27,10.33,10.29,61910900
2010-04-26,10.28,10.43,10.18,10.34,10.3,52156000
2010-04-27,10.27,10.31,9.96,10.0,9.97,62393900
2010-04-28,10.06,10.12,9.97,10.1,10.06,39431800
2010-04-29,10.1,10.23,10.0,10.2,10.16,39855900
2010-04-30,10.16,10.25,10.0,10.01,9.97,36319700
2010-05-03,9.95,10.14,9.94,10.06,10.03,25973900
2010-05-04,9.77,9.79,9.45,9.71,9.68,88734000
2010-05-05,9.71,9.79,9.5,9.54,9.5,61155100
2010-05-06,9.51,9.74,8.65,9.37,9.34,71709300
2010-05-07,9.32,9.55,8.94,9.04,9.01,71566700
2010-05-10,9.52,9.61,9.31,9.4,9.36,47490000
2010-05-11,9.33,9.6,9.25,9.42,9.38,30914800
2010-05-12,9.48,9.51,9.36,9.47,9.44,26510900
2010-05-13,9.75,9.81,9.54,9.55,9.51,47767500
2010-05-14,9.52,9.53,9.29,9.36,9.33,41775500
2010-05-17,9.33,9.49,9.26,9.47,9.44,34881500
2010-05-18,9.52,9.58,9.31,9.33,9.3,40377500
2010-05-19,9.26,9.31,9.04,9.11,9.07,74340000
2010-05-20,8.9,9.03,8.59,8.76,8.73,81660200
2010-05-21,8.55,9.04,8.55,9.02,8.98,68853800
2010-05-24,8.98,9.18,8.89,8.99,8.96,48636700
2010-05-25,8.73,9.1,8.65,9.09,9.05,59012400
2010-05-26,9.15,9.28,8.96,9.0,8.96,42581400
2010-05-27,9.16,9.23,9.09,9.22,9.19,33229700
2010-05-28,9.23,9.24,8.9,9.01,8.98,35250500
2010-06-01,8.85,9.07,8.8,8.82,8.79,28138400
2010-06-02,8.85,8.95,8.71,8.94,8.91,29447400
2010-06-03,9.06,9.34,8.93,9.34,9.3,56722400
2010-06-04,9.24,9.61,9.22,9.26,9.22,133898700
2010-06-07,9.26,9.38,9.01,9.07,9.04,63761800
2010-06-08,9.06,9.14,8.81,9.13,9.09,68568500
2010-06-09,9.2,9.41,9.14,9.17,9.13,52923200
2010-06-10,9.24,9.42,9.24,9.38,9.34,40531400
2010-06-11,9.26,9.55,9.26,9.53,9.5,42902900
2010-06-14,9.6,9.65,9.33,9.35,9.31,31794600
2010-06-15,9.39,9.44,9.26,9.42,9.39,46399900
2010-06-16,9.38,9.44,9.26,9.31,9.28,40373700
2010-06-17,9.41,9.41,9.22,9.3,9.27,23284800
2010-06-18,9.33,9.42,9.27,9.33,9.29,32992100
2010-06-21,9.44,9.52,9.13,9.2,9.17,32942000
2010-06-22,9.27,9.3,9.06,9.07,9.04,24247500
2010-06-23,9.07,9.15,8.91,8.98,8.95,27539900
2010-06-24,8.93,8.99,8.67,8.78,8.75,38072000
2010-06-25,8.8,8.88,8.64,8.82,8.78,39524500
2010-06-28,8.78,8.83,8.6,8.72,8.68,42527700
2010-06-29,8.54,8.57,8.22,8.29,8.26,74630800
2010-06-30,8.27,8.48,8.23,8.25,8.22,49089100
2010-07-01,8.25,8.32,8.02,8.27,8.24,61793500
2010-07-02,8.32,8.32,8.1,8.11,8.08,38155900
2010-07-06,8.27,8.33,8.07,8.14,8.11,36013700
2010-07-07,8.11,8.35,8.06,8.34,8.31,39326100
2010-07-08,8.36,8.5,8.27,8.37,8.34,39107500
2010-07-09,8.39,8.55,8.3,8.54,8.51,37884800
2010-07-12,8.49,8.6,8.44,8.51,8.48,26193000
2010-07-13,8.61,8.89,8.61,8.84,8.81,38047300
2010-07-14,8.85,9.03,8.71,8.88,8.85,37201900
2010-07-15,8.94,8.94,8.7,8.85,8.82,36449200
2010-07-16,8.86,8.87,8.44,8.46,8.42,44357300
2010-07-19,8.49,8.64,8.47,8.59,8.55,22989700
2010-07-20,8.43,8.78,8.38,8.75,8.72,36816500
2010-07-21,8.72,8.82,8.43,8.49,8.46,56822200
2010-07-22,8.88,9.07,8.75,8.81,8.78,59539900
2010-07-23,8.77,8.88,8.62,8.88,8.84,30549600
2010-07-26,8.83,8.9,8.78,8.9,8.86,18448400
2010-07-27,8.96,8.97,8.79,8.86,8.82,21468500
2010-07-28,8.81,8.88,8.76,8.86,8.82,21418600
2010-07-29,8.85,8.92,8.65,8.74,8.71,28231600
2010-07-30,8.69,8.9,8.64,8.8,8.77,24362500
2010-08-02,8.96,9.08,8.91,9.03,9.0,24652600
2010-08-03,9.0,9.05,8.8,8.83,8.79,29407200
2010-08-04,8.85,8.93,8.8,8.88,8.85,29401800
2010-08-05,8.84,8.88,8.71,8.87,8.83,18679600
2010-08-06,8.73,9.04,8.72,9.03,8.99,28143700
2010-08-09,9.2,9.52,9.14,9.25,9.22,52958400
2010-08-10,9.24,9.3,9.1,9.22,9.19,29825200
2010-08-11,9.04,9.07,8.93,8.94,8.91,25042300
2010-08-12,9.01,9.2,8.98,9.09,9.05,38485700
2010-08-13,9.01,9.14,8.97,9.05,9.02,29855800
2010-08-16,9.03,9.47,9.01,9.28,9.25,62520400
2010-08-17,9.29,9.46,9.29,9.41,9.37,45830900
2010-08-18,9.42,9.62,9.32,9.57,9.54,40434500
2010-08-19,9.49,9.79,9.47,9.73,9.7,59910800
2010-08-20,9.66,9.87,9.65,9.84,9.8,48882600
2010-08-23,9.86,9.94,9.77,9.79,9.76,33699900
2010-08-24,9.69,9.8,9.59,9.63,9.59,37266800
2010-08-25,9.56,9.8,9.53,9.75,9.71,37959200
2010-08-26,9.79,9.87,9.56,9.57,9.53,53683500
2010-08-27,9.61,9.76,9.41,9.76,9.72,42847300
2010-08-30,9.76,9.89,9.73,9.73,9.7,33592300
2010-08-31,9.68,9.79,9.57,9.78,9.74,39890600
2010-09-01,9.77,10.12,9.77,10.11,10.08,51055200
2010-09-02,10.07,10.13,10.0,10.13,10.09,33678600
2010-09-03,10.21,10.3,10.08,10.16,10.12,40381000
2010-09-07,10.1,10.11,9.87,9.9,9.87,33294600
2010-09-08,10.11,10.35,10.06,10.34,10.3,55364300
2010-09-09,10.36,10.37,10.08,10.23,10.19,34534200
2010-09-10,10.24,10.33,10.08,10.14,10.11,25518900
2010-09-13,10.1,10.3,10.1,10.23,10.19,26283700
2010-09-14,10.17,10.27,10.12,10.21,10.17,35492200
2010-09-15,10.12,10.22,10.07,10.18,10.14,24061700
2010-09-16,10.19,10.23,9.95,10.06,10.02,28605800
2010-09-17,10.14,10.26,10.1,10.19,10.16,41243500
2010-09-20,10.21,10.4,10.19,10.37,10.34,23744300
2010-09-21,10.39,10.48,10.33,10.41,10.37,26198900
2010-09-22,10.06,10.29,9.84,10.24,10.21,62791900
2010-09-23,10.17,10.31,10.11,10.21,10.17,30051100
2010-09-24,10.31,10.45,10.19,10.41,10.37,29089300
2010-09-27,10.4,10.48,10.32,10.43,10.39,20401200
2010-09-28,10.45,10.52,10.23,10.47,10.43,25225200
2010-09-29,10.42,10.58,10.34,10.52,10.48,26303700
2010-09-30,10.56,10.59,10.21,10.27,10.23,36916600
2010-10-01,10.35,10.4,10.18,10.29,10.26,24751000
2010-10-04,10.29,10.3,10.07,10.13,10.1,20926600
2010-10-05,10.28,10.37,10.2,10.35,10.31,28749800
2010-10-06,10.38,10.43,10.21,10.29,10.25,28247700
2010-10-07,10.34,10.47,10.29,10.42,10.38,23731900
2010-10-08,10.44,10.44,10.23,10.36,10.32,16913000
2010-10-11,10.33,10.41,10.19,10.22,10.18,20996700
2010-10-12,10.21,10.35,10.13,10.29,10.25,28933000
2010-10-13,10.33,10.55,10.29,10.47,10.43,24066900
2010-10-14,10.53,10.8,10.52,10.64,10.6,31913900
2010-10-15,10.81,10.9,10.73,10.81,10.77,32847700
2010-10-18,10.88,10.94,10.71,10.82,10.78,19326600
2010-10-19,10.78,10.82,10.58,10.74,10.7,34246000
2010-10-20,10.75,10.9,10.73,10.8,10.76,40215400
2010-10-21,11.56,11.97,11.44,11.45,11.41,126645300
2010-10-22,11.47,11.82,11.45,11.81,11.77,45063400
2010-10-25,11.65,11.82,11.64,11.76,11.71,43493600
2010-10-26,11.61,12.3,11.6,12.1,12.06,63878000
2010-10-27,12.02,12.35,11.97,12.32,12.28,57782400
2010-10-28,12.37,12.54,12.22,12.51,12.46,45138000
2010-10-29,12.44,12.58,12.41,12.57,12.52,32614100
2010-11-01,12.4,12.6,12.3,12.36,12.31,33710400
2010-11-02,12.44,12.75,12.44,12.66,12.61,42129500
2010-11-03,12.61,12.69,12.49,12.67,12.63,37482100
2010-11-04,12.77,12.82,12.63,12.69,12.64,36147200
2010-11-05,12.7,13.02,12.69,12.99,12.94,39762300
2010-11-08,12.96,13.15,12.9,12.98,12.93,34295600
2010-11-09,12.96,12.98,12.73,12.85,12.8,32803200
2010-11-10,12.95,13.02,12.71,13.02,12.97,33810400
