Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,35.07,35.13,34.7,34.77,25.89,1931500
2010-01-05,34.68,34.93,34.36,34.46,25.66,2485100
2010-01-06,34.49,34.98,34.38,34.89,25.98,2673000
2010-01-07,34.8,34.84,34.54,34.68,25.82,2059800
2010-01-08,34.59,34.71,34.28,34.5,25.68,1560100
2010-01-11,34.61,35.26,34.61,35.17,26.18,2939100
2010-01-12,35.04,35.28,34.94,35.13,26.15,2237200
2010-01-13,35.16,35.52,35.05,35.45,26.39,1535700
2010-01-14,35.35,35.48,35.16,35.43,26.38,1443700
2010-01-15,35.74,35.81,34.91,35.24,26.24,2461600
2010-01-19,35.21,35.82,35.18,35.78,26.64,1642900
2010-01-20,35.35,35.56,34.85,35.34,26.31,2026100
2010-01-21,35.47,35.67,34.63,34.89,25.98,2246300
2010-01-22,34.72,34.8,33.86,33.87,25.22,2568900
2010-01-25,34.21,34.36,33.78,34.1,25.39,1531600
2010-01-26,34.05,34.32,33.76,34.2,25.46,2691800
2010-01-27,34.08,34.15,33.56,34.05,25.35,1976900
2010-01-28,34.1,34.19,33.44,33.47,24.92,2243500
2010-01-29,33.57,33.87,33.28,33.32,24.81,2101200
2010-02-01,33.47,33.71,33.1,33.66,25.06,1843500
2010-02-02,33.73,34.0,33.36,34.0,25.31,1707600
2010-02-03,33.79,33.94,33.52,33.6,25.01,1710200
2010-02-04,33.4,33.44,32.48,32.5,24.2,2790700
2010-02-05,32.45,32.63,31.88,32.46,24.17,2013700
2010-02-08,32.58,32.61,32.09,32.13,23.92,1262300
2010-02-09,32.37,32.95,32.3,32.55,24.23,1441900
2010-02-10,32.51,32.57,32.08,32.37,24.1,1158600
2010-02-11,32.38,32.66,32.01,32.58,24.26,1898100
2010-02-12,32.53,32.61,32.2,32.59,24.26,1893500
2010-02-16,32.76,33.36,32.71,33.35,24.83,1511800
2010-02-17,33.82,33.83,33.18,33.31,24.8,1622500
2010-02-18,33.22,33.9,33.22,33.61,25.02,1542600
2010-02-19,33.45,34.4,33.39,34.24,25.49,2108100
2010-02-22,34.29,34.5,33.79,33.81,25.17,1766200
2010-02-23,33.68,33.85,33.25,33.3,24.79,1862800
2010-02-24,33.33,33.49,32.9,33.18,24.7,2401700
2010-02-25,32.7,32.82,32.35,32.74,24.37,2907500
2010-02-26,32.79,33.0,32.54,32.63,24.29,2342800
2010-03-01,32.88,33.39,32.88,33.32,24.81,2437000
2010-03-02,33.47,33.7,33.08,33.23,24.74,2757300
2010-03-03,33.35,33.73,33.18,33.3,24.79,2330000
2010-03-04,33.3,33.37,33.05,33.13,24.67,2395800
2010-03-05,33.28,33.81,33.21,33.78,25.15,2180700
2010-03-08,33.91,33.91,33.53,33.56,24.99,1746900
2010-03-09,33.55,33.67,33.42,33.56,24.99,2055700
2010-03-10,34.03,34.25,33.8,34.1,25.39,2877300
2010-03-11,34.27,34.36,33.94,34.26,25.51,2127900
2010-03-12,34.42,34.42,33.79,33.79,25.16,1685900
2010-03-15,33.73,34.08,33.65,34.08,25.37,2088200
2010-03-16,34.01,34.39,33.78,34.37,25.59,1581400
2010-03-17,34.36,34.79,34.28,34.71,25.84,1981700
2010-03-18,34.68,34.92,34.32,34.51,25.69,2244800
2010-03-19,34.41,34.68,34.11,34.41,25.62,3080500
2010-03-22,34.28,34.44,34.13,34.23,25.48,2256800
2010-03-23,34.22,34.56,34.15,34.48,25.67,2226600
2010-03-24,34.34,34.46,34.08,34.09,25.38,2146100
2010-03-25,34.23,34.38,33.81,33.83,25.19,1861300
2010-03-26,33.97,34.06,33.65,34.02,25.33,1881700
2010-03-29,33.8,34.24,33.68,34.2,25.7,1784600
2010-03-30,34.16,34.56,34.16,34.51,25.93,1809000
2010-03-31,34.39,34.47,34.07,34.17,25.68,1928500
2010-04-01,34.35,34.59,34.19,34.3,25.77,1398800
2010-04-05,34.37,34.46,34.19,34.39,25.84,1193700
2010-04-06,34.24,34.67,34.1,34.67,26.05,1318900
2010-04-07,34.57,34.65,34.24,34.38,25.83,1699900
2010-04-08,34.27,34.37,34.07,34.33,25.8,1152700
2010-04-09,34.29,34.29,33.97,34.22,25.71,1133300
2010-04-12,34.28,34.59,34.27,34.46,25.89,1373900
2010-04-13,34.37,34.46,34.0,34.36,25.82,1222000
2010-04-14,34.26,34.45,34.05,34.43,25.87,1670400
2010-04-15,34.32,34.68,34.13,34.53,25.95,2034000
2010-04-16,34.48,34.51,33.87,33.93,25.5,2277300
2010-04-19,33.82,34.01,33.67,33.85,25.44,1951500
2010-04-20,33.97,34.21,33.92,34.11,25.63,2124500
2010-04-21,34.12,34.38,34.06,34.29,25.77,2261100
2010-04-22,34.15,34.15,33.79,34.09,25.62,2269500
2010-04-23,34.0,34.39,33.85,34.37,25.83,1796400
2010-04-26,34.28,34.41,34.09,34.09,25.62,1701400
