Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,24.34,24.44,24.11,24.27,21.28,3508400
2010-01-05,24.19,24.25,23.83,24.17,21.2,3246000
2010-01-06,24.31,24.44,24.08,24.25,21.27,4447200
2010-01-07,24.21,24.6,23.94,24.56,21.53,3864800
2010-01-08,24.43,24.68,24.27,24.66,21.62,2221600
2010-01-11,24.74,24.92,24.27,24.89,21.83,3271600
2010-01-12,24.8,25.21,24.67,24.78,21.73,3761000
2010-01-13,24.84,25.05,24.68,24.99,21.91,3205800
2010-01-14,24.98,25.08,24.71,24.95,21.88,3004000
2010-01-15,25.02,25.2,24.75,24.88,21.82,4555600
2010-01-19,24.9,25.24,24.71,25.0,21.92,3195800
2010-01-20,24.76,24.87,24.4,24.52,21.5,3143400
2010-01-21,26.27,26.89,26.15,26.76,23.47,17290600
2010-01-22,26.75,26.99,26.44,26.58,23.31,5699200
2010-01-25,26.81,26.92,26.48,26.58,23.31,4302400
2010-01-26,26.57,26.99,26.42,26.77,23.48,4617800
2010-01-27,26.72,26.88,26.38,26.82,23.52,3802800
2010-01-28,26.58,26.87,26.4,26.52,23.26,5303000
2010-01-29,26.64,26.66,26.06,26.26,23.03,5374800
2010-02-01,26.42,26.97,26.23,26.9,23.59,5915800
2010-02-02,26.77,28.15,26.76,28.0,24.56,7339800
2010-02-03,27.79,28.46,27.66,28.28,24.81,5416200
2010-02-04,28.03,28.19,27.71,27.92,24.49,5238000
2010-02-05,27.82,27.85,27.1,27.7,24.29,4525400
2010-02-08,27.7,28.49,27.68,27.83,24.41,4760600
2010-02-09,28.06,28.31,27.78,28.12,24.67,5144200
2010-02-10,27.95,28.27,27.75,28.03,24.58,3846200
2010-02-11,28.03,28.48,27.82,28.43,24.94,3272600
2010-02-12,28.09,28.42,27.92,28.33,24.84,3844800
2010-02-16,28.47,29.23,28.47,29.18,25.59,3086200
2010-02-17,29.25,29.5,29.15,29.43,25.81,2646800
2010-02-18,29.38,29.83,29.32,29.75,26.09,3067600
2010-02-19,29.69,29.7,29.34,29.42,25.8,2963200
2010-02-22,29.42,29.65,29.41,29.55,25.91,2258400
2010-02-23,29.49,29.75,29.3,29.33,25.72,2486000
2010-02-24,29.45,30.03,29.45,30.0,26.31,4780200
2010-02-25,29.81,30.34,29.5,30.28,26.56,4276800
2010-02-26,30.37,30.37,30.0,30.07,26.37,2507800
2010-03-01,30.23,31.11,30.15,31.08,27.26,6075200
2010-03-02,31.06,31.1,30.72,30.85,27.06,5706000
2010-03-03,30.81,30.94,30.53,30.59,26.83,2958400
