Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,30.75,30.97,30.43,30.88,23.87,1446400
2010-01-05,30.93,31.05,30.18,30.48,23.56,2269800
2010-01-06,30.45,30.99,29.99,30.27,23.41,3099000
2010-01-07,30.16,30.6,30.07,30.35,23.46,1076200
2010-01-08,30.23,30.48,30.08,30.43,23.53,853400
2010-01-11,30.67,30.74,30.28,30.44,23.54,855600
2010-01-12,30.02,30.19,29.72,30.12,23.29,2073600
2010-01-13,30.17,30.94,30.0,30.79,23.8,1486000
2010-01-14,30.68,30.92,30.25,30.35,23.46,1237200
2010-01-15,30.32,30.45,29.92,30.21,23.36,1300200
2010-01-19,30.23,30.91,30.05,30.91,23.89,948800
2010-01-20,30.51,30.51,29.93,30.47,23.55,1132600
2010-01-21,30.57,30.69,29.37,29.38,22.71,1619800
2010-01-22,29.29,29.58,28.67,28.7,22.19,1504000
2010-01-25,29.17,29.35,29.03,29.06,22.46,837200
2010-01-26,28.91,29.4,28.75,28.85,22.3,1085800
2010-01-27,28.84,29.1,28.34,29.03,22.44,1321400
2010-01-28,29.0,29.18,28.16,28.49,22.03,1694800
2010-01-29,29.51,29.95,28.22,28.26,21.85,3985400
2010-02-01,29.05,30.0,29.05,29.99,23.18,2468000
2010-02-02,29.94,30.17,29.49,29.81,23.04,3370400
2010-02-03,29.57,29.97,29.32,29.65,22.92,1598400
2010-02-04,29.28,29.28,28.5,28.74,22.22,2007400
2010-02-05,28.82,29.04,27.93,28.82,22.28,3121800
2010-02-08,28.77,29.03,28.23,28.3,21.88,1930000
2010-02-09,28.71,29.14,28.34,28.93,22.37,1675000
2010-02-10,28.94,29.08,28.29,28.67,22.17,1581400
2010-02-11,28.67,29.06,28.39,28.92,22.36,1721400
2010-02-12,28.42,29.1,28.15,29.0,22.42,1527600
2010-02-16,29.32,29.7,29.17,29.67,22.93,1596200
2010-02-17,29.9,29.99,29.42,29.65,22.92,1233200
2010-02-18,29.46,29.98,29.46,29.93,23.14,976000
2010-02-19,29.85,30.18,29.72,30.01,23.2,1243400
2010-02-22,30.18,30.33,29.87,30.14,23.3,1694400
2010-02-23,30.02,30.1,29.27,29.5,22.81,1441400
2010-02-24,29.67,29.91,29.4,29.78,23.03,1538800
2010-02-25,29.25,29.76,29.01,29.69,22.96,1705200
2010-02-26,29.67,29.84,29.36,29.77,23.02,1540400
2010-03-01,29.97,30.05,29.58,30.03,23.22,3508200
2010-03-02,30.22,30.43,30.03,30.26,23.4,2700600
2010-03-03,30.39,31.03,30.16,30.52,23.6,2360200
2010-03-04,30.44,30.75,30.35,30.63,23.68,1281000
2010-03-05,30.78,30.92,30.63,30.88,23.87,1407200
2010-03-08,30.86,31.05,30.74,30.88,23.87,1415800
2010-03-09,30.75,30.98,30.56,30.72,23.75,1749400
2010-03-10,30.69,30.93,30.4,30.79,23.8,2838800
2010-03-11,30.4,30.91,30.16,30.91,24.24,1814200
2010-03-12,30.85,31.29,30.78,30.97,24.29,1660600
2010-03-15,30.76,31.1,30.59,30.78,24.14,1410600
2010-03-16,30.88,31.12,30.73,31.11,24.4,1453800
2010-03-17,31.18,31.7,31.08,31.56,24.75,1807000
2010-03-18,31.51,31.72,31.06,31.18,24.45,2143600
2010-03-19,30.6,31.42,30.54,30.6,24.0,1687000
2010-03-22,30.4,31.34,30.21,31.29,24.54,1505600
2010-03-23,31.24,31.51,31.01,31.43,24.65,1320000
2010-03-24,31.17,31.86,31.05,31.69,24.85,2461400
2010-03-25,31.92,32.18,31.45,31.48,24.69,2379200
2010-03-26,31.58,32.26,31.57,31.68,24.85,1624200
2010-03-29,31.81,32.12,31.81,32.0,25.09,1682200
