Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,43.15,43.4,42.73,43.35,32.46,3781000
2010-01-05,43.38,43.43,43.07,43.42,32.51,2707500
2010-01-06,43.25,43.83,43.16,43.81,32.8,4314700
2010-01-07,43.6,43.84,43.29,43.81,32.8,3085700
2010-01-08,43.73,44.09,43.42,44.06,32.99,3477500
2010-01-11,44.23,44.89,44.01,44.73,33.49,3356800
2010-01-12,44.45,44.76,44.17,44.49,33.31,4337000
2010-01-13,44.64,44.69,44.36,44.52,33.33,3564000
2010-01-14,44.52,45.0,44.21,44.94,33.65,5364100
2010-01-15,44.8,45.55,44.14,44.32,33.18,4524600
2010-01-19,44.27,44.74,44.1,44.73,33.49,3531200
2010-01-20,44.38,44.44,43.72,44.24,33.12,3225500
2010-01-21,44.13,44.29,43.03,43.11,32.28,4886300
2010-01-22,43.05,43.42,42.06,42.08,31.5,4855300
2010-01-25,42.71,42.87,42.34,42.51,31.83,3132300
2010-01-26,42.35,42.77,42.06,42.17,31.57,3828700
2010-01-27,42.15,42.27,41.45,42.06,31.49,5676500
2010-01-28,42.21,42.3,41.22,41.67,31.2,3799700
2010-01-29,41.83,42.46,41.45,41.54,31.1,4657700
2010-02-01,41.81,42.56,41.79,42.48,31.8,4718300
2010-02-02,45.28,47.12,42.68,46.77,35.02,15023200
2010-02-03,46.25,47.01,46.17,46.56,34.86,6380900
2010-02-04,46.16,46.28,45.0,45.27,33.89,7859700
2010-02-05,45.1,45.65,44.36,45.15,33.8,7978100
2010-02-08,45.07,45.25,44.43,44.47,33.29,3976600
2010-02-09,44.9,46.04,44.62,45.81,34.3,7029900
2010-02-10,45.84,46.0,45.06,45.47,34.29,5371600
2010-02-11,45.44,46.62,45.2,46.53,35.09,5839700
2010-02-12,46.06,46.35,45.59,46.21,34.85,5373600
2010-02-16,46.59,46.98,46.39,46.95,35.41,4616500
2010-02-17,46.99,47.21,46.66,47.17,35.58,4443400
2010-02-18,47.06,47.78,47.02,47.73,36.0,4173200
2010-02-19,47.51,48.14,47.39,48.08,36.26,5662300
2010-02-22,48.19,48.39,47.71,48.21,36.36,4409600
2010-02-23,48.06,48.2,47.0,47.12,35.54,5196900
2010-02-24,47.16,48.21,46.95,48.16,36.32,5654500
2010-02-25,47.49,47.8,46.69,47.7,35.97,5332700
2010-02-26,47.77,48.03,47.05,47.34,35.7,5693700
2010-03-01,47.58,47.58,47.19,47.37,35.73,4928500
2010-03-02,47.59,47.9,47.45,47.63,35.92,3286600
2010-03-03,47.83,48.32,47.78,47.91,36.13,3589100
2010-03-04,47.96,48.29,47.67,47.95,36.16,3283800
2010-03-05,48.28,48.89,48.14,48.49,36.57,3748300
2010-03-08,48.56,48.59,47.95,47.98,36.19,4086200
2010-03-09,47.88,48.19,47.66,47.99,36.19,2992100
2010-03-10,48.12,48.28,47.65,47.99,36.19,3558800
2010-03-11,47.8,47.95,47.4,47.95,36.16,3500800
2010-03-12,48.15,48.18,47.62,48.09,36.27,2360500
2010-03-15,47.95,48.35,47.88,48.35,36.47,3114300
2010-03-16,48.44,48.77,48.17,48.69,36.72,2714200
2010-03-17,48.75,49.15,48.7,48.89,36.87,2631800
2010-03-18,48.98,49.05,48.55,48.98,36.94,2042800
2010-03-19,48.62,49.28,48.38,48.62,36.67,3959400
2010-03-22,48.27,48.92,48.2,48.82,36.82,2495100
2010-03-23,48.95,49.71,48.83,49.54,37.36,3046200
2010-03-24,49.56,49.79,48.91,49.13,37.05,3359300
2010-03-25,49.55,50.0,49.27,49.49,37.32,4452200
2010-03-26,49.56,50.2,49.56,49.8,37.56,4721800
2010-03-29,49.93,50.03,49.64,49.83,37.58,2436800
2010-03-30,49.96,51.1,49.89,50.81,38.32,4249100
2010-03-31,50.59,50.87,50.23,50.34,37.97,4253500
2010-04-01,50.52,51.05,50.43,50.83,38.34,2095700
2010-04-05,51.0,51.36,50.71,51.33,38.71,2666100
2010-04-06,51.31,51.31,50.82,50.98,38.45,2803600
2010-04-07,50.82,50.96,50.04,50.45,38.05,4696000
2010-04-08,50.5,51.01,50.13,50.94,38.42,3161900
2010-04-09,50.99,51.22,50.52,50.8,38.31,2535700
2010-04-12,50.77,51.13,50.61,50.79,38.31,1954100
2010-04-13,50.68,51.27,50.63,51.15,38.58,2904100
2010-04-14,51.12,52.0,50.89,51.9,39.14,3393800
2010-04-15,51.88,53.05,51.7,52.95,39.93,6137200
2010-04-16,52.77,52.88,51.49,51.8,39.07,5591200
2010-04-19,51.52,51.9,50.94,51.65,38.95,2862200
2010-04-20,52.08,52.31,51.68,52.1,39.29,3134100
2010-04-21,52.04,52.28,51.46,51.91,39.15,3059400
2010-04-22,51.4,52.62,50.51,52.59,39.66,4232700
2010-04-23,52.6,52.79,51.72,52.74,39.78,4440400
2010-04-26,52.85,53.07,52.49,52.61,39.68,3688600
2010-04-27,52.34,52.71,50.77,50.9,38.39,5792600
2010-04-28,51.28,52.68,50.94,52.47,39.57,6426900
2010-04-29,52.94,53.35,52.7,53.21,40.13,4594000
2010-04-30,53.17,53.5,52.16,52.23,39.39,3579700
2010-05-03,52.53,53.73,52.53,53.62,40.44,3680400
2010-05-04,50.66,51.7,49.34,50.18,37.85,13058000
2010-05-05,49.71,50.21,48.6,49.02,36.97,6735200
2010-05-06,48.78,49.76,46.0,48.44,36.53,9712200
2010-05-07,48.47,49.08,46.58,48.47,36.56,13256100
2010-05-10,49.96,51.69,49.37,50.85,38.35,5940800
2010-05-11,50.3,50.74,49.5,49.9,37.63,7403900
2010-05-12,49.73,50.38,49.29,50.27,38.17,5520900
2010-05-13,50.06,50.89,50.01,50.33,38.21,5104000
2010-05-14,49.77,50.03,48.46,49.06,37.25,6810000
2010-05-17,49.11,49.22,47.0,47.89,36.36,10369500
2010-05-18,48.1,49.03,47.78,47.97,36.42,6813200
2010-05-19,47.62,47.82,46.02,46.83,35.56,7928200
2010-05-20,45.78,46.77,45.34,46.01,34.93,12107300
2010-05-21,45.24,46.46,44.5,45.93,34.87,10472200
2010-05-24,45.59,46.09,45.31,45.38,34.46,5911200
2010-05-25,43.76,45.7,43.41,45.6,34.62,7434200
2010-05-26,46.1,46.57,45.3,45.54,34.58,5748700
2010-05-27,46.42,47.37,46.15,47.36,35.96,4213500
2010-05-28,47.29,47.5,46.0,46.44,35.26,4097800
2010-06-01,45.94,46.97,45.55,45.6,34.62,4573100
2010-06-02,45.79,46.91,45.58,46.89,35.6,3304700
2010-06-03,47.06,47.72,46.75,47.28,35.9,2939900
2010-06-04,46.08,46.53,44.71,44.97,34.15,5245900
2010-06-07,45.06,45.15,43.68,43.7,33.18,5964600
2010-06-08,43.79,44.49,43.1,44.24,33.59,5256400
2010-06-09,44.46,45.11,43.8,43.99,33.4,4468800
2010-06-10,45.08,45.9,44.92,45.88,34.84,3945600
2010-06-11,45.45,45.85,45.09,45.77,34.75,3064800
2010-06-14,45.9,46.23,45.37,45.45,34.51,3454400
2010-06-15,45.65,47.47,45.61,47.45,36.03,4702200
2010-06-16,47.18,47.52,46.98,47.3,35.91,2526200
2010-06-17,47.44,47.67,46.5,47.23,35.86,2873100
