Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,106.52,109.62,106.51,109.56,92.3,576300
2010-01-05,109.59,109.59,108.38,108.54,91.44,681900
2010-01-06,108.95,110.57,108.22,109.53,92.27,1397500
2010-01-07,109.25,110.35,106.64,107.29,90.38,797200
2010-01-08,106.8,107.28,105.9,106.77,89.95,432400
2010-01-11,106.97,108.15,106.7,107.65,90.69,568400
2010-01-12,106.6,107.65,102.96,103.29,87.01,948100
2010-01-13,102.25,104.36,102.25,103.08,86.84,704100
2010-01-14,103.32,104.77,103.32,104.12,87.71,954700
2010-01-15,104.38,104.48,101.55,102.11,86.02,814600
2010-01-19,102.69,104.16,101.6,103.93,87.55,616400
2010-01-20,102.85,104.03,101.97,103.45,87.15,411500
2010-01-21,103.19,106.26,103.12,103.37,87.08,788700
2010-01-22,103.2,104.26,98.67,99.02,83.42,1259200
2010-01-25,99.76,101.1,99.1,100.09,84.32,550500
2010-01-26,99.4,100.19,98.77,99.46,83.79,657900
2010-01-27,98.9,99.58,97.82,99.25,83.61,713500
2010-01-28,99.17,99.17,95.86,97.76,82.36,380100
2010-01-29,98.12,99.71,96.0,96.23,81.07,715000
2010-02-01,96.69,97.82,95.3,95.85,80.75,1243200
2010-02-02,95.91,97.24,94.68,96.58,81.36,1431100
2010-02-03,96.52,97.29,95.28,96.0,80.87,737000
2010-02-04,95.33,95.75,92.55,92.72,78.11,997600
2010-02-05,92.88,93.12,90.49,92.99,78.34,877000
2010-02-08,92.99,93.38,91.76,91.76,77.3,633300
2010-02-09,92.97,93.6,91.58,93.01,78.35,994900
2010-02-10,92.73,94.31,92.4,93.01,78.35,1237200
2010-02-11,93.23,95.73,91.17,95.23,80.22,2107900
2010-02-12,94.51,95.92,93.2,95.89,80.78,934600
2010-02-16,95.98,96.11,94.68,95.76,80.67,753400
2010-02-17,95.83,96.25,94.86,96.18,81.02,502500
2010-02-18,95.42,96.53,94.32,95.03,80.06,560000
2010-02-19,94.58,95.46,94.5,95.01,80.04,492000
2010-02-22,94.84,94.98,93.72,94.51,79.62,535400
2010-02-23,94.1,94.81,93.13,93.23,78.54,827100
2010-02-24,93.72,94.9,93.34,94.83,79.89,554400
2010-02-25,93.82,94.39,92.7,94.33,79.47,862400
2010-02-26,94.56,94.56,93.59,94.47,79.58,642000
2010-03-01,94.99,97.91,94.48,97.8,82.39,835300
2010-03-02,97.86,99.07,97.45,98.21,82.73,609800
2010-03-03,98.18,98.77,96.98,97.13,81.82,612300
2010-03-04,97.08,99.0,96.97,98.75,83.19,505000
2010-03-05,98.98,103.19,98.37,102.74,86.55,1460100
2010-03-08,103.08,104.23,102.4,102.62,86.45,841800
2010-03-09,102.56,102.81,101.5,102.3,86.18,519400
