Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,25.65,26.0,25.65,25.77,18.86,1206800
2010-01-05,25.91,25.91,25.5,25.68,18.79,2014200
2010-01-06,25.77,26.14,25.75,26.01,19.03,1550300
2010-01-07,26.04,26.16,25.81,25.97,19.0,881300
2010-01-08,25.87,26.24,25.77,26.04,19.06,969700
2010-01-11,25.72,26.26,25.72,26.21,19.18,1441900
2010-01-12,26.16,26.4,26.02,26.15,19.14,1083400
2010-01-13,26.27,26.51,26.12,26.39,19.31,1077900
2010-01-14,26.32,26.47,26.27,26.39,19.31,603000
2010-01-15,26.49,26.57,25.84,25.95,18.99,2549000
2010-01-19,25.93,26.44,25.93,26.41,19.33,1204800
2010-01-20,26.22,26.36,26.06,26.28,19.23,1347500
2010-01-21,26.38,26.62,25.83,25.96,19.0,1639600
2010-01-22,26.01,26.28,25.45,25.46,18.63,1178300
2010-01-25,25.62,25.7,25.32,25.54,18.69,1227500
2010-01-26,25.36,25.6,25.35,25.46,18.63,887200
2010-01-27,25.46,25.6,25.1,25.56,18.7,1787800
2010-01-28,25.61,25.68,25.3,25.46,18.63,1336300
2010-01-29,25.61,25.68,25.28,25.32,18.53,1910800
2010-02-01,25.47,25.64,25.07,25.63,18.76,1397300
2010-02-02,25.57,26.0,25.35,25.99,19.02,1349600
2010-02-03,25.76,26.0,25.73,25.94,18.98,1407500
2010-02-04,25.78,25.85,25.2,25.22,18.46,1843500
2010-02-05,25.25,25.29,24.75,25.14,18.4,1390500
2010-02-08,25.1,25.12,24.76,24.78,18.13,975600
2010-02-09,24.97,25.24,24.86,25.04,18.32,926500
2010-02-10,25.04,25.14,24.68,24.99,18.29,1044200
2010-02-11,25.0,25.22,24.77,25.22,18.46,1050600
2010-02-12,25.11,25.21,24.9,25.13,18.39,1187300
2010-02-16,25.34,25.79,25.31,25.79,18.87,957800
2010-02-17,25.92,26.03,25.78,25.85,18.92,1177000
2010-02-18,25.83,26.26,25.83,26.14,19.13,1946700
2010-02-19,26.14,26.72,26.09,26.67,19.52,1316300
2010-02-22,26.75,26.83,26.62,26.68,19.52,648300
2010-02-23,26.63,26.66,26.28,26.33,19.27,1257100
2010-02-24,26.42,26.58,26.01,26.26,19.22,1582800
2010-02-25,25.15,25.61,25.15,25.57,18.9,1918900
2010-02-26,25.68,25.78,25.39,25.6,18.92,1619000
2010-03-01,25.72,26.15,25.72,26.11,19.29,1071000
2010-03-02,26.23,26.38,26.17,26.23,19.38,1153100
2010-03-03,26.23,26.39,26.13,26.16,19.33,1116000
2010-03-04,26.16,26.27,26.08,26.26,19.41,922100
2010-03-05,26.5,26.52,26.28,26.51,19.59,970100
2010-03-08,26.64,26.75,26.54,26.58,19.64,831000
2010-03-09,26.55,26.61,26.37,26.49,19.58,992900
2010-03-10,26.48,26.73,26.34,26.73,19.75,1188800
2010-03-11,26.36,26.8,26.36,26.67,19.71,1051300
2010-03-12,26.92,26.96,26.66,26.81,19.81,976300
2010-03-15,26.76,27.0,26.74,27.0,19.95,673000
2010-03-16,27.01,27.25,26.81,27.25,20.14,1094900
2010-03-17,27.28,27.28,27.02,27.16,20.07,1301900
2010-03-18,27.16,27.27,27.06,27.17,20.08,1166600
2010-03-19,27.16,27.48,27.05,27.16,20.07,1317600
2010-03-22,27.07,27.21,26.94,27.09,20.02,1170100
2010-03-23,27.12,27.27,26.97,27.24,20.13,755400
2010-03-24,27.2,27.25,26.94,26.95,19.92,666700
2010-03-25,27.03,27.2,27.01,27.09,20.02,1764000
2010-03-26,27.11,27.22,26.89,27.02,19.97,1231400
2010-03-29,27.11,27.55,27.11,27.54,20.35,753700
2010-03-30,27.58,28.0,27.56,27.83,20.57,1614200
2010-03-31,27.79,27.88,27.53,27.64,20.43,914700
2010-04-01,27.75,28.1,27.75,27.97,20.67,1008400
2010-04-05,28.0,28.12,27.94,28.04,20.72,709900
2010-04-06,27.98,28.21,27.93,28.2,20.84,638500
2010-04-07,28.14,28.19,27.76,27.92,20.63,1915400
2010-04-08,27.72,27.72,27.42,27.7,20.47,1284400
2010-04-09,27.7,27.84,27.45,27.81,20.55,832800
2010-04-12,27.85,27.99,27.66,27.8,20.54,1485700
2010-04-13,27.77,27.79,27.42,27.74,20.5,843000
2010-04-14,27.75,27.88,27.59,27.87,20.6,574200
2010-04-15,27.67,27.97,27.65,27.89,20.61,843700
2010-04-16,27.81,27.98,27.36,27.38,20.23,1361700
2010-04-19,27.38,27.46,27.13,27.46,20.29,1390500
2010-04-20,27.62,27.63,27.48,27.58,20.38,877500
2010-04-21,27.58,27.66,27.44,27.65,20.43,846300
2010-04-22,27.53,27.81,27.45,27.77,20.52,1020100
2010-04-23,27.78,27.87,27.65,27.76,20.51,1661400
2010-04-26,27.74,27.9,27.56,27.65,20.43,1337100
2010-04-27,27.48,27.58,27.0,27.02,19.97,1515100
2010-04-28,27.18,27.4,26.95,27.33,20.2,2326300
2010-04-29,27.49,27.59,27.26,27.57,20.37,1352900
2010-04-30,27.65,28.03,27.59,27.79,20.54,1411800
2010-05-03,27.96,28.0,27.6,27.75,20.51,2588300
2010-05-04,27.48,27.58,27.23,27.38,20.23,1622600
2010-05-05,27.15,27.43,26.92,27.09,20.02,1260400
2010-05-06,26.98,26.98,25.0,26.0,19.21,2291400
2010-05-07,25.95,26.08,25.17,25.53,18.87,2970700
2010-05-10,26.37,26.42,25.99,26.33,19.46,1331100
2010-05-11,26.15,26.76,26.03,26.51,19.59,1441500
2010-05-12,26.52,26.93,26.35,26.93,19.9,1294100
2010-05-13,26.9,27.03,26.6,26.63,19.68,1078600
2010-05-14,26.5,26.78,26.33,26.6,19.66,1619000
2010-05-17,26.71,26.82,26.26,26.58,19.64,924100
2010-05-18,26.74,26.93,26.45,26.49,19.58,1518500
2010-05-19,26.36,26.83,26.23,26.61,19.66,3189400
2010-05-20,26.12,26.49,25.98,25.98,19.2,3131700
2010-05-21,25.66,26.3,25.55,26.11,19.29,2190400
2010-05-24,25.95,26.18,25.69,25.8,19.07,1334700
2010-05-25,25.28,25.55,24.83,25.52,18.86,1933300
2010-05-26,25.72,26.18,25.61,25.75,19.03,2128400
2010-05-27,25.99,25.99,25.64,25.82,19.27,1425900
2010-05-28,25.85,26.2,25.77,25.95,19.37,2188900
2010-06-01,25.83,26.07,25.28,25.3,18.88,1424900
2010-06-02,25.4,25.91,25.25,25.88,19.32,1480000
2010-06-03,25.99,26.44,25.97,26.34,19.66,1476300
2010-06-04,25.86,25.97,25.29,25.36,18.93,1782700
2010-06-07,25.36,25.7,25.27,25.3,18.88,1236300
2010-06-08,25.27,25.55,25.11,25.52,19.05,1260200
2010-06-09,25.59,25.71,25.18,25.28,18.87,1220000
2010-06-10,25.64,26.01,25.63,26.01,19.41,884800
2010-06-11,25.88,26.06,25.74,26.01,19.41,976000
2010-06-14,26.12,26.28,25.93,26.08,19.47,2025400
2010-06-15,26.15,26.48,26.15,26.48,19.76,1676400
