Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,53.1,53.45,53.01,53.31,51.64,606200.0
2017-11-03,53.28,54.08,53.28,54.0,52.31,919400.0
2017-11-06,54.0,54.65,53.9,54.0,52.31,501200.0
2017-12-07,,,,,,
2018-03-08,,,,,,
2018-05-24,54.19,54.63,53.89,54.58,52.87,909400.0
2018-05-25,54.56,56.31,54.56,56.15,54.4,1305600.0
2018-05-29,55.7,56.62,55.45,56.2,54.83,1055400.0
2018-05-30,56.09,57.28,55.98,57.04,55.65,825600.0
2018-05-31,56.95,57.44,56.68,56.7,55.32,1845700.0
2018-06-01,56.6,56.77,55.02,55.08,53.74,4459800.0
2018-06-04,55.24,55.48,53.48,54.0,52.69,51172100.0
2018-06-05,54.5,54.74,53.21,54.25,52.93,2904800.0
2018-06-06,54.05,54.19,52.11,52.29,51.02,3643000.0
2018-06-07,52.25,52.56,51.74,51.93,50.67,2928600.0
2018-06-08,52.26,52.51,51.26,51.32,50.07,1830800.0
2018-06-11,51.46,51.76,50.89,51.57,50.32,2490700.0
2018-06-12,51.83,52.46,51.47,52.25,50.98,2956100.0
2018-06-13,52.4,53.12,51.67,52.18,50.91,2089000.0
2018-06-14,52.45,52.75,51.63,51.95,50.69,2494400.0
2018-06-15,52.06,53.16,51.65,52.78,51.5,5928800.0
2018-06-18,52.78,53.22,52.26,52.93,51.64,1874800.0
2018-06-19,53.24,54.0,53.09,53.97,52.66,2585700.0
2018-06-20,53.72,54.46,53.3,54.2,52.88,1356000.0
2018-06-21,54.39,54.77,53.91,54.17,52.85,1951200.0
2018-06-22,54.06,54.55,53.96,54.44,53.12,2309400.0
2018-06-25,54.36,55.09,54.03,54.91,53.58,2031600.0
2018-06-26,54.57,55.85,54.57,55.21,53.87,2018100.0
2018-06-27,55.1,55.81,55.01,55.46,54.11,1506700.0
2018-06-28,55.37,56.29,55.3,55.71,54.36,1226500.0
2018-06-29,55.54,56.25,55.07,56.15,54.79,2189700.0
2018-07-02,56.14,56.89,56.11,56.81,55.43,1952100.0
2018-07-03,56.81,57.07,56.26,56.55,55.18,849500.0
2018-07-05,56.55,56.74,55.96,56.56,55.19,1523900.0
2018-07-06,56.45,57.09,56.41,56.76,55.38,1242400.0
2018-07-09,56.7,56.74,54.6,54.77,53.44,1308700.0
2018-07-10,54.37,55.04,54.17,55.0,53.66,1776400.0
2018-07-11,55.18,56.14,54.93,55.97,54.61,1061900.0
2018-07-12,55.71,56.07,55.35,55.75,54.4,1423300.0
2018-07-13,55.8,56.07,55.55,55.91,54.55,888700.0
2018-07-16,55.76,56.09,55.55,56.0,54.64,740500.0
2018-07-17,56.24,56.4,55.85,56.03,54.67,1213400.0
2018-07-18,55.83,56.03,55.18,55.55,54.2,680400.0
2018-07-19,55.65,56.58,55.65,56.15,54.79,874500.0
2018-07-20,55.77,56.16,55.56,55.71,54.36,817300.0
2018-07-23,55.79,55.8,54.93,55.05,53.71,1459900.0
2018-07-24,54.91,55.31,54.37,54.99,53.65,1560800.0
2018-07-25,54.95,55.53,54.84,55.04,53.7,1937700.0
2018-07-26,55.31,55.88,55.11,55.48,54.13,951600.0
2018-07-27,55.43,55.73,54.9,55.33,53.99,1013200.0
2018-07-30,55.3,55.89,54.82,55.41,54.06,951400.0
2018-07-31,55.51,56.23,55.05,56.09,54.73,1155700.0
2018-08-01,55.81,56.04,54.94,55.6,54.25,914600.0
2018-08-02,55.54,56.12,55.38,55.82,54.46,1081300.0
2018-08-03,55.89,56.64,55.44,56.18,54.82,1089800.0
2018-08-06,56.17,56.9,55.95,56.15,54.79,1159100.0
2018-08-07,56.15,56.77,55.91,56.62,55.24,1412100.0
2018-08-08,56.41,56.62,56.11,56.37,55.0,1111500.0
2018-08-09,55.6,57.32,55.51,57.02,55.63,1610100.0
2018-08-10,57.12,57.99,57.12,57.68,56.28,1507500.0
2018-08-13,57.45,57.81,57.01,57.61,56.21,1977300.0
2018-08-14,57.64,57.96,57.34,57.44,56.04,1033200.0
2018-08-15,57.46,58.22,57.26,57.69,56.29,1423600.0
2018-08-16,57.57,57.88,57.3,57.68,56.28,1828500.0
2018-08-17,57.57,58.22,57.37,57.87,56.46,3784600.0
2018-08-20,57.87,58.24,57.64,57.85,56.44,1413400.0
