Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,102.12,102.3,101.13,101.38,101.38,934700
2017-11-03,101.39,103.12,100.85,102.72,102.72,1088300
2017-11-06,102.4,103.46,102.0,103.16,103.16,882200
2018-05-24,139.39,139.98,136.5,137.57,137.57,1425500
2018-05-25,137.5,137.82,135.25,135.95,135.95,1002300
2018-05-29,135.38,136.08,134.38,135.93,135.93,925000
2018-05-30,136.34,138.85,136.28,137.45,137.45,826500
2018-05-31,138.11,139.4,136.98,137.31,137.31,1335000
2018-06-01,138.17,142.23,137.12,141.91,141.91,1532700
2018-06-04,141.92,143.76,140.73,142.78,142.78,1225500
2018-06-05,143.06,143.2,141.04,141.86,141.86,981100
2018-06-06,141.37,141.97,140.17,141.97,141.97,1308300
2018-06-07,142.37,142.76,140.33,142.01,142.01,1277600
2018-06-08,141.37,143.38,141.37,142.82,142.82,1005600
2018-06-11,143.1,146.94,142.59,146.27,146.27,1516900
2018-06-12,146.99,149.17,146.75,148.52,148.52,1648800
2018-06-13,150.0,153.66,149.6,151.98,151.98,1892800
2018-06-14,152.47,153.5,150.18,151.56,151.56,1638700
2018-06-15,151.82,153.87,151.07,152.51,152.51,2100200
2018-06-18,151.75,154.15,150.9,153.11,153.11,1199100
2018-06-19,152.0,153.75,151.44,153.6,153.6,1571200
2018-06-20,153.82,155.22,153.37,153.9,153.9,1322000
2018-06-21,153.71,154.18,151.44,152.18,152.18,1195100
2018-06-22,152.77,154.1,151.76,152.87,152.87,1027500
2018-06-25,152.87,152.87,148.82,149.99,149.99,1259000
2018-06-26,150.28,151.2,149.31,150.23,150.23,856600
2018-06-27,147.99,149.65,144.18,144.76,144.76,1856600
2018-06-28,144.89,147.09,144.42,146.73,146.73,1196900
2018-06-29,147.1,147.66,145.49,145.57,145.57,1133300
2018-07-02,144.86,146.26,144.12,146.16,146.16,1015100
2018-07-03,146.49,146.49,145.09,145.54,145.54,616600
2018-07-05,146.6,146.79,145.09,146.46,146.46,935600
2018-07-06,146.42,147.77,145.74,147.53,147.53,730500
2018-07-09,147.68,148.47,146.17,146.99,146.99,1185600
2018-07-10,147.14,148.0,146.41,147.05,147.05,619600
2018-07-11,145.57,145.59,143.9,144.65,144.65,1889300
2018-07-12,145.77,147.55,145.39,147.17,147.17,1023600
2018-07-13,147.2,148.78,146.93,148.13,148.13,970700
2018-07-16,148.02,148.02,146.56,146.68,146.68,758700
2018-07-17,146.33,149.58,146.33,149.2,149.2,1373500
2018-07-18,149.46,150.14,148.62,149.81,149.81,949800
2018-07-19,149.76,151.53,149.73,150.28,150.28,855200
2018-07-20,150.02,153.34,150.0,152.62,152.62,1550200
2018-07-23,152.62,153.98,151.25,152.68,152.68,931300
2018-07-24,153.04,153.56,151.23,152.31,152.31,966400
2018-07-25,152.65,155.5,152.08,155.12,155.12,1152500
2018-07-26,155.47,156.87,154.31,155.06,155.06,1220900
2018-07-27,146.84,147.0,139.76,141.87,141.87,3792600
2018-07-30,141.33,144.72,139.93,142.18,142.18,2651100
2018-07-31,142.74,143.31,139.89,142.45,142.45,1745700
2018-08-01,142.66,144.46,141.18,142.78,142.78,1070200
2018-08-02,142.78,145.64,142.31,145.04,145.04,958200
2018-08-03,144.65,145.35,142.9,145.21,145.21,921800
2018-08-06,144.99,146.7,143.91,144.38,144.38,873100
2018-08-07,144.02,144.2,141.8,142.75,142.75,977000
2018-08-08,139.75,140.92,139.03,139.7,139.7,1640400
2018-08-09,139.99,141.18,138.79,139.15,139.15,1030700
2018-08-10,138.56,139.47,137.61,138.06,138.06,892000
2018-08-13,138.08,138.96,136.81,137.11,137.11,849500
2018-08-14,137.23,138.29,136.55,137.13,137.13,1020400
2018-08-15,136.73,138.17,134.53,137.87,137.87,1512900
2018-08-16,138.62,141.05,137.56,139.39,139.39,1392500
2018-08-17,139.39,140.22,137.93,139.77,139.77,1420200
2018-08-20,140.14,141.42,138.73,140.81,140.81,806600
2018-08-21,141.83,142.38,139.65,140.4,140.4,889400
2018-08-22,139.9,141.32,139.05,141.12,141.12,609800
2018-08-23,141.23,142.48,140.67,141.03,141.03,736100
2018-08-24,141.05,142.17,141.05,141.73,141.73,865100
2018-08-27,142.5,143.6,140.56,140.72,140.72,1080300
2018-08-28,141.47,142.05,140.03,141.99,141.99,1501000
2018-08-29,142.34,144.76,142.01,143.83,143.83,1011400
2018-08-30,143.59,144.78,143.24,143.8,143.8,664100
2018-08-31,143.39,144.7,143.39,144.24,144.24,700800
2018-09-04,144.46,144.64,141.13,142.4,142.4,1755000
2018-09-05,141.73,142.32,139.26,139.8,139.8,1269500
2018-09-06,139.8,141.05,139.07,140.55,140.55,874000
2018-09-07,140.43,142.56,140.07,141.33,141.33,1142500
2018-09-10,142.02,142.66,141.24,142.35,142.35,722700
2018-09-11,142.25,144.44,142.0,143.92,143.92,1380900
2018-09-12,143.84,145.14,143.23,144.92,144.92,775000
2018-09-13,145.71,147.42,145.17,145.89,145.89,712500
2018-09-14,146.95,148.18,145.53,147.99,147.99,1266000
2018-09-17,148.08,148.16,145.99,146.29,146.29,921200
2018-09-18,146.0,146.98,145.5,145.95,145.95,842300
2018-09-19,146.33,148.92,146.13,148.72,148.72,1220500
2018-09-20,149.0,152.98,148.76,151.47,151.47,1625900
2018-09-21,151.37,154.26,151.2,153.68,153.68,1978300
2018-09-24,160.0,165.97,159.26,165.47,165.47,3660100
2018-09-25,162.14,168.64,159.73,168.35,168.35,2875600
2018-09-26,168.48,171.14,167.32,170.39,170.39,1867700
2018-09-27,171.0,172.54,170.48,172.16,172.16,1678000
2018-09-28,172.85,175.0,172.16,174.1,174.1,1942200
2018-10-01,174.75,174.99,170.11,170.82,170.82,2089400
2018-10-02,163.22,164.0,159.06,162.1,162.1,2707100
2018-10-03,162.54,162.75,154.85,155.74,155.74,3583200
2018-10-04,155.0,155.63,151.75,152.93,152.93,2088000
2018-10-05,152.9,154.46,149.12,151.69,151.69,1975800
2018-10-08,151.6,151.79,146.27,147.15,147.15,2586500
2018-10-09,147.35,149.82,146.3,147.94,147.94,2104100
2018-10-10,147.87,147.91,140.1,140.25,140.25,2586100
2018-10-11,140.0,144.01,138.93,139.77,139.77,2285400
2018-10-12,142.14,144.98,141.11,143.39,143.39,2118600
2018-10-15,142.64,143.0,140.39,141.79,141.79,2009200
2018-10-16,143.34,147.21,142.35,147.02,147.02,1812100
2018-10-17,146.39,148.86,144.79,148.63,148.63,1363600
2018-10-18,148.68,149.74,145.49,147.32,147.32,1844300
2018-10-19,147.91,149.07,145.18,145.42,145.42,4373500
2018-10-22,145.72,149.58,144.63,149.31,149.31,2368400
2018-10-23,146.82,149.71,143.2,148.3,148.3,2943100
2018-10-24,147.02,151.85,139.49,140.36,140.36,4350900
2018-10-25,141.93,144.76,139.43,143.35,143.35,1771100
2018-10-26,141.34,142.0,136.94,140.14,140.14,1755000
2018-10-29,142.57,143.26,136.44,139.22,139.22,2061500
2018-10-30,139.27,143.23,139.27,142.56,142.56,1304900
2018-10-31,144.46,148.45,143.36,147.6,147.6,1943800
2018-11-01,148.78,151.59,147.53,151.48,151.48,1794400
2018-11-02,152.65,155.0,150.41,152.79,152.79,1481300
2018-11-05,152.4,152.6,148.4,149.75,149.75,1895200
2018-11-06,149.28,152.85,149.28,152.73,152.73,922800
2018-11-07,154.0,158.05,153.01,157.86,157.86,1239800
2018-11-08,157.31,158.32,155.79,157.15,157.15,942600
2018-11-09,156.05,157.13,152.68,153.18,153.18,1940400
2018-11-12,152.58,152.89,147.48,147.8,147.8,1474400
2018-11-13,148.63,150.1,146.98,148.24,148.24,1173700
2018-11-14,149.4,151.37,147.27,148.65,148.65,1647800
2018-11-15,147.96,154.03,147.96,153.12,153.12,1345000
2018-11-16,151.93,157.32,150.83,155.71,155.71,1411400
2018-11-19,155.5,155.52,149.64,149.88,149.88,1707900
2018-11-20,148.57,153.6,147.52,149.59,149.59,2091600
2018-11-21,150.87,153.87,147.27,148.22,148.22,1126800
2018-11-23,147.58,149.68,147.28,148.2,148.2,449000
2018-11-26,149.25,152.96,148.18,152.65,152.65,1160000
2018-11-27,151.59,155.76,150.57,154.52,154.52,1287500
2018-11-28,155.38,161.33,154.56,161.05,161.05,1671000
2018-11-29,160.67,163.36,159.55,162.8,162.8,1259200
2018-11-30,163.53,163.8,160.33,162.01,162.01,1794500
