Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,21.01,21.18,20.84,21.01,16.06,3432000
2010-01-05,20.96,21.48,20.88,21.45,16.39,2898800
2010-01-06,22.09,23.24,22.0,22.86,17.47,10329400
2010-01-07,22.67,23.44,22.34,23.25,17.77,6245200
2010-01-08,23.45,23.58,23.03,23.49,17.95,3316200
2010-01-11,23.48,23.49,22.88,23.03,17.6,3985000
2010-01-12,22.88,23.14,22.77,23.02,17.6,2527400
2010-01-13,23.1,23.47,22.94,23.34,17.84,2661000
2010-01-14,23.22,23.64,23.01,23.15,17.69,2669600
2010-01-15,22.75,23.4,22.71,22.93,17.52,3298400
2010-01-19,21.76,23.24,21.67,22.41,17.13,9384400
2010-01-20,22.27,22.32,21.56,22.13,16.91,3911400
2010-01-21,22.14,22.33,21.73,21.75,16.63,3154000
2010-01-22,21.8,21.98,21.17,21.27,16.26,2386400
2010-01-25,21.4,21.42,21.01,21.32,16.29,2117400
2010-01-26,21.26,21.32,21.03,21.08,16.11,2281600
2010-01-27,20.95,21.18,20.88,21.12,16.14,2178800
2010-01-28,21.23,21.23,20.5,20.75,15.85,2983400
2010-01-29,20.81,21.25,20.73,20.74,15.85,2861600
2010-02-01,20.8,21.01,20.69,20.76,15.87,2843800
2010-02-02,20.86,21.52,20.82,21.48,16.41,3975000
2010-02-03,21.38,21.6,21.33,21.51,16.44,2386600
2010-02-04,21.39,21.44,21.01,21.07,16.1,3118400
2010-02-05,21.17,21.34,20.67,21.0,16.04,3869400
2010-02-08,20.99,21.0,20.57,20.6,15.75,3148000
2010-02-09,20.89,21.3,20.78,21.17,16.18,2726600
2010-02-10,21.03,21.3,20.68,20.76,16.17,2251400
2010-02-11,20.65,21.08,20.49,21.07,16.41,1763000
2010-02-12,20.88,21.03,20.72,20.92,16.29,2131200
2010-02-16,21.1,21.5,21.0,21.49,16.74,2159600
2010-02-17,21.53,21.67,21.3,21.56,16.79,1616600
2010-02-18,21.6,21.83,21.57,21.82,17.0,1569800
2010-02-19,21.68,22.04,21.67,21.93,17.09,1718600
2010-02-22,22.0,22.14,21.89,22.03,17.16,1685600
2010-02-23,22.04,22.17,21.89,21.97,17.11,2279200
2010-02-24,22.11,22.22,21.93,22.09,17.21,1336600
2010-02-25,21.69,22.22,21.66,22.18,17.28,2180800
2010-02-26,22.18,22.32,22.0,22.18,17.28,2630800
2010-03-01,22.2,22.5,22.09,22.46,17.49,3258800
2010-03-02,22.5,22.62,22.32,22.41,17.46,2328600
2010-03-03,22.52,22.76,22.48,22.51,17.53,2320600
2010-03-04,22.62,22.71,22.43,22.55,17.56,2277200
2010-03-05,22.58,22.89,22.57,22.85,17.8,2802600
2010-03-08,22.79,22.91,22.6,22.73,17.7,1791200
2010-03-09,22.73,22.83,22.54,22.65,17.64,2189400
2010-03-10,22.58,22.79,22.55,22.64,17.63,1824200
2010-03-11,22.52,22.61,22.35,22.61,17.61,1928200
2010-03-12,22.66,22.68,22.43,22.64,17.63,1502800
2010-03-15,22.66,22.97,22.57,22.94,17.87,1958400
2010-03-16,22.91,23.19,22.8,23.17,18.05,2184400
2010-03-17,23.23,23.74,23.12,23.72,18.48,2383200
2010-03-18,23.46,23.83,23.46,23.67,18.44,1714400
2010-03-19,23.9,23.9,23.28,23.49,18.3,4675000
2010-03-22,23.49,24.43,23.49,24.19,18.84,3708200
2010-03-23,24.25,24.52,24.07,24.5,19.08,2204400
2010-03-24,24.43,24.49,24.16,24.17,18.83,2370600
2010-03-25,24.4,24.45,23.98,24.01,18.71,2417600
2010-03-26,24.03,24.35,24.02,24.14,18.8,1501600
2010-03-29,24.25,24.4,24.17,24.22,18.86,1969000
2010-03-30,24.34,24.58,24.16,24.25,18.89,1522200
2010-03-31,24.2,24.27,23.97,24.0,18.69,1827000
2010-04-01,24.09,24.39,24.05,24.29,18.92,1554800
2010-04-05,24.44,24.89,24.35,24.85,19.36,1702600
2010-04-06,24.82,25.06,24.79,25.04,19.5,2398200
2010-04-07,24.95,26.32,24.95,25.86,20.14,6840200
2010-04-08,25.74,25.88,23.25,25.41,19.79,3805200
2010-04-09,25.55,25.58,25.35,25.58,19.92,1918200
2010-04-12,25.6,26.02,25.5,25.95,20.21,3847600
2010-04-13,27.1,27.48,26.32,26.5,20.64,6513800
2010-04-14,26.5,26.72,26.24,26.72,20.81,2960400
2010-04-15,26.66,27.58,26.57,27.5,21.42,5776000
2010-04-16,27.42,27.61,27.0,27.16,21.16,3506800
2010-04-19,27.1,27.46,26.83,27.43,21.37,2678400
2010-04-20,27.45,27.5,26.92,27.13,21.13,4246800
2010-04-21,27.1,27.25,26.7,27.19,21.18,3060400
2010-04-22,26.99,27.93,26.99,27.85,21.7,3558800
2010-04-23,27.84,28.23,27.6,28.1,21.89,2015600
2010-04-26,28.09,28.33,27.94,28.05,21.85,1978000
2010-04-27,27.98,28.1,27.06,27.14,21.14,2951000
2010-04-28,27.35,27.57,27.08,27.27,21.25,2147000
2010-04-29,27.65,28.09,27.32,28.02,21.83,2304400
2010-04-30,28.1,28.25,27.21,27.34,21.3,2223400
2010-05-03,27.21,28.31,27.21,28.24,22.0,2702400
2010-05-04,27.78,27.85,26.89,27.05,21.07,3154200
2010-05-05,26.95,27.15,26.55,26.66,20.76,3318400
2010-05-06,26.55,26.83,24.22,25.67,20.0,4023000
2010-05-07,25.52,25.8,24.68,25.11,19.56,3411800
2010-05-10,25.76,26.83,25.76,26.74,20.83,2470000
2010-05-11,26.43,27.3,26.42,27.12,21.13,3461600
2010-05-12,27.19,27.77,27.0,27.73,21.6,3242200
2010-05-13,27.47,27.85,27.18,27.49,21.41,2998800
2010-05-14,27.33,27.43,26.52,26.83,20.9,1899200
2010-05-17,26.92,27.15,26.24,26.83,20.9,1875800
2010-05-18,27.0,27.24,26.17,26.28,20.47,1910400
2010-05-19,26.14,26.69,25.65,26.13,20.35,1976200
2010-05-20,25.93,26.06,24.55,24.6,19.17,5557200
2010-05-21,24.69,25.35,24.19,25.17,19.61,3363800
2010-05-24,24.82,25.26,24.72,24.78,19.31,1751200
2010-05-25,24.22,24.83,24.02,24.83,19.34,2278000
2010-05-26,24.46,25.41,24.46,24.71,19.25,1796200
2010-05-27,25.21,25.72,25.08,25.68,20.0,1553200
2010-05-28,25.6,25.83,24.85,25.22,19.64,2036000
2010-06-01,25.1,25.58,24.83,24.83,19.34,1978400
2010-06-02,24.89,25.9,24.67,25.9,20.17,3212000
2010-06-03,26.09,26.43,25.6,25.99,20.24,2982800
2010-06-04,25.3,25.63,24.61,24.7,19.24,2941000
