Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.88,10.22,9.81,10.12,8.19,15429100
2010-01-05,9.96,10.4,9.93,10.39,8.4,12700700
2010-01-06,10.3,10.5,10.25,10.45,8.45,13140600
2010-01-07,10.4,11.3,10.36,11.08,8.96,34759200
2010-01-08,11.0,11.36,10.96,11.09,8.97,19963300
2010-01-11,11.26,11.29,11.0,11.2,9.06,15251700
2010-01-12,11.12,11.28,10.96,10.99,8.89,11348400
2010-01-13,11.01,11.67,10.69,11.52,9.32,26686300
2010-01-14,11.43,11.95,11.41,11.77,9.52,26508800
2010-01-15,11.69,11.72,11.12,11.36,9.19,25443100
2010-01-19,11.25,11.41,11.15,11.39,9.21,17267400
2010-01-20,11.21,11.67,11.2,11.31,9.15,25445100
2010-01-21,12.2,12.59,11.95,12.02,9.72,66585800
2010-01-22,11.95,12.71,11.69,12.1,9.79,39367700
2010-01-25,12.25,12.87,12.1,12.49,10.1,32935500
2010-01-26,12.36,12.67,11.64,11.71,9.47,35793800
2010-01-27,11.8,12.36,11.68,12.18,9.85,24246600
2010-01-28,12.49,12.69,12.18,12.26,9.92,32530500
2010-01-29,12.69,12.72,12.3,12.44,10.06,30962500
2010-02-01,12.45,12.65,12.34,12.5,10.11,19895900
2010-02-02,12.48,12.55,12.08,12.48,10.09,20103900
2010-02-03,12.35,12.35,11.84,12.0,9.71,28331800
2010-02-04,11.82,11.94,11.18,11.22,9.07,32057800
2010-02-05,11.25,11.46,10.82,11.26,9.11,22197900
2010-02-08,11.26,11.6,11.01,11.39,9.21,29759000
2010-02-09,11.51,11.68,11.41,11.47,9.28,18606400
2010-02-10,11.49,11.9,11.31,11.69,9.45,17858100
2010-02-11,11.77,11.96,11.59,11.87,9.6,17497900
2010-02-12,11.8,11.82,11.39,11.61,9.39,20010100
2010-02-16,11.73,12.12,11.67,12.08,9.77,15697800
2010-02-17,12.16,12.19,11.89,12.05,9.75,14963900
2010-02-18,11.96,12.03,11.82,11.92,9.64,10465200
2010-02-19,11.89,12.26,11.87,12.23,9.89,16148400
2010-02-22,12.28,12.72,12.23,12.55,10.15,18310000
2010-02-23,12.46,12.56,12.11,12.27,9.92,20394700
2010-02-24,12.37,12.71,12.3,12.69,10.26,17103900
2010-02-25,12.31,12.33,11.95,12.2,9.87,24791200
2010-02-26,12.24,12.34,12.1,12.21,9.88,14335100
2010-03-01,12.32,12.33,12.03,12.24,9.9,12508600
2010-03-02,12.21,12.75,12.21,12.66,10.24,16660400
2010-03-03,12.67,12.74,12.44,12.54,10.14,14426700
2010-03-04,12.2,12.5,12.18,12.33,9.97,14801000
2010-03-05,12.53,12.77,12.44,12.73,10.3,13242200
2010-03-08,12.56,12.82,12.48,12.61,10.2,13943200
2010-03-09,12.51,12.77,12.36,12.62,10.21,13319300
2010-03-10,12.79,13.12,12.73,12.96,10.48,19743700
2010-03-11,13.03,13.38,12.97,13.28,10.74,20652000
2010-03-12,13.51,13.52,13.09,13.15,10.64,13392900
2010-03-15,13.14,13.42,13.02,13.38,10.82,11582800
2010-03-16,13.38,13.55,13.28,13.45,10.88,12491200
2010-03-17,13.53,13.78,13.49,13.7,11.08,13375700
2010-03-18,13.7,13.75,13.32,13.44,10.87,11392800
2010-03-19,13.52,13.6,13.13,13.3,10.76,17166900
2010-03-22,13.11,13.5,13.05,13.43,10.86,10445800
2010-03-23,13.47,13.51,13.19,13.46,10.89,9507500
2010-03-24,13.39,13.77,13.35,13.58,10.98,11406000
2010-03-25,13.74,14.05,13.37,13.41,10.85,22618200
2010-03-26,13.49,13.75,13.11,13.2,10.68,21076100
2010-03-29,13.31,13.43,13.2,13.31,10.77,7340200
2010-03-30,13.29,13.43,13.14,13.27,10.74,6896100
2010-03-31,13.15,13.72,13.15,13.56,10.98,14098100
2010-04-01,13.65,13.73,13.47,13.59,11.0,7316000
2010-04-05,13.63,13.97,13.6,13.95,11.29,7646600
2010-04-06,13.93,14.38,13.91,14.35,11.62,18082200
2010-04-07,14.48,14.61,14.1,14.3,11.57,16491200
2010-04-08,14.2,14.35,13.98,14.27,11.55,13172900
2010-04-09,14.26,14.29,13.96,14.1,11.41,13394100
2010-04-12,14.14,14.44,14.11,14.36,11.62,9322900
2010-04-13,14.28,14.41,14.12,14.33,11.6,11134000
2010-04-14,14.5,15.06,14.48,14.94,12.09,15020800
2010-04-15,15.0,15.08,14.72,14.9,12.06,10748300
2010-04-16,14.83,14.87,13.75,14.2,11.49,28282000
2010-04-19,14.0,14.4,13.78,14.24,11.53,14167400
2010-04-20,14.39,14.81,14.24,14.8,11.98,14988100
2010-04-21,14.88,15.95,14.75,15.15,12.26,38065500
2010-04-22,14.9,15.0,14.33,14.96,12.11,34036600
2010-04-23,14.95,15.12,14.65,15.12,12.24,17813500
2010-04-26,15.02,15.13,14.48,14.52,11.75,17738000
2010-04-27,14.34,14.64,14.02,14.05,11.37,15940800
2010-04-28,14.24,14.62,14.14,14.44,11.69,15947500
2010-04-29,14.73,14.98,14.61,14.87,12.04,12080100
2010-04-30,14.93,15.28,14.85,14.92,12.08,15694200
2010-05-03,15.02,15.46,15.01,15.36,12.43,12011200
2010-05-04,15.14,15.14,14.42,14.56,11.78,16670700
2010-05-05,14.1,14.93,13.99,14.59,11.81,16049800
2010-05-06,14.46,14.64,12.6,13.61,11.02,26952600
2010-05-07,13.75,13.89,13.05,13.31,10.77,26267400
2010-05-10,14.26,14.83,14.04,14.38,11.64,21286400
2010-05-11,14.11,14.9,14.11,14.61,11.83,14578500
2010-05-12,14.87,15.0,14.6,15.0,12.14,12873900
2010-05-13,14.97,15.07,14.8,14.8,11.98,12276000
2010-05-14,14.53,14.53,13.86,14.08,11.4,15593300
2010-05-17,14.16,14.35,13.63,13.98,11.32,16212700
2010-05-18,14.21,14.23,13.28,13.43,10.87,17857900
2010-05-19,13.22,13.73,12.95,13.3,10.77,15749800
2010-05-20,12.89,13.06,12.47,12.51,10.13,17567600
2010-05-21,12.16,13.2,12.1,13.19,10.68,23311300
2010-05-24,13.2,13.27,12.54,12.57,10.17,13232000
2010-05-25,12.0,12.84,12.0,12.83,10.38,17996500
2010-05-26,13.04,13.17,12.41,12.51,10.13,26804400
2010-05-27,12.88,13.28,12.76,13.26,10.73,14242500
2010-05-28,13.26,13.3,12.91,13.0,10.52,12122800
2010-06-01,12.9,13.16,12.4,12.4,10.04,14393200
2010-06-02,12.55,13.05,12.46,13.05,10.56,12141500
2010-06-03,13.04,13.17,12.85,13.13,10.63,11126900
2010-06-04,12.74,12.95,12.44,12.5,10.12,17638000
2010-06-07,12.58,12.8,12.3,12.32,9.97,11397200
2010-06-08,12.38,12.7,12.05,12.67,10.26,16236700
2010-06-09,12.85,13.12,12.63,12.67,10.26,12627800
2010-06-10,13.18,13.39,12.96,13.37,10.82,13937900
2010-06-11,13.2,13.38,13.02,13.36,10.81,9033000
2010-06-14,13.5,13.74,13.29,13.53,10.95,15975100
2010-06-15,13.63,14.05,13.58,14.0,11.33,12800700
2010-06-16,13.78,14.2,13.78,14.05,11.37,14288300
2010-06-17,14.18,14.18,13.41,13.62,11.02,11217900
2010-06-18,13.69,13.78,13.49,13.58,10.99,12169100
2010-06-21,13.79,13.89,13.46,13.53,10.95,8540700
2010-06-22,13.52,13.93,13.48,13.51,10.94,10189900
2010-06-23,13.54,13.75,13.42,13.51,10.94,11860000
2010-06-24,13.38,13.45,13.14,13.2,10.68,12454500
2010-06-25,13.52,13.58,13.14,13.37,10.82,15844700
2010-06-28,13.37,13.63,13.35,13.51,10.94,12327900
2010-06-29,13.18,13.32,12.88,12.95,10.49,24464000
2010-06-30,12.9,13.19,12.28,12.29,9.96,16610400
2010-07-01,12.22,12.53,11.75,12.16,9.85,13147400
2010-07-02,12.26,12.33,11.75,11.82,9.57,8391300
2010-07-06,12.06,12.3,11.86,12.04,9.75,10881900
2010-07-07,12.12,12.95,12.07,12.92,10.47,11431300
2010-07-08,13.1,13.24,12.8,13.09,10.6,9983500
2010-07-09,13.11,13.54,12.94,13.48,10.92,10263600
2010-07-12,13.39,13.5,13.1,13.27,10.75,7815200
2010-07-13,13.48,13.81,13.43,13.69,11.09,10020500
2010-07-14,13.6,13.61,13.2,13.34,10.81,10995300
2010-07-15,13.4,13.43,12.88,13.25,10.73,9401400
2010-07-16,13.05,13.14,12.11,12.17,9.86,27289000
2010-07-19,12.2,12.4,11.77,11.9,9.64,20412900
2010-07-20,11.57,11.8,11.37,11.78,9.54,21517900
2010-07-21,11.9,12.21,11.26,11.28,9.14,23945700
2010-07-22,11.66,12.61,11.61,12.45,10.08,27293900
2010-07-23,12.38,12.43,12.05,12.29,9.96,15337900
2010-07-26,12.3,12.85,12.14,12.82,10.38,14158300
2010-07-27,13.05,13.25,12.9,13.14,10.64,18044500
2010-07-28,13.07,13.18,12.71,12.76,10.34,9712600
2010-07-29,12.94,13.17,12.57,12.82,10.38,12257600
2010-07-30,12.59,12.88,12.52,12.71,10.3,9407100
2010-08-02,12.95,13.44,12.95,13.42,10.87,16172400
2010-08-03,13.41,13.58,13.25,13.3,10.77,13331500
2010-08-04,13.39,13.42,13.15,13.29,10.77,6405500
2010-08-05,13.21,13.22,12.93,13.06,10.58,9759000
2010-08-06,12.83,12.89,12.35,12.69,10.28,13922700
2010-08-09,12.78,13.07,12.52,13.02,10.55,12853400
2010-08-10,12.86,13.04,12.61,13.0,10.53,14977100
2010-08-11,12.73,12.76,12.36,12.38,10.03,12018100
2010-08-12,12.11,12.34,12.07,12.16,9.85,9228100
2010-08-13,12.14,12.39,12.13,12.13,9.83,7046500
2010-08-16,12.01,12.22,11.93,12.19,9.87,11127400
2010-08-17,12.32,12.32,12.04,12.07,9.78,8261100
2010-08-18,12.05,12.22,11.97,12.11,9.81,10701400
2010-08-19,11.97,12.15,11.67,11.68,9.46,12317600
2010-08-20,11.63,11.76,11.33,11.56,9.36,13375000
2010-08-23,11.7,11.92,11.56,11.6,9.4,12095600
2010-08-24,11.35,11.45,11.03,11.04,8.94,15253700
2010-08-25,10.97,11.03,10.77,10.98,8.89,15725200
2010-08-26,11.02,11.46,10.91,10.95,8.87,14795600
2010-08-27,11.05,11.19,10.83,11.18,9.06,13165300
2010-08-30,11.07,11.17,10.84,10.85,8.79,11423000
2010-08-31,10.75,11.05,10.64,11.04,8.94,13540600
2010-09-01,11.25,11.68,11.22,11.66,9.44,14282900
2010-09-02,11.7,11.78,11.56,11.72,9.49,7962300
2010-09-03,11.92,12.09,11.7,11.93,9.66,10213700
2010-09-07,11.8,11.88,11.35,11.38,9.22,12336100
2010-09-08,11.46,11.72,11.45,11.6,9.4,7551400
2010-09-09,11.87,12.11,11.78,11.96,9.69,11358900
2010-09-10,12.02,12.16,11.91,12.09,9.79,7600600
2010-09-13,12.37,12.59,12.32,12.51,10.13,11298700
2010-09-14,12.5,12.59,12.23,12.49,10.12,14481300
2010-09-15,12.36,12.62,12.17,12.47,10.1,8139200
2010-09-16,12.44,12.47,12.09,12.22,9.9,7649500
2010-09-17,12.3,12.42,12.21,12.23,9.91,9010400
2010-09-20,12.28,12.45,12.18,12.39,10.04,10628600
2010-09-21,12.4,12.58,12.25,12.28,9.95,11572700
2010-09-22,12.19,12.38,12.02,12.04,9.75,9880300
2010-09-23,11.89,12.17,11.68,11.72,9.49,10808400
2010-09-24,11.93,12.25,11.89,12.24,9.91,9071300
2010-09-27,12.28,12.3,11.89,11.91,9.65,7917300
2010-09-28,11.93,12.04,11.76,12.02,9.74,10416000
2010-09-29,11.93,12.05,11.8,11.9,9.65,9066700
2010-09-30,12.0,12.19,11.85,12.03,9.75,14195800
2010-10-01,12.15,12.25,11.85,11.9,9.65,10923200
2010-10-04,11.95,12.12,11.87,11.9,9.65,8592900
2010-10-05,12.07,12.6,11.93,12.51,10.14,19607200
2010-10-06,12.53,12.65,12.2,12.28,9.96,13724300
2010-10-07,12.45,12.59,12.31,12.52,10.15,15803700
2010-10-08,12.58,12.58,12.31,12.38,10.04,9497500
2010-10-11,12.45,12.51,12.25,12.28,9.96,6051400
2010-10-12,12.21,12.83,12.13,12.76,10.34,21598600
2010-10-13,12.94,12.97,12.63,12.7,10.3,16587100
2010-10-14,12.6,12.6,12.08,12.34,10.0,19982600
2010-10-15,12.38,12.43,11.85,12.13,9.83,14563900
2010-10-18,12.09,12.58,12.0,12.54,10.17,12190500
2010-10-19,12.42,12.74,12.27,12.38,10.04,12448200
2010-10-20,12.32,12.48,11.99,12.4,10.05,11597700
2010-10-21,12.22,13.09,12.22,12.8,10.38,20962200
2010-10-22,12.92,13.09,12.75,12.86,10.43,13503900
2010-10-25,13.03,13.04,12.5,12.62,10.23,10362200
2010-10-26,12.52,12.8,12.48,12.79,10.37,9885900
2010-10-27,12.68,13.02,12.62,12.87,10.43,11680500
2010-10-28,13.0,13.02,12.66,12.72,10.31,12067700
2010-10-29,12.68,12.89,12.55,12.56,10.18,14195500
2010-11-01,12.64,12.69,12.13,12.38,10.04,15147800
2010-11-02,12.55,12.76,12.35,12.44,10.09,10774100
2010-11-03,12.5,13.06,12.5,13.05,10.58,18015900
2010-11-04,13.19,13.55,13.06,13.4,10.86,18432900
2010-11-05,13.44,13.93,12.95,13.03,10.56,29405300
2010-11-08,13.01,13.16,12.75,13.05,10.58,15563300
2010-11-09,13.1,13.27,12.8,12.87,10.43,9674800
2010-11-10,12.93,13.25,12.76,13.24,10.73,10306700
2010-11-11,13.15,13.32,12.95,13.24,10.73,9748200
2010-11-12,13.17,13.17,12.71,12.87,10.43,10156600
2010-11-15,13.01,13.32,12.96,13.02,10.56,8358500
2010-11-16,12.9,13.0,12.55,12.68,10.28,13796400
2010-11-17,12.75,12.86,12.26,12.39,10.04,11759700
2010-11-18,12.53,12.64,11.96,12.08,9.79,26848000
2010-11-19,12.0,12.36,12.0,12.26,9.94,12215600
2010-11-22,12.17,12.22,11.95,12.12,9.83,10437400
2010-11-23,11.94,12.05,11.78,11.78,9.55,10792600
2010-11-24,11.88,12.18,11.82,12.06,9.78,9196200
2010-11-26,11.9,12.05,11.85,11.86,9.61,2638000
2010-11-29,11.82,12.04,11.71,12.03,9.75,8152000
2010-11-30,11.85,12.0,11.76,11.95,9.69,9616100
2010-12-01,12.12,12.27,11.99,12.27,9.95,10569500
2010-12-02,12.25,13.06,12.25,13.05,10.58,21147500
2010-12-03,12.98,13.31,12.81,13.27,10.76,14505100
2010-12-06,13.2,13.25,13.01,13.02,10.56,9947900
2010-12-07,13.19,13.35,12.77,13.08,10.6,15271600
2010-12-08,13.08,13.93,13.06,13.93,11.29,20139600
2010-12-09,13.98,14.3,13.69,14.24,11.54,19375700
2010-12-10,14.23,14.6,14.2,14.57,11.81,14417000
2010-12-13,14.26,14.61,13.99,14.49,11.75,23229000
2010-12-14,14.49,14.66,14.21,14.27,11.57,16776100
2010-12-15,14.33,14.41,14.11,14.16,11.48,14779200
2010-12-16,14.24,14.44,13.43,13.92,11.28,29650900
2010-12-17,14.15,14.32,14.03,14.07,11.41,19718900
2010-12-20,14.11,14.32,14.02,14.16,11.48,9746600
2010-12-21,14.25,14.3,14.15,14.3,11.59,7714700
2010-12-22,14.38,14.78,14.32,14.71,11.93,11801600
2010-12-23,14.58,14.77,14.36,14.39,11.67,6203600
2010-12-27,14.33,14.77,14.33,14.74,11.95,6415400
2010-12-28,14.78,15.11,14.71,15.04,12.19,8235600
2010-12-29,15.07,15.09,14.77,14.77,11.98,6695200
2010-12-30,14.7,14.82,14.58,14.64,11.88,4575500
2010-12-31,14.6,14.82,14.6,14.68,11.91,4287200
2011-01-03,14.83,14.95,14.7,14.78,11.99,13575100
2011-01-04,14.75,14.95,14.67,14.73,11.95,18482900
2011-01-05,14.67,15.06,14.67,14.96,12.14,13878400
2011-01-06,14.95,15.15,14.58,14.62,11.86,16920200
2011-01-07,14.65,14.83,14.17,14.68,11.91,14041200
2011-01-10,14.53,14.59,14.32,14.43,11.71,8440200
2011-01-11,14.55,14.69,14.4,14.55,11.8,8028800
2011-01-12,14.66,14.86,14.61,14.76,11.97,7090300
2011-01-13,14.78,14.83,14.5,14.62,11.86,7223300
2011-01-14,14.62,15.0,14.59,14.95,12.13,9750300
2011-01-18,14.94,15.05,14.75,14.86,12.05,7768800
2011-01-19,14.82,14.82,14.43,14.61,11.85,11788700
2011-01-20,14.31,14.44,14.06,14.22,11.54,114968600
2011-01-21,14.39,14.65,14.35,14.6,11.84,33380000
2011-01-24,14.58,14.6,14.22,14.34,11.63,14012600
2011-01-25,14.31,14.5,14.26,14.43,11.71,15638900
2011-01-26,14.55,14.64,14.5,14.57,11.82,19794200
2011-01-27,14.57,14.81,14.52,14.79,12.0,17503100
2011-01-28,14.83,15.0,14.62,14.64,11.88,22080600
2011-01-31,14.71,15.03,14.66,14.87,12.06,24892200
2011-02-01,15.01,15.66,15.01,15.52,12.59,21286300
2011-02-02,15.45,15.52,15.24,15.46,12.54,12841400
2011-02-03,15.44,15.63,15.31,15.4,12.49,8043800
2011-02-04,15.38,15.44,15.07,15.39,12.48,9435500
2011-02-07,15.44,15.6,15.34,15.36,12.46,10299400
2011-02-08,15.35,15.4,15.16,15.39,12.48,11641800
2011-02-09,15.3,15.62,14.88,15.07,12.23,20084600
2011-02-10,14.99,15.19,14.92,15.18,12.31,12021800
2011-02-11,15.07,15.57,14.95,15.46,12.54,8807800
2011-02-14,15.45,15.56,15.31,15.51,12.58,6980400
2011-02-15,15.48,15.75,15.4,15.45,12.53,11085100
2011-02-16,15.55,15.57,15.3,15.38,12.48,9519600
2011-02-17,15.35,15.38,15.0,15.09,12.24,12174800
2011-02-18,15.1,15.15,14.9,14.99,12.16,13702600
2011-02-22,14.83,14.89,14.37,14.5,11.76,20425700
2011-02-23,14.48,14.7,14.3,14.45,11.72,13805800
2011-02-24,14.41,14.5,14.16,14.3,11.6,15851700
2011-02-25,14.67,14.89,14.54,14.6,11.84,22403300
2011-02-28,14.67,14.7,14.32,14.6,11.84,14098400
2011-03-01,13.97,14.15,13.67,13.95,11.32,40878800
2011-03-02,13.98,14.04,13.7,13.87,11.25,18059600
2011-03-03,14.01,14.29,14.01,14.09,11.43,15112900
2011-03-04,14.03,14.11,13.59,13.9,11.28,12332600
2011-03-07,13.92,13.95,13.45,13.6,11.03,14692700
2011-03-08,13.65,13.88,13.55,13.7,11.11,22303500
2011-03-09,13.66,14.1,13.64,13.87,11.25,15022400
2011-03-10,13.65,13.87,13.59,13.69,11.11,12855100
2011-03-11,13.66,13.98,13.61,13.89,11.27,8839600
2011-03-14,13.8,13.96,13.62,13.9,11.28,10884100
2011-03-15,13.56,13.77,13.43,13.57,11.01,15461400
2011-03-16,13.58,13.74,13.25,13.4,10.87,16638400
2011-03-17,13.64,13.83,13.55,13.81,11.2,13609400
2011-03-18,14.16,14.3,13.95,14.03,11.38,28139300
2011-03-21,14.23,14.29,13.84,14.02,11.37,12350100
2011-03-22,13.96,14.25,13.85,13.85,11.24,13657500
2011-03-23,13.84,13.9,13.58,13.8,11.2,9922800
2011-03-24,13.89,13.89,13.43,13.78,11.18,12722200
2011-03-25,13.8,14.03,13.78,13.85,11.24,7574900
2011-03-28,13.89,13.98,13.77,13.78,11.18,7170900
2011-03-29,13.8,13.93,13.75,13.93,11.3,8618900
2011-03-30,13.98,14.13,13.81,13.81,11.25,13560100
2011-03-31,13.86,14.01,13.75,13.89,11.32,8615300
2011-04-01,14.12,14.15,13.9,13.99,11.4,6660500
2011-04-04,14.0,14.09,13.92,13.97,11.38,5701600
