Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,33.22,33.22,32.61,32.64,29.32,2269800
2010-01-05,32.69,32.81,32.38,32.72,29.39,1414100
2010-01-06,32.97,33.05,32.73,32.8,29.46,1497100
2010-01-07,32.75,32.92,32.52,32.84,29.5,962700
2010-01-08,32.87,33.02,32.63,32.93,29.58,1293400
2010-01-11,32.96,33.03,32.38,32.57,29.26,1971400
2010-01-12,32.41,32.53,31.76,31.92,28.67,1643500
2010-01-13,31.88,32.1,31.66,31.82,28.58,1927500
2010-01-14,31.62,31.92,31.62,31.8,28.56,1228300
2010-01-15,31.6,32.06,30.77,30.81,27.67,3259200
2010-01-19,31.1,31.56,30.85,31.29,28.11,2560200
2010-01-20,31.24,31.43,30.79,31.06,27.9,3338400
2010-01-21,31.16,31.55,30.99,31.1,27.94,2575100
2010-01-22,31.05,31.26,30.5,30.52,27.41,2921500
2010-01-25,30.68,30.91,30.1,30.69,27.57,2595600
2010-01-26,30.72,30.91,30.32,30.58,27.47,1548000
2010-01-27,30.7,30.71,30.19,30.57,27.46,1862600
2010-01-28,30.6,30.67,29.68,30.0,26.95,2334400
2010-01-29,30.18,30.33,29.55,29.58,26.57,1482500
2010-02-01,29.62,29.94,29.4,29.9,26.86,1154000
2010-02-02,29.84,30.25,29.65,30.08,27.02,929400
2010-02-03,29.89,30.21,29.81,30.11,27.05,937800
2010-02-04,29.9,29.95,29.56,29.57,26.56,1520100
2010-02-05,29.52,29.72,28.77,29.51,26.51,1619800
2010-02-08,29.5,29.7,28.83,29.42,26.43,1522800
2010-02-09,29.79,30.02,29.56,29.78,26.75,2072700
2010-02-10,29.68,29.96,29.37,29.67,26.65,1490100
2010-02-11,28.1,28.1,27.26,27.42,24.63,7702300
2010-02-12,27.09,27.19,26.5,26.62,23.91,4765400
2010-02-16,26.68,26.78,26.25,26.64,23.93,2907400
2010-02-17,26.77,27.07,26.55,26.93,24.19,3120000
2010-02-18,26.7,27.2,26.7,26.96,24.22,2698900
2010-02-19,26.83,27.35,26.75,27.15,24.39,2084900
2010-02-22,27.16,27.29,26.88,26.96,24.22,1239200
2010-02-23,27.04,27.08,26.63,26.68,23.97,2103100
2010-02-24,26.72,26.86,26.55,26.79,24.06,1871000
2010-02-25,26.51,26.51,25.89,26.5,23.8,2936300
2010-02-26,26.48,26.85,26.2,26.81,24.08,1872500
2010-03-01,26.91,27.07,26.74,26.91,24.17,1692400
2010-03-02,26.86,26.91,26.5,26.6,23.89,3116400
2010-03-03,26.7,26.73,26.46,26.55,23.85,2062100
2010-03-04,26.55,26.66,26.35,26.49,23.79,1768400
2010-03-05,26.55,26.75,26.42,26.64,23.93,2773600
2010-03-08,26.7,26.75,26.45,26.49,23.79,1645300
2010-03-09,26.57,26.67,26.45,26.55,23.85,2236200
2010-03-10,26.53,26.76,26.5,26.63,23.92,2430700
2010-03-11,26.61,26.79,26.6,26.64,23.93,2855700
2010-03-12,26.7,26.81,26.53,26.68,23.97,1769800
2010-03-15,26.53,26.74,26.52,26.66,23.95,1292400
2010-03-16,26.63,26.87,26.5,26.8,24.07,1973300
2010-03-17,26.77,26.99,26.63,26.7,23.98,1866300
2010-03-18,26.8,27.01,26.71,26.91,24.17,3196000
2010-03-19,27.06,27.32,26.8,27.32,24.54,3757400
2010-03-22,27.28,27.64,27.1,27.46,24.67,1674100
2010-03-23,27.71,27.84,27.46,27.84,25.01,1612400
2010-03-24,27.7,27.88,27.56,27.74,24.92,1746500
2010-03-25,27.92,28.07,27.73,27.9,25.06,2206400
2010-03-26,27.9,28.06,27.74,27.91,25.07,1591200
2010-03-29,28.0,28.25,27.82,27.97,25.12,1506400
2010-03-30,27.92,28.11,27.73,28.03,25.18,880000
2010-03-31,28.16,28.37,28.0,28.18,25.31,1462400
2010-04-01,28.34,28.51,27.88,28.09,25.23,1271700
2010-04-05,28.09,28.47,28.02,28.27,25.39,2083600
2010-04-06,28.11,28.67,27.92,28.66,25.74,1659500
2010-04-07,28.52,28.99,28.52,28.93,25.99,2307200
2010-04-08,28.79,28.92,28.59,28.81,25.88,2221100
2010-04-09,28.81,28.96,28.68,28.91,25.97,1300500
2010-04-12,28.91,28.91,28.44,28.6,25.69,1698000
2010-04-13,28.46,28.46,28.04,28.22,25.35,1371900
2010-04-14,28.2,28.89,28.12,28.85,25.91,2120700
2010-04-15,28.8,28.93,28.69,28.79,25.86,1381400
2010-04-16,28.83,29.46,28.83,29.29,26.31,3281300
2010-04-19,29.27,29.47,28.93,29.1,26.14,2238400
2010-04-20,29.05,29.4,28.83,29.39,26.4,1435900
2010-04-21,29.42,29.88,29.23,29.72,26.7,2592300
2010-04-22,29.49,30.12,29.26,30.03,26.97,2755800
2010-04-23,29.89,31.48,29.75,31.42,28.22,3423600
2010-04-26,31.36,31.37,30.31,30.32,27.23,1898100
2010-04-27,30.29,31.21,30.07,30.27,27.19,2116900
2010-04-28,30.32,30.75,30.3,30.61,27.5,1377800
2010-04-29,30.64,31.17,30.45,31.04,27.88,1058300
2010-04-30,31.19,31.35,30.59,30.59,27.48,1003200
2010-05-03,30.66,31.37,30.44,31.29,28.11,1110200
2010-05-04,30.98,30.98,29.92,30.1,27.04,1256100
2010-05-05,30.04,30.19,29.51,29.76,26.73,1709400
2010-05-06,29.72,29.95,27.14,29.06,26.1,2380500
