Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,45.46,46.02,45.2,46.01,40.6,3553300
2010-01-05,46.02,46.41,45.61,45.98,40.57,2981200
2010-01-06,46.0,47.33,45.86,47.18,41.63,3951000
2010-01-07,47.72,49.08,47.36,48.97,43.21,5254900
2010-01-08,48.87,49.87,48.8,49.76,43.91,3991200
2010-01-11,50.05,50.31,49.62,49.98,44.1,3342500
2010-01-12,49.17,49.43,48.5,49.12,43.34,2950500
2010-01-13,49.34,49.58,48.43,49.44,43.62,3236500
2010-01-14,49.33,50.5,49.33,50.2,44.29,3406600
2010-01-15,50.04,50.13,49.0,49.09,43.31,3147300
2010-01-19,49.1,49.61,48.92,49.5,43.68,2056200
2010-01-20,49.14,49.25,47.64,48.52,42.81,3380800
2010-01-21,48.68,48.68,46.53,46.54,41.06,4269100
2010-01-22,46.5,47.68,46.4,46.41,40.95,3446300
2010-01-25,46.75,47.49,46.75,46.81,41.3,2015800
2010-01-26,46.6,47.38,46.43,46.76,41.26,1926100
2010-01-27,46.74,47.2,46.01,47.13,41.59,2524300
2010-01-28,47.55,47.89,45.33,46.05,40.63,2386400
2010-01-29,46.36,47.14,45.21,45.34,40.01,2522800
2010-02-01,45.64,46.32,45.2,45.96,40.55,1651400
2010-02-02,46.39,47.65,46.01,47.6,42.0,3247900
2010-02-03,47.34,48.13,46.68,46.8,41.29,2742500
2010-02-04,46.4,46.4,44.0,44.31,39.1,5884900
2010-02-05,44.24,44.49,41.71,43.06,37.99,5709400
2010-02-08,43.25,43.82,42.43,42.44,37.45,4415600
2010-02-09,43.09,43.76,42.48,43.28,38.19,3971200
2010-02-10,43.33,43.8,42.44,43.53,38.41,2786700
2010-02-11,43.39,44.53,43.05,44.42,39.19,2889600
2010-02-12,43.81,44.22,43.31,44.11,38.92,2112400
2010-02-16,44.73,45.58,44.66,45.49,40.14,2644900
2010-02-17,45.93,45.97,45.13,45.58,40.22,2600900
2010-02-18,45.34,47.02,45.3,46.81,41.3,2600200
2010-02-19,46.7,46.8,45.8,45.94,40.54,3273700
2010-02-22,46.75,47.33,46.14,46.4,40.94,3145900
2010-02-23,46.41,46.49,44.51,45.01,39.71,3541700
2010-02-24,45.23,45.4,44.77,45.28,39.95,1842200
2010-02-25,44.5,45.17,43.64,45.05,39.75,2761000
2010-02-26,42.76,43.2,41.85,42.8,37.76,10599100
2010-03-01,43.07,43.29,42.21,42.87,37.83,4447100
2010-03-02,43.25,43.35,42.4,42.75,37.72,3050700
2010-03-03,42.94,43.5,42.52,43.33,38.34,3676300
2010-03-04,43.5,43.73,43.26,43.66,38.64,2329600
2010-03-05,44.16,44.87,44.04,44.65,39.51,2776300
2010-03-08,44.9,44.94,44.28,44.89,39.72,2069200
2010-03-09,44.66,45.45,44.66,45.14,39.95,1987700
2010-03-10,45.38,45.57,45.07,45.28,40.07,1910500
2010-03-11,45.24,45.89,44.95,45.86,40.58,1961900
2010-03-12,46.12,46.32,45.78,45.99,40.7,1747400
2010-03-15,45.85,45.88,44.95,45.68,40.42,1973900
2010-03-16,45.74,45.93,45.34,45.85,40.57,1362700
2010-03-17,45.94,46.57,45.94,46.2,40.88,1803000
2010-03-18,46.29,46.5,45.63,45.94,40.65,1472100
2010-03-19,45.25,46.2,45.02,45.25,40.04,2590500
2010-03-22,44.83,45.43,44.63,45.36,40.14,2204500
2010-03-23,45.36,45.95,45.06,45.85,40.57,1503000
2010-03-24,45.89,47.03,45.55,46.77,41.39,3881500
2010-03-25,47.4,47.4,46.12,46.22,40.9,2344800
2010-03-26,46.33,46.65,45.77,46.26,40.94,1429200
2010-03-29,46.44,47.08,46.42,46.98,41.57,2280200
2010-03-30,47.13,47.73,46.84,47.08,41.66,2216900
2010-03-31,46.88,46.9,46.27,46.51,41.16,1606800
2010-04-01,46.89,48.01,46.84,47.6,42.12,2581300
2010-04-05,48.18,49.52,47.75,49.5,43.8,2946700
2010-04-06,49.46,50.49,49.11,49.97,44.22,3405800
2010-04-07,50.0,50.2,49.0,49.34,43.66,2996900
2010-04-08,49.09,49.76,48.5,49.74,44.02,3029900
2010-04-09,49.87,51.28,49.81,50.77,44.93,2735100
2010-04-12,51.18,51.37,50.45,51.19,45.3,2515700
2010-04-13,51.15,51.19,50.63,51.08,45.2,1996100
2010-04-14,51.46,51.76,51.14,51.69,45.74,2382500
2010-04-15,51.04,51.68,51.0,51.34,45.43,2905000
2010-04-16,50.97,51.53,49.65,50.66,44.83,3757000
2010-04-19,50.26,51.08,50.0,50.8,44.95,2471900
2010-04-20,51.22,52.49,51.22,52.36,46.34,2293600
2010-04-21,52.3,52.71,51.78,52.61,46.56,2166300
2010-04-22,52.13,53.2,51.55,53.11,47.0,1808400
2010-04-23,53.11,53.4,52.28,53.39,47.25,2370100
2010-04-26,53.1,53.9,52.71,53.01,46.91,1709100
2010-04-27,52.47,53.78,52.08,52.25,46.24,3698600
2010-04-28,52.86,53.74,52.61,53.2,47.08,2775500
2010-04-29,53.6,55.47,53.59,55.13,48.79,3914100
2010-04-30,55.21,55.37,52.71,52.84,46.76,3022900
2010-05-03,53.26,53.74,52.33,53.61,47.44,2827600
2010-05-04,52.64,52.64,50.66,51.39,45.48,3115700
2010-05-05,50.23,51.15,49.41,50.81,44.96,3392900
2010-05-06,50.41,51.52,45.88,49.25,43.58,3777400
2010-05-07,48.91,48.94,45.6,45.95,40.66,7912900
2010-05-10,48.79,49.08,47.89,48.96,43.33,4382000
2010-05-11,47.72,51.34,47.26,50.47,44.66,7300400
2010-05-12,50.71,54.15,50.71,53.39,47.25,6465700
2010-05-13,53.3,53.83,52.91,53.1,46.99,4715800
2010-05-14,52.44,53.0,50.66,51.28,45.38,3548000
2010-05-17,51.27,51.63,48.61,50.31,44.52,5333700
2010-05-18,50.93,52.33,49.88,50.09,44.33,4416300
2010-05-19,49.45,49.82,47.14,48.28,42.72,4673000
