Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,32.13,32.44,31.72,32.34,26.45,2161800
2010-01-05,32.37,32.99,32.2,32.7,26.74,2363100
2010-01-06,32.67,33.64,32.67,33.6,27.48,3473700
2010-01-07,33.58,34.65,33.48,34.52,28.24,3660600
2010-01-08,34.26,35.99,34.26,35.96,29.41,6993300
2010-01-11,36.0,36.26,35.56,36.14,29.56,3102000
2010-01-12,35.75,35.75,34.89,35.11,28.72,2662500
2010-01-13,35.16,35.37,34.31,35.09,28.7,1877100
2010-01-14,35.05,35.55,34.72,35.34,28.9,1461900
2010-01-15,35.3,35.41,34.78,34.91,28.55,1411500
2010-01-19,34.94,35.2,34.76,35.0,28.63,1512900
2010-01-20,34.65,34.67,33.82,34.58,28.29,1477800
2010-01-21,34.52,34.7,33.03,33.54,27.43,2585400
2010-01-22,33.39,34.13,32.92,33.34,27.27,2981400
2010-01-25,33.58,33.94,32.54,32.63,26.69,1997700
2010-01-26,32.57,32.83,31.9,32.04,26.2,3427500
2010-01-27,32.02,32.18,31.29,31.98,26.16,2839500
2010-01-28,32.33,32.33,31.53,31.73,25.95,2058600
2010-01-29,30.6,31.47,29.92,30.06,24.58,8319900
2010-02-01,31.0,31.94,30.71,31.44,25.72,5170500
2010-02-02,31.66,32.39,31.36,32.08,26.24,3281100
2010-02-03,31.86,32.49,31.72,31.85,26.05,2175900
2010-02-04,31.39,31.45,30.56,30.72,25.13,2961900
2010-02-05,30.6,30.81,29.72,30.7,25.11,3296100
2010-02-08,30.68,31.08,30.27,30.5,24.95,2675400
2010-02-09,30.9,31.22,30.62,30.94,25.3,2835900
2010-02-10,30.92,31.05,30.32,30.77,25.17,1481100
2010-02-11,30.76,31.48,30.52,31.42,25.7,1071900
2010-02-12,31.17,31.5,30.67,31.45,25.73,1961100
2010-02-16,31.88,32.15,31.57,32.11,26.26,1775700
2010-02-17,32.33,32.76,32.14,32.45,26.54,1220400
2010-02-18,32.48,32.92,32.24,32.86,26.87,1396500
2010-02-19,32.77,33.21,32.62,32.97,26.97,1312200
2010-02-22,33.25,33.25,32.77,33.03,27.02,1145700
2010-02-23,32.99,33.06,32.1,32.25,26.38,1195800
2010-02-24,32.42,32.55,31.79,32.23,26.36,2185500
2010-02-25,31.03,32.53,30.57,32.39,26.5,4001700
2010-02-26,32.37,33.51,32.19,33.36,27.29,2732700
2010-03-01,33.5,34.67,33.49,34.51,28.23,2714400
2010-03-02,34.78,35.5,34.65,35.25,28.83,4394100
2010-03-03,35.27,35.66,35.09,35.24,28.82,1835100
2010-03-04,35.15,35.63,34.98,35.25,28.83,2955600
2010-03-05,35.41,35.86,35.41,35.81,29.29,2063400
2010-03-08,35.89,35.98,35.43,35.85,29.32,2401500
2010-03-09,35.72,35.72,34.92,35.12,28.73,3172500
2010-03-10,35.0,35.16,34.62,35.08,28.69,2742600
2010-03-11,34.94,35.17,34.37,35.11,28.72,2202300
2010-03-12,35.23,35.36,34.8,35.04,28.66,2475000
2010-03-15,34.92,35.09,34.56,34.98,28.61,2432700
2010-03-16,35.04,35.49,34.9,35.44,28.99,2455200
2010-03-17,35.53,35.89,35.41,35.5,29.04,1800300
2010-03-18,35.55,35.7,35.32,35.44,28.99,2091900
2010-03-19,34.85,35.53,34.75,34.85,28.51,1994400
2010-03-22,34.47,34.96,34.23,34.95,28.83,1754700
2010-03-23,35.12,36.67,34.97,36.64,30.22,3218700
2010-03-24,36.52,36.74,36.12,36.29,29.93,3791700
2010-03-25,36.52,37.43,36.51,36.61,30.19,4494900
2010-03-26,36.77,36.84,36.3,36.44,30.06,2390100
2010-03-29,36.59,37.05,36.59,36.84,30.38,1986600
2010-03-30,36.69,36.91,36.52,36.64,30.22,2746500
2010-03-31,36.56,36.95,36.3,36.76,30.32,2119800
2010-04-01,37.08,38.11,36.84,37.67,31.07,2043300
2010-04-05,37.9,38.27,37.75,38.24,31.54,1843200
2010-04-06,38.06,38.68,37.97,38.58,31.82,1953900
2010-04-07,38.45,38.63,38.17,38.3,31.59,1521300
2010-04-08,38.06,38.27,37.58,38.19,31.5,1998900
2010-04-09,38.38,38.53,38.16,38.36,31.64,1231200
2010-04-12,38.58,39.09,38.53,38.81,32.01,1806900
2010-04-13,38.61,38.9,38.21,38.55,31.8,1674300
2010-04-14,38.48,39.17,38.45,39.11,32.26,1123800
2010-04-15,39.1,39.81,38.71,39.48,32.56,1637400
2010-04-16,39.24,39.37,38.0,38.38,31.66,2028900
2010-04-19,38.18,38.47,37.55,38.27,31.57,1460700
2010-04-20,38.61,38.96,38.12,38.34,31.62,1623900
2010-04-21,38.43,38.7,38.2,38.5,31.75,1614600
2010-04-22,38.15,38.85,37.67,38.67,31.9,1887900
2010-04-23,38.86,38.94,38.46,38.79,32.0,2802900
2010-04-26,39.07,39.94,39.06,39.63,32.69,2443500
2010-04-27,39.61,39.71,38.46,38.58,31.82,2073600
2010-04-28,38.73,39.03,38.49,38.79,31.99,1478400
2010-04-29,39.19,39.72,39.04,39.64,32.69,1512300
