Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,14.28,14.54,14.28,14.41,13.12,2849400
2010-01-05,14.31,14.38,14.19,14.35,13.06,2672000
2010-01-06,14.3,14.73,14.3,14.56,13.25,4376800
2010-01-07,14.65,14.65,14.32,14.44,13.15,3762500
2010-01-08,14.5,14.56,14.32,14.51,13.2,1895500
2010-01-11,14.63,14.66,14.42,14.55,13.24,2351500
2010-01-12,14.57,14.57,13.94,14.04,12.78,2908900
2010-01-13,14.15,14.16,13.87,13.96,12.71,3935300
2010-01-14,13.97,14.08,13.89,13.98,12.73,3540600
2010-01-15,14.03,14.13,13.61,13.72,12.49,6050800
2010-01-19,13.78,14.03,13.78,13.95,12.7,3143500
2010-01-20,13.79,13.88,13.52,13.67,12.44,4020900
2010-01-21,13.71,13.98,13.36,13.41,12.21,5905300
2010-01-22,13.45,13.48,13.0,13.02,11.85,4133600
2010-01-25,13.4,13.4,12.99,13.27,12.08,2322400
2010-01-26,13.27,13.45,13.18,13.26,12.07,6530100
2010-01-27,13.16,13.33,12.95,13.16,11.98,4525600
2010-01-28,13.15,13.32,12.77,12.85,11.7,19406600
2010-01-29,13.02,13.29,12.93,12.97,11.81,4413300
2010-02-01,13.14,13.14,12.81,12.99,11.83,4249800
2010-02-02,13.08,13.3,12.93,13.29,12.09,5123500
2010-02-03,13.9,14.17,13.72,14.09,12.83,11112000
2010-02-04,13.96,14.01,13.52,13.52,12.31,5755000
2010-02-05,13.53,13.72,13.04,13.45,12.25,9145700
2010-02-08,13.37,13.37,13.04,13.07,11.9,4111500
2010-02-09,13.31,13.52,13.16,13.39,12.19,4269500
2010-02-10,13.29,13.33,12.95,13.09,11.92,3058500
2010-02-11,13.23,13.45,12.98,13.45,12.24,4184500
2010-02-12,13.4,13.68,13.3,13.67,12.45,5601400
2010-02-16,13.77,14.0,13.62,14.0,12.75,4078500
2010-02-17,13.92,14.06,13.87,13.98,12.72,2397200
2010-02-18,13.95,14.12,13.83,14.04,12.78,2797600
2010-02-19,13.93,14.22,13.87,14.15,12.88,3116700
2010-02-22,14.21,14.24,14.04,14.05,12.79,2096300
2010-02-23,14.09,14.2,13.75,13.79,12.55,3097000
2010-02-24,13.83,14.07,13.78,14.06,12.8,2676100
2010-02-25,13.76,14.01,13.62,13.98,12.72,3147000
2010-02-26,13.96,14.03,13.77,13.91,12.67,2424100
2010-03-01,14.0,14.36,13.94,14.28,13.0,2141100
2010-03-02,14.4,14.43,14.17,14.31,13.03,1940000
2010-03-03,14.3,14.41,14.2,14.25,12.97,2661600
2010-03-04,14.38,14.41,14.12,14.41,13.12,3009500
2010-03-05,14.42,14.85,14.42,14.85,13.52,5130700
2010-03-08,14.85,14.87,14.7,14.76,13.51,1880200
2010-03-09,14.75,14.81,14.63,14.77,13.51,3161100
2010-03-10,14.73,14.8,14.67,14.78,13.52,2414300
2010-03-11,14.73,14.78,14.58,14.74,13.49,2208300
2010-03-12,14.89,14.96,14.53,14.58,13.34,3927100
2010-03-15,14.58,14.7,14.37,14.49,13.26,2641000
2010-03-16,14.59,14.69,14.48,14.64,13.39,4370700
2010-03-17,14.75,14.81,14.59,14.71,13.46,4824200
2010-03-18,14.84,14.84,14.57,14.75,13.5,4400500
2010-03-19,14.83,14.9,14.59,14.63,13.38,4301900
2010-03-22,14.48,14.67,14.41,14.66,13.42,2699700
2010-03-23,14.7,14.79,14.55,14.79,13.53,4346900
2010-03-24,14.79,14.9,14.68,14.87,13.6,5536200
2010-03-25,15.06,15.39,15.03,15.05,13.77,3702500
2010-03-26,15.05,15.27,14.93,15.1,13.81,3392900
2010-03-29,15.25,15.25,15.08,15.17,13.88,2722100
2010-03-30,15.1,15.2,14.98,15.04,13.76,2147100
2010-03-31,15.04,15.19,14.95,15.03,13.75,2557700
2010-04-01,15.08,15.24,14.97,15.17,13.88,1818800
