Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,12.41,12.56,12.27,12.31,11.23,16512700
2010-01-05,12.22,12.36,12.16,12.34,11.26,22195900
2010-01-06,12.29,12.71,12.28,12.54,11.45,30598800
2010-01-07,12.57,12.63,12.25,12.37,11.28,42402400
2010-01-08,12.33,12.54,12.24,12.47,11.38,22252000
2010-01-11,12.56,12.61,12.32,12.44,11.35,11930700
2010-01-12,12.52,12.52,11.82,11.88,10.84,20856100
2010-01-13,12.03,12.05,11.71,11.78,10.75,28568600
2010-01-14,11.76,11.91,11.74,11.87,10.83,20345600
2010-01-15,11.85,11.98,11.51,11.65,10.63,22195200
2010-01-19,11.67,11.93,11.67,11.84,10.8,11979000
2010-01-20,11.7,11.78,11.4,11.54,10.53,24187100
2010-01-21,11.57,11.86,11.26,11.34,10.35,24430000
2010-01-22,11.47,11.47,10.94,10.96,10.0,25658400
2010-01-25,11.1,11.24,10.92,11.18,10.2,23047800
2010-01-26,11.17,11.42,11.1,11.28,10.29,25860700
2010-01-27,11.26,11.36,10.94,11.17,10.2,24225700
2010-01-28,11.17,11.29,10.95,11.06,10.09,39818400
2010-01-29,11.18,11.47,11.1,11.14,10.16,38763900
2010-02-01,11.21,11.27,10.95,11.07,10.1,33175900
2010-02-02,11.07,11.35,10.98,11.27,10.28,41541900
2010-02-03,11.83,12.15,11.67,12.08,11.02,52840800
2010-02-04,11.98,12.01,11.55,11.55,10.54,38594400
2010-02-05,11.63,11.73,11.13,11.45,10.45,32814300
2010-02-08,11.43,11.43,11.11,11.17,10.19,18910000
2010-02-09,11.42,11.55,11.19,11.4,10.41,27400200
2010-02-10,11.32,11.37,11.02,11.14,10.16,21467000
2010-02-11,11.23,11.43,10.99,11.42,10.42,33302500
2010-02-12,11.34,11.61,11.27,11.58,10.57,24564700
2010-02-16,11.71,11.86,11.54,11.86,10.82,15254000
2010-02-17,11.85,11.97,11.76,11.88,10.84,14262800
2010-02-18,11.92,12.01,11.77,11.92,10.87,11184100
2010-02-19,11.86,12.05,11.72,11.98,10.93,16179400
2010-02-22,12.05,12.08,11.88,11.92,10.87,13828800
2010-02-23,11.94,12.04,11.62,11.64,10.62,17615200
2010-02-24,11.67,11.94,11.65,11.92,10.87,16463900
2010-02-25,11.61,11.87,11.51,11.86,10.82,16037100
2010-02-26,11.86,11.93,11.7,11.81,10.78,16941500
2010-03-01,11.85,12.23,11.85,12.16,11.09,23463900
2010-03-02,12.2,12.31,12.05,12.23,11.15,21053700
2010-03-03,12.28,12.31,12.06,12.1,11.04,13407400
2010-03-04,12.08,12.29,11.96,12.28,11.2,36110200
2010-03-05,12.29,12.75,12.28,12.75,11.63,22341000
2010-03-08,12.66,12.71,12.58,12.61,11.58,11415500
2010-03-09,12.55,12.67,12.5,12.61,11.57,13039600
2010-03-10,12.56,12.65,12.51,12.61,11.58,17444000
2010-03-11,12.54,12.63,12.45,12.6,11.56,19616300
2010-03-12,12.7,12.81,12.33,12.39,11.37,25330800
