Date,Open,High,Low,Close,Adj Close,Volume
2016-07-05,49.4,54.34,48.4,48.6,47.99,6230700
2016-07-06,47.07,48.6,46.29,47.75,47.15,6706500
2016-07-07,47.62,48.0,47.35,47.74,47.14,5486800
2016-07-08,47.96,50.61,47.53,50.2,49.57,4243500
2016-07-11,49.21,51.23,48.98,51.12,50.47,6042300
2016-07-12,51.0,51.06,50.26,50.57,49.93,5552900
2016-07-13,50.57,51.1,49.83,50.62,49.98,4864700
2016-07-14,50.33,51.74,49.95,51.57,50.92,3481600
2016-07-15,51.78,51.91,50.61,51.23,50.58,3689800
2016-07-18,50.77,51.58,50.51,51.29,50.64,1557500
2016-07-19,51.04,51.56,50.44,51.55,50.9,1954700
2016-07-20,51.84,51.92,50.01,50.34,49.7,3351700
2016-07-21,50.4,50.62,49.99,50.24,49.61,3029900
2016-07-22,50.0,50.29,49.29,49.4,48.78,2450600
2016-07-25,49.22,49.45,47.86,48.98,48.36,3044800
2016-07-26,48.56,49.42,48.28,49.28,48.66,1571400
2016-07-27,49.08,49.5,48.72,48.92,48.3,1628600
2016-07-28,48.74,49.09,48.35,48.65,48.04,2923100
2016-07-29,48.46,48.8,48.01,48.21,47.6,4484100
2016-08-01,48.11,48.51,47.59,47.8,47.2,2981000
2016-08-02,47.5,48.02,47.18,47.5,46.9,3267300
2016-08-03,47.5,49.48,47.35,49.28,48.66,4709900
2016-08-04,49.59,50.11,49.48,50.03,49.4,2946600
2016-08-05,50.26,50.98,50.26,50.58,49.94,2665900
2016-08-08,50.63,50.87,49.94,50.05,49.42,2116500
2016-08-09,48.73,50.53,48.42,50.46,49.82,1077900
2016-08-10,50.47,50.8,50.1,50.45,49.81,1182400
2016-08-11,50.73,52.71,50.7,52.55,51.89,1988600
2016-08-12,52.0,52.87,51.8,52.71,52.04,1287800
2016-08-15,52.95,53.77,52.86,53.66,52.98,1457900
2016-08-16,53.58,53.95,53.27,53.55,52.87,1002300
2016-08-17,53.67,53.73,53.34,53.41,52.73,1032100
2016-08-18,53.22,53.52,52.93,53.16,52.49,874700
2016-08-19,52.95,52.95,51.71,51.92,51.26,1196100
2016-08-22,51.92,52.04,51.08,51.26,50.61,1081700
2016-08-23,51.36,52.1,51.14,51.9,51.24,2513600
2016-08-24,51.26,51.78,50.6,51.37,50.79,692800
2016-08-25,51.18,51.89,50.98,51.62,51.04,1384900
2016-08-26,51.64,52.34,51.53,51.87,51.28,937600
2016-08-29,51.78,52.79,51.56,52.41,51.82,980300
2016-08-30,52.19,53.47,52.19,52.61,52.02,952100
2016-08-31,52.47,52.82,52.0,52.67,52.07,1653600
2016-09-01,52.96,53.11,52.14,52.63,52.04,959400
2016-09-02,53.02,53.47,52.81,53.38,52.78,840800
2016-09-06,53.5,53.55,52.29,52.73,52.13,1293800
2016-09-07,52.43,53.12,52.02,52.94,52.34,1743200
