Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,68.51,69.19,68.17,69.19,54.98,1198500
2010-01-05,69.29,69.78,68.81,69.3,55.07,1535400
2010-01-06,69.03,69.36,68.75,69.24,55.02,1149700
2010-01-07,69.09,69.5,68.73,69.44,55.18,1262300
2010-01-08,69.43,69.7,68.91,69.44,55.18,1582000
2010-01-11,69.83,70.75,69.66,70.73,56.21,1508400
2010-01-12,70.27,70.65,69.85,70.3,55.86,1677200
2010-01-13,70.17,71.49,69.96,71.07,56.78,1797800
2010-01-14,70.87,71.24,70.31,71.1,56.81,2332600
2010-01-15,71.08,71.08,69.85,70.61,56.42,1829400
2010-01-19,70.49,70.83,70.02,70.69,56.48,1498700
2010-01-20,70.12,70.29,68.35,69.36,55.42,2193500
2010-01-21,69.27,69.72,67.73,68.14,54.44,1984500
2010-01-22,68.1,68.77,66.94,67.02,53.55,1868300
2010-01-25,68.68,69.04,67.85,67.86,54.22,1781100
2010-01-26,67.57,69.4,67.43,68.72,54.91,2618400
2010-01-27,68.75,68.75,65.92,67.23,53.71,3839500
2010-01-28,67.61,68.25,67.04,67.6,54.01,1839000
2010-01-29,67.41,67.73,66.72,66.85,53.41,2268400
2010-02-01,67.22,69.58,66.79,69.43,55.47,3613300
2010-02-02,69.43,70.21,68.66,70.03,55.95,3599700
2010-02-03,69.82,70.39,69.51,70.12,56.02,1902400
2010-02-04,69.64,69.98,68.06,68.16,54.46,2995400
2010-02-05,68.07,68.38,65.3,66.66,53.26,4387600
2010-02-08,66.72,67.53,65.91,66.35,53.01,2017100
2010-02-09,66.95,68.56,66.55,68.04,54.36,2008500
2010-02-10,68.05,68.34,67.42,67.64,54.04,2704100
2010-02-11,67.46,67.85,66.55,67.8,54.17,2978000
2010-02-12,67.33,68.28,66.38,67.95,54.29,2433400
2010-02-16,68.37,69.85,68.13,69.85,55.81,2745100
2010-02-17,69.76,70.1,69.1,70.1,56.01,2284400
2010-02-18,69.86,71.99,69.59,71.78,57.35,2692800
2010-02-19,71.64,73.1,71.43,72.61,58.01,2474900
2010-02-22,72.62,72.97,71.74,72.57,57.98,1753900
2010-02-23,72.28,72.88,71.53,71.81,57.37,1747700
2010-02-24,71.83,72.74,71.71,72.6,58.01,1220500
2010-02-25,72.1,72.24,70.81,72.2,57.69,1651400
2010-02-26,72.39,72.74,71.59,72.55,57.97,1504200
2010-03-01,72.54,74.13,72.54,73.91,59.05,2384900
2010-03-02,74.65,74.65,73.41,73.98,59.11,2203000
2010-03-03,74.25,74.33,72.65,72.83,58.19,3344600
2010-03-04,71.95,73.04,71.09,72.94,58.28,3061300
2010-03-05,72.88,73.78,72.53,73.73,58.91,2350000
2010-03-08,73.4,73.92,73.1,73.65,58.84,1766500
2010-03-09,73.38,74.09,72.65,73.68,58.87,1363000
2010-03-10,73.47,74.31,73.38,73.94,59.08,1903600
2010-03-11,73.5,74.22,72.75,74.15,59.24,2017000
2010-03-12,74.15,74.15,73.01,73.76,58.93,1587400
2010-03-15,73.72,73.74,72.96,73.66,58.85,1620400
2010-03-16,73.67,73.98,73.26,73.71,58.89,1380500
2010-03-17,73.91,75.0,73.59,74.98,59.91,2250100
2010-03-18,74.86,75.5,74.79,75.24,60.11,2430200
2010-03-19,75.49,76.24,75.24,75.49,60.31,2438000
2010-03-22,75.23,75.82,74.59,75.66,60.45,1340200
2010-03-23,75.88,76.96,75.79,76.94,61.47,1818800
2010-03-24,76.74,76.76,75.6,75.74,60.51,1476100
2010-03-25,76.34,76.96,75.73,76.22,60.9,2168100
2010-03-26,76.5,77.05,76.15,76.92,61.46,1644700
2010-03-29,77.35,78.62,77.17,78.48,62.7,3168600
2010-03-30,78.48,78.48,77.07,77.49,61.91,2199000
2010-03-31,77.34,77.79,76.98,77.2,61.68,2131100
