Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,21.69,21.86,21.55,21.65,19.51,16809000
2010-01-05,21.68,21.7,21.35,21.63,19.49,20788200
2010-01-06,22.0,22.5,21.81,22.38,20.16,32750400
2010-01-07,22.38,22.58,22.28,22.43,20.21,20892600
2010-01-08,22.48,22.55,22.12,22.27,20.06,17618400
2010-01-11,22.19,22.51,22.15,22.44,20.22,17399000
2010-01-12,22.5,22.53,22.26,22.48,20.25,13968600
2010-01-13,22.58,22.93,22.44,22.75,20.5,17846200
2010-01-14,22.95,23.0,22.6,22.73,20.48,16884800
2010-01-15,22.64,23.0,22.39,22.76,20.51,19067400
2010-01-19,22.88,23.3,22.86,23.14,20.85,20906400
2010-01-20,23.15,23.17,22.72,23.02,20.74,15961200
2010-01-21,23.12,23.25,22.59,22.89,20.62,24302200
2010-01-22,23.03,23.21,22.83,23.04,20.76,22095000
2010-01-25,23.18,23.2,22.84,22.85,20.59,20666200
2010-01-26,22.8,22.8,22.34,22.43,20.21,20806200
2010-01-27,23.54,24.16,23.43,24.02,21.64,56743600
2010-01-28,23.61,23.98,23.45,23.75,21.4,27932400
2010-01-29,23.8,24.25,23.75,24.14,21.74,25100600
2010-02-01,24.12,24.17,23.81,23.91,21.54,18501800
2010-02-02,23.83,24.28,23.75,24.28,21.88,20596800
2010-02-03,24.11,24.15,23.58,23.77,21.42,27632000
2010-02-04,23.71,23.73,23.18,23.24,20.93,23467600
2010-02-05,23.19,23.43,22.73,23.19,20.89,28918200
2010-02-08,23.15,23.24,22.83,23.05,20.76,15454800
2010-02-09,23.28,23.5,23.02,23.15,20.86,18992000
2010-02-10,23.22,23.4,22.84,22.99,20.71,22741600
2010-02-11,22.91,23.54,22.8,23.38,21.06,22954200
2010-02-12,23.2,23.56,23.1,23.5,21.18,19065200
2010-02-16,23.99,24.02,23.15,23.43,21.11,26284000
2010-02-17,23.48,24.5,23.47,24.33,21.92,35693800
2010-02-18,24.38,24.75,24.33,24.73,22.28,25876400
2010-02-19,24.55,24.72,24.39,24.42,22.0,23377800
2010-02-22,24.27,24.4,23.81,23.94,21.57,27884200
2010-02-23,24.0,24.05,23.65,23.67,21.33,20081400
2010-02-24,23.81,23.99,23.65,23.78,21.42,18946400
2010-02-25,23.5,23.74,23.3,23.7,21.36,23808400
2010-02-26,23.75,23.84,23.53,23.81,21.45,18997200
2010-03-01,24.0,24.08,23.69,23.75,21.4,18722400
2010-03-02,23.62,23.78,23.5,23.77,21.42,15558400
2010-03-03,23.66,23.83,23.62,23.78,21.43,17649400
2010-03-04,23.68,23.7,23.36,23.53,21.2,19900000
2010-03-05,23.47,23.83,23.46,23.81,21.45,16142200
2010-03-08,23.7,23.77,23.38,23.5,21.18,14617400
2010-03-09,23.4,23.87,23.4,23.72,21.37,14542000
2010-03-10,23.75,23.88,23.62,23.64,21.3,12711200
2010-03-11,23.56,23.66,23.32,23.55,21.22,18272600
2010-03-12,23.88,23.88,23.48,23.71,21.36,16998400
2010-03-15,23.74,23.87,23.59,23.76,21.41,12463000
2010-03-16,23.77,23.8,23.61,23.74,21.38,10754000
2010-03-17,23.8,23.8,23.45,23.59,21.25,15564400
2010-03-18,23.67,23.75,23.49,23.71,21.36,11149200
2010-03-19,23.84,24.0,23.45,23.93,21.56,38567800
2010-03-22,23.96,24.33,23.9,24.08,21.69,14699000
2010-03-23,24.21,24.22,23.72,23.88,21.51,17343600
2010-03-24,23.73,23.89,23.55,23.65,21.3,14502400
2010-03-25,23.68,23.75,22.88,22.98,20.7,40254200
2010-03-26,23.11,23.17,22.49,22.67,20.42,23744600
2010-03-29,22.67,23.11,22.67,22.94,20.67,14648600
2010-03-30,23.03,23.07,22.65,22.81,20.55,15933800
2010-03-31,22.83,22.88,22.67,22.74,20.48,14102400
2010-04-01,22.76,23.01,22.64,22.82,20.56,11188600
2010-04-05,23.01,23.09,22.7,22.92,20.65,12673800
2010-04-06,22.77,22.89,22.71,22.75,20.5,11472200
2010-04-07,22.84,22.84,22.6,22.73,20.47,11920000
2010-04-08,22.75,22.99,22.55,22.91,20.64,15041600
2010-04-09,22.91,22.98,22.75,22.9,20.63,14091600
2010-04-12,22.91,23.06,22.85,22.93,20.66,12800000
2010-04-13,22.97,23.31,22.88,23.17,20.88,24087200
2010-04-14,22.97,23.31,22.9,23.03,20.75,16827400
2010-04-15,22.97,23.09,22.6,22.66,20.42,17586200
2010-04-16,22.64,22.94,22.62,22.85,20.59,18808200
2010-04-19,22.87,22.99,22.6,22.87,20.6,14048800
2010-04-20,22.83,22.99,22.38,22.53,20.3,27776200
2010-04-21,20.99,21.25,19.95,20.38,18.36,146440000
2010-04-22,20.52,20.81,20.24,20.3,18.28,80492800
2010-04-23,20.49,20.88,20.43,20.83,18.77,41925200
2010-04-26,20.77,20.8,20.26,20.28,18.27,30009600
2010-04-27,20.48,20.58,20.1,20.18,18.19,35050800
2010-04-28,20.18,20.43,20.12,20.34,18.33,27811600
2010-04-29,20.38,20.54,20.16,20.2,18.2,33514600
2010-04-30,20.53,20.55,19.77,19.85,17.89,40693800
2010-05-03,19.83,20.06,19.77,19.88,17.91,25135400
2010-05-04,19.68,19.75,19.21,19.26,17.36,41827800
2010-05-05,19.24,20.18,19.14,20.1,18.11,50234200
2010-05-06,19.88,20.12,19.0,19.59,17.65,39024000
2010-05-07,19.5,19.66,19.04,19.18,17.28,38054400
2010-05-10,19.31,19.9,19.02,19.19,17.29,38259200
2010-05-11,19.47,20.13,19.36,19.63,17.69,30899800
2010-05-12,19.8,20.11,19.67,20.08,18.09,27321400
2010-05-13,20.09,20.17,19.72,19.74,17.78,19181200
2010-05-14,19.75,19.86,18.77,18.89,17.02,55320400
2010-05-17,18.85,19.15,18.73,19.11,17.22,27792600
2010-05-18,19.11,19.43,19.07,19.14,17.24,21212600
2010-05-19,19.2,19.72,19.05,19.5,17.57,34776800
2010-05-20,19.28,19.32,18.47,18.49,16.65,49437000
2010-05-21,18.19,18.59,18.05,18.28,16.47,38691400
2010-05-24,18.08,18.43,17.96,18.17,16.37,25030400
2010-05-25,18.08,18.14,17.81,18.09,16.3,28089600
2010-05-26,18.1,18.35,17.39,17.41,15.69,43798600
2010-05-27,17.75,18.15,17.62,18.12,16.33,32930600
2010-05-28,18.18,18.24,17.93,17.96,16.18,26511400
2010-06-01,17.91,18.15,17.7,17.72,15.96,18942400
2010-06-02,17.91,18.0,17.6,18.0,16.22,26167600
2010-06-03,17.92,18.16,17.8,17.95,16.17,22404000
2010-06-04,17.56,17.74,17.28,17.35,15.64,33902000
2010-06-07,17.41,17.5,17.18,17.22,15.51,26449600
2010-06-08,17.23,17.25,16.42,16.73,15.07,50593400
2010-06-09,16.79,16.89,16.44,16.45,14.83,32348400
2010-06-10,16.58,16.95,16.54,16.86,15.19,26437200
2010-06-11,16.85,17.33,16.75,17.26,15.55,23324800
2010-06-14,17.37,17.63,17.28,17.32,15.6,18547200
2010-06-15,17.37,17.78,17.34,17.76,16.01,21942400
2010-06-16,17.64,18.07,17.3,17.91,16.13,21575600
2010-06-17,18.01,18.05,17.76,17.99,16.2,19032600
2010-06-18,18.01,18.25,17.88,18.01,16.23,27190600
2010-06-21,18.08,18.25,17.98,18.05,16.26,15680200
2010-06-22,17.97,18.4,17.92,17.95,16.18,20666400
2010-06-23,17.85,18.22,17.83,18.1,16.31,14890400
2010-06-24,18.0,18.18,17.81,17.86,16.09,18453400
2010-06-25,17.83,18.41,17.83,18.17,16.37,26453000
2010-06-28,18.24,18.25,17.75,17.89,16.11,12980400
2010-06-29,17.7,17.81,17.37,17.49,15.75,18170800
2010-06-30,17.42,17.57,17.13,17.14,15.44,19945800
2010-07-01,17.12,17.14,16.65,17.07,15.38,23827000
2010-07-02,17.19,17.58,17.09,17.43,15.71,19527800
2010-07-06,17.56,17.71,17.21,17.39,15.66,21248000
2010-07-07,17.33,17.5,17.14,17.47,15.74,23426800
2010-07-08,17.5,17.53,17.17,17.41,15.69,25102600
2010-07-09,17.36,17.46,17.24,17.37,15.65,19020800
2010-07-12,17.35,17.36,17.15,17.24,15.53,18961200
2010-07-13,17.32,17.73,17.26,17.6,15.86,18014000
2010-07-14,17.67,17.75,17.35,17.41,15.68,21826200
2010-07-15,17.45,17.62,17.3,17.45,15.72,21450200
2010-07-16,17.24,17.44,15.91,15.97,14.39,62530600
2010-07-19,16.0,16.58,15.99,16.45,14.83,33461400
2010-07-20,16.33,16.52,16.26,16.5,14.87,25984800
2010-07-21,16.29,16.72,15.86,16.45,14.83,60230200
2010-07-22,16.51,16.93,16.51,16.89,15.22,29403000
2010-07-23,16.86,16.91,16.42,16.72,15.06,25155800
2010-07-26,16.6,16.85,16.05,16.69,15.04,34005400
2010-07-27,16.72,16.77,16.41,16.69,15.04,92023800
2010-07-28,16.75,16.99,16.58,16.71,15.05,29995600
2010-07-29,17.12,17.22,16.58,16.7,15.05,23583000
2010-07-30,16.56,16.84,16.55,16.66,15.01,21930200
2010-08-02,16.92,17.29,16.88,17.23,15.52,26386200
2010-08-03,17.19,17.4,17.12,17.24,15.53,15718600
2010-08-04,17.34,17.66,17.21,17.61,15.87,23428200
2010-08-05,17.53,18.06,17.47,17.86,16.1,29825400
2010-08-06,17.84,17.93,17.65,17.91,16.14,22606000
2010-08-09,18.01,18.02,17.8,17.88,16.11,17472400
2010-08-10,17.8,18.07,17.68,17.9,16.12,20018000
2010-08-11,17.62,17.69,17.23,17.28,15.57,23441200
2010-08-12,17.04,17.41,17.0,17.33,15.61,19354000
