Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,38.3,38.39,38.03,38.13,28.86,836900
2010-01-05,37.96,38.15,37.55,38.09,28.83,942800
2010-01-06,38.1,38.25,37.93,38.02,28.78,656600
2010-01-07,38.05,38.29,37.89,38.23,28.94,753300
2010-01-08,38.0,38.29,37.93,38.24,28.95,789700
2010-01-11,38.4,38.68,38.13,38.67,29.27,514500
2010-01-12,38.53,38.79,38.38,38.51,29.15,664300
2010-01-13,38.65,38.93,38.38,38.7,29.29,949400
2010-01-14,38.66,38.99,38.43,38.96,29.49,700300
2010-01-15,38.9,38.99,38.78,38.79,29.36,1082200
2010-01-19,38.84,39.24,38.61,39.1,29.6,1018600
2010-01-20,38.94,38.97,38.34,38.39,29.06,988700
2010-01-21,38.48,38.86,38.1,38.15,28.88,904600
2010-01-22,38.18,38.51,38.08,38.11,28.85,904700
2010-01-25,38.0,38.82,38.0,38.3,28.99,873600
2010-01-26,38.27,38.46,38.11,38.27,28.97,588100
2010-01-27,38.31,38.43,37.78,38.06,28.81,764200
2010-01-28,38.14,38.14,37.75,37.96,28.73,882800
2010-01-29,38.07,38.19,37.66,37.68,28.52,1033400
2010-02-01,37.85,38.11,37.72,38.07,28.82,680300
2010-02-02,38.2,39.15,38.07,39.14,29.63,1003700
2010-02-03,39.03,39.35,38.79,38.81,29.38,814500
2010-02-04,38.52,38.67,37.85,37.85,28.65,814000
2010-02-05,37.78,38.03,37.09,37.7,28.54,701500
2010-02-08,37.74,37.78,36.94,36.96,27.98,702200
2010-02-09,37.09,37.76,37.09,37.57,28.44,614600
2010-02-10,37.57,37.77,37.22,37.51,28.39,501800
2010-02-11,37.39,37.96,37.13,37.91,28.7,547300
2010-02-12,37.53,38.24,37.35,38.19,28.91,806900
2010-02-16,42.2,42.2,39.2,40.75,30.85,2264000
2010-02-17,40.7,41.1,40.52,40.7,30.81,1068500
2010-02-18,40.52,40.66,40.21,40.63,30.75,750700
2010-02-19,40.44,41.07,40.33,41.03,31.06,771700
2010-02-22,41.11,41.11,40.5,40.68,30.79,523400
2010-02-23,40.66,40.85,39.83,39.89,30.19,921500
2010-02-24,40.01,40.39,40.0,40.38,30.57,656900
2010-02-25,40.05,40.38,39.75,40.3,30.5,880800
2010-02-26,40.38,40.49,40.04,40.36,30.55,507900
2010-03-01,40.48,40.97,40.16,40.81,30.89,542900
2010-03-02,41.02,41.08,40.62,40.94,30.99,772800
2010-03-03,40.77,40.84,40.26,40.31,30.82,603000
2010-03-04,40.43,40.61,39.94,40.21,30.74,754000
2010-03-05,40.47,40.56,40.11,40.4,30.89,612900
2010-03-08,40.54,40.68,40.25,40.48,30.95,533300
2010-03-09,40.48,40.71,40.38,40.56,31.01,424700
2010-03-10,40.5,40.75,40.42,40.58,31.03,528200
2010-03-11,40.59,40.92,40.34,40.9,31.27,600700
2010-03-12,40.93,40.93,40.43,40.76,31.17,472800
2010-03-15,40.8,40.91,40.36,40.5,30.97,607300
2010-03-16,40.48,40.97,40.43,40.96,31.32,587300
2010-03-17,41.01,41.43,40.93,41.26,31.55,523700
2010-03-18,41.38,41.64,41.12,41.42,31.67,557200
2010-03-19,41.6,41.79,41.33,41.6,31.81,1111000
2010-03-22,43.08,43.63,42.76,42.87,32.78,1437000
2010-03-23,43.14,43.14,42.63,43.08,32.94,784400
2010-03-24,42.96,42.98,42.25,42.38,32.4,644300
2010-03-25,42.73,42.75,42.25,42.3,32.34,667100
2010-03-26,42.47,42.5,41.78,41.88,32.02,623000
2010-03-29,41.99,42.18,41.83,42.06,32.16,529100
2010-03-30,42.05,42.62,42.03,42.57,32.55,665400
2010-03-31,42.39,42.6,42.2,42.24,32.3,682200
2010-04-01,42.36,42.86,42.28,42.66,32.62,654800
2010-04-05,42.67,43.12,42.56,43.05,32.92,502400
2010-04-06,42.78,42.99,42.64,42.89,32.79,604700
2010-04-07,42.85,43.28,42.7,42.95,32.84,695200
2010-04-08,42.92,43.05,42.68,42.99,32.87,554000
2010-04-09,43.0,43.41,42.85,43.25,33.07,617600
2010-04-12,43.39,43.49,43.12,43.22,33.05,647400
2010-04-13,43.2,43.27,42.94,43.23,33.05,983400
2010-04-14,43.41,44.78,43.27,44.63,34.12,1798500
2010-04-15,44.54,45.42,44.12,45.42,34.73,1989800
2010-04-16,45.27,45.32,42.6,42.68,32.63,2559200
2010-04-19,42.57,43.03,42.21,42.92,32.82,1103800
2010-04-20,43.15,43.26,42.84,43.06,32.92,895400
2010-04-21,42.98,43.14,42.71,43.1,32.95,738400
2010-04-22,42.85,43.06,42.33,42.98,32.86,1399300
2010-04-23,42.98,43.28,42.63,43.27,33.08,722500
2010-04-26,43.4,43.76,43.16,43.16,33.0,682000
2010-04-27,42.89,43.03,42.07,42.15,32.23,1002200
2010-04-28,42.35,42.84,42.07,42.62,32.59,1210900
2010-04-29,43.22,43.45,42.83,43.24,33.06,1108900
