Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,31.42,32.24,30.98,32.18,21.14,2098800
2010-01-05,32.16,32.63,31.74,32.26,21.19,1719300
2010-01-06,32.2,32.82,31.85,32.02,21.03,1283100
2010-01-07,31.76,32.29,30.85,32.17,21.13,2962600
2010-01-08,33.12,34.17,32.81,33.79,22.19,3936100
2010-01-11,34.1,34.45,33.52,34.29,22.52,1997700
2010-01-12,33.91,34.35,33.46,33.81,22.21,2400900
2010-01-13,34.08,34.8,33.89,34.67,22.77,2221800
2010-01-14,34.33,35.49,34.28,35.19,23.11,2645400
2010-01-15,35.34,35.43,34.66,35.13,23.07,2058000
2010-01-19,35.0,37.24,34.92,37.1,24.37,3470100
2010-01-20,36.98,36.98,35.57,36.15,23.74,2482600
2010-01-21,34.54,35.88,33.95,34.16,22.44,4361300
2010-01-22,34.1,34.44,33.33,33.42,21.95,2037400
2010-01-25,33.41,34.31,33.4,33.48,21.99,1098900
2010-01-26,33.43,33.88,32.81,33.15,21.77,1135500
2010-01-27,33.03,33.65,32.92,33.56,22.04,1354400
2010-01-28,33.68,33.99,32.35,32.81,21.55,1580500
2010-01-29,33.04,33.54,32.31,32.31,21.22,1413700
2010-02-01,32.34,32.78,32.14,32.53,21.37,1467700
2010-02-02,32.52,33.47,32.31,33.28,21.86,1355700
2010-02-03,33.02,33.53,32.66,33.07,21.72,1738600
2010-02-04,32.86,32.98,32.21,32.22,21.16,2093800
2010-02-05,32.36,32.65,31.48,32.39,21.27,1853900
2010-02-08,32.43,32.54,31.78,31.9,20.95,968100
2010-02-09,32.45,32.45,31.4,31.92,20.96,2129800
2010-02-10,31.83,32.12,31.51,31.9,20.95,1061800
2010-02-11,31.9,32.58,31.82,32.42,21.29,1404800
2010-02-12,31.9,32.0,31.64,31.95,20.98,2122000
2010-02-16,32.15,32.97,32.1,32.79,21.54,1713600
2010-02-17,33.13,33.43,32.65,33.0,21.67,1298700
2010-02-18,33.59,34.0,33.34,33.79,22.19,2302000
2010-02-19,33.58,34.05,33.42,33.72,22.15,1502900
2010-02-22,33.98,35.19,33.95,34.92,22.94,2520200
2010-02-23,34.93,35.2,34.03,34.45,22.63,2366400
2010-02-24,33.39,33.5,31.35,32.45,21.31,9779600
2010-02-25,32.26,32.4,31.11,31.92,20.96,3398900
2010-02-26,31.82,32.18,31.31,31.95,20.98,1918200
2010-03-01,32.25,32.5,31.93,32.47,21.33,2477500
2010-03-02,32.49,33.29,32.37,32.99,21.67,2882700
2010-03-03,33.15,34.0,33.0,33.82,22.21,2540700
2010-03-04,33.89,34.0,33.58,33.86,22.24,1121000
2010-03-05,33.96,34.87,33.88,34.68,22.78,1630400
2010-03-08,34.62,35.13,34.53,35.11,23.06,1756200
2010-03-09,34.96,35.6,34.67,35.38,23.24,2213000
2010-03-10,35.06,35.7,35.06,35.7,23.45,1171700
2010-03-11,35.45,35.95,35.15,35.91,23.59,1128200
2010-03-12,35.57,36.0,35.57,35.91,23.59,1271900
2010-03-15,35.79,36.34,35.44,35.59,23.38,1456500
2010-03-16,35.65,35.86,35.21,35.3,23.18,1367200
2010-03-17,35.84,37.65,35.82,37.27,24.48,3544000
2010-03-18,37.44,37.46,36.2,36.74,24.13,2051900
2010-03-19,37.0,37.35,35.9,36.13,23.73,1847900
2010-03-22,36.0,36.42,35.77,36.23,23.8,1485000
2010-03-23,36.27,37.4,36.07,37.24,24.46,2523300
2010-03-24,37.42,38.24,37.15,38.05,24.99,2295400
2010-03-25,38.49,40.47,38.31,39.02,25.63,4617400
2010-03-26,39.02,40.19,39.02,39.94,26.23,2049600
2010-03-29,40.0,40.01,38.85,39.14,25.71,2166600
2010-03-30,39.36,39.36,37.81,38.1,25.02,3068500
2010-03-31,37.78,38.63,37.2,38.63,25.37,2309000
2010-04-01,38.84,39.1,37.84,37.99,24.95,1971900
2010-04-05,38.02,38.18,36.87,37.89,24.89,2353000
2010-04-06,37.85,38.82,37.76,38.58,25.34,1649400
2010-04-07,39.25,39.43,38.16,38.64,25.38,2150400
2010-04-08,38.56,38.6,37.53,38.14,25.05,1699200
2010-04-09,38.14,38.47,37.97,38.12,25.04,945600
2010-04-12,38.23,38.29,37.6,37.61,24.7,2180900
2010-04-13,36.35,36.81,36.1,36.39,24.89,1867400
2010-04-14,36.62,37.17,36.4,37.12,25.39,1744000
2010-04-15,37.31,37.76,37.14,37.19,25.44,1156500
2010-04-16,36.99,37.2,35.61,36.12,24.71,2209900
2010-04-19,36.03,37.49,35.66,36.65,25.07,2153000
2010-04-20,36.8,36.92,36.36,36.71,25.11,820800
2010-04-21,36.9,36.98,36.3,36.89,25.24,1185500
2010-04-22,36.63,37.55,36.36,37.53,25.67,1080900
2010-04-23,37.53,37.65,37.17,37.52,25.67,1021100
2010-04-26,37.62,38.27,37.46,37.7,25.79,1116500
2010-04-27,37.83,38.5,37.83,38.15,26.1,2263300
2010-04-28,38.28,38.5,37.78,38.25,26.17,952200
2010-04-29,38.3,38.93,38.02,38.74,26.5,1276400
2010-04-30,38.69,39.0,37.23,37.38,25.57,1846300
2010-05-03,37.74,39.05,37.56,38.98,26.67,1476100
2010-05-04,38.69,38.69,36.5,37.48,25.64,2637200
2010-05-05,32.5,36.0,31.99,34.19,23.39,7500100
2010-05-06,34.0,35.35,32.1,33.49,22.91,2903900
2010-05-07,33.52,34.99,33.25,34.26,23.44,2116400
2010-05-10,36.01,36.01,33.85,35.6,24.35,2313700
2010-05-11,35.5,35.74,34.05,34.17,23.37,2821900
2010-05-12,34.18,34.32,33.2,33.94,23.22,2354900
2010-05-13,33.51,34.37,32.85,32.91,22.51,1749500
2010-05-14,32.55,33.75,32.25,33.53,22.94,2278300
2010-05-17,33.74,34.44,32.89,34.01,23.27,2217100
2010-05-18,34.23,34.49,33.1,33.34,22.81,2363800
2010-05-19,33.12,34.99,33.01,34.26,23.44,2383000
2010-05-20,33.45,34.0,32.81,33.44,22.88,1935800
2010-05-21,33.69,34.28,32.83,33.53,22.94,2275900
2010-05-24,33.73,33.98,33.07,33.1,22.64,1525800
2010-05-25,32.6,33.26,32.0,33.0,22.57,2596000
2010-05-26,32.97,33.41,31.78,31.82,21.77,2283800
2010-05-27,32.49,33.17,32.12,33.1,22.64,1544300
2010-05-28,33.1,33.78,32.85,33.58,22.97,1412600
2010-06-01,33.59,33.6,32.05,32.07,21.94,1183800
2010-06-02,32.15,33.23,32.0,33.1,22.64,1228000
2010-06-03,33.15,33.15,32.07,32.78,22.42,1411600
2010-06-04,32.15,32.45,31.66,32.0,21.89,1906400
2010-06-07,31.96,32.24,31.13,31.22,21.36,1913500
2010-06-08,31.21,32.84,31.17,32.33,22.12,1849100
2010-06-09,32.44,33.23,32.06,32.14,21.99,1088300
2010-06-10,32.64,33.29,32.25,33.16,22.68,1270100
2010-06-11,32.7,34.34,32.7,34.3,23.46,1667400
2010-06-14,34.4,34.49,32.47,32.56,22.27,2016400
2010-06-15,32.64,33.23,32.3,33.18,22.7,1103900
2010-06-16,32.88,32.96,32.3,32.67,22.35,940900
2010-06-17,32.69,32.75,32.0,32.25,22.06,1119900
2010-06-18,32.19,32.89,31.97,31.97,21.87,1588100
2010-06-21,32.3,32.5,31.92,32.03,21.91,1509800
2010-06-22,32.02,32.57,31.9,31.95,21.86,1283600
2010-06-23,31.92,32.45,31.81,32.1,21.96,887900
2010-06-24,32.1,32.4,31.76,31.86,21.79,1068600
2010-06-25,32.14,32.43,31.81,32.02,21.9,3730900
2010-06-28,31.9,31.96,30.53,30.6,20.93,1940000
2010-06-29,30.46,30.88,29.09,29.26,20.02,2344500
2010-06-30,29.42,30.19,29.1,29.18,19.96,1974600
2010-07-01,29.14,30.0,28.76,29.8,20.39,1490100
2010-07-02,28.91,29.72,28.79,29.27,20.02,1881000
2010-07-06,29.53,29.6,28.65,28.94,19.8,1339400
2010-07-07,28.28,30.0,28.08,29.93,20.47,1667900
2010-07-08,29.93,30.36,29.84,30.3,20.73,913300
2010-07-09,30.2,30.62,30.01,30.34,20.75,743800
2010-07-12,30.18,30.18,29.1,29.33,20.06,1588700
2010-07-13,29.53,30.46,29.53,30.3,20.73,954100
2010-07-14,30.36,30.47,30.0,30.24,20.69,736000
2010-07-15,30.14,30.48,29.91,30.29,20.72,916600
2010-07-16,30.32,30.32,29.5,29.66,20.29,1453500
2010-07-19,29.83,30.0,29.51,29.91,20.46,659000
2010-07-20,29.45,30.15,29.23,30.11,20.6,1175200
2010-07-21,30.25,30.29,29.27,29.3,20.04,875000
2010-07-22,29.59,30.55,29.41,30.0,20.52,1008500
2010-07-23,29.97,30.75,29.64,30.71,21.01,651500
2010-07-26,30.71,31.0,30.26,30.73,21.02,698600
2010-07-27,30.85,30.9,30.26,30.44,20.82,1357400
2010-07-28,30.33,30.5,29.67,29.75,20.35,696400
2010-07-29,30.2,30.2,28.0,28.55,19.53,2146200
2010-07-30,28.12,28.56,27.62,28.51,19.5,3393000
2010-08-02,28.73,29.38,28.56,29.22,19.99,1696000
2010-08-03,29.04,29.91,28.9,29.35,20.08,2561600
2010-08-04,30.36,31.03,28.69,29.02,19.85,4826900
2010-08-05,28.8,30.01,28.65,29.99,20.52,2084800
2010-08-06,29.63,30.33,29.27,30.24,20.69,1961900
2010-08-09,30.28,30.96,30.05,30.81,21.08,1077200
2010-08-10,30.58,31.32,29.33,29.59,20.24,1361700
2010-08-11,29.0,29.0,27.54,27.96,19.13,3534700
2010-08-12,27.83,28.57,27.61,28.0,19.15,1597700
2010-08-13,27.8,28.02,27.03,27.05,18.5,2179000
2010-08-16,26.91,27.27,26.57,26.84,18.36,2338900
2010-08-17,27.04,28.14,27.04,27.68,18.94,2076600
2010-08-18,27.56,28.11,27.14,27.91,19.09,1109200
2010-08-19,27.68,27.9,27.0,27.41,18.75,1243100
2010-08-20,27.27,27.5,26.74,27.44,18.77,1247300
2010-08-23,27.51,27.72,27.05,27.11,18.55,822200
