Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,55.3,56.05,55.16,55.71,54.41,1679100.0
2017-11-03,55.32,55.84,55.21,55.84,54.54,1544300.0
2017-11-06,55.85,55.97,55.49,55.89,54.59,1245400.0
2017-11-30,,,,,,
2018-03-02,,,,,,
2018-05-24,53.06,53.18,52.65,53.03,51.8,1176000.0
2018-05-25,52.84,53.04,52.65,52.92,51.69,1362300.0
2018-05-29,52.44,52.44,51.29,51.85,50.64,2947900.0
2018-05-30,52.42,53.52,52.26,53.21,51.97,2131400.0
2018-05-31,52.8,52.87,52.21,52.33,51.35,2569500.0
2018-06-01,52.9,53.17,52.4,52.49,51.51,1767900.0
2018-06-04,52.76,53.21,52.52,52.67,51.69,2015000.0
2018-06-05,52.55,52.62,52.02,52.47,51.49,2102000.0
2018-06-06,52.59,52.92,52.14,52.53,51.55,1417700.0
2018-06-07,52.54,52.86,52.07,52.76,51.77,3062400.0
2018-06-08,52.86,53.33,52.84,53.26,52.27,1350300.0
2018-06-11,53.35,53.49,52.85,52.86,51.87,2552500.0
2018-06-12,53.0,53.62,52.73,53.0,52.01,1255600.0
2018-06-13,53.04,53.6,52.92,53.1,52.11,1632400.0
2018-06-14,53.2,53.21,52.64,53.08,52.09,2096800.0
2018-06-15,52.89,53.76,52.51,53.76,52.76,4231000.0
2018-06-18,53.1,53.31,52.41,53.17,52.18,2858500.0
2018-06-19,52.61,53.31,52.61,53.05,52.06,2075000.0
2018-06-20,53.18,53.21,52.1,52.14,51.17,1649600.0
2018-06-21,51.95,52.17,51.36,51.47,50.51,1554700.0
2018-06-22,51.86,52.02,51.6,51.78,50.81,2224000.0
2018-06-25,51.8,51.94,51.3,51.66,50.7,2060600.0
2018-06-26,51.55,51.73,51.16,51.59,50.63,2464400.0
2018-06-27,51.46,51.78,50.69,50.77,49.82,2234700.0
2018-06-28,50.69,51.15,50.46,50.93,49.98,1672500.0
2018-06-29,51.11,51.74,50.85,51.13,50.18,3272800.0
2018-07-02,50.88,51.54,50.47,51.33,50.37,1729600.0
2018-07-03,51.54,51.98,51.44,51.57,50.61,704000.0
2018-07-05,51.89,51.99,51.5,51.7,50.73,1264900.0
2018-07-06,51.61,52.15,51.54,51.85,50.88,1081000.0
2018-07-09,52.04,53.31,52.01,53.29,52.29,2231400.0
2018-07-10,53.35,53.49,52.86,53.24,52.25,1726200.0
2018-07-11,53.02,53.33,52.59,52.75,51.76,2016300.0
2018-07-12,53.08,53.08,52.29,52.53,51.55,1233800.0
2018-07-13,52.33,52.71,52.18,52.53,51.55,689800.0
2018-07-16,52.54,53.12,52.46,53.07,52.08,1033000.0
2018-07-17,53.2,53.46,52.61,53.26,52.27,1173100.0
2018-07-18,53.23,53.87,53.02,53.63,52.63,1816700.0
2018-07-19,53.49,53.61,52.63,52.67,51.69,1882500.0
2018-07-20,52.38,52.94,52.23,52.34,51.36,2323800.0
2018-07-23,52.15,52.67,51.98,52.42,51.44,2011000.0
2018-07-24,52.43,52.66,52.08,52.39,51.41,1931900.0
2018-07-25,52.19,52.49,51.74,52.36,51.38,1613300.0
2018-07-26,52.65,53.47,52.6,53.21,52.22,2519300.0
2018-07-27,52.96,53.62,51.51,51.97,51.0,5431200.0
2018-07-30,52.19,53.54,52.14,52.67,51.69,3086900.0
2018-07-31,52.88,52.91,52.38,52.7,51.72,2036200.0
2018-08-01,52.86,53.06,52.35,52.58,51.6,1604900.0
2018-08-02,52.3,52.88,52.09,52.76,51.77,1505000.0
2018-08-03,52.62,52.84,52.21,52.76,51.77,1596800.0
2018-08-06,52.78,52.78,52.38,52.7,51.72,944100.0
2018-08-07,52.74,53.07,52.71,52.86,51.87,1676700.0
2018-08-08,52.83,52.97,52.42,52.47,51.49,2233900.0
2018-08-09,52.44,52.62,52.12,52.2,51.23,1040400.0
2018-08-10,51.83,51.83,51.34,51.68,50.71,1275200.0
2018-08-13,51.78,51.8,51.33,51.42,50.46,2058100.0
2018-08-14,51.42,51.5,51.03,51.04,50.09,1576600.0
2018-08-15,50.88,51.19,50.66,50.99,50.04,1472500.0
2018-08-16,51.23,52.09,51.22,51.7,50.73,2144800.0
2018-08-17,51.57,52.19,51.46,51.96,50.99,1149800.0
2018-08-20,52.02,52.36,51.93,51.98,51.01,1090000.0
2018-08-21,51.89,52.6,51.88,52.34,51.36,1422700.0
2018-08-22,51.01,51.57,50.02,50.16,49.22,9037200.0
2018-08-23,50.05,50.25,49.82,49.9,48.97,3685100.0
2018-08-24,50.12,50.36,49.95,50.0,49.07,3030000.0
