Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,25.49,25.7,25.28,25.46,20.92,2904000
2010-01-05,25.37,25.91,25.24,25.65,21.08,2805400
2010-01-06,25.74,25.99,25.45,25.59,21.03,3283200
2010-01-07,25.46,25.89,25.32,25.8,21.2,2522200
2010-01-08,25.78,25.85,25.32,25.53,20.98,3523100
2010-01-11,25.73,25.76,25.1,25.17,20.68,2664400
2010-01-12,25.09,25.09,24.5,24.81,20.38,3491800
2010-01-13,24.81,25.99,24.63,25.88,21.26,4288400
2010-01-14,25.92,25.92,25.58,25.73,21.14,2537200
2010-01-15,25.65,26.0,24.83,25.08,20.61,4748000
2010-01-19,25.08,25.73,24.41,25.71,21.12,4374500
2010-01-20,25.45,26.18,25.34,25.84,21.23,5478400
2010-01-21,25.94,26.09,25.1,25.58,21.02,5328500
2010-01-22,24.96,24.99,23.16,23.59,19.38,14178200
2010-01-25,23.83,24.22,23.22,23.42,19.24,5006800
2010-01-26,23.27,23.69,23.08,23.18,19.05,3957800
2010-01-27,23.15,23.6,22.84,23.52,19.33,3875200
2010-01-28,23.74,23.82,22.78,23.35,19.19,4247700
2010-01-29,23.48,23.73,22.59,22.74,18.68,4514000
2010-02-01,22.95,23.31,22.71,23.27,19.12,2646800
2010-02-02,23.41,23.7,23.06,23.5,19.31,3439100
2010-02-03,23.35,23.55,23.12,23.26,19.11,2032300
2010-02-04,22.89,23.26,22.55,22.69,18.64,4723700
2010-02-05,22.51,22.83,21.81,22.57,18.54,6446300
2010-02-08,22.51,22.82,22.21,22.23,18.27,2528000
2010-02-09,22.61,23.02,22.33,22.73,18.68,2634000
2010-02-10,22.73,22.84,22.07,22.63,18.59,2848600
2010-02-11,22.51,23.25,22.22,23.23,19.09,2842600
2010-02-12,22.94,23.62,22.92,23.49,19.3,3997300
2010-02-16,23.69,24.08,23.41,24.08,19.79,2807800
2010-02-17,24.27,24.49,24.01,24.45,20.09,3504100
2010-02-18,24.4,24.69,24.25,24.67,20.27,3112800
2010-02-19,24.57,24.75,24.26,24.43,20.15,2811100
2010-02-22,24.61,24.69,24.08,24.15,19.92,2000700
2010-02-23,24.09,24.25,23.7,24.05,19.84,2375800
2010-02-24,24.13,24.58,24.02,24.53,20.24,2179400
2010-02-25,24.17,24.65,24.04,24.61,20.3,2017500
2010-02-26,24.7,24.85,24.44,24.61,20.3,1545800
2010-03-01,24.69,25.06,24.48,24.85,20.5,2557600
2010-03-02,24.97,25.12,24.71,24.92,20.56,1798400
2010-03-03,25.05,25.33,24.86,25.11,20.72,2154200
2010-03-04,25.2,25.51,25.04,25.43,20.98,1870600
2010-03-05,25.66,26.9,25.51,26.82,22.13,4126000
2010-03-08,26.71,27.42,26.47,26.63,21.97,2529400
2010-03-09,26.53,26.94,26.27,26.68,22.01,2005800
2010-03-10,26.65,27.64,26.59,26.96,22.24,3288700
2010-03-11,26.81,27.07,26.55,26.77,22.08,2905300
2010-03-12,26.9,26.93,26.55,26.85,22.15,2011000
2010-03-15,26.72,26.82,26.17,26.5,21.86,2496800
2010-03-16,26.5,28.98,26.4,28.35,23.39,18410500
2010-03-17,28.41,28.5,27.93,28.18,23.25,4558600
2010-03-18,28.1,28.48,27.99,28.24,23.3,3487900
2010-03-19,28.31,28.65,28.0,28.31,23.36,3920500
2010-03-22,28.0,28.84,27.85,28.77,23.73,2899600
2010-03-23,28.77,28.9,28.31,28.48,23.5,3234500
2010-03-24,28.39,28.42,27.63,27.8,22.93,3653100
2010-03-25,28.07,28.39,27.64,27.73,22.88,3604600
2010-03-26,27.76,28.34,27.6,27.92,23.03,2108100
2010-03-29,28.11,28.35,27.87,28.32,23.36,3030700
2010-03-30,28.35,28.6,27.86,28.53,23.54,2853400
2010-03-31,28.31,28.5,27.93,28.07,23.16,2525800
2010-04-01,28.24,28.53,27.95,28.38,23.41,3273100
2010-04-05,28.82,31.66,28.64,31.37,25.88,10394600
2010-04-06,31.0,31.62,30.81,31.31,25.83,5589200
2010-04-07,31.24,31.42,30.85,31.23,25.76,3444400
2010-04-08,31.03,31.85,30.7,31.83,26.26,3663600
2010-04-09,31.84,33.02,31.78,32.92,27.16,6994600
2010-04-12,32.99,32.99,32.49,32.75,27.02,3221100
2010-04-13,31.83,32.77,31.76,32.68,26.96,4629700
2010-04-14,32.65,32.86,32.29,32.85,27.1,3537900
2010-04-15,32.61,33.99,32.53,33.27,27.45,4827300
2010-04-16,33.02,33.26,32.15,33.08,27.29,5008200
2010-04-19,32.9,33.32,32.21,32.77,27.03,4795100
2010-04-20,34.5,36.13,34.47,35.17,29.01,14242600
2010-04-21,35.3,35.47,33.96,34.23,28.24,7664700
2010-04-22,33.76,35.3,33.69,35.22,29.06,4395900
2010-04-23,35.41,35.86,35.06,35.49,29.28,4495200
2010-04-26,35.75,35.9,35.2,35.27,29.1,2663700
2010-04-27,34.89,35.11,33.93,33.98,28.03,4101700
2010-04-28,34.2,34.61,33.61,34.17,28.19,2674200
2010-04-29,34.45,35.05,34.4,35.0,28.87,2128400
2010-04-30,34.94,35.46,33.68,33.83,27.91,2988700
2010-05-03,34.24,35.07,33.93,34.91,28.8,2995400
2010-05-04,34.39,34.46,32.72,32.92,27.16,6048800
2010-05-05,32.45,32.63,30.79,31.54,26.02,6665700
2010-05-06,31.24,32.25,28.1,31.0,25.57,7614400
2010-05-07,31.1,31.7,29.69,30.18,24.9,5342300
2010-05-10,31.6,33.22,31.6,32.98,27.21,6693500
2010-05-11,32.51,34.11,32.51,33.38,27.54,4913400
2010-05-12,33.75,34.3,33.48,34.22,28.23,2476100
2010-05-13,33.99,34.05,32.74,32.91,27.15,2799700
2010-05-14,32.4,32.58,31.84,32.34,26.68,2829300
2010-05-17,32.56,33.15,31.96,32.98,27.21,4623100
2010-05-18,33.12,33.79,32.54,32.6,26.89,4711900
2010-05-19,32.29,32.87,31.19,32.19,26.56,3522400
2010-05-20,30.9,31.29,29.86,30.21,24.92,5822500
2010-05-21,29.6,31.16,29.28,30.87,25.47,6228600
2010-05-24,30.48,31.25,30.37,30.43,25.1,3609600
2010-05-25,29.27,29.94,28.95,29.94,24.7,6107200
2010-05-26,30.38,30.77,29.69,30.01,24.76,4487200
2010-05-27,30.81,31.14,30.29,31.09,25.65,4272100
2010-05-28,30.95,31.27,29.82,30.21,24.92,3680200
2010-06-01,29.57,30.49,29.12,29.18,24.15,2988100
2010-06-02,29.37,29.53,28.89,29.41,24.34,4539100
2010-06-03,29.56,30.07,28.98,29.23,24.19,4029200
2010-06-04,28.33,28.35,27.16,27.35,22.64,5819600
2010-06-07,27.5,27.5,25.91,25.98,21.5,6740900
2010-06-08,26.04,26.82,25.56,26.31,21.78,4730400
2010-06-09,26.64,27.15,26.03,26.18,21.67,3153800
2010-06-10,26.66,27.71,26.26,27.32,22.61,10462400
2010-06-11,26.84,27.07,26.64,27.05,22.39,3447000
2010-06-14,27.32,27.85,27.26,27.5,22.76,4467400
2010-06-15,27.68,27.99,27.6,27.86,23.06,2790100
2010-06-16,27.82,27.82,26.95,27.1,22.43,3163400
2010-06-17,27.21,27.39,26.59,27.24,22.55,2307400
2010-06-18,27.31,27.46,26.72,26.81,22.19,3379100
2010-06-21,27.17,27.31,26.13,26.33,21.79,2720500
2010-06-22,26.48,26.5,24.91,25.06,20.74,4559600
2010-06-23,25.1,25.28,24.44,24.94,20.64,4481600
2010-06-24,24.8,24.85,23.61,23.7,19.62,6172500
2010-06-25,23.9,24.49,23.67,24.49,20.27,10347400
2010-06-28,24.54,24.54,23.87,23.89,19.77,4778500
2010-06-29,23.37,23.45,22.75,23.14,19.15,5611700
2010-06-30,23.12,23.79,22.0,22.23,18.4,6216000
2010-07-01,22.15,22.36,21.35,22.21,18.38,5891300
2010-07-02,22.2,22.69,21.62,21.86,18.09,3627000
2010-07-06,22.49,22.49,21.26,21.51,17.8,5755900
2010-07-07,21.48,22.34,21.47,22.3,18.46,5490300
2010-07-08,22.54,23.0,22.38,22.66,18.76,3792100
2010-07-09,22.64,23.88,22.57,23.79,19.69,4722500
2010-07-12,23.76,23.96,23.49,23.85,19.74,3541200
2010-07-13,24.18,25.3,24.07,25.1,20.78,4464400
2010-07-14,24.9,25.26,24.62,25.25,20.9,4686500
2010-07-15,25.23,25.23,24.37,25.01,20.7,3946500
2010-07-16,24.74,24.79,23.48,23.55,19.49,4464600
2010-07-19,23.63,24.02,23.27,23.61,19.54,4187800
2010-07-20,25.33,27.15,25.14,26.83,22.21,13471700
2010-07-21,27.66,28.05,26.52,26.68,22.08,6311500
2010-07-22,27.13,28.04,27.05,27.9,23.09,4327600
2010-07-23,27.9,28.51,27.52,28.36,23.47,3420500
2010-07-26,28.24,28.88,28.05,28.88,23.9,3137700
2010-07-27,29.05,29.17,27.97,28.13,23.28,2296100
2010-07-28,28.01,28.23,27.11,27.37,22.65,3337300
2010-07-29,27.74,27.95,26.57,27.01,22.36,3487300
2010-07-30,26.5,27.31,26.32,27.23,22.54,3009700
2010-08-02,27.75,28.28,27.56,28.21,23.35,1987800
2010-08-03,27.86,28.13,27.25,27.39,22.67,1579200
2010-08-04,27.35,27.85,27.35,27.84,23.04,1703600
2010-08-05,27.5,28.71,27.31,28.61,23.68,3257900
2010-08-06,28.05,28.27,27.48,28.0,23.18,3721500
2010-08-09,28.2,28.52,27.83,28.24,23.38,2246000
2010-08-10,27.76,27.95,27.4,27.57,22.82,3317800
2010-08-11,27.0,27.05,26.03,26.1,21.6,3348900
2010-08-12,25.66,25.88,25.43,25.68,21.26,2930800
2010-08-13,25.48,25.84,25.39,25.57,21.16,1826400
2010-08-16,25.29,26.11,25.25,25.92,21.45,2604600
2010-08-17,26.26,26.84,26.0,26.49,21.93,1945700
2010-08-18,26.49,26.92,26.08,26.57,21.99,1791200
2010-08-19,26.3,26.41,25.25,25.41,21.03,2479700
2010-08-20,25.11,25.35,24.7,25.21,20.87,2325600
2010-08-23,25.45,25.51,24.87,24.89,20.6,1848500
2010-08-24,24.34,24.49,23.93,24.08,19.93,2782700
2010-08-25,23.77,24.3,23.73,24.18,20.01,3723900
2010-08-26,24.27,24.66,23.95,24.01,19.87,1619100
2010-08-27,24.14,25.03,23.66,25.0,20.69,2590000
2010-08-30,24.87,25.11,24.41,24.44,20.23,2512000
2010-08-31,24.21,24.72,23.93,24.33,20.14,1829300
2010-09-01,24.79,25.75,24.66,25.62,21.21,2434500
2010-09-02,25.76,26.24,25.68,26.14,21.64,1567800
