Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,23.41,23.84,23.31,23.82,16.65,27957400
2010-01-05,23.68,23.95,23.66,23.92,16.72,28830500
2010-01-06,23.86,23.95,23.64,23.7,16.56,25866000
2010-01-07,23.7,23.88,23.61,23.71,16.57,22507300
2010-01-08,23.66,23.91,23.63,23.88,16.69,22548200
2010-01-11,23.88,23.94,23.59,23.81,16.64,22335700
2010-01-12,23.63,23.87,23.52,23.6,16.5,27153700
2010-01-13,23.71,23.8,23.46,23.71,16.58,25957800
2010-01-14,23.72,24.04,23.67,23.85,16.67,35483600
2010-01-15,23.88,24.0,23.64,23.83,16.65,29408300
2010-01-19,23.66,23.97,23.66,23.96,16.74,25052500
2010-01-20,23.73,23.81,23.38,23.71,16.57,30609300
2010-01-21,23.8,23.83,23.11,23.29,16.28,40706300
2010-01-22,23.17,23.25,22.37,22.38,15.65,44600100
2010-01-25,22.5,22.9,22.44,22.73,15.89,29677200
2010-01-26,22.75,22.93,22.52,22.59,15.79,34636100
2010-01-27,22.6,22.6,22.03,22.46,15.7,39655800
2010-01-28,22.43,22.45,21.58,21.7,15.17,58488800
2010-01-29,21.97,22.0,21.25,21.38,14.94,51719400
2010-02-01,21.51,21.75,21.44,21.72,15.18,34662100
2010-02-02,21.93,22.17,21.79,22.07,15.42,38453700
2010-02-03,22.01,22.2,21.92,22.13,15.47,25012900
2010-02-04,21.88,22.13,21.34,21.36,14.93,47682300
2010-02-05,21.3,21.57,21.1,21.49,15.02,43448300
2010-02-08,21.41,21.86,21.37,21.61,15.11,38791300
2010-02-09,21.84,22.18,21.73,21.85,15.27,38803600
2010-02-10,22.04,22.13,21.68,21.81,15.24,30548300
2010-02-11,21.8,22.18,21.72,22.08,15.43,28307500
2010-02-12,21.95,22.08,21.63,22.01,15.38,34720900
2010-02-16,22.23,22.52,22.16,22.45,15.69,32341400
2010-02-17,22.6,22.82,22.57,22.76,15.91,51705800
2010-02-18,22.88,23.14,22.65,23.07,16.13,51696100
2010-02-19,22.9,23.16,22.8,23.07,16.12,36685900
2010-02-22,23.03,23.11,22.82,22.96,16.05,27387800
2010-02-23,22.87,23.04,22.7,22.76,15.91,26555000
2010-02-24,22.72,23.16,22.72,23.07,16.12,33065200
2010-02-25,22.8,23.14,22.67,23.12,16.16,28263100
2010-02-26,23.12,23.16,22.98,23.07,16.12,24262000
2010-03-01,23.02,23.46,23.02,23.41,16.36,31158900
2010-03-02,23.42,23.5,23.13,23.22,16.23,33058800
2010-03-03,23.21,23.32,23.16,23.21,16.22,25219500
2010-03-04,23.22,23.42,23.18,23.39,16.35,17791200
2010-03-05,23.49,23.73,23.46,23.63,16.52,34019100
2010-03-08,23.46,23.61,23.42,23.49,16.42,28370100
2010-03-09,23.42,23.72,23.37,23.56,16.47,22527700
2010-03-10,23.55,23.66,23.44,23.51,16.44,25738000
2010-03-11,23.5,23.63,23.33,23.62,16.51,21071500
2010-03-12,23.65,23.81,23.53,23.78,16.62,25892400
2010-03-15,23.69,23.81,23.57,23.81,16.7,22631000
2010-03-16,23.75,23.82,23.66,23.77,16.67,24895800
2010-03-17,23.8,23.96,23.7,23.72,16.63,31279600
2010-03-18,23.71,23.99,23.66,23.95,16.79,31112900
2010-03-19,23.84,24.05,23.71,23.84,16.72,46066500
2010-03-22,23.67,24.09,23.67,24.05,16.86,34552000
2010-03-23,24.07,24.14,23.94,24.14,16.93,21254800
2010-03-24,24.06,24.17,23.97,24.1,16.9,33297500
2010-03-25,24.22,24.43,24.15,24.3,17.04,37032300
2010-03-26,24.33,24.38,24.18,24.26,17.01,31326300
