Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,47.7,48.74,47.7,48.33,38.61,654600
2010-01-05,48.35,48.5,47.44,48.0,38.35,892100
2010-01-06,47.82,48.74,47.8,48.49,38.74,776300
2010-01-07,48.3,48.77,47.93,48.63,38.85,814200
2010-01-08,48.78,48.8,48.25,48.69,38.9,529700
2010-01-11,48.7,49.31,48.57,49.26,39.36,587400
2010-01-12,48.92,49.01,47.28,47.39,37.86,963900
2010-01-13,47.67,49.11,47.54,49.02,39.16,900900
2010-01-14,48.99,49.05,48.32,48.95,39.11,479000
2010-01-15,48.93,48.97,47.66,48.0,38.35,660900
2010-01-19,48.0,49.67,48.0,48.76,38.96,1297300
2010-01-20,48.47,48.83,47.73,48.43,38.69,655400
2010-01-21,48.36,48.79,47.19,47.24,37.74,559000
2010-01-22,47.03,47.17,45.71,45.78,36.58,789800
2010-01-25,45.97,46.47,45.81,46.19,36.9,685400
2010-01-26,46.06,46.07,44.96,45.64,36.46,654900
2010-01-27,45.5,46.82,44.75,46.8,37.39,1408700
2010-01-28,48.09,48.09,43.04,44.34,35.43,3535900
2010-01-29,44.54,44.72,42.67,42.92,34.29,1674200
2010-02-01,43.0,45.12,42.84,44.74,35.75,1358800
2010-02-02,44.71,45.45,44.39,45.3,36.19,1164400
2010-02-03,45.06,45.52,44.51,44.78,35.78,965700
2010-02-04,44.46,44.8,44.23,44.35,35.43,1166200
2010-02-05,44.08,44.87,43.79,44.73,35.74,1017000
2010-02-08,44.82,44.92,44.18,44.25,35.35,848700
2010-02-09,44.58,45.12,44.04,44.75,35.75,600800
2010-02-10,44.76,44.76,43.93,44.41,35.48,581200
2010-02-11,44.36,45.14,43.9,45.03,35.98,596200
2010-02-12,44.33,45.2,43.84,44.98,35.94,945200
2010-02-16,45.19,45.64,45.09,45.59,36.42,382600
2010-02-17,45.64,46.15,45.53,46.02,36.77,510100
2010-02-18,46.03,46.97,45.87,46.88,37.46,543800
2010-02-19,46.81,47.39,46.29,47.23,37.73,661900
2010-02-22,47.34,47.39,46.78,47.05,37.59,536400
2010-02-23,47.01,47.32,46.41,46.54,37.18,464800
2010-02-24,46.78,46.94,45.62,46.09,36.82,1137400
2010-02-25,45.58,46.46,44.47,45.32,36.21,1371200
2010-02-26,45.56,45.61,44.88,45.22,36.13,764100
2010-03-01,45.49,45.53,44.6,45.08,36.02,1335700
2010-03-02,45.2,45.5,45.02,45.43,36.3,1762200
2010-03-03,45.43,47.18,45.2,46.82,37.41,1293200
2010-03-04,46.92,46.92,45.91,46.27,37.14,810800
2010-03-05,46.43,46.62,46.2,46.35,37.21,724200
2010-03-08,46.6,46.74,46.1,46.24,37.12,716100
2010-03-09,46.15,46.47,45.88,46.1,37.01,949700
2010-03-10,46.22,46.49,45.91,46.39,37.24,677600
2010-03-11,46.42,46.81,46.05,46.75,37.53,573300
2010-03-12,46.76,46.77,45.04,45.12,36.22,1182100
2010-03-15,45.1,45.48,44.93,45.42,36.46,874400
2010-03-16,45.63,46.0,45.28,45.94,36.88,706000
2010-03-17,46.17,46.8,45.92,46.55,37.37,744300
2010-03-18,46.69,47.36,46.69,47.26,37.94,828700
2010-03-19,46.05,47.43,45.75,46.05,36.97,1150100
2010-03-22,45.77,47.21,45.74,46.98,37.71,690300
2010-03-23,47.09,47.69,46.97,47.53,38.15,838200
2010-03-24,47.4,47.4,46.31,46.59,37.4,722900
2010-03-25,46.92,47.15,46.12,46.13,37.03,693900
2010-03-26,46.21,46.6,46.05,46.2,37.09,522700
2010-03-29,46.46,46.86,46.25,46.85,37.61,779600
2010-03-30,47.04,47.47,46.74,47.42,38.07,717800
2010-03-31,47.34,47.65,46.93,47.49,38.12,828900
2010-04-01,47.67,48.0,47.51,47.84,38.4,677800
2010-04-05,47.84,48.64,47.68,48.59,39.0,697200
2010-04-06,48.21,48.7,47.56,48.7,39.09,884600
2010-04-07,48.49,48.9,48.04,48.45,38.89,731700
2010-04-08,48.13,48.47,47.71,48.43,38.88,494300
2010-04-09,48.44,48.88,48.25,48.88,39.24,343200
2010-04-12,48.94,49.8,48.68,49.43,39.68,782400
2010-04-13,49.16,49.51,48.94,49.15,39.45,727900
2010-04-14,49.34,49.87,49.24,49.87,40.03,573300
2010-04-15,49.91,50.11,49.5,49.84,40.01,756900
2010-04-16,49.78,50.19,49.03,49.26,39.54,737200
2010-04-19,49.25,49.76,48.94,49.55,39.78,800200
2010-04-20,50.06,50.06,49.25,49.68,39.88,736100
2010-04-21,49.96,50.71,49.62,50.66,40.67,1110300
2010-04-22,50.16,50.61,49.58,50.53,40.56,721900
2010-04-23,50.45,50.46,49.71,50.3,40.38,609900
2010-04-26,50.31,50.72,49.91,50.42,40.47,889000
2010-04-27,50.0,50.37,48.67,48.85,39.21,1362400
2010-04-28,49.18,50.02,48.83,49.79,39.97,1119000
2010-04-29,50.42,54.5,50.29,54.41,43.68,3331500
2010-04-30,54.21,54.21,51.42,51.48,41.32,1485300
2010-05-03,51.5,52.1,51.33,52.03,41.77,1168300
2010-05-04,51.22,51.22,49.49,49.97,40.11,1364300
2010-05-05,49.1,50.17,49.1,49.89,40.05,1272700
2010-05-06,49.73,50.2,45.9,48.18,38.68,1950400
2010-05-07,47.9,48.5,46.47,46.8,37.57,1471900
