Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,22.62,22.7,22.38,22.57,17.92,3637000
2010-01-05,22.4,22.4,21.55,21.72,17.24,7804000
2010-01-06,21.44,21.71,20.93,21.05,16.71,9618000
2010-01-07,20.95,21.71,20.91,21.63,17.17,6298500
2010-01-08,21.54,22.12,21.36,21.7,17.22,6318000
2010-01-11,21.76,21.96,21.53,21.7,17.22,3100000
2010-01-12,21.57,21.79,20.96,21.15,16.78,7038500
2010-01-13,21.23,21.65,21.09,21.52,17.08,5804000
2010-01-14,21.51,22.14,21.4,21.92,17.4,4959500
2010-01-15,21.88,22.01,21.4,21.41,16.99,4206500
2010-01-19,21.38,21.93,21.28,21.82,17.32,4762500
2010-01-20,21.67,21.75,21.27,21.53,17.09,4676000
2010-01-21,21.55,21.64,20.3,20.71,16.44,11066000
2010-01-22,20.65,20.92,19.96,20.03,15.9,10386500
2010-01-25,20.73,20.89,20.18,20.18,16.02,5574500
2010-01-26,20.09,20.09,19.04,19.06,15.13,11907500
2010-01-27,19.32,19.47,18.7,19.41,15.41,11118500
2010-01-28,19.54,19.55,18.9,19.07,15.13,6062000
2010-01-29,19.26,19.8,18.94,19.1,15.16,7461500
2010-02-01,19.27,19.65,18.98,19.59,15.55,5944500
2010-02-02,19.64,20.1,19.51,19.81,15.72,5744000
2010-02-03,19.92,20.33,19.87,19.96,15.84,4853000
2010-02-04,19.82,19.82,18.8,19.11,15.17,9605500
2010-02-05,19.13,19.71,18.89,19.69,15.63,6857500
2010-02-08,19.9,20.13,19.41,19.41,15.4,8118000
2010-02-09,19.65,19.96,19.43,19.77,15.7,6248500
2010-02-10,19.31,19.59,18.89,19.14,15.19,11035500
2010-02-11,19.38,20.07,19.34,19.9,15.79,6733000
2010-02-12,19.73,20.16,19.66,20.1,15.96,4822500
2010-02-16,20.26,20.87,20.22,20.83,16.53,6140000
2010-02-17,20.88,20.95,20.32,20.56,16.32,5536500
2010-02-18,20.55,20.69,20.33,20.47,16.25,3133500
2010-02-19,20.34,20.82,20.33,20.7,16.43,5828000
2010-02-22,20.76,20.84,20.52,20.55,16.31,3766500
2010-02-23,20.43,20.75,20.37,20.44,16.22,4339000
2010-02-24,20.52,20.9,20.5,20.84,16.54,4109500
2010-02-25,20.51,21.09,20.37,21.02,16.68,4361000
2010-02-26,21.08,21.49,20.93,21.46,17.03,4721000
2010-03-01,21.45,21.69,21.26,21.62,17.16,3943000
2010-03-02,21.67,21.93,21.52,21.64,17.17,5128000
2010-03-03,21.68,21.84,21.43,21.47,17.04,4201500
2010-03-04,21.46,21.89,21.44,21.79,17.3,4111500
2010-03-05,21.89,21.96,21.67,21.89,17.37,4078500
2010-03-08,21.86,22.08,21.66,22.04,17.5,2684500
2010-03-09,21.98,22.05,21.79,21.94,17.42,4824500
2010-03-10,21.97,22.08,21.64,22.0,17.46,4408000
2010-03-11,21.96,22.4,21.89,22.33,17.73,3558000
2010-03-12,22.4,22.52,21.83,22.05,17.5,4762000
2010-03-15,21.72,21.84,21.4,21.78,17.29,3415000
2010-03-16,21.8,21.9,21.59,21.74,17.26,2029000
2010-03-17,21.85,22.06,21.76,21.89,17.37,2911500
2010-03-18,21.97,22.29,21.72,21.91,17.39,3108000
2010-03-19,21.62,22.08,21.55,21.62,17.16,4318000
2010-03-22,21.49,22.03,21.38,21.98,17.44,2470500
