Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,41.51,42.02,41.5,42.01,35.01,286000
2010-01-05,41.86,41.93,41.44,41.7,34.75,348900
2010-01-06,41.63,41.97,41.51,41.87,34.89,375600
2010-01-07,41.65,41.84,41.07,41.55,34.63,402000
2010-01-08,41.33,41.4,40.98,41.4,34.5,249000
2010-01-11,41.55,41.62,41.17,41.53,34.61,249900
2010-01-12,41.21,41.52,41.0,41.42,34.52,331900
2010-01-13,41.43,42.15,41.37,42.11,35.09,295900
2010-01-14,41.89,42.2,41.83,42.12,35.1,278600
2010-01-15,42.03,42.22,41.75,42.02,35.02,447800
2010-01-19,42.06,42.76,41.93,42.76,35.63,272800
2010-01-20,42.36,42.39,41.39,42.12,35.1,757700
2010-01-21,42.35,42.9,41.66,41.68,34.73,479800
2010-01-22,41.48,41.76,40.9,40.95,34.13,536600
2010-01-25,41.39,41.41,40.72,40.87,34.06,287900
2010-01-26,40.65,40.87,40.23,40.3,33.58,335900
2010-01-27,40.2,40.57,39.78,40.28,33.57,286400
2010-01-28,40.35,40.49,39.28,40.0,33.33,560100
2010-01-29,40.16,40.75,39.77,39.77,33.14,431000
2010-02-01,40.03,40.44,39.83,40.41,33.68,386200
2010-02-02,40.38,41.15,40.05,41.08,34.23,569100
2010-02-03,40.8,41.49,40.8,41.36,34.47,543400
2010-02-04,41.07,41.11,40.22,40.23,33.53,902000
2010-02-05,40.15,40.76,39.32,40.25,33.54,803200
2010-02-08,40.17,40.54,39.73,39.85,33.21,651900
2010-02-09,40.32,41.4,39.95,41.08,34.23,842400
2010-02-10,41.11,41.65,40.88,41.44,34.53,664600
2010-02-11,41.28,41.73,40.86,41.69,34.74,671800
2010-02-12,41.2,41.77,41.11,41.68,34.73,486400
2010-02-16,41.87,42.03,41.49,42.0,35.0,522500
2010-02-17,42.13,42.61,41.7,42.1,35.08,479600
2010-02-18,42.08,42.42,41.88,42.38,35.32,317100
2010-02-19,42.23,42.7,41.95,42.48,35.4,371400
2010-02-22,42.48,42.48,41.95,42.25,35.21,242400
2010-02-23,42.19,42.3,41.63,41.74,34.78,525400
2010-02-24,41.91,42.13,41.61,41.9,34.92,561700
2010-02-25,41.5,41.97,41.01,41.97,34.98,462200
2010-02-26,42.12,42.23,41.75,42.11,35.09,395500
2010-03-01,42.2,42.42,41.86,42.35,35.29,395800
2010-03-02,42.5,42.85,42.42,42.84,35.7,482200
2010-03-03,42.89,43.32,42.84,42.92,35.77,293300
2010-03-04,43.27,43.75,43.04,43.53,36.28,421400
2010-03-05,43.85,44.57,43.83,44.49,37.08,469800
2010-03-08,44.45,44.56,44.13,44.27,36.89,232100
2010-03-09,44.21,44.36,43.88,44.03,36.69,270600
2010-03-10,43.79,44.11,43.53,43.94,36.62,383800
2010-03-11,43.79,44.13,43.49,44.13,36.78,214600
2010-03-12,44.38,44.73,44.26,44.73,37.28,254400
2010-03-15,44.72,45.0,44.59,44.99,37.49,396400
2010-03-16,45.0,45.41,44.75,45.37,37.81,357700
2010-03-17,45.43,45.49,45.19,45.4,37.83,270100
2010-03-18,45.46,45.7,45.33,45.42,37.85,340800
2010-03-19,44.98,45.74,44.84,44.98,37.48,465400
2010-03-22,44.49,45.48,44.22,45.48,38.11,426600
2010-03-23,45.45,46.09,45.31,46.06,38.6,413100
2010-03-24,46.04,46.23,45.7,45.8,38.38,378400
2010-03-25,45.98,46.57,45.73,45.78,38.36,619100
2010-03-26,45.75,46.14,45.26,45.65,38.25,595200
2010-03-29,46.81,48.15,46.81,47.96,40.19,1132300
2010-03-30,48.08,48.83,47.63,47.69,39.96,1098400
2010-03-31,47.62,47.9,47.58,47.67,39.95,695700
2010-04-01,47.99,48.37,47.86,48.23,40.42,308000
2010-04-05,48.18,48.87,48.18,48.82,40.91,345300
2010-04-06,48.53,49.02,48.38,48.87,40.95,413100
2010-04-07,48.89,49.19,48.61,48.87,40.95,417000
2010-04-08,48.8,48.95,48.47,48.92,41.0,412300
2010-04-09,48.98,49.91,48.98,49.86,41.78,508500
2010-04-12,49.94,51.02,49.81,49.99,41.89,792800
2010-04-13,49.88,50.57,49.58,50.4,42.24,673300
2010-04-14,50.59,50.94,50.27,50.9,42.65,598700
2010-04-15,50.74,51.63,50.67,51.53,43.18,479200
2010-04-16,51.34,51.41,50.47,50.5,42.32,853800
2010-04-19,50.19,50.68,50.09,50.67,42.46,602400
2010-04-20,50.8,51.12,50.52,50.61,42.41,567300
2010-04-21,50.71,50.84,50.13,50.24,42.1,1593700
2010-04-22,49.91,50.69,49.6,50.68,42.47,1024900
2010-04-23,50.95,51.76,50.63,51.72,43.34,715300
2010-04-26,51.71,51.77,51.39,51.4,43.07,430900
2010-04-27,50.93,51.4,50.21,50.32,42.17,487700
2010-04-28,50.51,50.73,49.95,50.34,42.19,434800
2010-04-29,50.73,51.31,50.56,51.31,43.0,303000
2010-04-30,51.39,51.41,50.06,50.09,41.98,573500
2010-05-03,50.15,51.02,50.14,51.02,42.76,402200
2010-05-04,50.52,50.52,49.27,49.53,41.51,481200
2010-05-05,49.04,49.53,48.23,48.5,40.64,1036700
2010-05-06,48.24,49.5,43.98,46.66,39.1,1499600
2010-05-07,46.53,46.8,45.01,45.1,37.79,975800
2010-05-10,46.73,47.31,46.39,47.04,39.42,898900
2010-05-11,46.46,47.24,46.36,46.58,39.03,948000
2010-05-12,46.67,47.59,46.5,47.52,39.82,1389200
2010-05-13,47.46,47.88,47.03,47.05,39.43,659900
2010-05-14,46.7,46.88,45.81,46.07,38.61,644700
2010-05-17,46.23,46.73,45.29,46.18,38.7,961400
2010-05-18,46.54,47.18,45.38,45.4,38.05,531800
2010-05-19,45.19,45.44,44.39,44.95,37.67,724200
2010-05-20,43.9,44.31,43.26,43.26,36.25,847800
2010-05-21,42.68,44.2,42.0,44.2,37.04,833600
2010-05-24,43.97,44.31,43.52,43.53,36.48,484200
2010-05-25,42.42,44.06,42.07,43.63,36.56,871800
2010-05-26,43.78,44.09,43.0,43.27,36.26,1068400
2010-05-27,44.09,45.18,43.75,45.18,37.86,515500
2010-05-28,45.05,45.05,44.24,44.5,37.29,670000
2010-06-01,44.1,44.86,43.73,43.73,36.65,773600
2010-06-02,44.0,44.92,43.55,44.92,37.64,581800
2010-06-03,44.8,45.11,44.36,44.78,37.53,497100
2010-06-04,43.75,44.42,42.94,43.1,36.12,631100
2010-06-07,43.18,43.8,42.97,42.99,36.03,1021800
2010-06-08,43.02,43.96,42.77,43.93,36.81,898900
2010-06-09,44.54,45.3,43.84,44.08,36.94,1045300
2010-06-10,44.79,45.08,44.48,45.08,37.78,863700
2010-06-11,44.76,45.74,44.73,45.73,38.32,1006900
2010-06-14,46.17,46.17,45.29,45.36,38.01,958100
2010-06-15,45.68,46.58,45.56,46.57,39.03,782600
2010-06-16,46.33,46.71,46.15,46.5,38.97,492900
2010-06-17,46.47,46.62,45.86,46.51,38.98,622400
2010-06-18,46.66,46.85,46.31,46.47,38.94,513500
2010-06-21,47.03,47.08,45.77,46.05,38.8,522500
2010-06-22,46.17,46.61,45.51,45.53,38.36,472500
2010-06-23,45.58,45.76,45.06,45.39,38.24,542900
2010-06-24,45.19,45.57,44.43,44.53,37.52,388200
2010-06-25,44.58,44.62,43.92,44.33,37.35,703500
2010-06-28,44.5,44.53,43.88,44.0,37.07,723900
2010-06-29,43.33,43.51,42.83,43.1,36.31,770000
2010-06-30,42.99,43.55,42.34,42.42,35.74,578700
2010-07-01,42.48,42.77,41.59,42.3,35.64,748200
2010-07-02,42.31,42.5,41.78,41.99,35.38,459900
2010-07-06,42.63,42.86,41.78,42.04,35.42,696800
2010-07-07,42.04,43.77,42.01,43.76,36.87,616400
2010-07-08,44.08,44.41,43.77,44.4,37.41,511400
2010-07-09,44.48,44.78,44.26,44.63,37.6,304900
2010-07-12,44.41,44.58,43.94,44.14,37.19,394900
2010-07-13,44.49,45.36,44.44,45.24,38.12,389300
2010-07-14,45.0,45.01,44.49,45.01,37.92,566600
2010-07-15,44.93,45.09,44.23,45.0,37.91,382400
2010-07-16,44.93,44.93,43.65,43.77,36.88,375400
2010-07-19,44.1,44.1,43.5,44.05,37.11,312100
2010-07-20,43.46,45.01,43.41,45.0,37.91,406700
2010-07-21,45.17,45.8,44.78,45.07,37.97,720600
2010-07-22,45.56,46.53,45.4,46.22,38.94,451100
2010-07-23,46.16,46.73,46.16,46.46,39.14,1004300
2010-07-26,46.5,46.82,46.37,46.82,39.45,510600
2010-07-27,47.0,47.22,45.61,45.78,38.57,1058200
2010-07-28,45.67,46.35,45.65,46.03,38.78,781000
2010-07-29,46.45,46.68,45.47,45.55,38.38,734800
2010-07-30,44.9,45.57,44.9,45.38,38.23,629500
2010-08-02,46.04,46.14,45.69,45.92,38.69,865100
2010-08-03,45.67,46.0,45.35,45.66,38.47,1270200
2010-08-04,45.66,46.13,45.43,45.89,38.66,826600
2010-08-05,43.5,47.18,43.5,46.84,39.46,1272600
2010-08-06,46.34,46.91,45.55,46.87,39.49,1015100
2010-08-09,47.23,47.73,46.93,47.62,40.12,700300
2010-08-10,47.09,47.67,46.69,47.34,39.89,645500
2010-08-11,46.51,46.61,45.8,46.0,38.76,539000
2010-08-12,45.31,45.99,45.31,45.82,38.61,674000
2010-08-13,45.67,46.44,45.65,46.35,39.05,729000
2010-08-16,45.88,46.21,45.68,45.89,38.66,487800
2010-08-17,46.39,47.27,46.37,47.03,39.62,532500
2010-08-18,46.97,47.13,46.4,46.9,39.51,396500
2010-08-19,46.64,46.64,45.46,45.66,38.47,561600
2010-08-20,45.3,45.85,45.3,45.83,38.61,395700
2010-08-23,45.95,46.2,45.44,45.47,38.31,366100
2010-08-24,44.91,45.09,44.58,44.67,37.64,405700
2010-08-25,44.4,45.11,43.78,44.92,37.85,677800
2010-08-26,45.25,45.73,44.95,45.15,38.04,488400
2010-08-27,45.41,46.17,44.72,46.15,38.88,474100
2010-08-30,46.17,46.38,45.63,45.63,38.44,484100
2010-08-31,45.65,46.02,45.32,45.69,38.5,568500
2010-09-01,46.28,47.45,46.11,47.39,39.93,680300
2010-09-02,47.33,47.74,47.22,47.67,40.16,422300
2010-09-03,48.21,48.27,47.64,47.72,40.21,664500
2010-09-07,47.67,47.72,46.73,46.93,39.54,900300
2010-09-08,46.89,47.27,46.89,47.06,39.65,1018500
2010-09-09,47.54,47.54,46.54,46.9,39.51,585900
2010-09-10,47.06,47.06,46.54,46.66,39.31,633100
2010-09-13,47.1,47.39,46.76,46.81,39.44,451900
2010-09-14,46.73,47.68,46.61,47.48,40.0,562900
