Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,7.45,7.62,7.4,7.53,6.07,4444300
2010-01-05,7.54,7.54,7.41,7.45,6.01,6134700
2010-01-06,7.4,7.46,7.32,7.45,6.01,5586100
2010-01-07,7.37,7.45,7.19,7.26,5.86,6202400
2010-01-08,7.27,7.3,7.08,7.27,5.86,6480800
2010-01-11,7.25,7.47,7.22,7.47,6.02,5290500
2010-01-12,7.41,7.41,7.23,7.29,5.88,4630700
2010-01-13,7.31,7.45,7.19,7.38,5.95,3504500
2010-01-14,7.4,7.46,7.14,7.22,5.82,11506600
2010-01-15,7.17,7.24,6.98,7.16,5.77,8729100
2010-01-19,7.18,7.21,7.07,7.12,5.74,3647900
2010-01-20,7.03,7.16,6.95,7.15,5.77,5044800
2010-01-21,7.24,7.33,6.98,7.01,5.65,6134600
2010-01-22,6.99,7.02,6.81,6.85,5.52,5634000
2010-01-25,6.94,6.94,6.76,6.78,5.47,3630100
2010-01-26,6.73,6.82,6.63,6.66,5.37,4701300
2010-01-27,6.61,6.63,6.38,6.47,5.22,9869000
2010-01-28,6.5,6.67,6.46,6.52,5.26,5829200
2010-01-29,6.56,6.61,6.41,6.46,5.21,6768800
2010-02-01,6.52,6.65,6.47,6.6,5.32,7124600
2010-02-02,6.63,6.76,6.52,6.72,5.42,6027600
2010-02-03,6.73,6.88,6.59,6.69,5.4,5255000
2010-02-04,6.63,6.67,6.37,6.41,5.17,6372200
2010-02-05,6.57,6.57,6.21,6.39,5.15,10450500
2010-02-08,6.44,6.51,6.29,6.35,5.12,7221600
2010-02-09,6.44,6.5,6.31,6.4,5.16,8394300
2010-02-10,6.36,6.66,6.33,6.5,5.24,7902000
2010-02-11,6.49,6.76,6.4,6.73,5.43,6257700
2010-02-12,6.7,6.74,6.6,6.72,5.42,5480200
2010-02-16,6.82,6.9,6.77,6.87,5.54,4281600
2010-02-17,6.84,7.02,6.84,6.98,5.63,5921900
2010-02-18,6.98,7.12,6.92,7.09,5.72,4649300
2010-02-19,7.05,7.19,7.02,7.11,5.73,3164100
2010-02-22,7.15,7.18,6.96,7.06,5.69,3209600
2010-02-23,7.07,7.07,6.76,6.85,5.52,6859700
2010-02-24,6.86,6.96,6.76,6.82,5.5,8647700
2010-02-25,6.68,6.77,6.59,6.75,5.44,13394300
2010-02-26,6.89,7.71,6.77,7.5,6.05,32287700
2010-03-01,7.52,8.39,7.52,8.26,6.66,25938400
2010-03-02,8.18,8.37,8.1,8.17,6.59,10363400
2010-03-03,8.2,8.39,8.1,8.18,6.6,8881400
2010-03-04,8.22,8.33,8.12,8.29,6.69,6049600
2010-03-05,8.33,8.56,8.32,8.45,6.82,10231300
2010-03-08,8.45,8.66,8.37,8.51,6.86,7680800
2010-03-09,8.41,8.56,8.37,8.52,6.87,5570100
2010-03-10,8.47,8.65,8.35,8.58,6.92,3646900
2010-03-11,8.56,8.6,8.18,8.53,6.88,3331300
2010-03-12,8.49,8.56,8.33,8.42,6.79,8964700
2010-03-15,8.44,8.5,8.22,8.34,6.73,6364200
2010-03-16,8.36,8.43,8.29,8.43,6.8,2755800
2010-03-17,8.45,8.58,8.42,8.54,6.89,5708600
2010-03-18,8.51,8.69,8.48,8.64,6.97,6078400
2010-03-19,8.61,8.75,8.53,8.61,6.94,5120300
2010-03-22,8.53,8.79,8.43,8.73,7.04,5040800
2010-03-23,8.74,8.87,8.46,8.79,7.09,5494600
2010-03-24,8.73,8.73,8.39,8.53,6.88,9068700
2010-03-25,8.65,8.65,8.36,8.39,6.77,4007800
2010-03-26,8.4,8.57,8.33,8.33,6.72,5181500
2010-03-29,8.38,8.55,8.3,8.49,6.85,5037000
2010-03-30,8.49,8.58,8.34,8.5,6.86,4349200
2010-03-31,8.49,8.59,8.31,8.32,6.71,4942700
2010-04-01,8.4,8.5,8.3,8.49,6.85,4105700
2010-04-05,8.5,8.67,8.45,8.67,6.99,3438300
2010-04-06,8.62,8.67,8.52,8.52,6.87,4502700
2010-04-07,8.53,8.62,8.48,8.54,6.89,3771000
2010-04-08,8.51,8.52,8.34,8.47,6.83,3943700
2010-04-09,8.49,8.82,8.41,8.72,7.03,6470200
2010-04-12,8.77,8.82,8.65,8.77,7.07,4748000
2010-04-13,8.77,8.84,8.62,8.64,6.97,2656200
2010-04-14,8.64,9.29,8.64,9.05,7.3,11565100
2010-04-15,9.05,9.3,8.96,9.22,7.44,5203700
2010-04-16,9.17,9.24,8.9,8.96,7.23,4968200
2010-04-19,8.93,9.09,8.72,9.06,7.31,5215300
2010-04-20,9.44,9.93,9.43,9.74,7.86,16509800
2010-04-21,9.77,9.8,9.48,9.64,7.78,9949000
2010-04-22,9.6,9.86,9.5,9.85,7.94,6213100
2010-04-23,9.86,9.89,9.66,9.73,7.85,6346700
2010-04-26,9.78,9.89,9.74,9.87,7.96,6090200
2010-04-27,9.77,9.83,9.36,9.42,7.6,8140600
2010-04-28,9.52,9.62,9.17,9.27,7.48,10484900
2010-04-29,9.06,9.7,9.06,9.5,7.66,12983500
2010-04-30,9.53,9.56,8.86,8.91,7.19,11853500
2010-05-03,8.98,9.08,8.9,8.99,7.25,7390200
2010-05-04,8.88,8.89,8.25,8.45,6.82,10895000
2010-05-05,8.37,8.55,8.16,8.4,6.77,10946100
2010-05-06,8.34,12.25,7.43,8.05,6.49,11172900
2010-05-07,8.35,8.35,7.5,7.72,6.23,9367100
2010-05-10,8.14,8.51,7.84,8.36,6.74,12120200
2010-05-11,8.2,8.35,8.09,8.17,6.59,6541600
2010-05-12,8.21,8.48,8.18,8.42,6.79,6080900
2010-05-13,8.37,8.6,8.26,8.38,6.76,7677400
2010-05-14,8.29,8.34,7.92,8.05,6.49,5864700
2010-05-17,8.06,8.2,7.84,8.09,6.52,4850300
2010-05-18,8.19,8.28,7.94,8.04,6.48,7524900
2010-05-19,7.98,8.03,7.77,7.9,6.37,8150000
2010-05-20,7.65,7.88,7.53,7.58,6.11,10432800
2010-05-21,7.44,7.83,7.28,7.77,6.27,11009200
2010-05-24,8.2,8.2,7.68,7.87,6.35,11421600
2010-05-25,7.62,7.83,7.32,7.8,6.29,13723400
2010-05-26,7.83,8.27,7.82,7.92,6.39,12867800
2010-05-27,8.05,8.61,8.05,8.58,6.92,10759200
2010-05-28,8.56,8.61,8.31,8.35,6.73,8118700
2010-06-01,8.22,8.41,7.92,7.92,6.39,7126900
2010-06-02,7.99,8.3,7.95,8.12,6.55,9497300
2010-06-03,8.13,8.49,8.06,8.31,6.7,8005900
2010-06-04,8.06,8.29,7.78,7.84,6.32,6170200
2010-06-07,7.84,7.96,7.52,7.52,6.07,6428300
2010-06-08,7.55,7.66,7.34,7.64,6.16,8641900
2010-06-09,7.69,7.93,7.53,7.66,6.18,6019600
2010-06-10,7.85,8.08,7.81,8.07,6.51,5146900
2010-06-11,7.95,8.06,7.88,7.98,6.44,3686500
2010-06-14,8.08,8.17,7.95,7.97,6.43,4240200
2010-06-15,8.1,8.14,7.98,8.09,6.52,6538900
2010-06-16,8.0,8.11,7.89,8.06,6.5,6980600
2010-06-17,8.04,8.28,7.99,8.27,6.67,4798000
2010-06-18,8.27,8.4,8.24,8.32,6.71,5628800
2010-06-21,8.43,8.58,8.29,8.31,6.7,5894600
2010-06-22,8.29,8.39,8.16,8.16,6.58,5429300
2010-06-23,8.16,8.32,8.08,8.25,6.65,5063500
2010-06-24,8.19,8.29,7.95,7.96,6.42,5122400
2010-06-25,8.01,8.05,7.71,7.71,6.22,16574900
2010-06-28,7.73,7.87,7.46,7.53,6.07,9861400
2010-06-29,7.35,7.44,7.19,7.27,5.86,7402400
2010-06-30,7.27,7.39,7.1,7.13,5.75,7473000
2010-07-01,7.19,7.2,6.95,7.0,5.65,11000800
2010-07-02,7.18,7.2,6.86,6.93,5.59,4645800
2010-07-06,7.01,7.24,6.99,7.1,5.73,7853800
2010-07-07,7.14,7.35,7.06,7.31,5.9,5149000
2010-07-08,7.49,7.67,7.38,7.63,6.15,7724900
2010-07-09,7.67,7.75,7.58,7.72,6.23,3483000
2010-07-12,7.66,7.8,7.57,7.68,6.19,3390200
2010-07-13,7.78,7.9,7.65,7.9,6.37,9756000
2010-07-14,7.84,7.89,7.71,7.85,6.33,4401100
2010-07-15,7.86,7.92,7.66,7.83,6.32,3180400
2010-07-16,7.73,7.78,7.31,7.32,5.9,6811700
2010-07-19,7.35,7.56,7.33,7.54,6.08,5518500
2010-07-20,7.5,7.98,7.5,7.88,6.36,7684700
2010-07-21,7.88,7.9,7.62,7.64,6.16,5159400
2010-07-22,7.77,8.07,7.77,8.03,6.48,2988400
2010-07-23,8.0,8.25,7.98,8.18,6.6,5399200
2010-07-26,8.19,8.38,8.11,8.38,6.76,5173700
2010-07-27,8.4,8.44,8.26,8.32,6.71,5072100
2010-07-28,8.26,8.36,8.2,8.25,6.65,3592500
2010-07-29,9.1,9.14,8.54,8.98,7.24,19311700
2010-07-30,8.8,9.25,8.31,9.14,7.37,8017600
2010-08-02,9.34,9.4,9.16,9.21,7.43,8751600
2010-08-03,9.1,9.17,8.87,8.94,7.21,8144600
2010-08-04,9.02,9.19,8.99,9.16,7.39,5170000
2010-08-05,9.07,9.55,9.03,9.39,7.57,7728500
2010-08-06,9.27,9.38,9.06,9.29,7.49,9322500
2010-08-09,9.38,9.59,9.24,9.59,7.73,6042400
2010-08-10,9.46,9.55,9.3,9.32,7.52,7721600
2010-08-11,9.03,9.18,8.85,8.89,7.17,6187700
2010-08-12,8.69,8.81,8.57,8.69,7.01,6905300
2010-08-13,8.63,8.75,8.6,8.64,6.97,2697900
2010-08-16,8.54,8.67,8.49,8.57,6.91,4498600
2010-08-17,8.62,8.75,8.56,8.66,6.98,3949100
2010-08-18,8.65,8.85,8.5,8.65,6.98,4655500
2010-08-19,8.6,8.68,8.46,8.53,6.88,6288300
2010-08-20,8.44,8.66,8.37,8.57,6.91,4458900
2010-08-23,8.64,8.67,8.35,8.41,6.78,4311000
2010-08-24,8.23,8.57,8.19,8.43,6.8,7644400
2010-08-25,8.33,8.59,8.28,8.55,6.9,4535600
2010-08-26,8.56,8.65,8.42,8.6,6.94,7638600
2010-08-27,8.7,8.8,8.55,8.69,7.01,10252200
2010-08-30,8.66,8.71,8.43,8.48,6.84,8007600
2010-08-31,8.44,8.6,8.4,8.53,6.88,8310700
2010-09-01,8.68,8.89,8.58,8.81,7.11,4799700
2010-09-02,8.88,9.11,8.75,9.03,7.28,5642700
2010-09-03,9.18,9.24,9.0,9.2,7.42,4041100
2010-09-07,9.05,9.2,8.99,9.0,7.26,4969100
2010-09-08,9.09,9.24,9.02,9.18,7.4,4145000
2010-09-09,9.36,9.36,9.17,9.21,7.43,4550700
2010-09-10,9.23,9.57,9.23,9.54,7.69,6638200
2010-09-13,9.62,9.8,9.52,9.61,7.75,6544900
2010-09-14,9.6,9.77,9.56,9.57,7.72,5139300
2010-09-15,9.53,9.59,9.32,9.43,7.61,6760700
2010-09-16,9.34,9.38,9.12,9.21,7.43,6570600
2010-09-17,9.3,9.69,9.28,9.65,7.78,10203300
2010-09-20,9.67,9.96,9.6,9.89,7.98,6178400
2010-09-21,9.93,9.99,9.65,9.76,7.87,3809600
2010-09-22,9.74,9.84,9.51,9.65,7.78,4447900
2010-09-23,9.56,10.08,9.43,9.64,7.78,6707000
2010-09-24,9.82,10.11,9.72,10.07,8.12,8829100
2010-09-27,10.02,10.3,9.98,10.17,8.2,5286500
2010-09-28,10.19,10.19,9.93,10.13,8.17,5378700
2010-09-29,10.02,10.2,9.93,10.04,8.1,5478000
2010-09-30,10.12,10.24,9.96,10.03,8.09,3585700
2010-10-01,10.18,10.19,9.97,10.15,8.19,4234900
2010-10-04,10.09,10.16,9.86,9.98,8.05,5246800
2010-10-05,10.1,10.54,10.1,10.49,8.46,7302300
2010-10-06,10.49,10.5,10.17,10.25,8.27,5513300
2010-10-07,10.28,10.34,10.16,10.25,8.27,5316400
2010-10-08,10.26,10.51,10.17,10.47,8.44,5814400
2010-10-11,10.48,10.83,10.44,10.71,8.64,4578400
2010-10-12,10.6,10.9,10.4,10.65,8.59,5748100
2010-10-13,10.77,10.93,10.59,10.73,8.65,5628900
2010-10-14,10.76,10.82,10.52,10.56,8.52,6144600
