Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,28.75,29.11,28.67,28.95,24.62,2965200
2010-01-05,28.83,28.96,28.47,28.67,24.38,2522700
2010-01-06,28.67,28.74,28.27,28.46,24.2,3274300
2010-01-07,28.47,29.15,28.3,28.75,24.44,3964200
2010-01-08,28.62,29.3,28.48,29.24,24.86,3080100
2010-01-11,29.45,30.24,29.35,29.96,25.48,4246200
2010-01-12,29.65,29.74,29.11,29.33,24.94,3134700
2010-01-13,29.38,29.43,29.09,29.3,24.91,2899200
2010-01-14,29.23,29.58,29.17,29.54,25.12,1948900
2010-01-15,29.57,29.76,29.34,29.6,25.17,3362200
2010-01-19,29.54,30.21,29.48,29.94,25.46,6178100
2010-01-20,29.72,29.78,29.11,29.74,25.29,5023600
2010-01-21,29.86,29.9,29.2,29.29,24.91,5283600
2010-01-22,29.23,29.38,28.14,28.15,23.93,4073800
2010-01-25,28.38,28.59,27.96,27.96,23.78,3773100
2010-01-26,27.86,28.04,27.3,27.76,23.61,4777700
2010-01-27,27.54,27.56,26.51,27.06,23.01,7332400
2010-01-28,27.08,27.16,26.17,26.59,22.61,4560500
2010-01-29,26.68,26.85,25.92,25.93,22.05,5131800
2010-02-01,26.41,26.65,26.06,26.38,22.43,5709800
2010-02-02,26.61,27.79,26.48,27.55,23.42,6393500
2010-02-03,27.35,27.84,27.26,27.59,23.46,2680100
2010-02-04,27.38,27.38,26.37,26.41,22.45,3715500
2010-02-05,26.34,26.43,25.5,26.29,22.35,6557400
2010-02-08,26.21,26.76,25.81,26.26,22.33,2819300
2010-02-09,27.16,27.88,26.73,26.81,22.79,5546900
2010-02-10,26.79,27.14,26.51,26.67,22.68,4700700
2010-02-11,26.66,27.21,26.42,27.14,23.08,5212200
2010-02-12,24.74,25.27,24.06,24.97,21.29,21771900
2010-02-16,25.11,25.55,24.91,25.46,21.71,4717100
2010-02-17,25.51,26.2,25.3,25.98,22.15,5326000
2010-02-18,25.96,26.68,25.8,26.55,22.63,4331000
2010-02-19,26.44,26.82,26.28,26.65,22.72,3145000
2010-02-22,26.7,26.84,26.53,26.57,22.65,3509700
2010-02-23,26.37,26.57,25.78,25.97,22.14,6039200
2010-02-24,26.01,26.09,25.52,25.88,22.06,5519500
2010-02-25,25.53,25.65,25.14,25.55,21.78,6557200
2010-02-26,25.55,25.6,25.23,25.49,21.73,4566700
2010-03-01,25.51,26.22,25.5,26.11,22.26,5600300
2010-03-02,26.32,26.34,26.06,26.22,22.35,6998600
2010-03-03,26.36,27.2,26.34,26.88,22.91,6214900
2010-03-04,27.12,27.17,26.37,26.5,22.59,7314000
2010-03-05,26.77,27.25,26.73,27.11,23.11,4133700
2010-03-08,27.1,27.28,26.86,27.18,23.17,2947400
2010-03-09,26.93,27.43,26.91,27.03,23.04,3393500
2010-03-10,27.04,27.2,26.8,27.07,23.08,2846700
2010-03-11,26.97,27.76,26.83,27.73,23.64,6187500
2010-03-12,27.69,27.96,27.56,27.8,23.7,6952800
2010-03-15,27.59,28.02,27.48,27.91,23.79,3814500
2010-03-16,28.08,28.67,27.96,28.51,24.31,4917400
2010-03-17,28.52,28.65,28.01,28.11,23.96,5221500
2010-03-18,28.17,28.31,27.87,28.22,24.06,3468500
2010-03-19,27.85,28.46,27.57,27.85,23.74,5161100
2010-03-22,27.58,28.48,27.48,28.44,24.25,3876900
2010-03-23,28.37,28.92,28.37,28.87,24.62,3535300
2010-03-24,28.71,28.81,27.8,27.88,23.76,5154400
2010-03-25,28.08,28.46,27.57,27.57,23.51,5135400
2010-03-26,27.59,27.89,27.44,27.67,23.59,4377700
2010-03-29,27.81,28.04,27.64,27.68,23.59,2349200
2010-03-30,27.81,28.43,27.72,27.86,23.75,3987600
2010-03-31,27.75,28.04,27.66,27.85,23.74,2908600
2010-04-01,28.12,28.74,28.1,28.39,24.21,2867500
2010-04-05,28.47,29.07,28.47,28.99,24.72,3282600
2010-04-06,28.76,29.22,28.72,29.11,24.81,3987800
2010-04-07,28.92,29.41,28.84,29.28,24.96,6331700
2010-04-08,28.95,29.48,28.8,29.4,25.06,5533400
2010-04-09,29.51,29.85,29.29,29.82,25.42,4948600
2010-04-12,30.27,30.31,29.74,29.91,25.5,6435900
2010-04-13,29.9,29.9,29.38,29.55,25.19,4876100
2010-04-14,29.78,29.9,29.56,29.83,25.43,3918100
2010-04-15,29.76,30.41,29.62,30.21,25.75,6051100
2010-04-16,30.16,30.34,29.54,29.68,25.3,4670500
2010-04-19,29.49,29.78,29.23,29.76,25.37,3752700
2010-04-20,30.04,30.59,30.04,30.39,25.91,6756900
2010-04-21,30.42,30.56,30.27,30.54,26.04,6552400
2010-04-22,30.38,31.48,29.96,31.15,26.56,6717300
2010-04-23,29.39,29.74,28.51,29.63,25.26,19558600
2010-04-26,29.82,30.69,29.61,30.22,25.77,6600600
2010-04-27,30.18,30.34,29.15,29.31,24.98,5580400
2010-04-28,29.52,29.7,29.05,29.19,24.89,5544400
2010-04-29,29.5,29.86,29.38,29.76,25.37,4861800
2010-04-30,29.73,30.35,29.35,29.54,25.18,4411400
2010-05-03,29.68,30.43,29.66,30.39,25.91,3728500
2010-05-04,29.86,29.88,29.07,29.24,24.93,4900700
2010-05-05,28.84,30.26,28.56,29.83,25.43,10518400
2010-05-06,29.5,30.12,27.12,28.91,24.65,13388200
2010-05-07,28.74,29.64,27.87,28.15,24.0,10943900
2010-05-10,29.57,30.44,29.07,30.04,25.61,7791000
2010-05-11,29.58,30.69,29.53,30.44,25.95,5861600
2010-05-12,30.79,31.65,30.73,31.64,26.97,8442600
2010-05-13,31.39,32.43,31.21,31.96,27.24,6851800
2010-05-14,31.68,31.68,30.65,30.95,26.39,4737300
2010-05-17,31.08,31.15,30.2,30.94,26.38,6153000
2010-05-18,30.41,31.13,30.23,30.36,25.88,6498600
2010-05-19,30.22,30.54,29.27,29.59,25.23,6445400
2010-05-20,28.91,29.06,28.06,28.35,24.17,5765700
2010-05-21,27.87,28.79,27.71,28.66,24.43,5794700
2010-05-24,28.51,29.07,28.4,28.51,24.31,4647100
2010-05-25,27.77,28.56,27.44,28.48,24.28,5717600
2010-05-26,28.82,29.42,28.7,28.86,24.6,4862700
2010-05-27,29.55,30.17,29.5,30.1,25.66,4254200
2010-05-28,30.3,30.3,29.52,29.8,25.41,3455000
2010-06-01,29.38,30.57,29.38,29.94,25.52,6660300
2010-06-02,30.07,30.76,29.78,30.76,26.22,4208200
2010-06-03,30.89,31.38,30.87,31.29,26.67,4850800
2010-06-04,30.66,30.88,29.57,29.74,25.35,4028100
2010-06-07,29.74,29.97,28.91,28.99,24.72,6409200
2010-06-08,28.99,29.23,28.51,29.13,24.83,5894000
2010-06-09,29.44,29.7,28.79,28.92,24.66,4668800
2010-06-10,29.55,29.92,29.26,29.79,25.46,4063900
