Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,21.16,21.31,20.96,21.16,11.72,995500
2010-01-05,21.1,21.28,20.98,21.22,11.76,1120100
2010-01-06,21.25,21.97,21.2,21.9,12.14,1974900
2010-01-07,21.86,22.26,21.82,22.26,12.33,1518900
2010-01-08,22.18,22.39,22.02,22.32,12.37,1048500
2010-01-11,22.37,22.55,22.17,22.49,12.46,1014100
2010-01-12,22.31,22.58,22.13,22.22,12.31,1605500
2010-01-13,22.26,22.81,22.26,22.79,12.63,1002300
2010-01-14,22.78,22.98,22.51,22.95,12.71,1214000
2010-01-15,22.87,23.04,22.41,22.53,12.48,1261200
2010-01-19,22.5,22.93,22.42,22.86,12.66,958900
2010-01-20,22.67,22.7,22.33,22.46,12.44,681200
2010-01-21,22.42,22.59,22.2,22.25,12.33,1418900
2010-01-22,22.26,22.28,21.91,21.94,12.16,1560100
2010-01-25,22.11,22.14,21.63,21.78,12.07,905800
2010-01-26,21.76,21.86,21.43,21.44,11.88,834600
2010-01-27,21.42,21.58,21.17,21.45,11.89,1289600
2010-01-28,21.5,21.5,21.07,21.16,11.73,784500
2010-01-29,21.34,21.44,21.09,21.13,11.71,1605100
2010-02-01,21.23,21.39,21.13,21.24,11.77,1015100
2010-02-02,21.24,21.52,21.16,21.47,11.9,1066500
2010-02-03,21.4,21.65,21.3,21.36,11.83,874100
2010-02-04,21.15,21.31,20.87,20.88,11.57,1499300
2010-02-05,20.8,21.03,20.29,20.43,11.32,2948200
2010-02-08,20.41,20.44,20.15,20.15,11.16,1330500
2010-02-09,20.37,20.5,20.13,20.28,11.23,1251600
2010-02-10,20.28,20.38,19.87,19.98,11.07,1705500
2010-02-11,19.94,20.26,19.7,20.08,11.13,1853500
2010-02-12,19.96,20.13,19.76,20.06,11.12,1668100
2010-02-16,20.19,20.71,20.05,20.7,11.47,1283900
2010-02-17,21.37,21.88,21.13,21.77,12.06,3238900
2010-02-18,21.8,22.08,21.72,22.03,12.21,1318900
2010-02-19,21.96,22.57,21.96,22.32,12.37,1933600
2010-02-22,22.44,22.59,21.89,22.06,12.22,1786200
2010-02-23,22.03,22.27,21.97,22.06,12.22,2021500
2010-02-24,22.16,22.6,22.13,22.46,12.44,2511400
2010-02-25,23.59,24.47,23.58,24.05,13.32,4288900
2010-02-26,24.14,24.25,23.85,23.92,13.25,2187500
2010-03-01,24.11,24.12,23.72,24.02,13.31,2250000
2010-03-02,24.14,24.17,23.76,23.87,13.23,1368500
2010-03-03,23.96,24.06,23.59,23.68,13.12,1506500
2010-03-04,23.74,23.75,23.44,23.7,13.13,1005000
2010-03-05,23.76,24.02,23.69,23.87,13.23,1192100
2010-03-08,23.96,24.04,23.81,23.88,13.23,751200
2010-03-09,23.84,23.87,23.56,23.71,13.13,1267200
2010-03-10,23.71,23.91,23.68,23.7,13.13,1158800
2010-03-11,23.6,23.84,23.49,23.82,13.2,726300
2010-03-12,23.86,23.98,23.72,23.95,13.27,635700
2010-03-15,24.03,24.14,23.86,24.08,13.34,890100
2010-03-16,24.14,24.18,23.95,24.12,13.37,999900
2010-03-17,24.3,24.41,24.09,24.39,13.51,957100
2010-03-18,24.39,24.42,24.23,24.36,13.5,667300
2010-03-19,24.03,24.54,23.94,24.03,13.31,1279500
2010-03-22,23.88,24.44,23.88,24.33,13.48,909500
2010-03-23,24.54,25.21,24.44,25.21,14.01,1850400
2010-03-24,25.06,25.32,24.9,24.97,13.87,1425300
2010-03-25,25.2,25.43,25.02,25.05,13.91,1434000
2010-03-26,25.19,25.4,24.78,24.98,13.88,997800
2010-03-29,25.02,25.64,25.02,25.64,14.24,1433400
2010-03-30,25.61,25.66,25.25,25.34,14.08,1184700
2010-03-31,25.17,25.37,25.03,25.32,14.07,1272500
2010-04-01,25.53,25.88,25.17,25.37,14.09,1366900
2010-04-05,25.44,25.46,25.15,25.23,14.02,1201100
2010-04-06,25.06,25.11,24.84,24.96,13.87,1435000
2010-04-07,24.86,24.94,24.6,24.7,13.72,1110100
2010-04-08,24.55,24.59,24.28,24.51,13.62,1078400
2010-04-09,24.57,24.7,24.45,24.5,13.61,1030900
2010-04-12,24.52,24.62,24.42,24.49,13.6,1467700
2010-04-13,24.42,24.59,24.22,24.49,13.6,1196400
2010-04-14,24.54,24.88,24.33,24.84,13.8,2270600
2010-04-15,24.84,25.44,24.71,25.34,14.08,1277000
2010-04-16,25.34,25.57,25.0,25.16,13.97,1621100
2010-04-19,25.16,25.35,24.98,25.3,14.05,944000
2010-04-20,25.38,25.71,25.25,25.64,14.24,1154300
2010-04-21,25.58,25.8,25.49,25.77,14.31,1072500
2010-04-22,25.56,26.2,25.43,26.16,14.53,1243200
2010-04-23,26.24,26.27,25.97,26.24,14.58,1153100
2010-04-26,26.16,26.33,26.02,26.12,14.51,1023200
2010-04-27,26.05,26.06,25.19,25.26,14.03,1441000
2010-04-28,25.55,25.88,25.43,25.88,14.37,1088200
2010-04-29,25.84,25.84,23.48,23.84,13.25,3770200
2010-04-30,23.9,23.93,23.08,23.24,12.91,2182600
2010-05-03,23.37,23.53,23.29,23.35,12.97,1531200
2010-05-04,23.06,23.22,22.74,23.17,12.87,2119200
2010-05-05,23.05,23.17,22.91,23.1,12.83,1554100
2010-05-06,22.89,23.11,20.91,22.08,12.26,1982600
2010-05-07,22.09,22.44,21.66,22.08,12.26,2193800
2010-05-10,23.0,23.39,22.88,23.21,12.89,1877500
2010-05-11,22.83,23.44,22.83,23.13,12.85,1184800
2010-05-12,23.18,23.57,23.18,23.57,13.09,912900
2010-05-13,23.44,23.47,23.07,23.1,12.83,1078800
