Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,18.73,19.03,18.67,18.88,11.59,8334100
2010-01-05,18.85,18.95,18.67,18.79,11.53,4704000
2010-01-06,18.78,18.85,18.69,18.72,11.49,5095000
2010-01-07,18.75,18.9,18.63,18.86,11.58,6697700
2010-01-08,18.79,18.98,18.66,18.92,11.61,6177700
2010-01-11,19.03,19.45,19.02,19.41,11.91,7072800
2010-01-12,19.26,19.48,19.17,19.38,11.9,4880300
2010-01-13,19.38,19.51,19.18,19.21,11.79,5235200
2010-01-14,19.19,19.49,19.19,19.41,11.91,3614500
2010-01-15,19.43,19.6,19.13,19.54,11.99,6473200
2010-01-19,20.04,20.24,19.52,19.88,12.2,26371700
2010-01-20,19.82,19.95,19.65,19.85,12.19,13688400
2010-01-21,19.93,20.0,19.52,19.64,12.05,8785000
2010-01-22,19.63,19.71,19.24,19.29,11.84,10818800
2010-01-25,19.48,19.56,19.17,19.19,11.78,5772500
2010-01-26,19.01,19.21,18.98,19.04,11.68,7965000
2010-01-27,18.98,19.06,18.76,19.0,11.73,7212300
2010-01-28,19.0,19.12,18.64,18.79,11.6,7451100
2010-01-29,18.86,18.88,18.35,18.44,11.38,8245100
2010-02-01,18.58,18.62,18.31,18.5,11.42,7287500
2010-02-02,18.58,19.04,18.58,18.99,11.72,9119900
2010-02-03,19.01,19.2,18.96,19.01,11.73,6606200
2010-02-04,18.82,18.85,18.24,18.24,11.26,6909200
2010-02-05,18.38,18.46,17.7,17.96,11.08,11036000
2010-02-08,18.02,18.06,17.67,17.67,10.91,6179100
2010-02-09,17.94,18.23,17.87,18.11,11.18,7954600
2010-02-10,18.09,18.22,17.96,18.0,11.11,5358800
2010-02-11,17.96,18.14,17.84,18.05,11.14,6031200
2010-02-12,17.84,17.96,17.61,17.96,11.09,4510100
2010-02-16,17.99,18.22,17.91,18.17,11.22,5611200
2010-02-17,18.3,18.55,18.27,18.38,11.34,5468700
2010-02-18,18.31,18.48,18.26,18.44,11.38,4584400
2010-02-19,18.41,18.68,18.32,18.54,11.44,4518500
