Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,24.0,24.43,23.9,24.27,22.63,3262019.0
2010-01-05,24.54,25.08,24.15,25.06,23.37,2601089.0
2010-01-06,25.01,25.07,24.6,25.01,23.32,2420460.0
2010-01-07,24.99,26.07,24.85,25.89,24.15,3196694.0
2010-01-08,25.67,26.02,25.53,25.98,24.23,2182058.0
2010-01-11,26.08,26.2,25.73,25.93,24.18,1534591.0
2010-01-12,25.61,25.83,25.35,25.53,23.81,3174162.0
2010-01-13,25.58,25.62,25.27,25.46,23.74,2418835.0
2010-01-14,25.4,25.96,25.22,25.82,24.08,2090350.0
2010-01-15,25.72,26.02,25.13,25.48,23.76,3198701.0
2010-01-19,25.41,25.94,25.38,25.83,24.09,1657628.0
2010-01-20,25.81,27.72,25.51,26.8,24.99,3741914.0
2010-01-21,26.91,27.15,25.88,27.0,25.18,4036949.0
2010-01-22,26.95,27.13,26.48,26.58,24.79,4806883.0
2010-01-25,26.88,27.17,26.42,26.73,24.93,1296286.0
2010-01-26,26.68,26.99,26.46,26.5,24.71,1422098.0
2010-01-27,26.44,27.15,26.42,27.14,25.31,1929630.0
2010-01-28,27.4,27.4,26.35,26.36,24.58,1708183.0
2010-01-29,26.57,26.8,25.41,25.54,23.82,2009976.0
2010-02-01,25.61,26.11,25.36,26.11,24.35,2383601.0
2010-02-02,26.08,26.86,25.78,26.46,24.68,1496383.0
2010-02-03,26.23,26.76,26.22,26.29,24.52,1065971.0
2010-02-04,26.01,26.2,24.85,24.85,23.18,1414339.0
2010-02-05,24.91,25.19,24.08,25.01,23.32,1765190.0
2010-02-08,25.4,25.49,24.78,24.82,23.15,1134243.0
2010-02-09,25.22,25.35,24.94,25.24,23.54,1235688.0
2010-02-10,25.19,25.66,25.0,25.44,23.73,1149940.0
2010-02-11,25.29,25.79,24.99,25.63,23.9,756711.0
2010-02-12,25.25,25.98,25.25,25.9,24.15,935620.0
2010-02-16,26.16,26.27,25.7,26.09,24.33,1010879.0
2010-02-17,26.12,26.33,25.72,26.16,24.4,1017755.0
2010-02-18,26.19,26.35,25.62,25.86,24.12,1065577.0
2010-02-19,25.72,26.08,25.72,25.81,24.07,1074588.0
2010-02-22,25.91,26.01,25.54,25.72,23.99,1040139.0
2010-02-23,25.55,25.84,25.06,25.07,23.38,1475204.0
2010-02-24,25.11,25.36,25.0,25.23,23.53,1173734.0
2010-02-25,24.73,24.97,24.43,24.88,23.2,1259323.0
2010-02-26,24.88,25.01,24.74,24.96,23.28,1000829.0
2010-03-01,25.01,25.29,24.95,25.15,23.46,736266.0
2010-03-02,25.33,25.33,24.86,25.05,23.36,1809046.0
2010-03-03,25.15,25.29,24.74,24.79,23.12,822367.0
2010-03-04,24.77,24.97,24.43,24.64,22.98,1616130.0
2010-03-05,24.8,25.37,24.75,25.23,23.53,1374347.0
2010-03-08,25.16,25.52,24.97,25.5,23.78,1134930.0
2010-03-09,25.43,25.75,25.12,25.61,23.88,1463759.0
2010-03-10,25.67,26.14,25.52,26.03,24.28,1122306.0
2010-03-11,25.9,26.17,25.72,25.87,24.13,794154.0
2010-03-12,25.93,26.0,25.61,25.71,23.98,782057.0
2010-03-15,25.57,25.74,25.41,25.68,23.95,843485.0
2010-03-16,25.68,26.02,25.58,25.99,24.24,1038225.0
2010-03-17,26.13,26.99,26.11,26.98,25.16,1700784.0
2010-03-18,26.99,27.19,26.43,26.62,24.83,930463.0
2010-03-19,26.73,26.75,25.59,25.76,24.02,1762954.0
2010-03-22,25.18,25.89,25.07,25.87,24.13,1286843.0
2010-03-23,25.84,25.89,25.6,25.78,24.04,779950.0
2010-03-24,25.57,25.71,25.26,25.29,23.59,821201.0
2010-03-25,25.46,25.54,24.84,24.84,23.17,1693697.0
2010-03-26,24.83,24.94,24.0,24.26,22.63,2120435.0
2010-03-29,24.28,24.32,23.77,24.22,22.59,1881084.0
2010-03-30,24.28,24.56,23.79,23.93,22.32,1399021.0
2010-03-31,23.89,24.01,23.65,23.67,22.07,1499647.0
2010-04-01,23.79,24.14,23.78,23.97,22.35,1185640.0
2010-04-05,24.03,24.77,24.01,24.77,23.1,1997494.0
2010-04-06,24.6,25.34,24.6,25.33,23.62,1801856.0
2010-04-07,25.28,25.68,25.21,25.49,23.77,1577538.0
2010-04-08,25.3,25.83,25.19,25.75,24.01,1453823.0
2010-04-09,25.89,26.55,25.79,26.49,24.7,2126754.0
2010-04-12,26.47,27.25,26.46,27.2,25.37,2363730.0
2010-04-13,27.16,27.48,27.0,27.13,25.3,1364334.0
2010-04-14,27.41,28.44,27.41,28.41,26.5,2587909.0
2010-04-15,28.2,28.27,27.91,27.98,26.09,1505821.0
2010-04-16,27.79,27.82,26.3,27.4,25.55,2648344.0
2010-04-19,26.88,27.81,26.78,27.57,25.71,1827780.0
2010-04-20,27.19,27.25,24.98,25.03,23.34,5914996.0
2010-04-21,25.07,25.44,24.5,24.74,23.07,2688678.0
2010-04-22,24.5,26.01,24.31,25.73,24.0,3337501.0
2010-04-23,25.74,25.93,25.54,25.66,23.93,1145649.0
2010-04-26,25.62,25.7,25.1,25.12,23.43,1492158.0
2010-04-27,24.85,25.43,24.43,24.44,22.79,1567645.0
2010-04-28,24.65,25.39,24.6,25.35,23.64,2063563.0
2010-04-29,25.49,26.82,25.32,26.3,24.53,4408222.0
2010-04-30,26.52,27.54,26.11,27.22,25.39,3521086.0
2010-05-03,27.39,27.6,26.69,27.17,25.34,1662677.0
2010-05-04,26.78,26.81,26.29,26.39,24.61,1920309.0
2010-05-05,26.03,26.71,25.62,26.19,24.43,1163878.0
2010-05-06,25.85,26.1,23.8,24.79,23.12,3244060.0
2010-05-07,24.62,25.04,24.09,24.48,22.83,2465422.0
2010-05-10,25.55,25.59,24.71,25.1,23.41,1577860.0
2010-05-11,24.83,25.42,24.65,25.05,23.36,1558551.0
