Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,23.4,23.86,23.24,23.85,21.04,493100
2010-01-05,23.8,23.88,23.34,23.47,20.7,344300
2010-01-06,23.52,23.54,23.33,23.43,20.67,288000
2010-01-07,23.37,23.43,23.15,23.41,20.65,279300
2010-01-08,23.41,23.41,23.05,23.2,20.46,245500
2010-01-11,23.18,23.22,22.88,23.02,20.31,222200
2010-01-12,22.89,23.05,22.69,22.92,20.22,325500
2010-01-13,23.05,23.35,22.93,23.25,20.51,316200
2010-01-14,23.12,23.47,23.12,23.43,20.67,173000
2010-01-15,23.54,23.54,23.01,23.2,20.46,517800
2010-01-19,23.15,23.55,23.12,23.52,20.75,335000
2010-01-20,23.32,23.35,22.81,23.17,20.44,306000
2010-01-21,23.25,23.36,22.65,22.89,20.19,402300
2010-01-22,22.92,23.05,22.39,22.44,19.79,376500
2010-01-25,22.57,22.61,22.25,22.38,19.74,273300
2010-01-26,22.32,22.43,22.14,22.17,19.56,424800
2010-01-27,22.03,22.37,22.03,22.26,19.64,569100
2010-01-28,22.23,22.23,21.65,21.85,19.27,525400
2010-01-29,21.91,22.14,21.88,21.96,19.37,749600
2010-02-01,22.02,22.54,21.95,22.5,19.85,733100
2010-02-02,22.47,23.06,22.28,22.76,20.08,853100
2010-02-03,22.77,23.74,22.32,22.61,19.94,833200
2010-02-04,22.51,22.51,21.96,22.05,19.45,652000
2010-02-05,22.01,22.08,21.36,21.75,19.19,675500
2010-02-08,21.73,21.73,21.4,21.44,18.91,495500
2010-02-09,21.71,21.82,21.4,21.48,18.95,606200
2010-02-10,21.37,21.52,21.03,21.31,18.8,534200
2010-02-11,21.21,21.63,21.01,21.59,19.04,380000
2010-02-12,21.38,21.59,21.32,21.58,19.04,398000
2010-02-16,22.98,22.98,21.95,22.19,19.57,765200
2010-02-17,22.18,22.52,22.13,22.52,19.86,483900
2010-02-18,22.58,22.71,22.41,22.71,20.03,356700
2010-02-19,22.74,22.86,22.49,22.67,20.0,551600
2010-02-22,22.67,22.77,22.39,22.6,20.02,991500
2010-02-23,22.47,22.64,22.26,22.45,19.89,623400
2010-02-24,22.58,22.68,22.37,22.67,20.08,447700
2010-02-25,22.33,22.6,22.19,22.58,20.0,469200
2010-02-26,22.65,22.71,22.37,22.58,20.0,561100
2010-03-01,22.7,23.15,22.69,23.04,20.41,640200
2010-03-02,22.99,23.25,22.99,23.2,20.55,521000
2010-03-03,23.25,23.35,23.05,23.13,20.49,394600
2010-03-04,23.23,23.47,23.02,23.42,20.75,502100
2010-03-05,23.46,23.7,23.42,23.7,20.99,525300
2010-03-08,23.61,23.7,23.5,23.59,20.9,483900
2010-03-09,23.55,23.75,23.46,23.55,20.86,419000
2010-03-10,23.47,23.73,23.39,23.57,20.88,432800
2010-03-11,23.37,23.67,23.35,23.67,20.97,570700
2010-03-12,23.66,23.83,23.49,23.83,21.11,655300
2010-03-15,23.53,23.95,23.51,23.95,21.21,848900
2010-03-16,23.9,24.56,23.82,24.55,21.75,1182300
2010-03-17,24.65,24.79,24.45,24.76,21.93,866000
2010-03-18,24.62,24.77,24.45,24.58,21.77,763400
2010-03-19,24.76,24.88,24.4,24.49,21.69,847100
2010-03-22,24.41,24.79,24.3,24.72,21.9,520500
2010-03-23,24.8,24.82,24.55,24.8,21.97,541300
2010-03-24,24.75,24.83,24.3,24.3,21.52,451400
2010-03-25,24.55,24.72,24.22,24.24,21.47,417800
2010-03-26,24.28,24.43,24.09,24.18,21.42,442200
2010-03-29,24.18,24.36,24.07,24.29,21.52,412700
2010-03-30,24.37,24.47,24.11,24.21,21.45,352200
2010-03-31,24.08,24.25,24.02,24.06,21.31,462300
2010-04-01,24.23,24.36,24.13,24.35,21.57,425800
2010-04-05,24.48,24.74,24.33,24.74,21.91,416100
2010-04-06,24.56,24.79,24.53,24.74,21.91,666700
2010-04-07,24.72,24.73,24.37,24.53,21.73,532200
2010-04-08,24.4,24.61,24.31,24.5,21.7,427700
2010-04-09,24.48,24.71,24.36,24.71,21.89,351800
2010-04-12,24.66,24.73,24.48,24.65,21.83,356700
2010-04-13,24.64,24.64,24.44,24.58,21.77,157900
2010-04-14,24.62,24.8,24.54,24.8,21.97,269500
2010-04-15,24.73,25.04,24.71,25.01,22.15,353800
2010-04-16,25.02,25.18,24.81,24.95,22.1,336000
2010-04-19,24.81,24.97,24.51,24.72,21.9,336600
2010-04-20,24.86,25.13,24.66,25.13,22.26,211900
2010-04-21,25.13,25.29,24.9,25.21,22.33,415200
