Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,139.83,140.59,139.34,139.98,136.25,5006800.0
2017-11-02,140.11,140.29,139.11,139.93,136.2,3494100.0
2017-11-03,139.73,140.4,139.3,140.08,136.35,2737000.0
2017-11-06,140.01,140.49,139.72,139.76,136.04,4209900.0
2017-11-27,,,,,,
2018-02-26,,,,,,
2018-05-24,123.22,123.39,121.55,122.25,118.99,6923600.0
2018-05-25,121.56,122.8,121.13,121.47,119.11,4594800.0
2018-05-29,120.5,120.8,118.62,119.4,117.08,9821900.0
2018-05-30,120.12,121.58,119.54,120.97,118.62,6423700.0
2018-05-31,120.92,121.25,119.54,119.62,117.3,10337500.0
2018-06-01,120.38,121.32,119.97,121.26,118.91,5741000.0
2018-06-04,121.85,122.37,121.02,121.95,119.58,4853000.0
2018-06-05,122.05,122.56,120.9,121.48,119.12,5125400.0
2018-06-06,121.97,122.79,121.46,122.79,120.41,6799300.0
2018-06-07,123.0,123.49,122.27,123.33,120.94,7414100.0
2018-06-08,123.36,124.85,123.33,124.06,121.65,6208100.0
2018-06-11,124.27,124.34,122.55,122.66,120.28,5571400.0
2018-06-12,123.16,123.18,121.95,122.54,120.16,5227300.0
2018-06-13,123.15,124.09,122.46,122.63,120.25,5836900.0
2018-06-14,122.71,123.15,122.09,122.41,120.03,5239200.0
2018-06-15,122.1,122.73,121.24,122.61,120.23,13173500.0
2018-06-18,121.61,121.81,120.25,121.32,118.97,6787400.0
2018-06-19,120.66,123.17,120.57,122.57,120.19,8572400.0
2018-06-20,122.42,122.66,121.66,122.04,119.67,6277200.0
2018-06-21,121.83,122.24,121.11,121.45,119.09,4417200.0
2018-06-22,121.68,123.38,121.65,122.84,120.46,9501400.0
2018-06-25,122.82,123.43,121.51,122.59,120.21,8170500.0
2018-06-26,122.49,122.89,121.6,122.35,119.98,5496400.0
2018-06-27,122.13,122.97,121.45,121.61,119.25,5666000.0
2018-06-28,121.78,122.41,121.07,122.0,119.63,5296800.0
2018-06-29,122.24,123.18,121.19,121.34,118.98,7308700.0
2018-07-02,121.34,121.73,120.11,121.58,119.22,5481400.0
2018-07-03,121.65,123.46,121.26,122.71,120.33,4248100.0
2018-07-05,123.6,125.12,123.23,125.0,122.57,7319100.0
2018-07-06,125.16,125.92,124.61,125.75,123.31,7297900.0
2018-07-09,126.22,126.75,125.6,126.05,123.6,6706100.0
2018-07-10,126.37,127.52,126.11,127.38,124.91,5075600.0
2018-07-11,127.41,127.44,126.06,126.24,123.79,4827400.0
2018-07-12,127.71,128.21,127.17,127.76,125.28,6199000.0
