Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,38.13,38.15,37.55,37.92,28.33,2816600
2010-01-05,37.78,38.17,37.2,37.33,27.89,5012300
2010-01-06,37.32,37.67,37.19,37.43,27.96,3784300
2010-01-07,37.81,39.01,37.18,38.93,29.09,4644000
2010-01-08,38.76,38.87,37.65,37.79,28.23,3930700
2010-01-11,38.14,38.39,37.66,38.35,28.65,2063500
2010-01-12,37.87,38.04,36.75,36.81,27.5,3468100
2010-01-13,37.11,37.44,36.7,37.36,27.91,1483700
2010-01-14,37.44,37.49,36.62,36.73,27.44,1820200
2010-01-15,36.52,37.06,35.91,36.02,26.91,3860200
2010-01-19,36.02,36.38,35.8,36.2,27.05,2361200
2010-01-20,35.69,35.88,35.3,35.62,26.61,2261000
2010-01-21,35.82,36.17,34.63,34.73,25.95,2916200
2010-01-22,35.33,35.36,34.07,34.14,25.51,4300400
2010-01-25,34.44,34.61,34.02,34.32,25.64,1993500
2010-01-26,34.09,35.75,34.09,35.03,26.17,2993900
2010-01-27,35.0,35.35,34.33,34.75,25.96,2651000
2010-01-28,35.01,35.19,34.46,34.8,26.0,2527100
2010-01-29,34.92,35.66,34.52,34.54,25.81,2197600
2010-02-01,34.84,35.24,34.42,35.19,26.29,3086200
2010-02-02,35.22,36.56,35.09,36.42,27.21,3353700
2010-02-03,36.05,36.24,35.45,36.05,26.93,2986400
2010-02-04,36.59,36.69,35.06,35.11,26.23,6400400
2010-02-05,34.3,34.48,32.78,33.94,25.36,5510000
2010-02-08,34.27,34.85,33.7,34.0,25.4,4291100
2010-02-09,34.51,34.75,33.99,34.11,25.48,4490800
2010-02-10,34.03,34.34,33.42,33.61,25.11,2645800
2010-02-11,33.48,33.83,33.28,33.81,25.26,3205800
2010-02-12,33.33,34.35,33.29,34.2,25.55,2623000
2010-02-16,34.84,35.18,34.43,35.08,26.21,2790300
2010-02-17,35.35,35.6,35.0,35.12,26.24,1438200
2010-02-18,34.95,35.09,34.62,35.02,26.16,1605500
2010-02-19,35.25,36.24,35.17,35.7,26.67,4429700
2010-02-22,36.11,36.35,35.91,36.13,26.99,4440000
2010-02-23,35.23,36.39,35.13,36.19,27.04,6205500
2010-02-24,36.23,36.63,36.07,36.59,27.46,2283600
2010-02-25,35.99,37.0,35.75,36.88,27.68,2658300
2010-02-26,36.9,37.18,36.62,36.94,27.72,1842500
2010-03-01,36.86,37.8,36.7,37.59,28.21,2441100
2010-03-02,37.73,38.0,37.58,37.7,28.29,2028100
2010-03-03,37.67,38.18,37.4,37.81,28.37,2897300
2010-03-04,38.24,38.61,37.89,38.32,28.76,2468100
2010-03-05,38.66,39.21,38.36,39.01,29.27,1884400
2010-03-08,39.09,39.49,38.83,39.33,29.51,2066700
2010-03-09,39.08,39.57,38.9,39.14,29.37,2161300
2010-03-10,39.27,39.45,39.0,39.15,29.38,1938700
2010-03-11,38.91,39.22,38.62,38.94,29.22,2196700
2010-03-12,39.25,39.97,39.02,39.83,29.89,3013200
2010-03-15,39.4,40.0,39.35,40.0,30.02,1815100
2010-03-16,39.72,40.13,39.42,39.72,29.81,1797500
2010-03-17,39.78,39.94,39.34,39.91,29.95,2480400
2010-03-18,39.81,40.29,39.66,40.26,30.21,3311100
2010-03-19,40.42,41.07,40.11,40.42,30.33,4009700
2010-03-22,40.07,41.38,40.0,41.29,30.99,2812200
2010-03-23,41.29,41.58,40.78,41.46,31.11,2235200
2010-03-24,41.3,41.38,40.65,40.88,30.68,1710700
2010-03-25,41.2,41.95,41.01,41.19,30.91,2393700
2010-03-26,41.37,42.14,41.32,41.75,31.33,2291300
2010-03-29,42.02,42.2,41.44,41.81,31.38,1931100
2010-03-30,41.64,41.81,41.0,41.36,31.04,1563700
2010-03-31,41.14,41.36,40.7,40.85,30.66,1613000
2010-04-01,41.25,41.69,41.11,41.5,31.14,1219800
2010-04-05,41.54,42.88,41.33,42.76,32.09,1913100
2010-04-06,42.61,43.42,42.15,43.37,32.55,2751900
2010-04-07,43.38,43.38,41.88,42.1,31.59,4042400
2010-04-08,42.09,42.09,41.35,41.44,31.1,3496100
2010-04-09,41.75,42.61,41.44,42.55,31.93,2528400
2010-04-12,42.66,42.7,41.95,42.01,31.53,2031900
2010-04-13,41.9,42.3,41.6,41.83,31.39,2080800
2010-04-14,42.09,43.1,41.86,42.95,32.23,2120000
2010-04-15,42.73,43.61,42.52,43.46,32.61,2873400
2010-04-16,43.21,43.56,42.57,42.95,32.23,3273200
2010-04-19,42.63,42.99,41.03,42.19,31.66,3493000
2010-04-20,42.38,42.9,42.02,42.88,32.18,2840800
2010-04-21,42.73,43.87,42.58,43.72,32.81,3492800
2010-04-22,43.32,45.55,43.23,45.34,34.02,4794400
2010-04-23,45.33,45.97,45.05,45.9,34.45,3373300
2010-04-26,45.95,46.22,44.58,44.68,33.53,3741200
2010-04-27,44.45,44.49,42.69,42.85,32.16,3881000
2010-04-28,42.99,43.59,42.04,42.46,31.86,3095100
2010-04-29,42.8,43.29,42.66,42.91,32.2,2998800
2010-04-30,43.01,43.22,41.2,41.33,31.02,4217200
2010-05-03,41.56,44.0,41.42,43.63,32.74,4649400
2010-05-04,42.96,43.18,41.45,41.67,31.27,2800900
2010-05-05,41.12,42.79,40.74,41.5,31.14,2746900
2010-05-06,41.35,42.95,38.63,40.56,30.44,6631400
2010-05-07,40.19,42.03,39.7,40.06,30.06,6968500
2010-05-10,41.79,43.37,41.63,43.25,32.46,3896300
2010-05-11,42.99,43.5,41.99,42.08,31.58,4762100
2010-05-12,42.18,43.24,41.65,43.03,32.29,3333700
2010-05-13,42.97,43.12,41.04,41.29,30.99,4994700
2010-05-14,39.87,40.66,39.28,39.76,29.84,6016300
2010-05-17,39.69,39.94,38.25,39.25,29.45,6356400
2010-05-18,39.69,39.97,37.9,38.06,28.56,3605400
2010-05-19,37.5,39.04,37.5,38.41,28.82,5538000
2010-05-20,37.41,38.5,36.78,37.26,27.96,6730500
2010-05-21,36.29,38.68,36.29,38.12,28.61,4408600
2010-05-24,38.11,38.65,37.53,37.6,28.22,2841000
2010-05-25,36.41,38.37,36.2,38.33,28.76,3380700
2010-05-26,38.71,39.17,37.39,37.72,28.45,3734300
2010-05-27,38.6,39.93,38.54,39.92,30.11,3151600
2010-05-28,39.87,40.45,39.03,39.7,29.95,3046400
2010-06-01,39.14,40.03,38.94,39.25,29.61,3509300
2010-06-02,39.47,40.25,39.17,40.25,30.36,3574800
2010-06-03,39.26,39.3,38.08,38.52,29.06,6658200
2010-06-04,37.71,37.92,36.13,36.47,27.51,4910300
2010-06-07,36.58,37.6,35.73,35.82,27.02,3212300
2010-06-08,35.92,36.5,35.27,36.11,27.24,3998100
2010-06-09,36.53,37.36,36.06,36.32,27.4,3300900
2010-06-10,37.01,37.98,36.72,37.79,28.51,3339000
2010-06-11,37.19,38.25,37.07,37.85,28.55,2565500
2010-06-14,38.27,39.54,38.27,38.81,29.28,2934800
2010-06-15,39.35,40.3,39.12,40.3,30.4,3508100
2010-06-16,40.03,40.56,39.39,40.0,30.17,3272300
2010-06-17,39.88,40.01,38.75,39.13,29.52,2250300
2010-06-18,39.3,39.72,38.53,38.66,29.16,2496800
2010-06-21,39.21,39.51,37.41,37.73,28.46,3376500
2010-06-22,37.86,38.68,36.83,36.89,27.83,3963700
2010-06-23,36.87,37.23,36.0,36.84,27.79,3253600
2010-06-24,36.57,36.64,35.18,35.38,26.69,3449600
2010-06-25,35.44,35.77,34.85,35.54,26.81,4191300
2010-06-28,35.75,36.01,34.91,34.95,26.37,2759500
2010-06-29,34.24,34.57,32.3,32.51,24.52,6443800
